date,open,high,low,close,volume
2018-01-11 00:00:00+05:30,33.4,33.4,33.4,33.4,157
2018-01-12 00:00:00+05:30,34.05,34.05,34.05,34.05,360
2018-01-15 00:00:00+05:30,34.7,34.7,34.7,34.7,795
2018-01-16 00:00:00+05:30,35.35,35.35,35.35,35.35,2735
2018-01-17 00:00:00+05:30,36.05,36.05,35.4,36.05,56033
2018-01-18 00:00:00+05:30,36.75,36.75,36.7,36.75,7957
2018-01-19 00:00:00+05:30,36.9,37.45,36.75,37.45,21575
2018-01-22 00:00:00+05:30,38.15,38.15,37.45,38.15,9893
2018-01-23 00:00:00+05:30,38.9,38.9,38.2,38.4,5100
2018-01-24 00:00:00+05:30,38.3,39.15,38.2,38.75,13766
2018-01-25 00:00:00+05:30,39.0,39.5,38.15,38.35,2833
2018-01-29 00:00:00+05:30,38.75,39.1,38.75,39.1,13465
2018-01-30 00:00:00+05:30,39.85,39.85,38.35,39.5,14722
2018-01-31 00:00:00+05:30,39.5,40.2,38.75,39.45,57626
2018-02-01 00:00:00+05:30,39.4,40.2,39.4,40.2,4128
2018-02-02 00:00:00+05:30,40.2,40.2,39.4,40.0,2646
2018-02-05 00:00:00+05:30,39.6,39.6,39.6,39.6,200
2018-02-06 00:00:00+05:30,38.85,38.85,38.85,38.85,100
2018-02-07 00:00:00+05:30,38.1,38.1,38.1,38.1,1248
2018-02-08 00:00:00+05:30,38.1,38.85,38.1,38.85,763
2018-02-09 00:00:00+05:30,39.6,39.6,39.6,39.6,1989
2018-02-12 00:00:00+05:30,40.35,40.35,40.35,40.35,170
2018-02-14 00:00:00+05:30,41.15,41.15,41.15,41.15,338
2018-02-15 00:00:00+05:30,41.95,41.95,41.5,41.95,20241
2018-02-16 00:00:00+05:30,42.75,42.75,42.75,42.75,1585
2018-02-19 00:00:00+05:30,43.6,43.6,42.75,43.45,13429
2018-02-20 00:00:00+05:30,44.0,44.3,44.0,44.3,5599
2018-02-21 00:00:00+05:30,45.15,45.15,43.45,43.45,10217
2018-02-22 00:00:00+05:30,42.6,42.6,42.6,42.6,1075
2018-02-23 00:00:00+05:30,41.75,41.75,41.75,41.75,2250
2018-02-26 00:00:00+05:30,40.95,41.75,40.95,41.0,6771
2018-02-27 00:00:00+05:30,41.5,41.8,40.2,40.55,2749
2018-02-28 00:00:00+05:30,39.75,40.55,39.75,39.75,2605
2018-03-01 00:00:00+05:30,39.75,39.75,39.0,39.0,249
2018-03-05 00:00:00+05:30,39.0,39.5,38.25,39.5,1574
2018-03-06 00:00:00+05:30,38.75,39.0,38.75,38.75,1744
2018-03-08 00:00:00+05:30,38.0,38.0,38.0,38.0,167
2018-03-14 00:00:00+05:30,37.25,37.25,37.25,37.25,1
2018-03-15 00:00:00+05:30,36.55,36.55,36.55,36.55,11
2018-03-16 00:00:00+05:30,35.85,35.85,35.85,35.85,603
2018-03-19 00:00:00+05:30,35.15,35.15,35.15,35.15,11
2018-03-20 00:00:00+05:30,35.0,35.0,34.45,34.45,111
2018-03-21 00:00:00+05:30,33.9,35.0,33.9,33.9,215
2018-03-22 00:00:00+05:30,33.45,33.45,33.25,33.25,589
2018-03-23 00:00:00+05:30,33.25,33.9,32.6,33.9,3026
2018-03-26 00:00:00+05:30,34.35,34.35,34.35,34.35,150
2018-03-27 00:00:00+05:30,34.9,35.0,34.9,35.0,347379
2018-03-28 00:00:00+05:30,35.5,35.7,35.4,35.7,72277
2018-04-02 00:00:00+05:30,36.3,36.3,35.4,35.4,200
2018-04-03 00:00:00+05:30,35.5,35.5,35.0,35.0,218
2018-04-04 00:00:00+05:30,35.5,35.5,35.0,35.0,1487
2018-04-05 00:00:00+05:30,35.0,35.7,35.0,35.35,5296
2018-04-06 00:00:00+05:30,36.05,36.05,35.0,35.25,1664
2018-04-09 00:00:00+05:30,35.1,35.1,35.1,35.1,7686
2018-04-10 00:00:00+05:30,35.2,35.8,35.2,35.8,106
2018-04-11 00:00:00+05:30,36.5,36.5,35.5,35.5,2714
2018-04-13 00:00:00+05:30,36.2,36.2,36.2,36.2,1557
2018-04-16 00:00:00+05:30,36.9,36.9,36.9,36.9,635
2018-04-17 00:00:00+05:30,37.6,37.6,37.6,37.6,256
2018-04-18 00:00:00+05:30,38.35,38.35,38.35,38.35,200
2018-04-19 00:00:00+05:30,39.1,39.1,39.1,39.1,10300
2018-04-20 00:00:00+05:30,39.85,39.85,39.85,39.85,7501
2018-04-23 00:00:00+05:30,40.6,40.6,40.6,40.6,50
2018-04-24 00:00:00+05:30,41.4,41.4,41.4,41.4,102
