date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,9.9,10.35,9.55,10.35,189
2015-01-06 00:00:00+05:30,10.3,10.3,10.3,10.3,200
2015-01-09 00:00:00+05:30,9.9,9.9,9.3,9.9,851
2015-01-13 00:00:00+05:30,10.3,10.6,9.15,10.6,1227
2015-01-14 00:00:00+05:30,10.75,10.75,10.3,10.3,251
2015-01-15 00:00:00+05:30,10.25,10.25,10.25,10.25,101
2015-01-19 00:00:00+05:30,10.25,11.2,10.1,10.5,2191
2015-01-21 00:00:00+05:30,10.9,10.95,10.9,10.95,201
2015-01-22 00:00:00+05:30,10.9,11.95,9.9,10.35,10376
2015-01-23 00:00:00+05:30,9.69,10.35,9.5,9.9,2610
2015-01-27 00:00:00+05:30,9.75,9.75,9.75,9.75,500
2015-01-29 00:00:00+05:30,9.75,10.55,9.35,10.45,1508
2015-01-30 00:00:00+05:30,9.94,10.5,9.94,10.19,600
2015-02-02 00:00:00+05:30,10.55,10.55,9.85,9.85,400
2015-02-03 00:00:00+05:30,9.9,10.4,9.9,10.4,386
2015-02-09 00:00:00+05:30,9.44,10.4,9.4,10.4,1257
2015-02-10 00:00:00+05:30,9.44,9.44,9.44,9.44,70
2015-02-11 00:00:00+05:30,10.35,10.35,10.35,10.35,100
2015-02-12 00:00:00+05:30,9.5,10.0,9.5,10.0,550
2015-02-13 00:00:00+05:30,10.3,10.3,10.3,10.3,2
2015-02-16 00:00:00+05:30,10.3,10.3,10.3,10.3,81
2015-02-18 00:00:00+05:30,9.44,9.44,9.44,9.44,375
2015-02-20 00:00:00+05:30,10.0,10.0,10.0,10.0,50
2015-02-23 00:00:00+05:30,10.0,10.0,10.0,10.0,7
2015-02-25 00:00:00+05:30,10.9,11.0,10.8,11.0,2324
2015-02-26 00:00:00+05:30,11.0,11.0,11.0,11.0,150
2015-03-02 00:00:00+05:30,10.6,10.6,10.6,10.6,70000
2015-03-04 00:00:00+05:30,10.85,11.65,10.75,11.5,22220
2015-03-05 00:00:00+05:30,12.0,12.0,11.5,12.0,20020
2015-03-09 00:00:00+05:30,13.0,13.0,12.1,12.65,4021
2015-03-10 00:00:00+05:30,12.1,13.25,12.1,13.25,1600
2015-03-11 00:00:00+05:30,13.05,13.5,12.65,12.65,1838
2015-03-13 00:00:00+05:30,13.25,13.25,13.25,13.25,16
2015-03-16 00:00:00+05:30,13.0,13.0,12.6,12.6,400
2015-03-18 00:00:00+05:30,13.0,13.0,13.0,13.0,137
2015-03-23 00:00:00+05:30,12.75,12.75,12.75,12.75,50
2015-03-25 00:00:00+05:30,12.2,13.25,12.15,13.25,1040
2015-03-31 00:00:00+05:30,12.6,13.5,12.6,13.5,202
2015-04-06 00:00:00+05:30,13.95,13.95,13.95,13.95,2
2015-04-13 00:00:00+05:30,13.8,13.8,13.8,13.8,50
2015-04-15 00:00:00+05:30,13.0,13.0,13.0,13.0,550
2015-04-17 00:00:00+05:30,12.6,12.6,12.6,12.6,1
2015-04-21 00:00:00+05:30,13.25,13.25,12.55,12.55,239
2015-04-22 00:00:00+05:30,11.55,13.45,11.55,12.0,440
2015-04-23 00:00:00+05:30,11.8,13.2,11.0,13.2,1430
2015-04-24 00:00:00+05:30,13.4,13.4,13.4,13.4,211
2015-05-04 00:00:00+05:30,13.3,13.3,13.3,13.3,240
2015-05-19 00:00:00+05:30,12.65,12.65,12.65,12.65,30
2015-05-21 00:00:00+05:30,12.65,12.65,12.65,12.65,1
2015-05-22 00:00:00+05:30,12.05,12.05,12.05,12.05,25
2015-05-25 00:00:00+05:30,11.7,11.7,11.7,11.7,1750
2015-05-26 00:00:00+05:30,12.0,12.0,11.75,11.75,1160
2015-05-27 00:00:00+05:30,11.5,11.55,11.5,11.55,30
2015-05-28 00:00:00+05:30,11.6,11.6,11.6,11.6,6100
2015-05-29 00:00:00+05:30,11.2,12.1,11.2,12.1,3902
2015-06-01 00:00:00+05:30,11.5,11.5,11.5,11.5,10
2015-06-05 00:00:00+05:30,11.25,11.25,11.25,11.25,200
2015-06-16 00:00:00+05:30,11.0,11.0,11.0,11.0,200
2015-06-17 00:00:00+05:30,11.55,11.55,11.55,11.55,199
2015-06-18 00:00:00+05:30,11.35,11.6,11.35,11.6,5400
2015-06-19 00:00:00+05:30,11.2,11.95,11.2,11.95,249
2015-06-23 00:00:00+05:30,11.9,12.25,11.9,12.25,1175
2015-06-24 00:00:00+05:30,12.25,12.25,12.25,12.25,650
2015-06-26 00:00:00+05:30,11.7,11.7,11.7,11.7,500
2015-06-30 00:00:00+05:30,12.25,12.25,12.25,12.25,600
2015-07-02 00:00:00+05:30,12.5,12.5,12.5,12.5,20
2015-07-03 00:00:00+05:30,12.3,12.45,12.25,12.25,3
2015-07-06 00:00:00+05:30,12.5,12.5,12.0,12.25,799
2015-07-07 00:00:00+05:30,12.5,12.8,12.1,12.5,2920
2015-07-09 00:00:00+05:30,13.05,13.05,13.05,13.05,230
2015-07-10 00:00:00+05:30,12.5,12.5,12.5,12.5,300
2015-07-16 00:00:00+05:30,13.1,13.1,12.1,12.1,200
2015-07-22 00:00:00+05:30,12.7,12.7,12.7,12.7,500
2015-07-27 00:00:00+05:30,13.3,13.3,13.3,13.3,100
2015-07-28 00:00:00+05:30,13.95,13.95,13.95,13.95,320
2015-07-29 00:00:00+05:30,13.65,14.6,13.65,14.6,510
2015-07-30 00:00:00+05:30,14.6,15.3,14.3,14.4,1011
2015-07-31 00:00:00+05:30,14.55,14.55,14.55,14.55,25
