date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,16.1,16.7,15.7,16.2,433887
2015-01-02 00:00:00+05:30,16.64,16.64,15.8,16.1,310651
2015-01-05 00:00:00+05:30,15.25,16.35,15.25,15.5,547408
2015-01-06 00:00:00+05:30,15.5,15.5,14.7,14.85,466649
2015-01-07 00:00:00+05:30,14.55,15.05,14.35,14.75,168755
2015-01-08 00:00:00+05:30,15.2,15.35,14.75,14.9,245084
2015-01-09 00:00:00+05:30,15.3,15.35,14.75,14.9,203007
2015-01-12 00:00:00+05:30,15.0,15.2,14.55,14.65,222854
2015-01-13 00:00:00+05:30,15.2,15.2,14.6,14.65,133218
2015-01-14 00:00:00+05:30,14.5,14.9,14.45,14.5,125462
2015-01-15 00:00:00+05:30,15.0,15.7,14.7,15.2,505434
2015-01-16 00:00:00+05:30,14.8,15.5,14.8,15.15,431934
2015-01-19 00:00:00+05:30,15.25,15.5,14.8,14.9,173274
2015-01-20 00:00:00+05:30,14.85,15.2,14.8,14.85,117086
2015-01-21 00:00:00+05:30,14.85,15.35,14.75,15.15,217334
2015-01-22 00:00:00+05:30,15.15,16.3,14.8,15.55,830866
2015-01-23 00:00:00+05:30,16.25,16.25,15.0,15.2,701425
2015-01-27 00:00:00+05:30,15.2,15.5,15.0,15.25,232278
2015-01-28 00:00:00+05:30,16.0,16.0,15.2,15.4,531189
2015-01-29 00:00:00+05:30,15.3,15.75,15.05,15.55,210965
2015-01-30 00:00:00+05:30,15.5,16.7,15.2,16.3,980623
2015-02-02 00:00:00+05:30,16.25,16.85,15.1,16.14,429530
2015-02-03 00:00:00+05:30,16.39,16.39,15.15,15.6,318248
2015-02-04 00:00:00+05:30,15.85,15.9,15.35,15.5,186039
2015-02-05 00:00:00+05:30,15.4,15.8,14.85,15.0,166609
2015-02-06 00:00:00+05:30,14.95,15.2,14.5,14.55,202599
2015-02-09 00:00:00+05:30,14.35,14.5,14.15,14.25,168045
2015-02-10 00:00:00+05:30,14.05,14.9,14.05,14.3,192818
2015-02-11 00:00:00+05:30,14.15,15.0,14.15,14.85,140246
2015-02-12 00:00:00+05:30,14.8,15.45,14.6,15.15,214456
2015-02-13 00:00:00+05:30,15.45,15.7,14.9,14.95,262727
2015-02-16 00:00:00+05:30,16.5,17.39,15.8,16.1,1657612
2015-02-18 00:00:00+05:30,16.3,16.8,16.0,16.39,673316
2015-02-19 00:00:00+05:30,16.5,16.7,16.0,16.14,284570
2015-02-20 00:00:00+05:30,16.3,16.55,16.05,16.2,350912
2015-02-23 00:00:00+05:30,16.2,17.3,16.0,16.6,846158
2015-02-24 00:00:00+05:30,16.85,16.89,16.45,16.55,296153
2015-02-25 00:00:00+05:30,16.6,16.95,15.7,15.9,242184
2015-02-26 00:00:00+05:30,16.39,17.14,16.0,16.5,942421
2015-02-27 00:00:00+05:30,16.85,17.0,16.14,16.8,617895
2015-03-02 00:00:00+05:30,16.89,16.89,16.05,16.64,559511
2015-03-03 00:00:00+05:30,16.89,16.89,16.25,16.35,409758
2015-03-04 00:00:00+05:30,16.7,16.8,15.75,15.85,418855
2015-03-05 00:00:00+05:30,15.85,15.95,15.35,15.7,256068
2015-03-09 00:00:00+05:30,15.7,15.7,14.6,14.95,399656
2015-03-10 00:00:00+05:30,15.2,15.25,14.7,14.85,196770
2015-03-11 00:00:00+05:30,15.0,15.2,14.35,14.5,244252
2015-03-12 00:00:00+05:30,14.7,14.95,14.55,14.7,214597
2015-03-13 00:00:00+05:30,14.85,14.9,14.25,14.35,178238
2015-03-16 00:00:00+05:30,14.35,14.35,13.8,13.95,224959
2015-03-17 00:00:00+05:30,14.3,14.3,13.35,13.85,299147
2015-03-18 00:00:00+05:30,14.2,14.2,13.6,14.0,160801
2015-03-19 00:00:00+05:30,14.1,14.7,13.95,14.0,306746
2015-03-20 00:00:00+05:30,14.0,14.2,13.55,13.65,177355
2015-03-23 00:00:00+05:30,13.65,13.85,13.25,13.35,135864
2015-03-24 00:00:00+05:30,13.35,13.4,12.75,13.0,311007
2015-03-25 00:00:00+05:30,12.75,13.3,12.75,13.05,668481
2015-03-26 00:00:00+05:30,13.0,13.45,12.9,13.3,114980
2015-03-27 00:00:00+05:30,13.4,13.4,13.0,13.25,217600
2015-03-30 00:00:00+05:30,13.45,13.95,13.3,13.6,127254
2015-03-31 00:00:00+05:30,14.45,14.45,13.45,13.55,325080
2015-04-01 00:00:00+05:30,13.3,13.95,12.75,13.75,262011
2015-04-06 00:00:00+05:30,13.7,14.0,13.65,13.75,153085
2015-04-07 00:00:00+05:30,13.9,13.9,13.5,13.65,133177
2015-04-08 00:00:00+05:30,14.1,14.15,13.85,14.05,217746
2015-04-09 00:00:00+05:30,14.35,14.35,13.5,13.65,515072
2015-04-10 00:00:00+05:30,13.8,14.25,13.6,14.1,332202
2015-04-13 00:00:00+05:30,14.1,14.7,14.0,14.35,389446
2015-04-15 00:00:00+05:30,15.4,15.95,14.85,15.05,1641925
2015-04-16 00:00:00+05:30,15.4,15.95,15.1,15.25,866626
2015-04-17 00:00:00+05:30,15.2,15.4,14.4,14.65,292192
2015-04-20 00:00:00+05:30,14.65,14.65,13.75,13.8,194342
2015-04-21 00:00:00+05:30,14.0,14.35,13.75,13.85,134473
2015-04-22 00:00:00+05:30,14.05,14.25,13.7,13.8,133029
2015-04-23 00:00:00+05:30,14.15,14.2,13.7,14.0,142503
2015-04-24 00:00:00+05:30,14.2,14.25,13.5,13.55,121333
2015-04-27 00:00:00+05:30,14.1,14.1,12.8,13.0,147762
2015-04-28 00:00:00+05:30,13.0,13.4,12.9,13.05,206231
2015-04-29 00:00:00+05:30,13.2,13.25,12.7,12.95,227688
2015-04-30 00:00:00+05:30,13.0,13.25,12.75,12.95,402971
2015-05-04 00:00:00+05:30,13.0,13.2,12.5,12.6,343468
2015-05-05 00:00:00+05:30,12.75,13.0,12.65,12.85,171987
2015-05-06 00:00:00+05:30,12.95,12.95,12.3,12.45,188705
2015-05-07 00:00:00+05:30,12.0,12.35,11.8,12.05,193241
2015-05-08 00:00:00+05:30,12.05,12.25,11.8,12.0,197864
