date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,14.55,14.55,13.6,13.6,949
2015-01-02 00:00:00+05:30,13.8,14.0,13.5,14.0,59721
2015-01-05 00:00:00+05:30,14.45,14.5,14.05,14.05,1452
2015-01-06 00:00:00+05:30,13.6,14.0,13.3,13.3,4827
2015-01-07 00:00:00+05:30,13.2,13.95,13.0,13.25,17320
2015-01-08 00:00:00+05:30,13.0,14.0,13.0,13.7,55498
2015-01-09 00:00:00+05:30,13.6,15.9,12.7,13.1,87244
2015-01-12 00:00:00+05:30,12.75,13.9,12.75,13.75,12723
2015-01-13 00:00:00+05:30,13.7,13.85,13.2,13.8,12903
2015-01-14 00:00:00+05:30,13.35,13.75,13.3,13.65,5558
2015-01-15 00:00:00+05:30,13.9,13.9,13.15,13.7,3070
2015-01-16 00:00:00+05:30,13.7,13.7,13.2,13.45,6233
2015-01-19 00:00:00+05:30,13.75,14.5,13.7,14.1,91361
2015-01-20 00:00:00+05:30,14.1,15.0,14.1,14.45,54869
2015-01-21 00:00:00+05:30,14.45,14.45,13.7,13.9,4037
2015-01-22 00:00:00+05:30,13.0,14.25,13.0,14.0,11023
2015-01-23 00:00:00+05:30,13.8,13.8,13.05,13.4,10470
2015-01-27 00:00:00+05:30,13.3,14.5,13.3,13.55,19218
2015-01-28 00:00:00+05:30,13.0,15.15,13.0,14.3,30832
2015-01-29 00:00:00+05:30,14.0,15.0,14.0,14.75,8630
2015-01-30 00:00:00+05:30,14.5,15.2,14.5,14.95,23850
2015-02-02 00:00:00+05:30,14.0,15.5,14.0,14.65,1194
2015-02-03 00:00:00+05:30,14.95,15.0,14.55,14.55,6318
2015-02-04 00:00:00+05:30,14.25,14.95,14.25,14.95,7801
2015-02-05 00:00:00+05:30,14.05,15.95,14.05,14.7,21497
2015-02-06 00:00:00+05:30,14.2,15.95,14.2,15.75,41418
2015-02-09 00:00:00+05:30,14.8,15.75,14.5,14.9,24394
2015-02-10 00:00:00+05:30,13.5,16.3,13.5,15.95,22667
2015-02-11 00:00:00+05:30,15.0,17.45,15.0,16.39,38642
2015-02-12 00:00:00+05:30,15.65,16.7,15.1,15.35,21525
2015-02-13 00:00:00+05:30,12.35,12.35,12.3,12.3,40089
2015-02-16 00:00:00+05:30,9.85,10.7,9.85,10.1,285362
2015-02-18 00:00:00+05:30,10.1,11.1,10.0,10.4,104892
2015-02-19 00:00:00+05:30,10.9,11.0,10.0,10.3,12574
2015-02-20 00:00:00+05:30,10.05,11.3,10.05,11.3,73757
2015-02-23 00:00:00+05:30,11.3,11.9,11.1,11.6,26271
2015-02-24 00:00:00+05:30,11.25,12.75,11.25,12.7,148017
2015-02-25 00:00:00+05:30,13.2,13.2,12.1,12.1,27561
2015-02-26 00:00:00+05:30,12.65,12.65,11.5,11.5,115024
2015-02-27 00:00:00+05:30,11.3,12.05,11.0,11.75,134061
2015-03-02 00:00:00+05:30,11.0,11.5,10.85,11.3,16002
2015-03-03 00:00:00+05:30,10.75,11.4,10.75,10.75,17389
2015-03-04 00:00:00+05:30,10.5,11.2,10.5,10.7,76925
2015-03-05 00:00:00+05:30,10.85,10.95,10.5,10.85,5353
2015-03-09 00:00:00+05:30,10.5,11.35,10.5,11.2,4655
2015-03-10 00:00:00+05:30,11.35,11.65,10.85,11.4,44396
2015-03-11 00:00:00+05:30,11.0,11.0,10.85,10.85,11189
2015-03-12 00:00:00+05:30,11.0,11.0,10.45,10.5,2088
2015-03-13 00:00:00+05:30,11.0,11.0,10.5,10.7,6718
2015-03-16 00:00:00+05:30,10.19,11.1,10.19,10.9,4636
2015-03-17 00:00:00+05:30,11.35,11.35,10.4,10.4,4155
2015-03-18 00:00:00+05:30,10.9,10.9,10.0,10.6,6024
2015-03-19 00:00:00+05:30,10.85,11.0,10.19,10.65,6093
2015-03-20 00:00:00+05:30,10.3,10.5,10.15,10.5,14030
2015-03-23 00:00:00+05:30,10.1,10.5,10.0,10.5,3550
2015-03-24 00:00:00+05:30,10.5,10.5,10.0,10.4,6239
2015-03-25 00:00:00+05:30,10.0,10.4,10.0,10.0,10605
2015-03-26 00:00:00+05:30,9.8,10.0,9.8,10.0,67285
2015-03-27 00:00:00+05:30,9.5,10.3,9.5,10.0,3505
2015-03-30 00:00:00+05:30,10.0,10.5,10.0,10.45,816
2015-03-31 00:00:00+05:30,10.7,10.7,10.0,10.6,566
2015-04-01 00:00:00+05:30,10.6,10.95,10.5,10.75,23600
2015-04-06 00:00:00+05:30,10.8,11.0,10.25,10.75,2431
2015-04-07 00:00:00+05:30,10.5,11.0,10.5,11.0,11793
2015-04-08 00:00:00+05:30,11.15,11.75,11.05,11.45,15375
2015-04-09 00:00:00+05:30,10.7,11.5,10.7,11.2,1337
2015-04-10 00:00:00+05:30,10.19,11.4,10.19,11.4,221
2015-04-13 00:00:00+05:30,11.5,11.5,11.1,11.1,3403
2015-04-15 00:00:00+05:30,11.5,11.5,10.75,10.8,4556
2015-04-16 00:00:00+05:30,11.1,11.25,10.7,11.25,1552
2015-04-17 00:00:00+05:30,11.2,11.25,10.75,10.75,200
2015-04-20 00:00:00+05:30,11.0,11.0,10.75,10.95,4375
2015-04-21 00:00:00+05:30,11.65,11.65,10.05,10.15,1825
2015-04-22 00:00:00+05:30,10.25,10.25,10.1,10.25,534
2015-04-23 00:00:00+05:30,9.25,11.25,9.25,10.45,3512
2015-04-24 00:00:00+05:30,10.35,10.75,10.35,10.75,1400
2015-04-27 00:00:00+05:30,10.35,10.7,10.35,10.55,758
2015-04-28 00:00:00+05:30,10.7,11.0,10.1,10.85,1496
2015-04-29 00:00:00+05:30,10.8,11.8,9.8,10.5,10121
2015-04-30 00:00:00+05:30,10.15,10.15,10.15,10.15,400
2015-05-04 00:00:00+05:30,10.15,10.7,10.0,10.05,3544
2015-05-05 00:00:00+05:30,10.65,10.65,10.1,10.19,1019
2015-05-06 00:00:00+05:30,10.05,10.15,10.0,10.0,2572
2015-05-07 00:00:00+05:30,10.0,10.0,10.0,10.0,3776
2015-05-08 00:00:00+05:30,10.0,10.65,10.0,10.5,3956
2015-05-11 00:00:00+05:30,10.65,10.65,10.55,10.55,11
2015-05-12 00:00:00+05:30,10.0,10.9,10.0,10.05,1171
2015-05-13 00:00:00+05:30,10.6,10.6,10.19,10.19,300
2015-05-14 00:00:00+05:30,8.69,10.0,8.69,10.0,1201
2015-05-15 00:00:00+05:30,11.2,11.2,9.3,10.0,3068
2015-05-18 00:00:00+05:30,9.85,10.05,9.85,10.0,12786
2015-05-19 00:00:00+05:30,10.45,10.45,10.0,10.0,3076
2015-05-20 00:00:00+05:30,11.0,11.0,10.0,10.0,7001
2015-05-21 00:00:00+05:30,10.0,10.4,10.0,10.35,2786
2015-05-22 00:00:00+05:30,9.9,10.65,9.35,10.0,2242
2015-05-25 00:00:00+05:30,10.35,10.35,10.05,10.05,2300
2015-05-26 00:00:00+05:30,10.4,10.5,10.0,10.5,7199
2015-05-27 00:00:00+05:30,10.5,11.9,10.5,11.1,28031
2015-05-28 00:00:00+05:30,10.8,10.95,10.0,10.3,24200
2015-05-29 00:00:00+05:30,10.0,11.0,10.0,10.8,44768
2015-06-01 00:00:00+05:30,10.7,11.0,10.1,10.5,17700
2015-06-02 00:00:00+05:30,10.55,11.0,10.5,10.6,78527
2015-06-03 00:00:00+05:30,10.25,10.75,10.25,10.3,5163
2015-06-04 00:00:00+05:30,10.4,10.4,10.0,10.25,11835
2015-06-05 00:00:00+05:30,10.0,10.4,10.0,10.1,2275
2015-06-08 00:00:00+05:30,10.1,11.4,10.0,10.45,8650
2015-06-09 00:00:00+05:30,11.45,11.45,10.0,10.1,5644
2015-06-10 00:00:00+05:30,10.9,10.9,10.3,10.3,265
2015-06-11 00:00:00+05:30,10.1,10.3,10.0,10.0,3142
2015-06-12 00:00:00+05:30,10.0,10.05,10.0,10.0,2050
2015-06-15 00:00:00+05:30,10.0,10.0,10.0,10.0,2775
2015-06-16 00:00:00+05:30,10.6,10.6,10.0,10.0,6550
2015-06-17 00:00:00+05:30,10.1,10.45,10.0,10.0,4106
2015-06-18 00:00:00+05:30,10.05,10.45,10.05,10.35,2900
2015-06-19 00:00:00+05:30,10.05,10.1,10.0,10.1,3981
2015-06-22 00:00:00+05:30,10.0,10.9,10.0,10.45,6924
2015-06-23 00:00:00+05:30,11.5,11.5,10.1,10.25,11326
2015-06-24 00:00:00+05:30,10.15,10.5,10.0,10.35,5496
2015-06-25 00:00:00+05:30,10.05,10.3,10.0,10.05,6738
2015-06-26 00:00:00+05:30,10.1,10.1,10.0,10.0,11085
2015-06-29 00:00:00+05:30,10.0,10.5,10.0,10.45,1800
2015-06-30 00:00:00+05:30,10.4,10.5,10.05,10.1,1789
2015-07-01 00:00:00+05:30,10.1,10.4,10.05,10.1,3644
2015-07-02 00:00:00+05:30,10.3,10.3,10.05,10.05,5647
2015-07-03 00:00:00+05:30,10.0,10.7,10.0,10.35,13301
2015-07-06 00:00:00+05:30,10.35,10.4,10.15,10.4,2200
2015-07-07 00:00:00+05:30,10.45,10.45,10.1,10.3,3200
2015-07-08 00:00:00+05:30,10.15,10.5,10.15,10.19,5200
2015-07-09 00:00:00+05:30,10.15,10.3,10.0,10.0,18931
2015-07-10 00:00:00+05:30,10.05,10.5,10.0,10.5,4695
2015-07-13 00:00:00+05:30,10.6,10.6,10.1,10.35,4279
2015-07-14 00:00:00+05:30,10.45,10.45,10.05,10.05,2682
2015-07-15 00:00:00+05:30,10.45,10.45,9.94,10.0,4532
2015-07-16 00:00:00+05:30,10.4,10.4,10.1,10.25,1501
2015-07-17 00:00:00+05:30,10.35,10.35,10.1,10.1,401
2015-07-20 00:00:00+05:30,10.0,10.4,10.0,10.0,5200
2015-07-21 00:00:00+05:30,10.05,10.5,10.0,10.0,7926
2015-07-22 00:00:00+05:30,10.0,10.3,10.0,10.0,11509
2015-07-23 00:00:00+05:30,10.0,10.19,10.0,10.19,8000
2015-07-24 00:00:00+05:30,10.0,10.0,10.0,10.0,7500
2015-07-27 00:00:00+05:30,9.9,10.0,9.9,10.0,2050
2015-07-28 00:00:00+05:30,10.1,10.15,9.94,10.0,2263
2015-07-29 00:00:00+05:30,10.0,10.0,9.3,10.0,3429
2015-07-30 00:00:00+05:30,9.9,10.0,9.9,9.9,2361
2015-08-03 00:00:00+05:30,9.8,10.25,9.4,9.8,26685
2015-08-04 00:00:00+05:30,9.69,9.69,9.25,9.5,6718
2015-08-05 00:00:00+05:30,9.69,10.25,9.15,9.15,11881
2015-08-06 00:00:00+05:30,9.15,9.35,8.5,9.19,7435
2015-08-07 00:00:00+05:30,9.0,9.1,8.6,8.94,5401
2015-08-10 00:00:00+05:30,9.75,9.75,8.65,9.05,1956
2015-08-11 00:00:00+05:30,8.8,9.44,8.15,8.35,7580
2015-08-12 00:00:00+05:30,7.6,7.95,6.95,7.3,24469
2015-08-13 00:00:00+05:30,7.0,8.75,7.0,8.75,46832
2015-08-14 00:00:00+05:30,9.5,9.5,8.25,8.55,20535
2015-08-17 00:00:00+05:30,8.25,9.19,8.25,9.0,7263
2015-08-18 00:00:00+05:30,9.44,10.3,9.0,9.8,26085
2015-08-19 00:00:00+05:30,9.6,10.19,9.5,9.75,26342
2015-08-20 00:00:00+05:30,9.5,9.5,9.05,9.05,511
2015-08-21 00:00:00+05:30,8.9,10.25,8.9,9.85,68665
2015-08-24 00:00:00+05:30,9.19,9.19,8.8,8.9,5513
2015-08-25 00:00:00+05:30,8.5,9.55,8.5,9.0,4528
2015-08-26 00:00:00+05:30,8.69,9.25,8.65,9.25,3540
2015-08-27 00:00:00+05:30,8.75,9.0,8.75,9.0,401
2015-08-28 00:00:00+05:30,9.6,9.6,8.05,9.55,11404
2015-08-31 00:00:00+05:30,9.19,9.5,9.19,9.5,1561
2015-09-01 00:00:00+05:30,10.0,10.0,9.0,9.15,416
2015-09-02 00:00:00+05:30,9.0,9.5,9.0,9.19,6240
2015-09-03 00:00:00+05:30,9.0,10.0,9.0,9.94,16014
2015-09-04 00:00:00+05:30,9.8,9.8,9.0,9.0,6179
2015-09-07 00:00:00+05:30,9.0,9.05,9.0,9.0,6981
2015-09-08 00:00:00+05:30,9.8,9.8,8.5,8.85,4435
2015-09-09 00:00:00+05:30,9.0,9.0,8.9,8.9,51
2015-09-11 00:00:00+05:30,8.85,8.85,8.85,8.85,200
2015-09-14 00:00:00+05:30,8.85,9.44,8.85,9.0,4578
2015-09-15 00:00:00+05:30,9.5,9.5,8.85,8.85,7790
2015-09-16 00:00:00+05:30,8.85,8.85,8.85,8.85,800
2015-09-18 00:00:00+05:30,9.69,9.69,8.85,9.5,2508
2015-09-21 00:00:00+05:30,9.15,9.5,8.65,8.85,2522
2015-09-22 00:00:00+05:30,9.0,9.4,9.0,9.0,1950
2015-09-23 00:00:00+05:30,9.4,9.4,8.8,8.85,11354
2015-09-24 00:00:00+05:30,8.75,9.8,8.44,9.69,19386
2015-09-28 00:00:00+05:30,9.5,9.5,9.0,9.5,3235
2015-09-29 00:00:00+05:30,9.4,9.4,8.8,9.35,19788
2015-09-30 00:00:00+05:30,9.0,9.8,9.0,9.8,6228
2015-10-01 00:00:00+05:30,9.6,11.1,9.6,9.9,1197
2015-10-05 00:00:00+05:30,9.69,10.0,9.19,9.5,4356
2015-10-06 00:00:00+05:30,9.3,10.0,9.3,9.5,4473
2015-10-07 00:00:00+05:30,9.5,9.85,9.5,9.5,3568
2015-10-08 00:00:00+05:30,9.5,9.5,9.5,9.5,2400
2015-10-09 00:00:00+05:30,9.85,10.0,9.55,10.0,4736
2015-10-12 00:00:00+05:30,9.8,11.95,9.19,9.5,4726
2015-10-13 00:00:00+05:30,10.35,10.35,9.5,9.5,3525
2015-10-14 00:00:00+05:30,9.5,10.35,9.5,10.05,5107
2015-10-15 00:00:00+05:30,9.9,10.0,9.55,9.85,722
2015-10-16 00:00:00+05:30,9.69,10.0,9.0,9.35,9909
2015-10-19 00:00:00+05:30,9.5,10.6,9.5,10.1,5461
2015-10-20 00:00:00+05:30,10.1,10.7,9.8,9.8,2225
2015-10-21 00:00:00+05:30,9.69,10.6,9.1,9.75,1263
2015-10-23 00:00:00+05:30,9.69,10.19,9.5,10.19,2608
2015-10-26 00:00:00+05:30,9.9,9.9,9.5,9.55,613
2015-10-27 00:00:00+05:30,9.44,10.19,9.25,10.15,3387
2015-10-28 00:00:00+05:30,9.9,9.9,9.69,9.69,112
2015-10-29 00:00:00+05:30,10.0,10.0,9.55,9.55,303
2015-10-30 00:00:00+05:30,10.65,10.65,9.65,9.69,2521
2015-11-02 00:00:00+05:30,10.65,10.65,9.65,9.8,3043
2015-11-03 00:00:00+05:30,10.7,10.7,9.5,9.75,816
2015-11-04 00:00:00+05:30,9.69,10.0,9.19,10.0,1037
2015-11-05 00:00:00+05:30,10.65,10.65,9.25,10.4,1444
2015-11-06 00:00:00+05:30,10.05,10.35,10.05,10.35,4358
2015-11-09 00:00:00+05:30,10.0,10.0,10.0,10.0,4200
2015-11-10 00:00:00+05:30,10.0,10.0,9.19,10.0,1057
2015-11-13 00:00:00+05:30,9.85,10.0,9.5,10.0,1581
2015-11-16 00:00:00+05:30,10.6,10.6,8.65,9.69,26952
2015-11-17 00:00:00+05:30,10.6,10.65,9.69,9.69,75
2015-11-18 00:00:00+05:30,10.5,10.65,9.8,10.4,22824
2015-11-19 00:00:00+05:30,10.1,10.1,10.0,10.0,2152
2015-11-20 00:00:00+05:30,10.0,10.3,10.0,10.0,4500
2015-11-23 00:00:00+05:30,10.0,10.7,10.0,10.1,43657
2015-11-24 00:00:00+05:30,12.0,12.0,9.25,10.19,8077
2015-11-26 00:00:00+05:30,10.0,10.85,10.0,10.1,7651
2015-11-27 00:00:00+05:30,9.9,10.85,9.69,10.05,10626
2015-11-30 00:00:00+05:30,10.95,10.95,10.05,10.1,4460
2015-12-01 00:00:00+05:30,9.9,10.75,9.75,10.35,14370
2015-12-02 00:00:00+05:30,10.3,10.65,10.0,10.3,30558
2015-12-03 00:00:00+05:30,10.15,10.6,10.15,10.6,17104
2015-12-04 00:00:00+05:30,11.4,11.4,10.19,10.19,7238
2015-12-07 00:00:00+05:30,9.94,10.55,9.94,10.19,2900
2015-12-08 00:00:00+05:30,10.5,10.5,10.19,10.45,8925
2015-12-09 00:00:00+05:30,9.94,10.45,9.3,9.85,4547
2015-12-10 00:00:00+05:30,10.55,10.55,10.0,10.0,5573
2015-12-11 00:00:00+05:30,10.0,10.1,10.0,10.1,14059
2015-12-14 00:00:00+05:30,10.0,10.45,9.8,10.05,1990
2015-12-15 00:00:00+05:30,10.35,10.35,10.0,10.05,9426
2015-12-16 00:00:00+05:30,10.35,10.35,9.75,9.9,18412
2015-12-17 00:00:00+05:30,10.0,11.85,10.0,10.25,3050
2015-12-18 00:00:00+05:30,10.0,10.15,9.8,10.1,18571
2015-12-21 00:00:00+05:30,10.4,10.4,10.19,10.19,359
2015-12-22 00:00:00+05:30,10.1,10.3,10.0,10.1,8247
2015-12-23 00:00:00+05:30,10.3,10.3,10.0,10.05,8392
2015-12-24 00:00:00+05:30,10.3,10.8,10.05,10.19,15799
2015-12-28 00:00:00+05:30,10.0,10.1,9.69,10.1,1107
2015-12-29 00:00:00+05:30,10.55,12.1,10.55,12.1,28198
2015-12-30 00:00:00+05:30,14.2,14.5,13.15,14.5,67661
2015-12-31 00:00:00+05:30,14.7,15.95,14.6,15.1,182654
2016-01-01 00:00:00+05:30,15.95,16.1,14.1,14.7,25410
2016-01-04 00:00:00+05:30,16.0,16.0,14.0,14.1,19989
2016-01-05 00:00:00+05:30,14.8,14.8,13.2,13.45,9934
2016-01-06 00:00:00+05:30,13.75,13.95,12.8,13.15,14218
2016-01-07 00:00:00+05:30,13.55,13.55,12.2,12.3,6261
2016-01-08 00:00:00+05:30,11.9,13.5,11.9,13.5,9962
2016-01-11 00:00:00+05:30,13.85,13.85,12.45,13.0,6975
2016-01-12 00:00:00+05:30,13.9,13.9,12.55,12.6,2593
2016-01-13 00:00:00+05:30,13.75,13.75,11.65,12.85,5338
2016-01-14 00:00:00+05:30,12.5,12.8,12.5,12.65,1070
2016-01-15 00:00:00+05:30,12.1,12.95,12.0,12.1,6100
2016-01-18 00:00:00+05:30,13.25,13.25,10.9,11.85,12025
2016-01-19 00:00:00+05:30,11.65,13.0,11.0,12.05,45528
2016-01-20 00:00:00+05:30,12.0,13.2,11.0,12.5,32443
2016-01-21 00:00:00+05:30,11.7,12.8,11.7,11.85,147
2016-01-22 00:00:00+05:30,11.35,12.65,11.25,11.4,4123
2016-01-25 00:00:00+05:30,11.65,11.65,10.65,10.75,17712
2016-01-27 00:00:00+05:30,11.4,11.4,10.75,11.2,2167
2016-01-28 00:00:00+05:30,10.75,10.95,10.5,10.95,28852
