date,open,high,low,close,volume
2021-08-05 00:00:00+05:30,29.7,29.7,28.0,28.6,146494
2021-08-06 00:00:00+05:30,29.4,29.4,28.2,28.65,102779
2021-08-09 00:00:00+05:30,29.1,29.6,27.8,27.95,129811
2021-08-10 00:00:00+05:30,27.75,28.3,26.1,26.6,191774
2021-08-11 00:00:00+05:30,27.45,27.45,24.0,25.85,427153
2021-08-12 00:00:00+05:30,26.4,27.45,26.0,27.1,154833
2021-08-13 00:00:00+05:30,27.95,27.95,27.0,27.25,136594
2021-08-16 00:00:00+05:30,27.5,27.5,26.05,26.25,87032
2021-08-17 00:00:00+05:30,27.2,27.2,25.1,25.15,193972
2021-08-18 00:00:00+05:30,25.5,25.6,24.15,24.55,153375
2021-08-20 00:00:00+05:30,24.15,25.05,23.6,24.5,162634
2021-08-23 00:00:00+05:30,25.55,25.55,22.8,24.4,191520
2021-08-24 00:00:00+05:30,24.0,24.35,23.3,23.95,85367
2021-08-25 00:00:00+05:30,24.35,25.0,24.0,24.65,113719
2021-08-26 00:00:00+05:30,25.65,25.65,24.4,24.5,38962
2021-08-27 00:00:00+05:30,24.5,24.7,24.0,24.5,74354
2021-08-30 00:00:00+05:30,24.25,26.15,24.25,25.35,144533
2021-08-31 00:00:00+05:30,25.4,25.55,24.7,24.75,133359
2021-09-01 00:00:00+05:30,25.5,25.5,24.1,24.5,97108
2021-09-02 00:00:00+05:30,24.9,25.7,24.55,25.3,189715
2021-09-03 00:00:00+05:30,25.9,25.9,24.65,24.95,122312
2021-09-06 00:00:00+05:30,25.75,25.75,24.35,24.55,76020
2021-09-07 00:00:00+05:30,24.8,25.25,24.3,24.5,92270
2021-09-08 00:00:00+05:30,24.85,25.9,24.5,25.15,150176
2021-09-09 00:00:00+05:30,25.2,25.55,24.75,24.8,88099
2021-09-13 00:00:00+05:30,24.4,24.8,24.35,24.45,77449
2021-09-14 00:00:00+05:30,24.8,24.85,24.15,24.4,126516
2021-09-15 00:00:00+05:30,24.45,25.3,24.45,24.8,149482
2021-09-16 00:00:00+05:30,24.8,25.5,24.65,24.85,198116
2021-09-17 00:00:00+05:30,24.85,25.35,24.3,24.55,118784
2021-09-20 00:00:00+05:30,24.8,24.8,23.8,23.9,97045
2021-09-21 00:00:00+05:30,23.8,25.3,23.75,24.95,149719
2021-09-22 00:00:00+05:30,25.3,25.3,24.0,24.7,129887
2021-09-23 00:00:00+05:30,25.0,25.25,24.0,24.75,135726
2021-09-24 00:00:00+05:30,25.0,25.2,24.3,24.55,120038
2021-09-27 00:00:00+05:30,24.65,25.05,24.15,24.4,88282
2021-09-28 00:00:00+05:30,24.4,24.9,24.0,24.2,106512
2021-09-29 00:00:00+05:30,24.0,25.15,24.0,24.65,165642
2021-09-30 00:00:00+05:30,24.25,25.1,24.25,24.75,82525
2021-10-01 00:00:00+05:30,24.25,25.0,24.25,24.45,91312
2021-10-04 00:00:00+05:30,24.9,24.95,24.45,24.55,87107
2021-10-05 00:00:00+05:30,25.6,29.45,25.5,28.15,2538331
2021-10-06 00:00:00+05:30,29.6,29.6,26.95,27.15,905504
2021-10-07 00:00:00+05:30,27.6,27.85,26.7,27.2,269948
2021-10-08 00:00:00+05:30,27.8,27.9,26.55,26.75,241034
2021-10-11 00:00:00+05:30,27.2,27.2,26.05,26.3,206395
2021-10-12 00:00:00+05:30,26.5,28.5,26.1,26.95,418454
2021-10-13 00:00:00+05:30,27.3,28.1,26.5,26.85,327108
2021-10-14 00:00:00+05:30,26.85,28.1,26.7,26.95,341802
2021-10-18 00:00:00+05:30,26.95,28.6,26.4,27.35,625841
2021-10-19 00:00:00+05:30,28.0,28.0,26.35,26.55,419478
2021-10-20 00:00:00+05:30,26.9,26.9,25.6,25.85,277728
2021-10-21 00:00:00+05:30,26.0,26.7,24.65,25.35,335630
2021-10-22 00:00:00+05:30,25.95,25.95,25.1,25.3,139864
2021-10-25 00:00:00+05:30,26.25,26.25,24.0,24.25,272184
2021-10-26 00:00:00+05:30,24.5,25.9,24.35,24.85,137871
2021-10-27 00:00:00+05:30,25.25,25.25,24.4,24.65,126725
2021-10-28 00:00:00+05:30,25.15,25.15,24.05,24.35,192973
2021-10-29 00:00:00+05:30,24.4,24.65,23.75,24.1,216588
2021-11-01 00:00:00+05:30,24.2,25.1,24.0,24.1,178373
2021-11-02 00:00:00+05:30,24.3,24.35,24.1,24.15,89770
2021-11-03 00:00:00+05:30,24.4,24.45,23.9,24.0,111346
2021-11-04 00:00:00+05:30,24.3,24.45,24.0,24.2,56817
2021-11-08 00:00:00+05:30,24.25,25.2,24.1,24.45,109495
