date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,4.09,4.3,4.09,4.2,6864
2015-01-02 00:00:00+05:30,4.75,4.75,4.2,4.2,51855
2015-01-05 00:00:00+05:30,4.2,4.4,4.09,4.15,48387
2015-01-06 00:00:00+05:30,4.15,4.2,4.0,4.09,26647
2015-01-07 00:00:00+05:30,4.05,4.2,4.0,4.05,40324
2015-01-08 00:00:00+05:30,4.15,4.15,3.9,4.0,106706
2015-01-09 00:00:00+05:30,4.2,4.2,3.95,4.05,79135
2015-01-12 00:00:00+05:30,4.15,4.15,3.9,4.05,8400
2015-01-13 00:00:00+05:30,4.09,4.15,3.95,4.0,122483
2015-01-14 00:00:00+05:30,4.0,4.0,3.55,3.8,94399
2015-01-15 00:00:00+05:30,3.75,3.9,3.75,3.75,45094
2015-01-16 00:00:00+05:30,3.75,3.95,3.6,3.9,44765
2015-01-19 00:00:00+05:30,4.0,4.05,3.9,3.9,17919
2015-01-20 00:00:00+05:30,4.0,4.05,3.9,3.95,20637
2015-01-21 00:00:00+05:30,4.0,4.09,3.9,4.0,35958
2015-01-22 00:00:00+05:30,4.0,4.0,3.8,3.95,11351
2015-01-23 00:00:00+05:30,3.75,3.85,3.7,3.8,54178
2015-01-27 00:00:00+05:30,3.7,3.85,3.5,3.75,29483
2015-01-28 00:00:00+05:30,3.7,3.8,3.5,3.6,25221
2015-01-29 00:00:00+05:30,3.7,3.7,3.2,3.45,66981
2015-01-30 00:00:00+05:30,3.65,3.8,3.35,3.45,34126
2015-02-02 00:00:00+05:30,3.7,3.7,3.3,3.4,73802
2015-02-03 00:00:00+05:30,3.55,3.55,3.2,3.4,35218
2015-02-04 00:00:00+05:30,3.45,3.45,3.2,3.3,30293
2015-02-05 00:00:00+05:30,3.5,3.95,3.35,3.9,193979
2015-02-06 00:00:00+05:30,4.05,4.5,3.6,3.75,102109
2015-02-09 00:00:00+05:30,3.7,3.9,3.65,3.75,36418
2015-02-10 00:00:00+05:30,3.8,3.85,3.65,3.65,12540
2015-02-11 00:00:00+05:30,3.65,3.9,3.5,3.85,27105
2015-02-12 00:00:00+05:30,3.7,4.0,3.7,3.8,25769
2015-02-13 00:00:00+05:30,4.25,4.25,3.6,3.65,46950
2015-02-16 00:00:00+05:30,3.8,3.8,3.6,3.65,22447
2015-02-18 00:00:00+05:30,3.7,4.05,3.65,3.9,89812
2015-02-19 00:00:00+05:30,4.15,4.15,3.9,4.05,23006
2015-02-20 00:00:00+05:30,4.0,4.55,4.0,4.45,124623
2015-02-23 00:00:00+05:30,4.5,4.59,4.0,4.05,27722
2015-02-24 00:00:00+05:30,4.3,4.3,3.9,4.0,20412
2015-02-25 00:00:00+05:30,4.09,4.2,3.95,3.95,11697
2015-02-26 00:00:00+05:30,4.2,4.2,3.8,3.9,7552
2015-02-27 00:00:00+05:30,4.2,4.2,3.85,3.95,25365
2015-03-02 00:00:00+05:30,3.9,3.95,3.4,3.85,19844
2015-03-03 00:00:00+05:30,4.25,4.25,3.5,3.9,16693
2015-03-04 00:00:00+05:30,4.09,4.09,3.65,3.7,27880
2015-03-05 00:00:00+05:30,3.8,3.8,3.45,3.5,65487
2015-03-09 00:00:00+05:30,3.4,3.65,3.3,3.5,17545
2015-03-10 00:00:00+05:30,3.55,3.75,3.45,3.45,32625
2015-03-11 00:00:00+05:30,3.4,3.65,3.0,3.55,9822
2015-03-12 00:00:00+05:30,3.35,3.5,3.0,3.4,27453
2015-03-13 00:00:00+05:30,3.5,3.55,3.4,3.5,11545
2015-03-16 00:00:00+05:30,3.65,3.65,3.5,3.6,3079
2015-03-17 00:00:00+05:30,3.75,3.75,3.5,3.55,24600
2015-03-18 00:00:00+05:30,3.5,3.7,3.4,3.45,342754
2015-03-19 00:00:00+05:30,3.7,3.7,3.4,3.4,355360
2015-03-20 00:00:00+05:30,3.5,3.6,3.25,3.25,381268
2015-03-23 00:00:00+05:30,3.5,3.5,3.3,3.35,257582
2015-03-24 00:00:00+05:30,3.6,3.6,3.2,3.3,10703
2015-03-25 00:00:00+05:30,3.55,3.55,3.05,3.15,287202
2015-03-26 00:00:00+05:30,3.2,3.3,3.15,3.25,242097
2015-03-27 00:00:00+05:30,3.2,3.3,3.0,3.1,26641
2015-03-30 00:00:00+05:30,2.6,3.2,2.6,3.1,18408
2015-03-31 00:00:00+05:30,3.15,3.2,2.9,3.05,26788
2015-04-01 00:00:00+05:30,2.85,3.25,2.85,3.15,29101
2015-04-06 00:00:00+05:30,3.15,3.4,3.0,3.1,94751
2015-04-07 00:00:00+05:30,3.15,3.2,2.95,2.95,77920
2015-04-08 00:00:00+05:30,3.1,3.15,2.85,2.85,211248
2015-04-09 00:00:00+05:30,3.05,3.05,2.9,2.9,88452
2015-04-10 00:00:00+05:30,3.0,3.0,2.8,2.85,195376
2015-04-13 00:00:00+05:30,2.9,2.9,2.8,2.85,94257
2015-04-15 00:00:00+05:30,3.0,3.05,2.7,2.7,276469
2015-04-16 00:00:00+05:30,2.75,2.75,2.6,2.65,43488
2015-04-17 00:00:00+05:30,2.7,2.7,2.54,2.65,98474
2015-04-20 00:00:00+05:30,2.7,2.7,2.4,2.5,144992
2015-04-21 00:00:00+05:30,2.4,2.54,2.35,2.5,97976
2015-04-22 00:00:00+05:30,2.5,2.6,2.45,2.5,65756
2015-04-23 00:00:00+05:30,2.5,2.54,2.45,2.5,218771
2015-04-24 00:00:00+05:30,2.4,2.5,2.4,2.5,87701
2015-04-27 00:00:00+05:30,2.5,2.5,2.29,2.35,40994
2015-04-28 00:00:00+05:30,2.4,2.45,1.95,2.25,63543
2015-04-29 00:00:00+05:30,2.25,2.45,2.1,2.29,47134
2015-04-30 00:00:00+05:30,2.4,2.4,2.25,2.29,29613
2015-05-04 00:00:00+05:30,2.4,2.45,2.29,2.35,25129
2015-05-05 00:00:00+05:30,2.4,2.4,2.29,2.35,19120
2015-05-06 00:00:00+05:30,2.45,2.45,2.2,2.25,31638
2015-05-07 00:00:00+05:30,2.15,2.35,2.15,2.25,43324
2015-05-08 00:00:00+05:30,2.15,2.29,2.15,2.29,37830
2015-05-11 00:00:00+05:30,2.25,2.29,2.2,2.29,60884
2015-05-12 00:00:00+05:30,2.29,2.29,2.2,2.25,9122
2015-05-13 00:00:00+05:30,2.2,2.25,2.2,2.2,18224
2015-05-14 00:00:00+05:30,2.29,2.29,2.25,2.29,15054
2015-05-15 00:00:00+05:30,2.29,2.45,2.25,2.25,28511
2015-05-18 00:00:00+05:30,2.29,2.35,2.2,2.25,35930
2015-05-19 00:00:00+05:30,2.1,2.29,2.1,2.29,18895
2015-05-20 00:00:00+05:30,2.4,2.4,2.25,2.25,1994
2015-05-21 00:00:00+05:30,2.25,2.29,2.15,2.25,19504
2015-05-22 00:00:00+05:30,2.2,2.25,2.1,2.2,22154
2015-05-25 00:00:00+05:30,2.29,2.6,2.15,2.29,176138
2015-05-26 00:00:00+05:30,2.29,2.29,2.2,2.2,42009
2015-05-27 00:00:00+05:30,2.25,2.25,2.0,2.04,85025
2015-05-28 00:00:00+05:30,2.2,2.2,1.85,1.95,88822
2015-05-29 00:00:00+05:30,2.04,2.25,1.95,2.15,69993
2015-06-01 00:00:00+05:30,2.4,2.54,1.75,2.54,441286
2015-06-02 00:00:00+05:30,2.85,3.05,2.85,3.05,320479
2015-06-03 00:00:00+05:30,3.3,3.35,3.2,3.35,402437
2015-06-04 00:00:00+05:30,3.65,3.65,3.05,3.35,525979
2015-06-05 00:00:00+05:30,3.05,3.15,3.05,3.05,83149
2015-06-08 00:00:00+05:30,2.75,2.75,2.75,2.75,33053
2015-06-09 00:00:00+05:30,2.5,2.5,2.5,2.5,92488
2015-06-10 00:00:00+05:30,2.4,2.5,2.4,2.4,90146
2015-06-11 00:00:00+05:30,2.4,2.5,2.29,2.35,33208
2015-06-12 00:00:00+05:30,2.35,2.35,2.25,2.29,39401
2015-06-15 00:00:00+05:30,2.29,2.35,2.2,2.2,34917
2015-06-16 00:00:00+05:30,2.29,2.29,2.29,2.29,11190
2015-06-17 00:00:00+05:30,2.4,2.4,2.4,2.4,2054
2015-06-18 00:00:00+05:30,2.5,2.5,2.5,2.5,5925
2015-06-19 00:00:00+05:30,2.6,2.6,2.6,2.6,4226
2015-06-22 00:00:00+05:30,2.7,2.7,2.7,2.7,6143
2015-06-23 00:00:00+05:30,2.8,2.8,2.6,2.7,163500
2015-06-24 00:00:00+05:30,2.8,2.8,2.6,2.65,40344
2015-06-25 00:00:00+05:30,2.6,2.65,2.54,2.54,11604
2015-06-26 00:00:00+05:30,2.54,2.65,2.54,2.65,8375
2015-06-29 00:00:00+05:30,2.54,2.75,2.54,2.75,64404
2015-06-30 00:00:00+05:30,2.75,2.85,2.65,2.65,35349
2015-07-01 00:00:00+05:30,2.7,2.75,2.6,2.6,79370
2015-07-02 00:00:00+05:30,2.7,2.7,2.54,2.7,127992
2015-07-03 00:00:00+05:30,2.9,2.95,2.75,2.95,210272
