date,open,high,low,close,volume
2019-03-01 00:00:00+05:30,450.0,472.5,450.0,472.5,237784
2019-03-05 00:00:00+05:30,496.1,496.1,482.0,496.1,204330
2019-03-06 00:00:00+05:30,520.9,520.9,520.9,520.9,17251
2019-03-07 00:00:00+05:30,546.9,546.9,546.9,546.9,22190
2019-03-08 00:00:00+05:30,573.0,573.0,519.6,548.8,449000
2019-03-11 00:00:00+05:30,564.4,576.2,537.0,576.2,96125
2019-03-12 00:00:00+05:30,599.5,605.0,590.0,605.0,51603
2019-03-13 00:00:00+05:30,621.0,635.25,605.0,632.15,214869
2019-03-14 00:00:00+05:30,625.8,663.75,620.0,662.8,179482
2019-03-15 00:00:00+05:30,678.0,683.8,636.0,642.15,62702
2019-03-18 00:00:00+05:30,649.95,651.0,582.0,606.35,128120
2019-03-19 00:00:00+05:30,601.0,608.75,573.0,579.45,97824
2019-03-20 00:00:00+05:30,579.0,589.75,555.15,575.4,130310
2019-03-22 00:00:00+05:30,570.4,603.55,565.0,577.35,142338
2019-03-25 00:00:00+05:30,587.3,587.3,558.1,560.5,29742
2019-03-26 00:00:00+05:30,561.0,570.0,545.1,548.85,41681
2019-03-27 00:00:00+05:30,554.75,554.75,531.0,532.45,40155
2019-03-28 00:00:00+05:30,531.5,542.75,530.2,532.7,26027
2019-03-29 00:00:00+05:30,533.5,572.65,526.0,558.5,60093
2019-04-01 00:00:00+05:30,553.0,574.95,552.0,553.95,18920
2019-04-02 00:00:00+05:30,554.0,560.0,545.1,548.75,14885
2019-04-03 00:00:00+05:30,548.0,552.9,525.0,527.05,31263
2019-04-04 00:00:00+05:30,529.0,542.0,523.95,530.85,19423
2019-04-05 00:00:00+05:30,531.0,537.5,522.0,524.1,28345
2019-04-08 00:00:00+05:30,523.75,530.0,515.05,520.8,18418
2019-04-09 00:00:00+05:30,524.95,524.95,512.0,515.1,28428
2019-04-10 00:00:00+05:30,515.0,519.5,506.7,507.9,15428
2019-04-11 00:00:00+05:30,514.85,518.0,504.9,514.75,14997
2019-04-12 00:00:00+05:30,518.0,518.0,505.05,507.05,5827
2019-04-15 00:00:00+05:30,505.05,514.0,493.05,496.65,34183
2019-04-16 00:00:00+05:30,495.0,497.0,480.0,481.15,26114
2019-04-18 00:00:00+05:30,480.2,486.0,480.0,483.35,26380
2019-04-22 00:00:00+05:30,480.25,483.5,468.65,475.35,27995
