date,open,high,low,close,volume
2021-06-15 00:00:00+05:30,26.0,26.55,23.65,25.0,695315
2021-06-16 00:00:00+05:30,25.35,26.0,24.05,24.3,191485
2021-06-17 00:00:00+05:30,24.0,24.4,23.15,23.85,80805
2021-06-18 00:00:00+05:30,24.0,25.7,22.25,25.3,640440
2021-06-21 00:00:00+05:30,25.55,26.4,24.3,25.8,1035360
2021-06-22 00:00:00+05:30,26.4,27.3,25.7,26.0,474305
2021-06-23 00:00:00+05:30,25.9,26.75,25.6,25.75,106815
2021-06-24 00:00:00+05:30,26.35,26.35,24.75,25.0,81885
2021-06-25 00:00:00+05:30,25.05,25.9,25.05,25.5,95535
2021-06-28 00:00:00+05:30,25.7,26.0,25.5,25.85,132590
2021-06-29 00:00:00+05:30,25.85,25.9,25.25,25.35,94635
2021-06-30 00:00:00+05:30,25.3,26.2,25.0,25.35,204295
2021-07-01 00:00:00+05:30,25.7,25.8,25.2,25.3,38675
2021-07-02 00:00:00+05:30,25.6,26.0,25.05,25.15,68980
2021-07-05 00:00:00+05:30,25.6,27.05,25.4,25.95,244895
2021-07-06 00:00:00+05:30,26.2,26.2,25.1,25.2,47320
2021-07-07 00:00:00+05:30,25.2,27.6,25.2,26.9,343435
2021-07-08 00:00:00+05:30,27.0,28.4,26.75,27.45,361700
2021-07-09 00:00:00+05:30,28.0,28.95,27.75,28.75,256485
2021-07-12 00:00:00+05:30,29.05,30.0,28.8,29.15,170665
2021-07-13 00:00:00+05:30,29.95,29.95,28.5,29.5,177265
2021-07-14 00:00:00+05:30,30.0,30.15,29.2,29.95,180695
2021-07-15 00:00:00+05:30,30.2,33.0,30.15,32.3,509355
2021-07-16 00:00:00+05:30,33.15,37.85,31.65,34.8,2252630
2021-07-19 00:00:00+05:30,34.8,37.2,34.0,35.55,866260
2021-07-20 00:00:00+05:30,35.55,36.15,32.7,33.7,497840
2021-07-22 00:00:00+05:30,34.45,35.95,32.85,33.25,549800
2021-07-23 00:00:00+05:30,33.4,33.95,32.4,32.9,439430
2021-07-26 00:00:00+05:30,33.85,33.85,32.4,32.6,205430
2021-07-27 00:00:00+05:30,32.8,35.7,32.8,34.9,2861255
2021-07-28 00:00:00+05:30,35.6,36.35,33.6,35.4,2454435
2021-07-29 00:00:00+05:30,35.6,36.0,34.7,35.25,1581475
2021-07-30 00:00:00+05:30,36.2,36.2,34.15,34.55,262840
2021-08-02 00:00:00+05:30,35.3,35.3,33.5,33.6,358710
2021-08-03 00:00:00+05:30,34.3,34.3,32.6,32.9,218110
2021-08-04 00:00:00+05:30,33.75,34.2,32.1,32.6,156110
2021-08-05 00:00:00+05:30,33.1,33.2,30.8,31.1,223325
2021-08-06 00:00:00+05:30,31.2,31.85,30.2,30.8,238940
2021-08-09 00:00:00+05:30,30.8,31.0,27.8,29.05,400900
2021-08-10 00:00:00+05:30,29.0,29.4,26.5,26.95,343765
2021-08-11 00:00:00+05:30,27.4,27.8,25.1,26.05,326085
2021-08-12 00:00:00+05:30,26.4,31.3,26.3,31.2,2675790
2021-08-13 00:00:00+05:30,31.2,34.1,29.55,31.95,2668730
2021-08-16 00:00:00+05:30,30.75,31.9,30.0,30.25,226620
2021-08-17 00:00:00+05:30,30.95,31.2,29.7,30.65,129370
2021-08-18 00:00:00+05:30,31.4,31.4,29.7,29.8,99205
2021-08-20 00:00:00+05:30,30.0,30.0,27.0,28.0,229905
2021-08-23 00:00:00+05:30,28.05,29.05,25.5,25.85,258260
2021-08-24 00:00:00+05:30,25.35,30.4,25.35,29.65,586220
2021-08-25 00:00:00+05:30,28.85,29.7,28.1,28.35,144290
2021-08-26 00:00:00+05:30,28.4,29.6,28.1,28.65,130505
2021-08-27 00:00:00+05:30,29.2,29.6,28.4,29.05,100540
2021-08-30 00:00:00+05:30,30.0,30.3,28.0,29.8,122330
2021-08-31 00:00:00+05:30,29.65,30.0,29.4,29.65,271030
2021-09-01 00:00:00+05:30,29.05,29.95,27.8,28.45,203220
2021-09-02 00:00:00+05:30,28.4,28.85,27.65,27.95,180325
2021-09-03 00:00:00+05:30,28.25,28.4,27.8,28.1,182635
2021-09-06 00:00:00+05:30,28.65,28.9,27.9,28.05,81965
2021-09-07 00:00:00+05:30,28.25,28.75,27.3,27.75,124735
2021-09-08 00:00:00+05:30,27.8,28.65,27.6,27.75,177650
2021-09-09 00:00:00+05:30,27.4,28.4,27.25,27.7,198275
2021-09-13 00:00:00+05:30,28.0,30.7,27.4,28.05,1124315
2021-09-14 00:00:00+05:30,28.4,28.9,27.65,27.8,509395
2021-09-15 00:00:00+05:30,28.1,28.2,27.65,27.85,164365
2021-09-16 00:00:00+05:30,28.3,28.3,27.75,27.85,116560
2021-09-17 00:00:00+05:30,28.2,28.2,27.0,27.3,177070
2021-09-20 00:00:00+05:30,27.4,28.6,27.0,27.6,330345
2021-09-21 00:00:00+05:30,27.6,28.0,27.0,27.9,145220
2021-09-22 00:00:00+05:30,28.05,28.25,27.5,27.55,77115
2021-09-23 00:00:00+05:30,27.6,28.8,27.6,28.05,902585
2021-09-24 00:00:00+05:30,28.2,28.55,27.3,27.4,490205
2021-09-27 00:00:00+05:30,27.85,28.4,27.85,28.3,457645
2021-09-28 00:00:00+05:30,28.4,29.4,28.2,28.5,456295
2021-09-29 00:00:00+05:30,28.5,28.5,27.9,28.1,93580
2021-09-30 00:00:00+05:30,28.55,28.55,27.8,28.05,97530
2021-10-01 00:00:00+05:30,28.05,28.3,27.2,27.85,204035
2021-10-04 00:00:00+05:30,27.6,28.4,27.6,27.8,152515
2021-10-05 00:00:00+05:30,27.75,28.0,27.35,27.65,236450
2021-10-06 00:00:00+05:30,27.95,28.2,27.0,27.5,231630
2021-10-07 00:00:00+05:30,28.0,29.8,27.4,29.2,1070190
2021-10-08 00:00:00+05:30,29.6,29.6,28.6,29.1,227950
2021-10-11 00:00:00+05:30,29.55,29.55,28.7,29.1,296140
2021-10-12 00:00:00+05:30,29.0,29.4,28.55,28.95,188550
2021-10-13 00:00:00+05:30,28.95,31.0,28.65,29.7,772710
2021-10-14 00:00:00+05:30,29.7,30.25,28.8,29.1,213230
2021-10-18 00:00:00+05:30,29.55,30.4,29.5,29.75,380125
2021-10-19 00:00:00+05:30,30.15,30.3,28.8,29.85,435995
2021-10-20 00:00:00+05:30,29.9,29.9,28.4,28.55,175285
2021-10-21 00:00:00+05:30,29.15,29.3,27.75,28.1,187220
2021-10-22 00:00:00+05:30,28.1,28.9,28.0,28.2,221335
2021-10-25 00:00:00+05:30,28.1,28.25,27.3,27.7,76085
2021-10-26 00:00:00+05:30,27.6,28.2,27.4,27.75,108745
2021-10-27 00:00:00+05:30,28.0,28.3,27.8,28.0,68735
2021-10-28 00:00:00+05:30,28.8,28.8,27.4,27.6,66435
2021-10-29 00:00:00+05:30,27.6,28.0,25.6,27.45,314170
2021-11-01 00:00:00+05:30,27.45,29.55,26.9,29.15,434905
2021-11-02 00:00:00+05:30,29.3,31.35,29.2,31.05,819460
