date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,91.6,92.35,89.75,90.6,21759
2015-01-02 00:00:00+05:30,91.05,97.15,90.3,94.1,72525
2015-01-05 00:00:00+05:30,92.85,100.85,92.85,94.6,178182
2015-01-06 00:00:00+05:30,94.7,94.7,90.45,91.15,64333
2015-01-07 00:00:00+05:30,91.0,93.3,90.35,91.5,27963
2015-01-08 00:00:00+05:30,94.75,97.3,91.35,95.7,62931
2015-01-09 00:00:00+05:30,103.5,103.5,93.8,94.85,90152
2015-01-12 00:00:00+05:30,94.75,97.85,94.75,96.4,75765
2015-01-13 00:00:00+05:30,94.9,98.15,93.45,94.4,149137
2015-01-14 00:00:00+05:30,95.9,97.2,93.3,94.45,53549
2015-01-15 00:00:00+05:30,94.15,97.2,93.55,94.95,47895
2015-01-16 00:00:00+05:30,94.45,96.85,93.15,95.05,26595
2015-01-19 00:00:00+05:30,95.95,107.4,94.75,101.95,892218
2015-01-20 00:00:00+05:30,107.35,107.35,96.65,97.85,439444
2015-01-21 00:00:00+05:30,99.75,99.75,95.0,96.4,161971
2015-01-22 00:00:00+05:30,98.35,99.45,96.85,98.75,146333
2015-01-23 00:00:00+05:30,99.75,99.75,95.5,96.6,266934
2015-01-27 00:00:00+05:30,98.55,98.55,91.95,94.9,56751
2015-01-28 00:00:00+05:30,94.1,94.75,89.9,91.5,162210
2015-01-29 00:00:00+05:30,92.95,94.1,90.7,92.1,67572
2015-01-30 00:00:00+05:30,90.3,96.55,88.4,91.95,63715
2015-02-02 00:00:00+05:30,94.6,94.7,90.95,91.9,78888
2015-02-03 00:00:00+05:30,91.3,94.55,91.05,91.8,56212
2015-02-04 00:00:00+05:30,93.45,93.75,89.4,90.2,51580
2015-02-05 00:00:00+05:30,89.8,91.6,72.7,85.05,96616
2015-02-06 00:00:00+05:30,86.55,87.2,81.1,82.3,136109
2015-02-09 00:00:00+05:30,82.3,84.65,80.25,81.2,241514
2015-02-10 00:00:00+05:30,79.65,82.1,74.0,76.15,227129
2015-02-11 00:00:00+05:30,76.4,78.35,74.95,76.15,100908
2015-02-12 00:00:00+05:30,75.6,78.95,63.15,76.55,163991
2015-02-13 00:00:00+05:30,78.55,83.1,74.85,79.95,117027
2015-02-16 00:00:00+05:30,80.55,81.5,75.4,76.7,84376
2015-02-18 00:00:00+05:30,77.05,79.25,76.0,78.0,102500
2015-02-19 00:00:00+05:30,77.05,78.3,71.0,71.65,307635
2015-02-20 00:00:00+05:30,71.65,73.2,69.35,69.65,221792
2015-02-23 00:00:00+05:30,71.05,77.0,70.2,71.15,177319
2015-02-24 00:00:00+05:30,71.9,72.7,69.6,70.65,80099
2015-02-25 00:00:00+05:30,73.2,73.9,70.75,73.0,81283
2015-02-26 00:00:00+05:30,73.0,74.4,71.1,71.9,31186
2015-02-27 00:00:00+05:30,73.9,74.95,71.4,73.0,83520
2015-03-02 00:00:00+05:30,74.4,78.05,70.35,75.55,284444
2015-03-03 00:00:00+05:30,75.55,86.8,75.55,81.9,504007
2015-03-04 00:00:00+05:30,82.7,84.0,76.4,77.25,85716
2015-03-05 00:00:00+05:30,78.3,80.85,74.75,76.0,111677
2015-03-09 00:00:00+05:30,75.8,75.8,72.45,73.75,118228
2015-03-10 00:00:00+05:30,73.4,77.0,73.3,74.55,65334
2015-03-11 00:00:00+05:30,74.55,78.95,72.85,75.7,182153
2015-03-12 00:00:00+05:30,74.65,77.05,74.65,76.15,36433
2015-03-13 00:00:00+05:30,74.55,79.25,73.95,74.85,128580
2015-03-16 00:00:00+05:30,74.65,76.4,72.65,73.15,60829
2015-03-17 00:00:00+05:30,75.1,75.7,72.35,73.45,71192
2015-03-18 00:00:00+05:30,73.9,74.95,73.6,74.4,61083
2015-03-19 00:00:00+05:30,74.15,75.8,72.7,73.1,37071
2015-03-20 00:00:00+05:30,72.65,75.7,72.0,72.9,153362
2015-03-23 00:00:00+05:30,72.9,74.35,72.2,72.6,109497
2015-03-24 00:00:00+05:30,71.4,73.9,71.4,73.2,75573
2015-03-25 00:00:00+05:30,75.15,75.15,72.25,73.15,371719
2015-03-26 00:00:00+05:30,73.3,75.15,72.0,74.2,248118
2015-03-27 00:00:00+05:30,75.05,75.55,70.75,72.45,120486
2015-03-30 00:00:00+05:30,72.3,78.35,72.3,76.25,43575
2015-03-31 00:00:00+05:30,77.8,79.6,75.25,76.25,68133
2015-04-01 00:00:00+05:30,73.45,78.6,73.45,77.75,49771
2015-04-06 00:00:00+05:30,76.4,79.55,76.4,77.6,17646
2015-04-07 00:00:00+05:30,77.9,80.05,76.5,79.4,47379
2015-04-08 00:00:00+05:30,79.9,84.75,79.9,83.35,156053
2015-04-09 00:00:00+05:30,83.55,92.55,82.75,89.9,305911
2015-04-10 00:00:00+05:30,90.2,90.85,83.65,88.95,153107
2015-04-13 00:00:00+05:30,89.9,102.3,89.9,99.5,616440
2015-04-15 00:00:00+05:30,100.45,101.7,96.65,97.5,290865
2015-04-16 00:00:00+05:30,95.15,100.1,95.15,97.2,120316
2015-04-17 00:00:00+05:30,97.5,97.6,94.75,95.35,56276
2015-04-20 00:00:00+05:30,95.55,97.6,89.7,90.8,105593
2015-04-21 00:00:00+05:30,89.0,94.55,88.4,89.15,70196
2015-04-22 00:00:00+05:30,91.1,91.5,86.95,88.55,56816
2015-04-23 00:00:00+05:30,90.25,91.7,87.8,88.2,40282
2015-04-24 00:00:00+05:30,87.5,89.45,80.85,83.7,105712
2015-04-27 00:00:00+05:30,86.4,86.4,80.7,82.3,81354
2015-04-28 00:00:00+05:30,82.1,86.05,79.85,82.95,35486
2015-04-29 00:00:00+05:30,82.2,84.4,80.15,82.3,40514
2015-04-30 00:00:00+05:30,83.4,87.8,81.0,86.25,79306
2015-05-04 00:00:00+05:30,87.8,88.55,84.1,85.5,136173
2015-05-05 00:00:00+05:30,85.3,87.8,84.15,84.9,44821
2015-05-06 00:00:00+05:30,83.9,85.8,81.1,83.1,70467
2015-05-07 00:00:00+05:30,81.5,90.9,79.05,79.6,83200
2015-05-08 00:00:00+05:30,82.75,83.7,79.95,81.0,66813
2015-05-11 00:00:00+05:30,82.8,84.4,80.85,83.3,45079
2015-05-12 00:00:00+05:30,83.2,83.2,79.3,79.95,9083
2015-05-13 00:00:00+05:30,80.25,83.1,79.9,81.4,17192
2015-05-14 00:00:00+05:30,82.05,82.35,79.1,80.6,18623
2015-05-15 00:00:00+05:30,79.9,83.2,79.9,81.0,14257
2015-05-18 00:00:00+05:30,81.1,85.3,81.1,84.55,43454
2015-05-19 00:00:00+05:30,82.7,84.85,82.45,83.85,19668
2015-05-20 00:00:00+05:30,82.1,84.9,82.1,84.25,14308
2015-05-21 00:00:00+05:30,82.95,85.3,82.95,84.1,15334
2015-05-22 00:00:00+05:30,84.1,84.1,80.9,81.7,28831
2015-05-25 00:00:00+05:30,81.7,82.95,79.6,79.9,21812
2015-05-26 00:00:00+05:30,78.35,80.7,76.25,77.2,52234
2015-05-27 00:00:00+05:30,76.25,82.5,75.15,80.1,46316
2015-05-28 00:00:00+05:30,80.25,82.4,75.35,76.85,83426
2015-05-29 00:00:00+05:30,75.8,78.95,75.55,76.5,82158
2015-06-01 00:00:00+05:30,73.6,75.85,68.25,71.8,216886
2015-06-02 00:00:00+05:30,73.0,76.7,70.25,72.5,92716
2015-06-03 00:00:00+05:30,72.3,73.75,69.15,70.9,69705
2015-06-04 00:00:00+05:30,72.6,72.95,70.15,72.2,26261
2015-06-05 00:00:00+05:30,71.4,73.95,70.1,71.15,59407
2015-06-08 00:00:00+05:30,71.4,71.4,68.85,69.25,28962
2015-06-09 00:00:00+05:30,68.85,69.35,64.25,66.45,120610
2015-06-10 00:00:00+05:30,66.05,71.4,66.0,70.5,64570
2015-06-11 00:00:00+05:30,70.4,71.35,66.4,66.85,20684
2015-06-12 00:00:00+05:30,65.7,73.9,65.7,69.45,59670
2015-06-15 00:00:00+05:30,68.2,69.65,63.15,64.25,80759
2015-06-16 00:00:00+05:30,64.45,66.2,61.35,63.4,54135
2015-06-17 00:00:00+05:30,63.15,65.4,62.95,64.15,91168
2015-06-18 00:00:00+05:30,65.05,67.6,64.15,66.65,37337
2015-06-19 00:00:00+05:30,67.4,69.35,63.8,64.6,70204
2015-06-22 00:00:00+05:30,65.6,66.35,62.65,64.15,116707
2015-06-23 00:00:00+05:30,65.0,66.2,64.2,64.95,25439
2015-06-24 00:00:00+05:30,67.55,67.6,63.95,65.2,44647
2015-06-25 00:00:00+05:30,65.35,65.45,62.9,64.0,41181
2015-06-26 00:00:00+05:30,64.85,64.9,63.35,63.95,29675
2015-06-29 00:00:00+05:30,62.55,63.15,60.9,62.85,23319
2015-06-30 00:00:00+05:30,62.0,65.45,62.0,64.05,17290
2015-07-01 00:00:00+05:30,65.05,65.55,63.8,64.8,20809
2015-07-02 00:00:00+05:30,64.45,70.0,64.1,66.8,99852
2015-07-03 00:00:00+05:30,68.05,70.05,66.65,67.5,45188
2015-07-06 00:00:00+05:30,66.95,69.35,65.75,68.9,26750
2015-07-07 00:00:00+05:30,69.05,71.85,67.9,69.0,71868
2015-07-08 00:00:00+05:30,68.25,68.45,66.0,67.25,59558
2015-07-09 00:00:00+05:30,68.15,68.45,62.3,63.3,209435
2015-07-10 00:00:00+05:30,63.6,65.5,61.95,63.1,94971
2015-07-13 00:00:00+05:30,65.0,65.0,62.95,64.4,63079
2015-07-14 00:00:00+05:30,65.6,66.25,62.8,64.15,77691
2015-07-15 00:00:00+05:30,64.15,70.1,63.95,68.95,258941
2015-07-16 00:00:00+05:30,70.05,73.2,69.45,70.35,303401
2015-07-17 00:00:00+05:30,70.4,72.65,69.65,70.25,64385
2015-07-20 00:00:00+05:30,71.4,71.4,67.95,68.65,67490
2015-07-21 00:00:00+05:30,68.85,69.0,66.95,67.25,51395
2015-07-22 00:00:00+05:30,66.35,70.35,65.6,68.7,70442
2015-07-23 00:00:00+05:30,69.8,75.15,68.25,69.2,53425
2015-07-24 00:00:00+05:30,73.15,73.15,68.25,68.9,30292
2015-07-27 00:00:00+05:30,69.8,69.8,66.4,68.15,44581
2015-07-28 00:00:00+05:30,67.25,69.9,66.7,68.15,70735
2015-07-29 00:00:00+05:30,67.8,68.95,67.25,67.5,32863
2015-07-30 00:00:00+05:30,68.0,70.65,68.0,69.75,49859
2015-07-31 00:00:00+05:30,69.45,70.65,67.8,68.0,55053
2015-08-03 00:00:00+05:30,70.1,73.75,67.45,72.15,112977
