date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,99.7,103.45,99.7,101.3,51379
2015-01-02 00:00:00+05:30,100.4,107.8,100.4,106.3,236570
2015-01-05 00:00:00+05:30,106.7,109.0,103.7,104.65,92314
2015-01-06 00:00:00+05:30,103.7,105.0,101.0,101.55,62623
2015-01-07 00:00:00+05:30,101.55,102.45,98.7,99.45,78554
2015-01-08 00:00:00+05:30,101.45,104.7,100.05,101.15,78130
2015-01-09 00:00:00+05:30,102.0,103.75,98.6,99.7,65079
2015-01-12 00:00:00+05:30,100.0,102.0,98.05,100.7,168534
2015-01-13 00:00:00+05:30,102.75,103.5,99.6,100.2,73924
2015-01-14 00:00:00+05:30,99.7,101.8,98.6,99.3,46168
2015-01-15 00:00:00+05:30,101.0,101.5,99.25,100.2,57022
2015-01-16 00:00:00+05:30,100.0,112.0,100.0,109.2,657248
2015-01-19 00:00:00+05:30,111.55,118.0,111.55,114.45,680064
2015-01-20 00:00:00+05:30,116.0,117.0,110.7,112.8,371189
2015-01-21 00:00:00+05:30,112.05,114.8,107.5,108.15,219215
2015-01-22 00:00:00+05:30,108.0,111.7,106.75,107.35,158589
2015-01-23 00:00:00+05:30,108.0,115.75,104.0,113.65,903141
2015-01-27 00:00:00+05:30,115.0,136.35,112.45,134.94,3682595
2015-01-28 00:00:00+05:30,133.75,133.75,124.1,126.4,1088099
2015-01-29 00:00:00+05:30,126.0,139.4,124.35,134.1,1794665
2015-01-30 00:00:00+05:30,135.0,135.35,126.5,127.5,377454
2015-02-02 00:00:00+05:30,126.0,128.6,116.0,120.65,563845
2015-02-03 00:00:00+05:30,120.9,129.8,117.7,124.25,632584
2015-02-04 00:00:00+05:30,125.35,130.6,122.5,126.05,498357
2015-02-05 00:00:00+05:30,126.0,131.9,121.1,122.25,385860
2015-02-06 00:00:00+05:30,122.95,125.3,118.0,118.75,193115
2015-02-09 00:00:00+05:30,115.75,122.0,115.75,117.3,172678
2015-02-10 00:00:00+05:30,116.8,122.5,116.75,118.85,173792
2015-02-11 00:00:00+05:30,120.85,122.2,118.9,119.55,104489
2015-02-12 00:00:00+05:30,120.6,121.25,118.1,118.9,86452
2015-02-13 00:00:00+05:30,119.7,124.75,119.3,120.8,229081
2015-02-16 00:00:00+05:30,121.7,123.6,116.65,117.3,185341
2015-02-18 00:00:00+05:30,118.5,119.75,113.6,114.45,287309
2015-02-19 00:00:00+05:30,115.6,116.0,111.65,113.2,127420
2015-02-20 00:00:00+05:30,113.95,117.1,111.7,113.65,146275
2015-02-23 00:00:00+05:30,114.7,118.9,113.35,114.7,174302
2015-02-24 00:00:00+05:30,115.2,115.85,112.1,112.6,100061
2015-02-25 00:00:00+05:30,113.45,113.9,108.15,108.9,151175
2015-02-26 00:00:00+05:30,109.6,117.0,104.75,114.4,344963
2015-02-27 00:00:00+05:30,115.45,116.85,113.0,114.2,177979
2015-03-02 00:00:00+05:30,114.8,121.6,114.15,119.95,326463
2015-03-03 00:00:00+05:30,120.0,127.9,120.0,124.9,524121
2015-03-04 00:00:00+05:30,126.4,129.9,122.2,123.0,397371
2015-03-05 00:00:00+05:30,123.8,134.9,120.45,132.9,798961
2015-03-09 00:00:00+05:30,132.3,143.4,128.65,138.3,1205375
2015-03-10 00:00:00+05:30,139.8,160.6,139.5,156.94,3037030
2015-03-11 00:00:00+05:30,156.0,157.44,146.05,148.9,1082603
2015-03-12 00:00:00+05:30,151.69,155.9,146.69,152.5,677121
2015-03-13 00:00:00+05:30,153.19,154.85,145.25,146.9,324060
2015-03-16 00:00:00+05:30,148.65,156.6,142.1,154.69,594930
2015-03-17 00:00:00+05:30,155.6,159.85,149.3,152.3,420122
2015-03-18 00:00:00+05:30,151.3,157.8,150.0,154.1,412307
2015-03-19 00:00:00+05:30,155.25,157.0,147.0,148.05,310268
2015-03-20 00:00:00+05:30,148.0,151.5,136.5,138.05,222965
2015-03-23 00:00:00+05:30,140.0,140.9,131.35,135.75,206438
2015-03-24 00:00:00+05:30,135.69,140.19,134.15,136.05,134237
2015-03-25 00:00:00+05:30,136.25,138.65,133.35,134.65,198140
2015-03-26 00:00:00+05:30,134.65,136.75,131.0,133.75,115787
2015-03-27 00:00:00+05:30,133.75,136.55,127.0,129.15,173229
2015-03-30 00:00:00+05:30,131.25,142.65,131.05,140.65,230951
2015-03-31 00:00:00+05:30,144.8,152.19,144.8,147.44,587028
2015-04-01 00:00:00+05:30,148.5,154.5,146.0,149.19,322308
2015-04-06 00:00:00+05:30,150.69,154.0,146.6,150.65,245514
2015-04-07 00:00:00+05:30,151.0,157.0,150.8,153.05,554771
2015-04-08 00:00:00+05:30,153.65,166.9,151.0,162.55,1154271
2015-04-09 00:00:00+05:30,163.0,163.75,156.5,158.85,454697
2015-04-10 00:00:00+05:30,159.0,168.25,157.4,164.0,389746
2015-04-13 00:00:00+05:30,164.0,171.85,162.05,168.45,457794
2015-04-15 00:00:00+05:30,168.0,172.6,165.4,166.75,266167
2015-04-16 00:00:00+05:30,163.9,167.65,157.0,160.9,175126
2015-04-17 00:00:00+05:30,160.9,163.4,155.1,156.35,142398
2015-04-20 00:00:00+05:30,156.35,162.05,153.19,154.9,203743
2015-04-21 00:00:00+05:30,154.44,156.8,151.85,152.65,114027
2015-04-22 00:00:00+05:30,152.0,156.85,148.25,151.8,143406
2015-04-23 00:00:00+05:30,151.94,154.75,147.5,148.69,131421
2015-04-24 00:00:00+05:30,151.0,152.19,136.9,139.0,160508
2015-04-27 00:00:00+05:30,136.94,139.0,126.9,128.15,162974
2015-04-28 00:00:00+05:30,127.0,132.5,121.45,130.1,227196
2015-04-29 00:00:00+05:30,131.0,135.94,128.25,133.8,115094
2015-04-30 00:00:00+05:30,132.1,143.5,130.3,140.65,189346
2015-05-04 00:00:00+05:30,142.75,149.4,141.69,148.05,141694
2015-05-05 00:00:00+05:30,147.4,152.3,146.65,148.0,117090
2015-05-06 00:00:00+05:30,148.3,148.6,136.25,137.85,165611
2015-05-07 00:00:00+05:30,138.25,138.65,129.1,132.1,132680
2015-05-08 00:00:00+05:30,134.0,142.8,134.0,140.55,126120
2015-05-11 00:00:00+05:30,142.85,147.55,142.85,146.25,131058
2015-05-12 00:00:00+05:30,145.6,146.15,140.6,142.0,101658
2015-05-13 00:00:00+05:30,143.8,145.8,140.4,141.5,87666
2015-05-14 00:00:00+05:30,141.44,141.94,135.9,140.0,82954
2015-05-15 00:00:00+05:30,141.0,143.85,136.6,137.94,81443
2015-05-18 00:00:00+05:30,145.4,165.5,145.4,165.5,1304972
2015-05-19 00:00:00+05:30,170.0,177.9,165.55,167.6,1281035
2015-05-20 00:00:00+05:30,167.0,175.4,165.5,173.9,548013
2015-05-21 00:00:00+05:30,173.9,176.4,168.1,173.0,283307
2015-05-22 00:00:00+05:30,172.0,181.8,170.1,171.3,541088
2015-05-25 00:00:00+05:30,171.4,172.0,164.3,165.85,139704
2015-05-26 00:00:00+05:30,166.35,173.0,164.0,171.25,248156
2015-05-27 00:00:00+05:30,168.2,174.0,167.25,169.0,136273
2015-05-28 00:00:00+05:30,170.4,171.4,166.0,169.4,162265
2015-05-29 00:00:00+05:30,168.95,171.0,164.25,167.5,152117
2015-06-01 00:00:00+05:30,167.5,183.45,166.1,180.4,757971
2015-06-02 00:00:00+05:30,181.0,191.0,178.05,187.7,861784
2015-06-03 00:00:00+05:30,184.1,189.55,172.3,176.85,355018
2015-06-04 00:00:00+05:30,177.0,184.4,175.0,181.55,213430
2015-06-05 00:00:00+05:30,180.0,184.4,179.15,180.75,167439
2015-06-08 00:00:00+05:30,181.35,186.0,175.45,181.2,228866
2015-06-09 00:00:00+05:30,181.0,182.9,177.0,178.0,85096
2015-06-10 00:00:00+05:30,179.0,184.8,179.0,182.3,127858
2015-06-11 00:00:00+05:30,184.9,194.1,182.8,184.45,649294
2015-06-12 00:00:00+05:30,184.0,189.65,183.1,185.3,148322
2015-06-15 00:00:00+05:30,186.25,193.8,185.05,188.8,359255
2015-06-16 00:00:00+05:30,189.8,199.0,188.0,194.0,627770
2015-06-17 00:00:00+05:30,194.85,201.9,194.85,197.25,494702
2015-06-18 00:00:00+05:30,198.9,201.0,192.0,193.2,182007
2015-06-19 00:00:00+05:30,194.4,196.4,182.65,185.2,211032
2015-06-22 00:00:00+05:30,183.15,188.35,183.0,185.6,140100
2015-06-23 00:00:00+05:30,185.2,191.3,185.2,188.2,158819
2015-06-24 00:00:00+05:30,188.2,191.95,185.1,186.65,109491
2015-06-25 00:00:00+05:30,188.1,188.8,184.2,185.35,76772
2015-06-26 00:00:00+05:30,185.0,186.4,179.3,180.2,106253
2015-06-29 00:00:00+05:30,177.75,177.75,172.1,175.95,98730
2015-06-30 00:00:00+05:30,177.9,180.9,175.0,179.35,101550
2015-07-01 00:00:00+05:30,179.4,191.0,179.4,189.9,256175
2015-07-02 00:00:00+05:30,190.55,195.0,189.15,192.25,158537
2015-07-03 00:00:00+05:30,193.95,194.8,186.0,187.0,151124
2015-07-06 00:00:00+05:30,181.9,191.9,181.3,190.9,189978
2015-07-07 00:00:00+05:30,190.5,193.2,187.9,188.55,75986
2015-07-08 00:00:00+05:30,186.4,189.0,181.7,184.95,95190
2015-07-09 00:00:00+05:30,181.7,191.7,181.0,185.45,193076
2015-07-10 00:00:00+05:30,186.35,190.0,181.95,183.35,99844
2015-07-13 00:00:00+05:30,185.0,189.85,184.1,188.25,92076
2015-07-14 00:00:00+05:30,189.05,206.75,188.5,203.85,842679
2015-07-15 00:00:00+05:30,206.2,218.5,203.0,212.65,1089516
2015-07-16 00:00:00+05:30,214.4,245.8,214.2,240.5,2325715
