date,open,high,low,close,volume
2018-11-05 00:00:00+05:30,72.0,75.6,72.0,75.6,1636701
2018-11-06 00:00:00+05:30,77.0,79.35,75.7,78.1,2528961
2018-11-07 00:00:00+05:30,79.4,82.0,78.5,81.3,488994
2018-11-09 00:00:00+05:30,84.0,84.0,77.25,79.95,1926334
2018-11-12 00:00:00+05:30,79.8,79.8,76.0,76.0,1494059
2018-11-13 00:00:00+05:30,72.5,78.0,72.5,76.95,915107
2018-11-14 00:00:00+05:30,77.05,78.65,75.5,78.3,640666
2018-11-15 00:00:00+05:30,79.0,80.0,75.5,79.4,662627
2018-11-16 00:00:00+05:30,79.4,79.75,77.5,78.85,445033
2018-11-19 00:00:00+05:30,78.45,78.95,77.2,77.8,1332624
2018-11-20 00:00:00+05:30,81.0,88.5,80.1,80.9,3819027
2018-11-21 00:00:00+05:30,81.9,97.05,81.7,97.05,7785820
2018-11-22 00:00:00+05:30,106.55,115.4,105.0,111.55,17594459
2018-11-26 00:00:00+05:30,114.1,114.7,102.0,104.1,7818868
2018-11-27 00:00:00+05:30,100.5,105.25,98.25,101.05,4647882
2018-11-28 00:00:00+05:30,101.45,102.6,94.1,99.0,4517227
2018-11-29 00:00:00+05:30,99.9,101.7,98.1,99.45,2006532
2018-11-30 00:00:00+05:30,99.1,101.4,97.65,98.75,1745738
2018-12-03 00:00:00+05:30,99.0,99.75,96.3,97.5,1065560
2018-12-04 00:00:00+05:30,97.5,97.85,95.2,96.2,1044937
2018-12-05 00:00:00+05:30,95.15,105.8,94.2,105.35,6794511
2018-12-06 00:00:00+05:30,103.95,110.7,103.15,104.3,4175920
2018-12-07 00:00:00+05:30,105.0,108.5,99.25,100.15,1674014
2018-12-10 00:00:00+05:30,95.1,98.0,94.0,94.85,965256
2018-12-11 00:00:00+05:30,91.0,98.7,91.0,96.15,1521664
2018-12-12 00:00:00+05:30,97.7,101.95,97.5,98.05,1142024
2018-12-13 00:00:00+05:30,99.6,101.9,98.5,98.95,966517
2018-12-14 00:00:00+05:30,99.75,100.8,98.1,98.85,513487
2018-12-17 00:00:00+05:30,99.55,100.8,98.75,99.7,584085
