date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,59.8,63.4,59.5,61.95,36005
2015-01-02 00:00:00+05:30,62.0,64.8,62.0,62.75,29042
2015-01-05 00:00:00+05:30,62.25,65.75,62.25,63.1,31689
2015-01-06 00:00:00+05:30,62.5,62.9,60.55,61.15,19689
2015-01-07 00:00:00+05:30,60.5,64.0,60.1,60.45,10602
2015-01-08 00:00:00+05:30,62.45,65.0,57.75,63.8,38571
2015-01-09 00:00:00+05:30,63.75,68.0,63.75,66.95,141152
2015-01-12 00:00:00+05:30,67.95,69.4,66.59,68.65,285075
2015-01-13 00:00:00+05:30,69.9,70.2,65.75,66.7,81145
2015-01-14 00:00:00+05:30,67.75,68.0,64.75,65.09,36312
2015-01-15 00:00:00+05:30,66.5,71.8,66.5,70.25,211165
2015-01-16 00:00:00+05:30,69.5,71.9,67.7,68.25,173443
2015-01-19 00:00:00+05:30,68.25,70.59,67.75,68.34,56936
2015-01-20 00:00:00+05:30,69.25,71.0,68.15,68.5,60987
2015-01-21 00:00:00+05:30,69.5,69.5,66.09,67.15,41850
2015-01-22 00:00:00+05:30,67.15,67.75,67.0,67.0,28819
2015-01-23 00:00:00+05:30,68.0,72.34,65.5,69.9,225824
2015-01-27 00:00:00+05:30,70.0,71.65,69.75,70.05,87799
2015-01-28 00:00:00+05:30,70.0,74.4,69.0,73.45,320351
2015-01-29 00:00:00+05:30,74.0,78.2,73.8,75.7,494554
2015-01-30 00:00:00+05:30,75.8,80.0,75.8,78.0,845074
2015-02-02 00:00:00+05:30,78.3,83.0,77.5,81.05,450829
2015-02-03 00:00:00+05:30,81.5,84.9,78.34,80.09,268871
2015-02-04 00:00:00+05:30,80.9,96.1,79.0,92.9,2603004
2015-02-05 00:00:00+05:30,90.65,103.7,89.9,95.05,2982966
2015-02-06 00:00:00+05:30,94.3,99.0,93.0,94.3,884579
2015-02-09 00:00:00+05:30,92.9,96.0,87.3,90.0,658569
2015-02-10 00:00:00+05:30,89.75,97.2,89.25,93.15,673283
2015-02-11 00:00:00+05:30,93.3,96.0,90.9,91.55,339605
2015-02-12 00:00:00+05:30,91.9,93.45,89.0,90.9,398555
2015-02-13 00:00:00+05:30,91.3,91.6,87.55,88.1,148510
2015-02-16 00:00:00+05:30,88.75,88.95,81.15,81.65,207562
2015-02-18 00:00:00+05:30,80.15,81.59,77.4,78.2,153504
2015-02-19 00:00:00+05:30,78.65,82.0,78.5,81.09,208768
2015-02-20 00:00:00+05:30,81.45,81.8,79.0,79.5,81242
2015-02-23 00:00:00+05:30,79.59,81.0,76.59,77.55,104733
2015-02-24 00:00:00+05:30,77.25,78.3,73.65,74.8,178630
2015-02-25 00:00:00+05:30,75.45,77.34,73.2,75.3,108068
2015-02-26 00:00:00+05:30,76.15,76.34,73.34,74.45,71233
2015-02-27 00:00:00+05:30,74.7,78.65,74.25,76.8,248757
2015-03-02 00:00:00+05:30,76.59,80.0,75.95,77.65,191496
2015-03-03 00:00:00+05:30,78.15,84.8,77.15,82.0,592666
2015-03-04 00:00:00+05:30,82.35,85.75,77.65,78.9,310918
2015-03-05 00:00:00+05:30,79.84,82.5,77.59,79.25,334274
2015-03-09 00:00:00+05:30,79.0,79.0,75.3,76.3,102997
2015-03-10 00:00:00+05:30,76.95,78.25,75.59,77.34,206357
2015-03-11 00:00:00+05:30,77.7,79.5,76.59,76.95,55379
2015-03-12 00:00:00+05:30,77.0,78.15,76.0,76.5,93655
2015-03-13 00:00:00+05:30,77.3,83.0,77.0,78.15,773079
2015-03-16 00:00:00+05:30,77.7,79.45,76.5,76.95,163794
2015-03-17 00:00:00+05:30,77.4,78.0,76.25,76.8,70397
