date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,73.45,75.4,73.45,74.7,81683
2015-01-02 00:00:00+05:30,76.05,78.8,75.5,76.2,161433
2015-01-05 00:00:00+05:30,76.4,77.7,74.0,74.75,59154
2015-01-06 00:00:00+05:30,74.0,74.75,72.05,72.5,63492
2015-01-07 00:00:00+05:30,71.8,73.8,70.25,72.0,83233
2015-01-08 00:00:00+05:30,72.4,73.9,72.09,72.95,55503
2015-01-09 00:00:00+05:30,73.7,74.45,71.0,71.95,77328
2015-01-12 00:00:00+05:30,71.65,73.65,71.65,72.59,38356
2015-01-13 00:00:00+05:30,73.09,74.5,72.55,72.95,55034
2015-01-14 00:00:00+05:30,73.3,73.8,71.0,71.55,52946
2015-01-15 00:00:00+05:30,72.09,75.15,72.0,73.65,76968
2015-01-16 00:00:00+05:30,73.95,73.95,71.2,72.0,45623
2015-01-19 00:00:00+05:30,72.4,75.5,72.4,73.5,84431
2015-01-20 00:00:00+05:30,73.8,77.8,73.55,75.34,162855
2015-01-21 00:00:00+05:30,76.0,76.59,73.55,73.95,48674
2015-01-22 00:00:00+05:30,73.95,74.8,71.8,72.15,60767
2015-01-23 00:00:00+05:30,72.7,73.7,71.8,72.09,46773
2015-01-27 00:00:00+05:30,72.5,73.45,71.34,71.7,33943
2015-01-28 00:00:00+05:30,72.15,73.0,70.55,71.09,54771
2015-01-29 00:00:00+05:30,71.55,73.84,70.8,72.4,77525
2015-01-30 00:00:00+05:30,72.5,72.95,70.5,71.05,54891
2015-02-02 00:00:00+05:30,71.09,73.05,70.05,72.0,81144
2015-02-03 00:00:00+05:30,72.2,73.4,71.0,71.59,66194
2015-02-04 00:00:00+05:30,72.0,72.9,70.7,71.55,53666
2015-02-05 00:00:00+05:30,71.9,72.8,69.2,70.05,62659
2015-02-06 00:00:00+05:30,70.2,71.05,67.0,68.05,67524
2015-02-09 00:00:00+05:30,67.8,68.4,66.65,67.0,26650
2015-02-10 00:00:00+05:30,67.59,68.45,65.2,65.95,27467
2015-02-11 00:00:00+05:30,65.7,68.7,65.7,67.05,42478
2015-02-12 00:00:00+05:30,67.4,68.9,67.3,67.84,26926
2015-02-13 00:00:00+05:30,68.2,69.0,65.09,67.0,57654
2015-02-16 00:00:00+05:30,67.2,68.25,65.55,67.3,35858
2015-02-18 00:00:00+05:30,66.25,71.45,66.25,69.4,177476
2015-02-19 00:00:00+05:30,69.75,71.3,68.45,69.45,62399
2015-02-20 00:00:00+05:30,69.59,70.34,68.4,68.7,51627
2015-02-23 00:00:00+05:30,68.8,69.7,68.09,68.2,20505
2015-02-24 00:00:00+05:30,68.09,68.9,67.0,67.59,20771
2015-02-25 00:00:00+05:30,68.0,68.8,66.09,66.5,30234
2015-02-26 00:00:00+05:30,66.5,67.34,64.25,64.84,30696
2015-02-27 00:00:00+05:30,65.09,71.75,64.84,69.25,90138
2015-03-02 00:00:00+05:30,66.75,68.9,65.75,66.45,56927
2015-03-03 00:00:00+05:30,66.59,71.2,66.3,68.9,113838
2015-03-04 00:00:00+05:30,69.09,70.59,65.09,66.15,36891
2015-03-05 00:00:00+05:30,66.15,68.75,66.15,67.05,44100
2015-03-09 00:00:00+05:30,67.0,67.75,63.8,64.4,38863
2015-03-10 00:00:00+05:30,64.2,65.45,63.45,63.9,33848
2015-03-11 00:00:00+05:30,63.5,64.95,62.5,62.75,43879
2015-03-12 00:00:00+05:30,62.5,64.15,62.5,63.4,27377
2015-03-13 00:00:00+05:30,63.6,64.8,60.65,61.15,36052
2015-03-16 00:00:00+05:30,60.65,61.95,60.1,60.4,22400
2015-03-17 00:00:00+05:30,60.4,61.95,60.4,61.15,19706
2015-03-18 00:00:00+05:30,61.1,61.9,60.25,60.3,25357
2015-03-19 00:00:00+05:30,60.4,61.4,58.5,59.0,34419
2015-03-20 00:00:00+05:30,59.15,59.15,56.1,56.35,39252
2015-03-23 00:00:00+05:30,56.45,57.7,54.15,54.5,38183
2015-03-24 00:00:00+05:30,54.25,55.05,52.55,52.95,35453
2015-03-25 00:00:00+05:30,52.6,53.5,51.25,51.55,45445
2015-03-26 00:00:00+05:30,53.45,61.0,52.5,57.95,684869
2015-03-27 00:00:00+05:30,57.95,59.8,51.4,53.3,181056
2015-03-30 00:00:00+05:30,53.35,59.2,53.35,58.0,153940
2015-03-31 00:00:00+05:30,58.2,61.5,58.2,59.7,138589
2015-04-01 00:00:00+05:30,60.0,65.0,59.15,63.6,212036
2015-04-06 00:00:00+05:30,64.3,64.3,61.25,63.5,63339
2015-04-07 00:00:00+05:30,65.0,66.0,65.0,65.55,60054
2015-04-08 00:00:00+05:30,66.5,67.75,63.6,64.4,83667
2015-04-09 00:00:00+05:30,64.7,65.65,63.6,65.05,51672
2015-04-10 00:00:00+05:30,64.59,72.59,63.65,69.45,232913
2015-04-13 00:00:00+05:30,70.09,72.95,69.45,70.8,193253
2015-04-15 00:00:00+05:30,71.4,71.4,66.34,67.9,64961
2015-04-16 00:00:00+05:30,67.2,68.7,66.09,66.95,48254
2015-04-17 00:00:00+05:30,66.05,69.7,66.05,66.4,70173
2015-04-20 00:00:00+05:30,66.15,67.95,64.05,64.8,36296
2015-04-21 00:00:00+05:30,64.8,65.3,61.0,61.4,54573
2015-04-22 00:00:00+05:30,61.8,63.55,61.0,62.0,37500
2015-04-23 00:00:00+05:30,62.2,64.2,62.0,62.45,42736
2015-04-24 00:00:00+05:30,63.0,63.55,58.7,59.55,57711
2015-04-27 00:00:00+05:30,59.6,60.45,55.25,56.3,48277
2015-04-28 00:00:00+05:30,56.0,57.95,55.0,57.15,62182
2015-04-29 00:00:00+05:30,57.4,58.35,55.0,57.35,48091
2015-04-30 00:00:00+05:30,57.5,58.45,56.4,57.6,39321
2015-05-04 00:00:00+05:30,57.5,59.8,57.5,59.25,46026
2015-05-05 00:00:00+05:30,59.0,60.0,58.35,58.8,49331
2015-05-06 00:00:00+05:30,58.9,59.6,56.5,56.95,47909
2015-05-07 00:00:00+05:30,56.65,57.9,55.5,56.35,35784
2015-05-08 00:00:00+05:30,57.05,57.8,56.15,56.7,33247
2015-05-11 00:00:00+05:30,56.25,59.5,56.25,58.45,42165
2015-05-12 00:00:00+05:30,59.4,59.4,56.2,56.6,24269
2015-05-13 00:00:00+05:30,57.35,58.75,55.6,56.65,30778
2015-05-14 00:00:00+05:30,56.75,58.2,56.3,56.65,26269
2015-05-15 00:00:00+05:30,56.6,58.0,56.4,57.6,37132
2015-05-18 00:00:00+05:30,57.1,58.4,56.05,57.5,48205
2015-05-19 00:00:00+05:30,58.0,67.09,58.0,63.85,299223
2015-05-20 00:00:00+05:30,64.0,65.95,61.3,61.75,61006
2015-05-21 00:00:00+05:30,61.9,62.45,59.8,60.1,58629
2015-05-22 00:00:00+05:30,60.4,61.85,59.15,60.35,43242
2015-05-25 00:00:00+05:30,60.0,60.55,58.2,58.5,31504
2015-05-26 00:00:00+05:30,58.95,61.75,57.6,59.35,61382
2015-05-27 00:00:00+05:30,59.55,64.3,58.1,63.1,143499
2015-05-28 00:00:00+05:30,61.5,61.5,57.8,58.5,110055
2015-05-29 00:00:00+05:30,58.8,61.5,58.0,60.05,56388
2015-06-01 00:00:00+05:30,59.05,60.75,58.1,58.75,35900
2015-06-02 00:00:00+05:30,60.45,60.45,56.7,57.05,43867
2015-06-03 00:00:00+05:30,56.3,58.35,52.0,54.7,71448
2015-06-04 00:00:00+05:30,56.5,56.5,52.0,53.45,28298
2015-06-05 00:00:00+05:30,53.8,55.65,53.0,53.9,23944
2015-06-08 00:00:00+05:30,54.15,54.6,52.0,52.3,20328
2015-06-09 00:00:00+05:30,52.0,54.45,50.2,52.85,22214
2015-06-10 00:00:00+05:30,52.6,54.35,52.35,52.95,16293
2015-06-11 00:00:00+05:30,54.15,55.45,52.15,52.75,48404
2015-06-12 00:00:00+05:30,52.85,54.0,51.7,53.05,11154
2015-06-15 00:00:00+05:30,53.15,53.8,52.75,52.8,6738
2015-06-16 00:00:00+05:30,52.45,53.9,51.6,53.2,10811
2015-06-17 00:00:00+05:30,53.35,56.4,52.65,54.5,42062
2015-06-18 00:00:00+05:30,54.05,55.65,53.6,54.5,18848
2015-06-19 00:00:00+05:30,55.0,55.85,54.2,54.35,18865
2015-06-22 00:00:00+05:30,54.5,56.5,54.2,55.6,21596
2015-06-23 00:00:00+05:30,55.95,56.4,54.55,55.0,21522
2015-06-24 00:00:00+05:30,55.9,57.9,54.9,55.1,35018
2015-06-25 00:00:00+05:30,55.9,55.9,53.5,54.3,12545
2015-06-26 00:00:00+05:30,54.25,54.45,53.0,53.45,15275
2015-06-29 00:00:00+05:30,53.0,54.0,51.6,52.55,9658
2015-06-30 00:00:00+05:30,52.0,55.0,51.75,53.2,16035
2015-07-01 00:00:00+05:30,53.6,54.75,53.0,54.05,20498
2015-07-02 00:00:00+05:30,54.0,56.25,53.8,54.55,12229
2015-07-03 00:00:00+05:30,54.3,57.0,54.25,54.75,27599
2015-07-06 00:00:00+05:30,54.3,55.0,53.15,54.7,14848
2015-07-07 00:00:00+05:30,54.45,58.2,54.45,56.55,53119
2015-07-08 00:00:00+05:30,56.0,56.3,54.1,55.6,28919
