date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,19.0,19.35,18.8,19.0,1117377
2015-01-02 00:00:00+05:30,19.05,19.5,18.89,18.95,1406714
2015-01-05 00:00:00+05:30,19.14,19.45,19.05,19.2,1312012
2015-01-06 00:00:00+05:30,19.0,19.85,18.5,18.85,4475074
2015-01-07 00:00:00+05:30,18.95,19.25,18.55,18.7,1733227
2015-01-08 00:00:00+05:30,18.95,19.2,18.8,18.95,1027312
2015-01-09 00:00:00+05:30,19.05,19.39,18.7,18.8,1101390
2015-01-12 00:00:00+05:30,18.89,19.85,18.7,19.45,2799154
2015-01-13 00:00:00+05:30,19.55,19.75,18.95,19.25,1478454
2015-01-14 00:00:00+05:30,19.2,19.39,18.55,18.75,1051124
2015-01-15 00:00:00+05:30,18.89,19.25,18.8,19.0,1165180
2015-01-16 00:00:00+05:30,19.05,19.6,18.7,19.0,1919197
2015-01-19 00:00:00+05:30,19.14,19.45,15.2,18.64,1926984
2015-01-20 00:00:00+05:30,18.85,19.25,18.85,19.0,890766
2015-01-21 00:00:00+05:30,19.2,19.6,19.1,19.5,2415198
2015-01-22 00:00:00+05:30,19.5,19.95,19.1,19.2,2227464
2015-01-23 00:00:00+05:30,19.25,19.39,18.64,18.8,1200117
2015-01-27 00:00:00+05:30,18.89,20.7,18.64,20.35,4613577
2015-01-28 00:00:00+05:30,20.7,21.2,19.25,19.35,4515942
2015-01-29 00:00:00+05:30,19.45,19.5,18.64,19.25,1348457
2015-01-30 00:00:00+05:30,19.35,19.85,18.95,19.05,1922566
2015-02-02 00:00:00+05:30,19.2,19.55,19.1,19.25,1208042
2015-02-03 00:00:00+05:30,19.39,19.39,18.8,18.89,997098
2015-02-04 00:00:00+05:30,18.8,19.25,18.64,18.85,1512709
2015-02-05 00:00:00+05:30,18.89,19.3,17.95,18.2,1562937
2015-02-06 00:00:00+05:30,18.3,18.3,17.75,17.85,1210109
2015-02-09 00:00:00+05:30,17.6,17.75,17.05,17.14,1361360
2015-02-10 00:00:00+05:30,17.05,17.7,17.0,17.14,933446
2015-02-11 00:00:00+05:30,17.35,17.7,17.2,17.39,1274304
2015-02-12 00:00:00+05:30,17.55,18.14,17.35,17.5,2880432
2015-02-13 00:00:00+05:30,17.6,17.85,17.5,17.5,977744
2015-02-16 00:00:00+05:30,17.8,17.8,17.39,17.5,971994
2015-02-18 00:00:00+05:30,17.45,19.35,17.45,19.05,4385485
2015-02-19 00:00:00+05:30,19.35,19.45,18.75,19.05,2728661
2015-02-20 00:00:00+05:30,19.89,20.2,18.7,19.0,3581948
2015-02-23 00:00:00+05:30,19.2,19.3,18.39,18.55,1190709
2015-02-24 00:00:00+05:30,18.5,18.64,18.1,18.2,1010937
2015-02-25 00:00:00+05:30,18.2,18.39,17.7,17.75,2003094
2015-02-26 00:00:00+05:30,17.85,18.1,17.64,17.75,1117343
2015-02-27 00:00:00+05:30,17.85,18.7,17.8,18.35,1730515
2015-03-02 00:00:00+05:30,18.0,18.05,17.64,17.85,1308457
2015-03-03 00:00:00+05:30,17.85,18.25,17.6,18.05,1663539
2015-03-04 00:00:00+05:30,18.3,18.5,17.39,17.5,1309647
2015-03-05 00:00:00+05:30,17.6,18.14,17.5,17.6,1867973
2015-03-09 00:00:00+05:30,17.6,17.8,17.14,17.25,1423992
2015-03-10 00:00:00+05:30,17.3,17.39,16.95,17.0,1236595
2015-03-11 00:00:00+05:30,16.95,17.14,16.85,16.89,1127261
2015-03-12 00:00:00+05:30,16.95,17.3,16.95,17.1,906623
2015-03-13 00:00:00+05:30,17.14,17.3,16.55,16.7,1235673
2015-03-16 00:00:00+05:30,16.85,16.89,16.14,16.25,1209875
2015-03-17 00:00:00+05:30,16.3,16.8,16.05,16.14,1738902
2015-03-18 00:00:00+05:30,16.3,16.3,15.9,16.05,1063367
2015-03-19 00:00:00+05:30,16.2,16.3,15.7,15.8,1318449
2015-03-20 00:00:00+05:30,15.8,15.8,15.05,15.15,1993820
2015-03-23 00:00:00+05:30,15.15,15.15,14.05,14.1,1483893
2015-03-24 00:00:00+05:30,14.25,14.35,13.75,13.85,872264
