date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,101.85,102.25,100.4,101.25,59760
2015-01-02 00:00:00+05:30,101.9,107.5,101.15,104.35,367912
2015-01-05 00:00:00+05:30,104.35,106.5,103.35,105.95,186876
2015-01-06 00:00:00+05:30,105.15,105.15,99.1,99.95,258512
2015-01-07 00:00:00+05:30,100.0,101.35,97.0,97.35,184488
2015-01-08 00:00:00+05:30,98.0,102.15,97.85,99.7,152384
2015-01-09 00:00:00+05:30,101.25,102.5,100.0,100.75,82952
2015-01-12 00:00:00+05:30,100.85,101.8,99.0,99.35,50860
2015-01-13 00:00:00+05:30,100.85,100.85,97.5,97.75,101300
2015-01-14 00:00:00+05:30,98.15,100.35,97.15,97.55,68732
2015-01-15 00:00:00+05:30,98.35,103.15,97.9,100.9,247324
2015-01-16 00:00:00+05:30,100.4,101.25,98.65,99.2,63204
2015-01-19 00:00:00+05:30,98.7,101.35,97.85,98.2,99300
2015-01-20 00:00:00+05:30,98.5,101.3,98.5,99.45,164684
2015-01-21 00:00:00+05:30,99.2,100.45,98.15,98.75,54300
2015-01-22 00:00:00+05:30,98.25,103.35,98.25,100.95,328160
2015-01-23 00:00:00+05:30,102.4,102.7,98.7,99.1,116412
2015-01-27 00:00:00+05:30,99.45,100.65,98.35,98.6,80964
2015-01-28 00:00:00+05:30,98.6,99.35,98.35,98.7,47836
2015-01-29 00:00:00+05:30,98.65,99.85,98.0,98.5,61852
2015-01-30 00:00:00+05:30,99.05,99.05,97.15,97.5,66892
2015-02-02 00:00:00+05:30,97.5,98.95,97.1,97.3,45712
2015-02-03 00:00:00+05:30,97.35,99.15,95.75,98.3,141016
2015-02-04 00:00:00+05:30,97.85,97.85,96.35,96.7,53780
2015-02-05 00:00:00+05:30,98.25,98.25,96.7,97.5,82968
2015-02-06 00:00:00+05:30,97.0,98.35,95.9,97.3,267600
2015-02-09 00:00:00+05:30,100.65,101.15,97.7,100.45,315088
2015-02-10 00:00:00+05:30,100.0,100.8,97.35,97.65,181176
2015-02-11 00:00:00+05:30,97.75,99.15,96.2,97.2,112844
2015-02-12 00:00:00+05:30,97.5,99.0,95.8,96.65,142796
2015-02-13 00:00:00+05:30,97.35,99.85,97.15,98.35,113880
2015-02-16 00:00:00+05:30,98.6,99.15,96.5,97.05,123796
2015-02-18 00:00:00+05:30,97.65,97.95,94.85,95.25,123432
2015-02-19 00:00:00+05:30,96.3,98.1,95.35,96.25,119752
2015-02-20 00:00:00+05:30,96.75,103.65,95.7,100.85,730348
2015-02-23 00:00:00+05:30,101.15,102.15,96.7,97.5,248900
2015-02-24 00:00:00+05:30,98.15,98.95,97.15,97.35,70484
2015-02-25 00:00:00+05:30,98.05,98.35,95.45,96.15,112800
2015-02-26 00:00:00+05:30,96.5,96.75,94.85,95.3,91716
2015-02-27 00:00:00+05:30,95.65,96.65,95.4,96.0,57708
2015-03-02 00:00:00+05:30,99.0,99.35,97.15,98.85,104344
2015-03-03 00:00:00+05:30,99.15,103.95,97.4,101.05,747156
2015-03-04 00:00:00+05:30,100.7,102.1,99.15,99.5,181260
2015-03-05 00:00:00+05:30,99.65,105.65,98.5,103.3,527656
2015-03-09 00:00:00+05:30,103.0,105.5,100.6,102.75,371848
2015-03-10 00:00:00+05:30,103.0,104.6,99.65,100.65,128032
2015-03-11 00:00:00+05:30,100.85,102.65,99.35,99.95,85236
2015-03-12 00:00:00+05:30,100.0,106.45,100.0,103.75,460552
2015-03-13 00:00:00+05:30,104.15,104.8,100.25,100.5,133988
2015-03-16 00:00:00+05:30,101.25,101.25,99.0,99.4,118728
2015-03-17 00:00:00+05:30,100.6,102.15,99.5,100.85,89108
2015-03-18 00:00:00+05:30,101.15,102.9,100.25,100.6,150900
2015-03-19 00:00:00+05:30,101.0,101.65,98.5,99.05,85752
2015-03-20 00:00:00+05:30,99.35,100.0,97.5,97.75,58032
2015-03-23 00:00:00+05:30,98.15,98.9,95.35,95.7,110224
2015-03-24 00:00:00+05:30,96.0,96.1,94.85,95.1,104508
2015-03-25 00:00:00+05:30,95.95,96.0,93.55,94.05,133836
