date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,15.75,16.25,15.75,16.25,18015
2015-01-02 00:00:00+05:30,16.7,16.7,16.0,16.1,29685
2015-01-05 00:00:00+05:30,16.45,16.6,16.0,16.25,42385
2015-01-06 00:00:00+05:30,15.6,16.1,15.4,15.6,17185
2015-01-07 00:00:00+05:30,15.35,16.15,14.6,15.5,8880
2015-01-08 00:00:00+05:30,15.7,16.4,15.7,15.75,7695
2015-01-09 00:00:00+05:30,16.25,16.25,15.6,15.65,33000
2015-01-12 00:00:00+05:30,15.0,15.95,15.0,15.35,19820
2015-01-13 00:00:00+05:30,15.15,15.8,15.15,15.35,12935
2015-01-14 00:00:00+05:30,15.9,15.9,15.25,15.3,9040
2015-01-15 00:00:00+05:30,15.15,15.8,15.15,15.4,27170
2015-01-16 00:00:00+05:30,15.2,15.5,15.0,15.1,27750
2015-01-19 00:00:00+05:30,15.3,15.45,15.15,15.2,16135
2015-01-20 00:00:00+05:30,15.0,15.6,15.0,15.25,62815
2015-01-21 00:00:00+05:30,15.0,15.65,15.0,15.45,4665
2015-01-22 00:00:00+05:30,15.3,18.55,15.25,18.5,350860
2015-01-23 00:00:00+05:30,19.4,19.4,17.25,18.25,316010
2015-01-27 00:00:00+05:30,18.2,18.6,17.9,18.35,32190
2015-01-28 00:00:00+05:30,17.8,18.35,17.6,17.7,42575
2015-01-29 00:00:00+05:30,17.1,18.0,17.1,17.5,16980
2015-01-30 00:00:00+05:30,17.5,18.0,17.2,17.25,9815
2015-02-02 00:00:00+05:30,17.1,17.75,16.35,17.15,30785
2015-02-03 00:00:00+05:30,17.6,18.4,17.2,17.45,13730
2015-02-04 00:00:00+05:30,17.15,20.55,16.95,19.35,192110
2015-02-05 00:00:00+05:30,19.9,19.9,18.15,18.2,26500
2015-02-06 00:00:00+05:30,18.2,19.15,17.5,17.75,20340
2015-02-09 00:00:00+05:30,16.95,17.9,16.95,17.8,22925
2015-02-10 00:00:00+05:30,17.7,19.0,16.75,17.25,35225
2015-02-11 00:00:00+05:30,17.4,18.8,17.4,18.1,48725
2015-02-12 00:00:00+05:30,18.65,20.8,17.8,20.25,289250
2015-02-13 00:00:00+05:30,20.2,21.5,19.8,21.2,217160
2015-02-16 00:00:00+05:30,21.05,21.25,20.35,20.85,96545
2015-02-18 00:00:00+05:30,21.0,21.6,20.5,21.35,90490
2015-02-19 00:00:00+05:30,21.75,23.4,21.25,22.7,195120
2015-02-20 00:00:00+05:30,22.65,23.55,22.0,22.2,103300
2015-02-23 00:00:00+05:30,23.4,23.4,21.35,22.1,76790
2015-02-24 00:00:00+05:30,21.95,23.0,21.4,21.45,38700
2015-02-25 00:00:00+05:30,22.2,22.2,20.65,21.0,21560
2015-02-26 00:00:00+05:30,20.8,21.4,19.6,20.0,27525
2015-02-27 00:00:00+05:30,20.8,20.95,20.0,20.75,28850
2015-03-02 00:00:00+05:30,19.8,20.9,19.8,20.15,20895
2015-03-03 00:00:00+05:30,21.75,23.0,19.6,22.45,302245
