date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,29.8,30.65,26.4,29.7,16552206
2015-01-02 00:00:00+05:30,29.55,30.0,29.15,29.55,10896534
2015-01-05 00:00:00+05:30,29.4,29.55,28.9,29.0,7117209
2015-01-06 00:00:00+05:30,29.0,29.45,28.2,28.6,14174127
2015-01-07 00:00:00+05:30,28.7,33.15,28.7,32.45,106931187
2015-01-08 00:00:00+05:30,32.4,33.0,31.5,31.75,53019450
2015-01-09 00:00:00+05:30,31.95,33.5,31.8,32.35,41711868
2015-01-12 00:00:00+05:30,32.5,33.0,32.0,32.45,30037887
2015-01-13 00:00:00+05:30,32.65,34.6,32.6,33.65,67516218
2015-01-14 00:00:00+05:30,33.6,33.9,33.0,33.2,20496861
2015-01-15 00:00:00+05:30,33.45,33.7,32.9,33.05,11048400
2015-01-16 00:00:00+05:30,33.3,34.05,33.05,33.25,21368655
2015-01-19 00:00:00+05:30,33.4,33.65,32.7,32.85,11937024
2015-01-20 00:00:00+05:30,33.05,33.15,31.7,31.95,17753967
2015-01-21 00:00:00+05:30,32.1,32.75,31.65,31.85,18738423
2015-01-22 00:00:00+05:30,32.0,32.8,31.8,32.4,38991249
2015-01-23 00:00:00+05:30,32.7,33.15,32.15,32.5,28132434
2015-01-27 00:00:00+05:30,34.55,36.1,33.95,34.4,58023207
2015-01-28 00:00:00+05:30,34.5,34.8,34.1,34.4,19361529
2015-01-29 00:00:00+05:30,34.35,34.35,33.45,33.8,11334510
2015-01-30 00:00:00+05:30,33.9,34.1,33.35,33.7,8474994
2015-02-02 00:00:00+05:30,33.85,35.35,33.45,34.55,20583486
2015-02-03 00:00:00+05:30,34.8,36.65,33.8,36.35,44045100
2015-02-04 00:00:00+05:30,36.75,37.1,35.7,35.9,22104819
2015-02-05 00:00:00+05:30,35.85,35.9,35.15,35.25,7194330
2015-02-06 00:00:00+05:30,35.35,35.9,34.3,34.45,8053254
2015-02-09 00:00:00+05:30,34.45,34.45,33.3,33.4,8275806
2015-02-10 00:00:00+05:30,33.25,34.4,32.95,33.7,10634481
2015-02-11 00:00:00+05:30,34.4,35.55,34.4,35.35,31994127
2015-02-12 00:00:00+05:30,35.55,37.45,34.95,37.25,44479017
2015-02-13 00:00:00+05:30,37.5,37.65,36.4,36.55,20106603
2015-02-16 00:00:00+05:30,36.8,37.8,36.4,36.95,16078788
2015-02-18 00:00:00+05:30,37.25,41.85,37.2,40.35,109588149
2015-02-19 00:00:00+05:30,40.2,40.65,38.45,38.75,37016100
2015-02-20 00:00:00+05:30,38.9,39.8,38.5,38.65,24559821
2015-02-23 00:00:00+05:30,38.9,39.35,37.4,37.6,20875833
2015-02-24 00:00:00+05:30,38.05,38.55,37.05,37.35,31191039
2015-02-25 00:00:00+05:30,37.75,38.25,37.25,37.45,21727827
2015-02-26 00:00:00+05:30,37.6,38.15,36.55,36.85,34231131
2015-02-27 00:00:00+05:30,37.8,41.25,37.75,38.05,161824707
2015-03-02 00:00:00+05:30,37.95,38.0,36.6,36.8,24964632
2015-03-03 00:00:00+05:30,37.0,37.25,36.4,36.75,19086210
2015-03-04 00:00:00+05:30,37.0,37.85,36.7,37.0,26097885
2015-03-05 00:00:00+05:30,37.15,37.3,35.9,36.2,24376671
2015-03-09 00:00:00+05:30,36.15,36.15,34.65,34.8,17811090
