date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,942.0,1022.95,942.0,999.95,6182
2015-01-02 00:00:00+05:30,993.0,1099.5,990.0,1088.7,3449
2015-01-05 00:00:00+05:30,1104.0,1306.4,1104.0,1306.4,15781
2015-01-06 00:00:00+05:30,1333.95,1356.4,1225.0,1253.2,9587
2015-01-07 00:00:00+05:30,1230.0,1378.5,1230.0,1378.5,5348
2015-01-08 00:00:00+05:30,1469.95,1469.95,1345.0,1358.45,9855
2015-01-09 00:00:00+05:30,1365.05,1410.0,1318.0,1345.75,2166
2015-01-12 00:00:00+05:30,1300.0,1375.0,1280.0,1317.7,2439
2015-01-13 00:00:00+05:30,1320.0,1349.75,1290.0,1291.34,1147
2015-01-14 00:00:00+05:30,1300.0,1300.0,1280.15,1284.8,615
2015-01-15 00:00:00+05:30,1284.0,1310.0,1250.0,1268.4,892
2015-01-16 00:00:00+05:30,1235.0,1287.0,1235.0,1263.65,407
2015-01-19 00:00:00+05:30,1242.0,1309.95,1242.0,1276.15,171
2015-01-20 00:00:00+05:30,1263.25,1298.0,1232.0,1252.84,1319
2015-01-21 00:00:00+05:30,1255.0,1255.0,1201.0,1225.05,1032
2015-01-22 00:00:00+05:30,1201.05,1240.0,1165.09,1194.45,718
2015-01-23 00:00:00+05:30,1152.2,1220.0,1152.2,1183.25,273
2015-01-27 00:00:00+05:30,1180.0,1200.0,1101.0,1116.95,1049
2015-01-28 00:00:00+05:30,1117.09,1170.0,1110.0,1136.45,776
2015-01-29 00:00:00+05:30,1121.7,1149.75,1070.0,1093.05,1185
2015-01-30 00:00:00+05:30,1096.05,1134.59,1060.0,1086.84,744
2015-02-02 00:00:00+05:30,1015.0,1115.25,1015.0,1096.05,991
2015-02-03 00:00:00+05:30,1025.2,1125.0,1025.2,1119.15,1552
2015-02-04 00:00:00+05:30,1134.95,1137.75,1062.75,1076.5,1304
2015-02-05 00:00:00+05:30,1056.0,1119.5,1056.0,1099.75,242
2015-02-06 00:00:00+05:30,1100.0,1169.9,1100.0,1146.4,2089
2015-02-09 00:00:00+05:30,1100.0,1238.05,1100.0,1191.15,1822
2015-02-10 00:00:00+05:30,1225.0,1225.0,1167.0,1202.45,1468
2015-02-11 00:00:00+05:30,1225.0,1270.0,1198.0,1256.5,1605
2015-02-12 00:00:00+05:30,1270.0,1283.0,1205.0,1250.84,1009
2015-02-13 00:00:00+05:30,1055.0,1178.0,1051.25,1154.3,3230
2015-02-16 00:00:00+05:30,1215.0,1215.0,1111.0,1144.3,626
2015-02-18 00:00:00+05:30,1136.0,1142.0,1052.0,1088.55,1523
2015-02-19 00:00:00+05:30,1093.0,1131.0,1022.0,1038.09,1273
2015-02-20 00:00:00+05:30,1017.0,1088.0,1017.0,1033.09,914
2015-02-23 00:00:00+05:30,1015.0,1079.0,1015.0,1037.55,1170
2015-02-24 00:00:00+05:30,1005.0,1065.5,1005.0,1046.8,952
2015-02-25 00:00:00+05:30,1030.55,1065.0,1023.0,1025.75,824
2015-02-26 00:00:00+05:30,1020.0,1032.0,950.0,964.0,2306
2015-02-27 00:00:00+05:30,965.0,987.6,925.15,975.1,1151
2015-03-02 00:00:00+05:30,949.0,964.95,881.6,937.8,272
2015-03-03 00:00:00+05:30,912.05,955.0,912.05,944.6,552
2015-03-04 00:00:00+05:30,925.5,973.0,925.5,945.5,281
2015-03-05 00:00:00+05:30,925.5,972.95,925.0,929.65,772
2015-03-09 00:00:00+05:30,930.05,1028.0,910.0,981.05,2827
2015-03-10 00:00:00+05:30,971.2,1058.0,971.2,1015.75,1541
2015-03-11 00:00:00+05:30,991.0,1024.95,890.0,934.3,1542
2015-03-12 00:00:00+05:30,938.0,965.05,925.0,937.8,200
2015-03-13 00:00:00+05:30,928.0,992.95,928.0,945.15,699
2015-03-16 00:00:00+05:30,935.7,950.0,915.0,915.85,274
2015-03-17 00:00:00+05:30,920.0,930.0,915.0,921.25,524
2015-03-18 00:00:00+05:30,912.0,912.0,886.0,893.85,686
2015-03-19 00:00:00+05:30,905.0,919.0,880.0,884.65,550
2015-03-20 00:00:00+05:30,876.0,914.0,799.9,835.4,1521
2015-03-23 00:00:00+05:30,835.0,894.0,824.2,889.3,793
2015-03-24 00:00:00+05:30,924.95,925.0,860.0,874.55,498
2015-03-25 00:00:00+05:30,842.8,898.0,842.0,861.65,267
2015-03-26 00:00:00+05:30,840.55,878.5,820.0,826.7,547
2015-03-27 00:00:00+05:30,879.0,879.0,732.0,779.15,2007
2015-03-30 00:00:00+05:30,825.0,825.0,800.0,809.25,239
2015-03-31 00:00:00+05:30,770.0,859.25,770.0,826.45,1239
2015-04-01 00:00:00+05:30,810.0,840.0,800.0,821.4,981
2015-04-06 00:00:00+05:30,810.0,844.0,810.0,840.35,613
2015-04-07 00:00:00+05:30,822.1,867.0,822.1,856.05,399
2015-04-08 00:00:00+05:30,856.05,924.9,856.05,896.7,2294
2015-04-09 00:00:00+05:30,915.0,980.0,915.0,959.25,1718
2015-04-10 00:00:00+05:30,950.0,993.8,950.0,970.15,1809
2015-04-13 00:00:00+05:30,1014.0,1014.3,932.5,963.45,857
2015-04-15 00:00:00+05:30,963.45,979.9,926.0,942.85,786
2015-04-16 00:00:00+05:30,1045.0,1045.0,915.3,950.45,226
2015-04-17 00:00:00+05:30,950.0,969.85,905.0,915.8,880
2015-04-20 00:00:00+05:30,900.1,959.95,900.1,900.35,461
2015-04-21 00:00:00+05:30,900.0,939.0,871.3,891.15,551
2015-04-22 00:00:00+05:30,947.0,947.0,851.65,865.75,523
2015-04-23 00:00:00+05:30,923.0,923.0,860.5,869.3,369
2015-04-24 00:00:00+05:30,871.0,889.95,800.0,811.8,438
2015-04-27 00:00:00+05:30,780.0,815.2,760.0,769.45,620
2015-04-28 00:00:00+05:30,750.1,805.0,750.1,780.8,312
2015-04-29 00:00:00+05:30,770.0,807.9,770.0,793.9,291
2015-04-30 00:00:00+05:30,755.0,875.0,755.0,820.0,298
2015-05-04 00:00:00+05:30,825.0,827.0,790.0,810.2,2615
2015-05-05 00:00:00+05:30,880.0,880.0,839.0,840.1,544
2015-05-06 00:00:00+05:30,840.0,840.0,800.0,810.0,162
2015-05-07 00:00:00+05:30,785.0,839.45,785.0,813.25,390
2015-05-08 00:00:00+05:30,815.0,815.0,763.95,795.05,236
2015-05-11 00:00:00+05:30,802.0,802.0,785.0,786.5,278
2015-05-12 00:00:00+05:30,802.0,817.9,762.55,786.85,425
2015-05-13 00:00:00+05:30,777.25,799.9,756.1,776.65,307
