date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,66.2,72.2,66.2,72.15,58483
2015-01-02 00:00:00+05:30,69.59,73.84,69.59,70.4,40700
2015-01-05 00:00:00+05:30,69.0,70.5,68.09,69.09,10102
2015-01-06 00:00:00+05:30,66.09,68.15,66.09,67.09,18827
2015-01-07 00:00:00+05:30,64.8,67.95,64.8,67.65,10133
2015-01-08 00:00:00+05:30,65.59,70.0,65.59,68.84,8838
2015-01-09 00:00:00+05:30,67.05,69.8,67.05,68.8,16570
2015-01-12 00:00:00+05:30,68.0,69.8,68.0,68.45,2068
2015-01-13 00:00:00+05:30,68.0,70.0,68.0,68.5,22585
2015-01-14 00:00:00+05:30,68.0,69.0,67.8,68.4,18894
2015-01-15 00:00:00+05:30,67.05,68.3,67.05,68.0,11073
2015-01-16 00:00:00+05:30,69.95,69.95,68.0,68.95,9661
2015-01-19 00:00:00+05:30,68.5,70.9,66.8,67.59,18469
2015-01-20 00:00:00+05:30,67.0,69.95,67.0,67.9,15672
2015-01-21 00:00:00+05:30,68.0,69.0,67.15,67.5,18926
2015-01-22 00:00:00+05:30,67.09,70.84,67.09,70.84,50280
2015-01-23 00:00:00+05:30,73.9,74.34,72.15,74.3,53415
2015-01-27 00:00:00+05:30,75.8,75.8,70.59,71.3,14544
2015-01-28 00:00:00+05:30,68.0,71.0,68.0,69.05,17726
2015-01-29 00:00:00+05:30,69.0,71.59,67.9,69.4,20468
2015-01-30 00:00:00+05:30,72.5,72.5,67.15,68.55,11986
2015-02-02 00:00:00+05:30,68.59,71.5,68.59,70.0,5814
2015-02-03 00:00:00+05:30,70.0,70.95,68.2,69.5,7817
2015-02-04 00:00:00+05:30,68.0,69.75,68.0,69.05,2347
2015-02-05 00:00:00+05:30,68.09,69.9,67.0,67.95,9865
2015-02-06 00:00:00+05:30,66.09,70.45,66.0,66.45,5167
2015-02-09 00:00:00+05:30,65.34,66.0,63.15,63.25,6878
2015-02-10 00:00:00+05:30,62.0,65.0,60.1,62.05,11725
2015-02-11 00:00:00+05:30,61.0,64.95,61.0,64.7,1825
2015-02-12 00:00:00+05:30,62.5,65.0,62.5,64.2,889
2015-02-13 00:00:00+05:30,62.6,65.0,62.3,64.09,11720
2015-02-16 00:00:00+05:30,63.0,64.5,62.0,62.25,9102
2015-02-18 00:00:00+05:30,62.75,63.55,60.6,62.75,13957
2015-02-19 00:00:00+05:30,60.8,64.9,60.8,61.45,13005
2015-02-20 00:00:00+05:30,60.5,62.45,60.5,61.45,7797
2015-02-23 00:00:00+05:30,60.6,63.0,60.6,61.15,8239
2015-02-24 00:00:00+05:30,60.0,62.4,60.0,60.4,6230
2015-02-25 00:00:00+05:30,62.9,62.9,60.0,60.15,7657
2015-02-26 00:00:00+05:30,60.0,60.15,59.5,59.75,12762
2015-02-27 00:00:00+05:30,59.5,61.8,58.7,59.25,18429
2015-03-02 00:00:00+05:30,60.0,63.85,60.0,61.7,9134
2015-03-03 00:00:00+05:30,60.1,61.5,59.0,61.5,19530
2015-03-04 00:00:00+05:30,60.0,63.45,60.0,60.8,12636
2015-03-05 00:00:00+05:30,59.05,62.4,59.05,59.55,7892
2015-03-09 00:00:00+05:30,58.0,61.0,58.0,59.1,7086
2015-03-10 00:00:00+05:30,58.05,59.8,58.05,59.05,5584
2015-03-11 00:00:00+05:30,56.5,61.15,56.5,57.6,18343
2015-03-12 00:00:00+05:30,56.0,58.5,55.0,55.5,29054
2015-03-13 00:00:00+05:30,57.0,57.0,55.2,55.5,10214
2015-03-16 00:00:00+05:30,54.0,56.0,52.75,52.75,40558
2015-03-17 00:00:00+05:30,50.25,54.75,50.25,54.55,72914
2015-03-18 00:00:00+05:30,53.45,55.0,53.45,54.4,12243
2015-03-19 00:00:00+05:30,54.0,55.9,54.0,55.1,6548
2015-03-20 00:00:00+05:30,55.0,55.65,54.0,54.75,8685
2015-03-23 00:00:00+05:30,55.0,55.5,52.95,53.4,12143
2015-03-24 00:00:00+05:30,53.0,54.0,51.1,51.8,9143
2015-03-25 00:00:00+05:30,51.4,51.9,50.05,51.05,11884
2015-03-26 00:00:00+05:30,51.05,51.85,49.5,51.1,17410
2015-03-27 00:00:00+05:30,51.2,51.55,48.55,48.85,45425
2015-03-30 00:00:00+05:30,50.45,51.25,50.0,51.2,22778
2015-03-31 00:00:00+05:30,51.0,52.9,51.0,52.05,10265
2015-04-01 00:00:00+05:30,52.3,54.45,52.15,53.7,9454
2015-04-06 00:00:00+05:30,54.4,56.1,52.05,55.9,5399
2015-04-07 00:00:00+05:30,56.3,56.75,55.0,56.1,3926
2015-04-08 00:00:00+05:30,54.1,57.8,54.1,56.85,2252
