date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,66.7,67.65,66.45,67.0,582476
2015-01-02 00:00:00+05:30,66.9,68.59,66.9,67.8,743944
2015-01-05 00:00:00+05:30,67.8,68.4,66.59,66.84,493122
2015-01-06 00:00:00+05:30,66.25,66.4,64.0,64.3,683376
2015-01-07 00:00:00+05:30,64.15,64.8,62.75,63.75,622529
2015-01-08 00:00:00+05:30,64.5,65.8,64.15,64.95,704082
2015-01-09 00:00:00+05:30,65.4,65.75,63.85,64.4,463410
2015-01-12 00:00:00+05:30,64.65,67.3,64.34,66.25,1016570
2015-01-13 00:00:00+05:30,66.4,66.84,64.7,65.3,616462
2015-01-14 00:00:00+05:30,65.15,65.59,64.09,64.45,359516
2015-01-15 00:00:00+05:30,65.09,65.84,64.65,65.2,665824
2015-01-16 00:00:00+05:30,65.25,67.0,64.5,65.8,786213
2015-01-19 00:00:00+05:30,65.55,67.34,65.55,66.45,559833
2015-01-20 00:00:00+05:30,66.45,72.4,66.45,71.65,4261810
2015-01-21 00:00:00+05:30,72.45,81.65,71.3,80.34,10098315
2015-01-22 00:00:00+05:30,80.09,81.45,77.4,79.0,4645478
2015-01-23 00:00:00+05:30,79.15,80.4,75.09,77.75,2814934
2015-01-27 00:00:00+05:30,77.2,78.45,74.25,75.45,1293385
2015-01-28 00:00:00+05:30,74.95,83.9,74.2,78.45,6052965
2015-01-29 00:00:00+05:30,78.0,84.45,77.2,83.7,5981685
2015-01-30 00:00:00+05:30,84.4,86.0,80.5,81.09,3106203
2015-02-02 00:00:00+05:30,82.0,87.4,82.0,85.1,3880425
2015-02-03 00:00:00+05:30,85.3,85.3,82.15,83.05,1430100
2015-02-04 00:00:00+05:30,83.5,85.5,81.3,82.35,2762598
2015-02-05 00:00:00+05:30,81.0,81.3,74.95,76.0,1793235
2015-02-06 00:00:00+05:30,75.25,75.8,72.8,73.75,1215869
2015-02-09 00:00:00+05:30,72.59,76.8,71.4,74.0,1074393
2015-02-10 00:00:00+05:30,72.8,76.75,72.34,75.05,955568
2015-02-11 00:00:00+05:30,75.3,78.84,75.25,77.65,1173325
2015-02-12 00:00:00+05:30,77.65,82.75,76.45,82.0,2452241
2015-02-13 00:00:00+05:30,82.35,82.9,78.25,79.4,1302729
2015-02-16 00:00:00+05:30,79.9,81.5,78.15,78.55,929428
2015-02-18 00:00:00+05:30,80.59,87.85,80.59,81.15,2335827
2015-02-19 00:00:00+05:30,81.59,81.75,78.59,79.9,908220
2015-02-20 00:00:00+05:30,80.3,81.9,78.5,79.84,973117
2015-02-23 00:00:00+05:30,80.15,80.5,77.15,77.9,769275
2015-02-24 00:00:00+05:30,77.9,78.3,75.09,75.7,644737
2015-02-25 00:00:00+05:30,76.09,76.75,73.5,73.9,807490
2015-02-26 00:00:00+05:30,74.15,74.65,70.65,72.7,1155263
2015-02-27 00:00:00+05:30,73.3,75.34,72.59,74.45,767088
2015-03-02 00:00:00+05:30,73.25,81.7,71.9,81.09,5996673
2015-03-03 00:00:00+05:30,81.15,81.4,78.5,79.3,1750607
2015-03-04 00:00:00+05:30,79.7,83.7,75.55,76.75,4504553
2015-03-05 00:00:00+05:30,76.3,79.34,76.2,77.7,1186964
2015-03-09 00:00:00+05:30,76.55,76.9,74.65,75.09,883234
2015-03-10 00:00:00+05:30,75.25,78.3,73.7,76.7,1325917
2015-03-11 00:00:00+05:30,77.9,79.45,76.09,76.45,1979992
2015-03-12 00:00:00+05:30,77.25,77.84,75.59,75.84,788051
2015-03-13 00:00:00+05:30,77.0,78.45,72.15,72.55,2128019
2015-03-16 00:00:00+05:30,72.5,73.9,70.65,71.09,1053229
2015-03-17 00:00:00+05:30,71.75,73.25,70.05,70.7,1224251
2015-03-18 00:00:00+05:30,71.09,72.2,70.4,71.25,834365
2015-03-19 00:00:00+05:30,71.84,72.9,69.2,69.59,790962
2015-03-20 00:00:00+05:30,69.5,69.84,66.0,66.55,1616868
2015-03-23 00:00:00+05:30,67.0,67.65,65.0,65.45,592267
2015-03-24 00:00:00+05:30,65.59,66.59,63.75,64.55,860581
2015-03-25 00:00:00+05:30,64.7,65.4,62.5,63.9,663133
2015-03-26 00:00:00+05:30,63.5,64.34,62.5,63.2,524527
2015-03-27 00:00:00+05:30,63.9,64.2,60.35,61.1,1034015
2015-03-30 00:00:00+05:30,61.9,64.59,61.9,64.2,888967
2015-03-31 00:00:00+05:30,64.7,66.3,63.5,63.9,838475
2015-04-01 00:00:00+05:30,64.0,66.3,63.7,65.95,1168851
2015-04-06 00:00:00+05:30,66.3,68.25,65.75,67.55,799449
2015-04-07 00:00:00+05:30,67.95,70.65,66.59,69.55,1603856
2015-04-08 00:00:00+05:30,71.05,73.2,70.5,70.84,1942221
2015-04-09 00:00:00+05:30,71.25,73.8,69.75,71.59,1783043
2015-04-10 00:00:00+05:30,71.8,73.75,71.0,72.4,1294529
2015-04-13 00:00:00+05:30,72.59,74.5,72.09,73.05,1344533
2015-04-15 00:00:00+05:30,73.2,73.7,71.09,71.59,1100266
2015-04-16 00:00:00+05:30,71.9,74.9,70.8,74.09,1840132
2015-04-17 00:00:00+05:30,74.25,75.84,71.65,72.0,1510795
2015-04-20 00:00:00+05:30,72.2,72.4,68.9,69.84,691020
2015-04-21 00:00:00+05:30,70.0,71.0,68.65,69.65,694392
2015-04-22 00:00:00+05:30,70.05,70.7,67.0,68.65,809641
2015-04-23 00:00:00+05:30,69.0,70.25,67.75,68.55,692489
2015-04-24 00:00:00+05:30,68.84,68.9,65.34,65.65,541904
2015-04-27 00:00:00+05:30,66.0,66.2,62.75,63.15,460873
2015-04-28 00:00:00+05:30,63.15,64.5,62.8,64.09,464957
2015-04-29 00:00:00+05:30,64.25,66.25,64.0,65.09,636359
2015-04-30 00:00:00+05:30,65.25,65.25,63.75,64.45,599720
2015-05-04 00:00:00+05:30,64.9,66.7,64.5,66.34,713105
2015-05-05 00:00:00+05:30,66.5,67.5,66.05,67.2,585625
2015-05-06 00:00:00+05:30,67.05,67.15,64.55,65.2,586467
2015-05-07 00:00:00+05:30,65.45,66.2,63.2,65.09,564025
2015-05-08 00:00:00+05:30,65.9,66.4,65.0,65.8,312976
2015-05-11 00:00:00+05:30,66.3,67.8,65.34,66.3,479641
2015-05-12 00:00:00+05:30,66.45,66.5,63.35,63.6,338455
2015-05-13 00:00:00+05:30,64.0,65.2,63.65,64.84,447235
2015-05-14 00:00:00+05:30,65.3,65.5,64.05,65.05,231891
2015-05-15 00:00:00+05:30,65.09,65.7,64.7,65.09,293320
2015-05-18 00:00:00+05:30,65.5,67.3,64.8,66.95,557845
2015-05-19 00:00:00+05:30,67.9,70.84,67.65,69.0,1813639
2015-05-20 00:00:00+05:30,68.59,70.9,68.59,70.15,827175
2015-05-21 00:00:00+05:30,70.45,71.8,69.84,71.05,779835
2015-05-22 00:00:00+05:30,71.05,71.7,69.59,71.09,629068
2015-05-25 00:00:00+05:30,70.5,72.5,70.5,71.3,715858
2015-05-26 00:00:00+05:30,71.84,73.5,70.55,71.2,922066
2015-05-27 00:00:00+05:30,70.7,70.7,67.0,67.34,551588
2015-05-28 00:00:00+05:30,67.34,68.9,67.25,67.84,432382
2015-05-29 00:00:00+05:30,67.4,68.3,66.0,67.25,525974
2015-06-01 00:00:00+05:30,67.7,68.59,67.15,67.59,316734
2015-06-02 00:00:00+05:30,67.34,67.9,66.09,66.9,356974
2015-06-03 00:00:00+05:30,66.75,67.15,61.0,62.75,477488
2015-06-04 00:00:00+05:30,62.15,63.7,60.9,62.25,384452
2015-06-05 00:00:00+05:30,62.3,63.65,61.55,62.35,231954
2015-06-08 00:00:00+05:30,64.3,65.8,62.25,62.45,902586
2015-06-09 00:00:00+05:30,62.55,62.75,61.15,61.45,287847
2015-06-10 00:00:00+05:30,61.45,62.75,61.2,62.3,392686
2015-06-11 00:00:00+05:30,62.65,62.9,60.1,60.3,278083
2015-06-12 00:00:00+05:30,60.3,60.5,58.6,59.1,279410
2015-06-15 00:00:00+05:30,59.35,61.35,58.55,60.65,465780
2015-06-16 00:00:00+05:30,60.75,62.1,60.05,61.35,517994
2015-06-17 00:00:00+05:30,61.8,63.4,61.25,62.05,658026
2015-06-18 00:00:00+05:30,62.55,63.45,62.1,62.55,558737
2015-06-19 00:00:00+05:30,62.75,64.2,62.35,62.95,518731
2015-06-22 00:00:00+05:30,63.1,65.9,62.8,65.55,843965
2015-06-23 00:00:00+05:30,65.75,68.0,65.75,67.25,1069473
2015-06-24 00:00:00+05:30,66.59,71.8,66.25,70.3,2109899
2015-06-25 00:00:00+05:30,70.3,73.8,69.4,71.9,1603647
2015-06-26 00:00:00+05:30,71.7,72.7,69.8,70.45,906978
2015-06-29 00:00:00+05:30,68.84,71.5,67.09,70.0,874594
2015-06-30 00:00:00+05:30,69.55,74.2,69.55,73.5,1941388
2015-07-01 00:00:00+05:30,73.5,74.9,72.09,73.0,1224715
2015-07-02 00:00:00+05:30,73.09,76.0,73.09,75.34,2090370
2015-07-03 00:00:00+05:30,75.8,76.4,73.7,74.15,1176800
2015-07-06 00:00:00+05:30,72.09,81.75,71.7,80.8,5522183
2015-07-07 00:00:00+05:30,81.34,82.4,78.09,78.8,2102168
2015-07-08 00:00:00+05:30,76.95,79.0,74.2,75.4,1664234
2015-07-09 00:00:00+05:30,75.45,78.0,74.8,75.7,1116846
2015-07-10 00:00:00+05:30,76.59,78.75,76.59,77.55,1120417
2015-07-13 00:00:00+05:30,77.75,79.5,76.5,77.25,1496004
2015-07-14 00:00:00+05:30,77.8,78.05,75.55,75.95,827215
2015-07-15 00:00:00+05:30,76.65,77.9,75.0,75.8,882607
2015-07-16 00:00:00+05:30,76.05,77.8,75.8,76.75,706790
2015-07-17 00:00:00+05:30,76.84,77.5,75.15,76.5,1499815
2015-07-20 00:00:00+05:30,77.25,77.25,75.2,75.59,1430662
2015-07-21 00:00:00+05:30,75.7,76.5,72.5,72.9,861390
2015-07-22 00:00:00+05:30,72.9,74.7,72.34,73.84,681247
2015-07-23 00:00:00+05:30,73.95,74.55,72.59,73.0,480736
