date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,35.9,36.45,35.54,35.9,2021
2015-01-02 00:00:00+05:30,36.0,37.5,36.0,36.75,4828
2015-01-05 00:00:00+05:30,36.75,37.0,36.0,36.4,2264
2015-01-06 00:00:00+05:30,35.7,37.5,35.2,35.65,2312
2015-01-07 00:00:00+05:30,35.0,42.75,33.15,37.0,9288
2015-01-08 00:00:00+05:30,40.0,44.4,39.04,44.4,179019
2015-01-09 00:00:00+05:30,46.7,49.95,45.0,45.85,339208
2015-01-12 00:00:00+05:30,45.9,46.45,44.0,45.65,38910
2015-01-13 00:00:00+05:30,45.7,46.95,44.0,45.0,38503
2015-01-14 00:00:00+05:30,44.8,45.0,42.05,42.2,27995
2015-01-15 00:00:00+05:30,42.0,44.9,42.0,43.2,24975
2015-01-16 00:00:00+05:30,44.0,44.0,42.2,42.75,14486
2015-01-19 00:00:00+05:30,42.85,44.0,42.2,42.95,34093
2015-01-20 00:00:00+05:30,42.7,43.35,42.0,42.15,13534
2015-01-21 00:00:00+05:30,42.05,42.85,41.25,41.3,25758
2015-01-22 00:00:00+05:30,41.1,41.8,40.6,41.2,13814
2015-01-23 00:00:00+05:30,41.0,41.4,40.0,40.54,7509
2015-01-27 00:00:00+05:30,41.7,42.15,39.15,39.95,8737
2015-01-28 00:00:00+05:30,39.35,40.79,39.35,40.35,4715
2015-01-29 00:00:00+05:30,40.1,40.95,37.75,40.04,9327
2015-01-30 00:00:00+05:30,40.04,41.35,38.65,39.75,14119
2015-02-02 00:00:00+05:30,39.25,40.85,39.1,39.95,6849
2015-02-03 00:00:00+05:30,39.95,41.7,39.5,39.65,8257
2015-02-04 00:00:00+05:30,39.5,40.4,39.4,39.85,3638
2015-02-05 00:00:00+05:30,39.2,40.4,39.2,39.7,2340
2015-02-06 00:00:00+05:30,39.54,39.9,38.0,39.0,9635
2015-02-09 00:00:00+05:30,38.1,40.0,38.1,39.6,4798
2015-02-10 00:00:00+05:30,38.54,39.9,36.5,36.95,11003
2015-02-11 00:00:00+05:30,36.85,39.6,36.85,39.15,8928
2015-02-12 00:00:00+05:30,39.15,39.15,37.85,38.2,6544
2015-02-13 00:00:00+05:30,38.0,39.0,37.7,38.04,8480
