date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,4.95,4.95,4.95,4.95,201
2015-01-02 00:00:00+05:30,5.4,5.4,5.05,5.4,10445
2015-01-05 00:00:00+05:30,5.05,5.9,5.05,5.65,760
2015-01-06 00:00:00+05:30,5.6,5.65,5.09,5.65,1054
2015-01-07 00:00:00+05:30,5.65,5.65,5.65,5.65,150
2015-01-08 00:00:00+05:30,5.65,5.75,5.2,5.65,1217
2015-01-09 00:00:00+05:30,5.65,5.95,5.09,5.25,821
2015-01-14 00:00:00+05:30,5.0,5.0,5.0,5.0,1
2015-01-19 00:00:00+05:30,5.5,5.5,5.0,5.0,102
2015-01-21 00:00:00+05:30,5.5,5.5,5.5,5.5,320
2015-01-22 00:00:00+05:30,6.05,6.05,6.05,6.05,534
2015-01-29 00:00:00+05:30,6.65,6.65,6.65,6.65,500
2015-01-30 00:00:00+05:30,6.0,6.0,6.0,6.0,300
2015-02-02 00:00:00+05:30,6.6,6.6,6.6,6.6,1000
2015-02-06 00:00:00+05:30,7.0,7.0,7.0,7.0,1083
2015-02-12 00:00:00+05:30,8.19,8.19,8.19,8.19,1
2015-02-25 00:00:00+05:30,8.0,8.0,8.0,8.0,25
2015-02-27 00:00:00+05:30,6.5,6.55,6.5,6.55,34
2015-03-02 00:00:00+05:30,6.55,6.55,6.55,6.55,250
2015-03-03 00:00:00+05:30,6.55,6.95,6.55,6.95,510
2015-03-04 00:00:00+05:30,7.0,7.0,6.95,6.95,5003
2015-03-09 00:00:00+05:30,6.9,6.9,6.9,6.9,5010
2015-03-12 00:00:00+05:30,6.6,7.55,6.6,7.55,402
2015-03-18 00:00:00+05:30,6.95,6.95,6.95,6.95,1
2015-04-08 00:00:00+05:30,6.65,6.65,6.65,6.65,50
2015-04-09 00:00:00+05:30,6.35,6.35,6.35,6.35,25
2015-04-22 00:00:00+05:30,6.05,6.05,6.05,6.05,300
2015-05-13 00:00:00+05:30,5.75,5.75,5.75,5.75,25
2015-06-03 00:00:00+05:30,5.5,5.5,5.5,5.5,1
2015-06-16 00:00:00+05:30,5.75,5.75,5.75,5.75,1
2015-07-01 00:00:00+05:30,6.0,6.0,5.7,5.7,101
2015-07-14 00:00:00+05:30,5.7,5.7,5.7,5.7,200
2015-07-16 00:00:00+05:30,5.45,5.45,5.45,5.45,500
2015-07-17 00:00:00+05:30,5.45,5.7,5.2,5.55,1120
2015-07-20 00:00:00+05:30,5.6,5.6,5.6,5.6,1200
2015-07-21 00:00:00+05:30,5.45,5.45,5.45,5.45,100
2015-07-22 00:00:00+05:30,5.4,5.4,5.4,5.4,50
2015-08-03 00:00:00+05:30,5.65,5.65,5.15,5.15,2578
2015-08-04 00:00:00+05:30,5.0,5.4,5.0,5.05,651
2015-08-05 00:00:00+05:30,4.84,5.25,4.84,4.84,765
2015-08-06 00:00:00+05:30,5.05,5.05,5.05,5.05,2200
2015-08-07 00:00:00+05:30,5.3,5.3,5.3,5.3,2889
2015-08-10 00:00:00+05:30,5.55,5.55,5.55,5.55,2000
2015-08-12 00:00:00+05:30,5.65,5.65,5.65,5.65,500
2015-08-14 00:00:00+05:30,5.7,5.75,5.7,5.75,400
2015-08-17 00:00:00+05:30,5.7,5.7,5.7,5.7,50
2015-08-18 00:00:00+05:30,5.55,5.95,5.55,5.6,1323
2015-08-19 00:00:00+05:30,5.7,5.75,5.7,5.7,650
2015-08-20 00:00:00+05:30,5.45,5.45,5.45,5.45,50
2015-08-21 00:00:00+05:30,5.3,5.7,5.2,5.3,9504
2015-08-24 00:00:00+05:30,5.3,5.55,5.3,5.3,678
2015-08-27 00:00:00+05:30,5.05,5.05,5.05,5.05,1700
2015-08-28 00:00:00+05:30,5.3,5.3,5.3,5.3,1000
2015-09-02 00:00:00+05:30,5.05,5.05,5.05,5.05,9
2015-09-04 00:00:00+05:30,4.9,5.3,4.9,4.9,286
2015-09-09 00:00:00+05:30,4.7,4.7,4.7,4.7,500
2015-09-14 00:00:00+05:30,4.65,4.9,4.65,4.9,105
2015-09-15 00:00:00+05:30,5.09,5.09,5.09,5.09,702
2015-09-21 00:00:00+05:30,5.35,5.35,5.35,5.35,25
2015-09-22 00:00:00+05:30,5.6,5.6,5.6,5.6,100
2015-09-23 00:00:00+05:30,5.85,5.85,5.85,5.85,100
2015-09-24 00:00:00+05:30,6.1,6.1,6.1,6.1,6973
2015-09-28 00:00:00+05:30,6.4,6.4,6.4,6.4,5
2015-09-29 00:00:00+05:30,6.7,6.7,6.7,6.7,414
2015-10-01 00:00:00+05:30,7.0,7.0,7.0,7.0,1
2015-10-06 00:00:00+05:30,7.35,7.35,7.35,7.35,300
2015-10-08 00:00:00+05:30,7.7,7.7,7.7,7.7,100
2015-10-09 00:00:00+05:30,8.05,8.05,8.05,8.05,400
2015-10-13 00:00:00+05:30,8.44,8.44,8.44,8.44,500
2015-10-15 00:00:00+05:30,8.85,8.85,8.85,8.85,890
2015-10-21 00:00:00+05:30,9.25,9.25,9.25,9.25,1
2015-10-23 00:00:00+05:30,9.69,9.69,9.69,9.69,500
2015-10-26 00:00:00+05:30,9.3,10.15,9.3,10.15,2000
2015-10-27 00:00:00+05:30,10.65,10.65,10.65,10.65,1350
2015-10-28 00:00:00+05:30,11.15,11.15,11.15,11.15,999
2015-10-29 00:00:00+05:30,11.7,11.7,11.7,11.7,828
2015-10-30 00:00:00+05:30,12.2,12.25,12.0,12.25,916
2015-11-02 00:00:00+05:30,12.3,12.3,12.3,12.3,4000
2015-11-03 00:00:00+05:30,12.3,12.3,12.3,12.3,100
2015-11-04 00:00:00+05:30,12.0,12.0,11.7,11.7,2352
2015-11-05 00:00:00+05:30,11.15,11.15,11.15,11.15,250
2015-11-06 00:00:00+05:30,11.2,11.2,10.6,10.6,15050
2015-11-09 00:00:00+05:30,10.1,10.1,10.1,10.1,600
2015-11-16 00:00:00+05:30,9.6,9.6,9.6,9.6,1000
2015-11-17 00:00:00+05:30,9.15,9.15,9.15,9.15,500
2015-11-18 00:00:00+05:30,8.69,8.69,8.69,8.69,1000
2015-11-19 00:00:00+05:30,8.55,8.55,8.3,8.3,1343
2015-11-20 00:00:00+05:30,8.3,8.3,8.3,8.3,20
2015-11-24 00:00:00+05:30,8.69,8.69,8.69,8.69,250
2015-11-26 00:00:00+05:30,9.1,9.1,9.1,9.1,157
2015-11-27 00:00:00+05:30,9.55,9.55,9.55,9.55,700
2015-12-03 00:00:00+05:30,10.0,10.0,10.0,10.0,100
2015-12-04 00:00:00+05:30,10.5,10.5,10.5,10.5,150
2015-12-07 00:00:00+05:30,10.5,10.5,10.5,10.5,160
2015-12-08 00:00:00+05:30,11.0,11.0,10.5,10.5,856
2015-12-09 00:00:00+05:30,11.0,11.0,11.0,11.0,11000
2015-12-10 00:00:00+05:30,11.5,11.5,11.45,11.45,52
2015-12-14 00:00:00+05:30,10.9,10.9,10.9,10.9,500
2015-12-15 00:00:00+05:30,10.4,10.4,10.4,10.4,1550
2015-12-16 00:00:00+05:30,9.9,9.9,9.9,9.9,2
2015-12-18 00:00:00+05:30,9.9,9.9,9.6,9.6,200
2015-12-21 00:00:00+05:30,10.05,10.05,10.05,10.05,25
2015-12-22 00:00:00+05:30,10.55,10.55,10.55,10.55,15
2015-12-28 00:00:00+05:30,11.05,11.05,11.05,11.05,430
2015-12-29 00:00:00+05:30,11.05,11.05,11.05,11.05,20
2015-12-30 00:00:00+05:30,11.05,11.05,11.05,11.05,500
2015-12-31 00:00:00+05:30,11.6,11.6,11.6,11.6,1002
2016-01-11 00:00:00+05:30,12.75,12.75,12.7,12.75,6505
2016-01-12 00:00:00+05:30,12.85,13.75,12.65,12.7,7366
2016-01-13 00:00:00+05:30,12.5,13.45,11.55,12.0,3642
2016-01-14 00:00:00+05:30,11.45,11.95,11.4,11.95,4206
2016-01-15 00:00:00+05:30,11.4,11.4,11.4,11.4,150
2016-01-18 00:00:00+05:30,11.4,11.4,10.85,11.1,5751
2016-01-19 00:00:00+05:30,10.95,11.0,10.55,10.55,400
2016-01-20 00:00:00+05:30,10.55,10.55,10.55,10.55,28
2016-01-25 00:00:00+05:30,10.05,10.05,10.05,10.05,50
2016-01-28 00:00:00+05:30,9.55,9.55,9.55,9.55,10
2016-01-29 00:00:00+05:30,9.1,9.75,9.1,9.75,35
2016-02-01 00:00:00+05:30,9.3,10.1,9.3,9.8,916
2016-02-02 00:00:00+05:30,10.1,10.2,9.4,9.4,1106
2016-02-03 00:00:00+05:30,9.8,9.8,9.0,9.0,299
2016-02-04 00:00:00+05:30,8.8,8.8,8.8,8.8,40
2016-02-08 00:00:00+05:30,8.55,8.8,8.4,8.45,680
2016-02-09 00:00:00+05:30,8.85,8.85,8.05,8.1,3561
2016-02-10 00:00:00+05:30,8.5,8.5,8.5,8.5,806
2016-02-11 00:00:00+05:30,8.9,8.9,8.2,8.6,649
2016-02-12 00:00:00+05:30,9.0,9.0,9.0,9.0,123
2016-02-15 00:00:00+05:30,9.45,9.45,8.6,9.1,1049
2016-02-16 00:00:00+05:30,9.45,9.45,8.7,9.4,700
2016-02-17 00:00:00+05:30,9.8,9.8,8.95,8.95,1562
2016-02-18 00:00:00+05:30,8.95,8.95,8.55,8.55,151
2016-02-19 00:00:00+05:30,8.15,8.15,8.15,8.15,20
2016-02-22 00:00:00+05:30,8.45,8.45,7.75,7.75,830
2016-02-23 00:00:00+05:30,8.1,8.1,7.4,7.4,1045
2016-02-24 00:00:00+05:30,7.05,7.7,7.05,7.7,601
2016-02-25 00:00:00+05:30,7.95,7.95,7.95,7.95,1
2016-02-26 00:00:00+05:30,7.9,7.9,7.6,7.6,2
2016-02-29 00:00:00+05:30,7.6,7.6,7.6,7.6,115
2016-03-01 00:00:00+05:30,7.9,7.95,7.5,7.5,1175
2016-03-02 00:00:00+05:30,7.7,7.7,7.7,7.7,5
2016-03-04 00:00:00+05:30,7.7,8.05,7.5,7.5,1030
2016-03-08 00:00:00+05:30,7.2,7.8,7.2,7.8,111
2016-03-09 00:00:00+05:30,7.8,8.15,7.8,8.05,300
2016-03-11 00:00:00+05:30,8.35,8.35,8.2,8.2,230
2016-03-15 00:00:00+05:30,8.0,8.15,8.0,8.15,200
2016-03-16 00:00:00+05:30,8.5,8.5,8.45,8.45,201
2016-03-17 00:00:00+05:30,8.45,8.45,8.45,8.45,100
2016-03-18 00:00:00+05:30,8.05,8.05,8.05,8.05,161
2016-03-21 00:00:00+05:30,7.65,7.65,7.65,7.65,100
2016-03-22 00:00:00+05:30,7.3,7.3,7.3,7.3,500
2016-03-23 00:00:00+05:30,7.3,7.3,6.95,6.95,127
2016-03-28 00:00:00+05:30,6.95,6.95,6.95,6.95,88
2016-03-29 00:00:00+05:30,6.8,6.85,6.65,6.75,1399
2016-03-30 00:00:00+05:30,7.05,7.05,6.7,6.7,119
