date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,100.0,101.0,99.4,99.65,291735
2015-01-02 00:00:00+05:30,100.6,112.8,100.6,111.46,3267370
2015-01-05 00:00:00+05:30,112.8,118.32,112.79,114.81,1516055
2015-01-06 00:00:00+05:30,115.0,117.4,110.44,111.89,793235
2015-01-07 00:00:00+05:30,112.99,115.39,110.24,113.76,499790
2015-01-08 00:00:00+05:30,115.99,116.98,114.0,114.98,346535
2015-01-09 00:00:00+05:30,115.4,134.98,115.0,131.46,3058195
2015-01-12 00:00:00+05:30,132.96,139.0,119.76,122.98,4592975
2015-01-13 00:00:00+05:30,124.28,128.62,123.0,124.15,1424655
2015-01-14 00:00:00+05:30,125.0,126.78,123.05,123.77,398485
2015-01-15 00:00:00+05:30,126.6,127.56,124.4,125.17,556015
2015-01-16 00:00:00+05:30,125.82,127.81,123.22,126.22,539415
2015-01-19 00:00:00+05:30,127.3,128.78,124.52,126.95,532215
2015-01-20 00:00:00+05:30,128.0,139.66,127.2,136.23,3735140
2015-01-21 00:00:00+05:30,136.98,144.8,136.5,140.27,3571250
2015-01-22 00:00:00+05:30,141.25,141.25,135.03,139.1,985415
2015-01-23 00:00:00+05:30,127.6,129.8,124.0,125.32,842435
2015-01-27 00:00:00+05:30,124.2,125.2,120.26,122.07,404215
2015-01-28 00:00:00+05:30,123.97,127.4,120.4,125.67,782210
2015-01-29 00:00:00+05:30,125.67,126.8,124.2,125.14,207935
2015-01-30 00:00:00+05:30,123.04,126.8,122.0,123.62,171865
2015-02-02 00:00:00+05:30,124.02,126.78,124.0,125.14,166260
2015-02-03 00:00:00+05:30,126.0,126.71,123.8,124.48,186830
2015-02-04 00:00:00+05:30,124.7,125.59,122.6,123.15,129820
2015-02-05 00:00:00+05:30,123.41,125.58,122.36,123.63,124800
2015-02-06 00:00:00+05:30,123.35,123.35,117.2,118.82,257640
2015-02-09 00:00:00+05:30,118.0,121.42,117.19,118.21,146130
2015-02-10 00:00:00+05:30,118.42,122.54,117.02,120.62,145865
2015-02-11 00:00:00+05:30,121.8,122.62,118.0,118.92,128430
2015-02-12 00:00:00+05:30,120.36,127.6,119.2,125.12,598880
2015-02-13 00:00:00+05:30,125.75,125.96,122.41,123.38,216025
2015-02-16 00:00:00+05:30,123.02,126.4,120.9,121.48,303890
2015-02-18 00:00:00+05:30,121.8,122.77,119.02,120.69,253620
2015-02-19 00:00:00+05:30,121.47,122.6,120.2,120.69,190285
2015-02-20 00:00:00+05:30,121.82,125.09,121.7,123.64,311400
2015-02-23 00:00:00+05:30,124.8,125.9,122.12,123.62,245660
2015-02-24 00:00:00+05:30,125.12,125.12,121.0,121.9,115020
2015-02-25 00:00:00+05:30,121.86,124.0,120.4,121.29,103150
2015-02-26 00:00:00+05:30,121.6,122.0,118.4,121.26,136915
2015-02-27 00:00:00+05:30,122.44,127.0,120.7,125.17,239805
2015-03-02 00:00:00+05:30,123.2,125.59,121.8,124.93,91920
2015-03-03 00:00:00+05:30,124.47,126.39,123.6,125.94,122500
2015-03-04 00:00:00+05:30,128.58,128.58,122.0,123.06,276395
2015-03-05 00:00:00+05:30,123.9,125.4,123.0,123.96,130515
2015-03-09 00:00:00+05:30,125.39,125.62,121.16,122.03,121625
2015-03-10 00:00:00+05:30,122.0,124.0,121.4,122.39,76800
2015-03-11 00:00:00+05:30,121.86,126.43,120.51,124.93,276205
2015-03-12 00:00:00+05:30,125.0,126.0,121.8,122.84,108190
2015-03-13 00:00:00+05:30,122.8,123.8,120.0,120.34,126345
2015-03-16 00:00:00+05:30,118.64,119.98,114.9,116.98,313210
2015-03-17 00:00:00+05:30,116.47,119.4,116.47,117.76,133695
2015-03-18 00:00:00+05:30,118.58,121.7,117.22,119.13,168835
2015-03-19 00:00:00+05:30,120.6,121.6,118.4,118.74,94065
2015-03-20 00:00:00+05:30,119.02,119.22,114.81,115.44,157050
2015-03-23 00:00:00+05:30,115.22,115.31,112.2,112.9,135975
2015-03-24 00:00:00+05:30,113.15,114.4,111.2,111.89,92985
2015-03-25 00:00:00+05:30,111.5,113.0,111.4,112.26,166145
2015-03-26 00:00:00+05:30,112.4,113.2,110.8,111.22,179130
2015-03-27 00:00:00+05:30,112.98,113.62,110.8,111.56,122745
2015-03-30 00:00:00+05:30,111.62,119.8,111.0,117.93,196110
2015-03-31 00:00:00+05:30,119.19,122.76,119.19,121.48,275425
2015-04-01 00:00:00+05:30,122.22,129.99,122.22,128.94,361165
2015-04-06 00:00:00+05:30,131.01,134.94,127.8,128.67,371220
2015-04-07 00:00:00+05:30,129.2,129.94,125.6,128.28,112220
2015-04-08 00:00:00+05:30,128.2,130.4,125.4,126.22,99430
2015-04-09 00:00:00+05:30,126.59,151.46,126.26,149.69,2581705
2015-04-10 00:00:00+05:30,152.0,152.8,143.3,146.0,1534325
