date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,26.15,26.65,26.0,26.65,1045
2015-01-02 00:00:00+05:30,27.0,27.9,26.55,27.45,2455
2015-01-05 00:00:00+05:30,28.45,28.45,26.55,27.0,6838
2015-01-06 00:00:00+05:30,27.85,27.85,25.6,26.0,2514
2015-01-07 00:00:00+05:30,25.5,26.9,24.2,25.1,3943
2015-01-08 00:00:00+05:30,25.0,26.0,24.7,25.95,919
2015-01-09 00:00:00+05:30,26.0,31.0,24.6,27.5,34437
2015-01-12 00:00:00+05:30,27.5,28.35,26.2,26.7,5466
2015-01-13 00:00:00+05:30,26.5,27.45,26.1,27.0,2602
2015-01-14 00:00:00+05:30,26.5,27.3,26.05,26.05,3492
2015-01-15 00:00:00+05:30,26.9,27.0,26.05,26.45,5062
2015-01-16 00:00:00+05:30,27.0,27.85,26.75,27.25,1681
2015-01-19 00:00:00+05:30,27.8,27.8,26.3,27.45,2225
2015-01-20 00:00:00+05:30,27.0,27.75,26.75,27.0,2843
2015-01-21 00:00:00+05:30,27.0,27.9,23.95,25.85,19941
2015-01-22 00:00:00+05:30,26.1,26.7,26.0,26.3,2800
2015-01-23 00:00:00+05:30,26.0,26.45,25.5,25.9,3432
2015-01-27 00:00:00+05:30,26.15,26.15,25.1,25.3,541
2015-01-28 00:00:00+05:30,25.5,25.6,23.5,24.45,9092
2015-01-29 00:00:00+05:30,24.95,25.4,24.55,25.2,2325
2015-01-30 00:00:00+05:30,24.5,25.95,24.5,24.95,3413
2015-02-02 00:00:00+05:30,24.5,24.95,23.15,24.3,5052
2015-02-03 00:00:00+05:30,24.3,29.15,23.6,28.95,61530
2015-02-04 00:00:00+05:30,29.8,29.8,26.65,27.0,5006
2015-02-05 00:00:00+05:30,27.75,27.85,24.65,25.55,8879
2015-02-06 00:00:00+05:30,25.1,26.3,25.1,25.85,927
2015-02-09 00:00:00+05:30,26.1,26.1,24.15,25.05,3136
2015-02-10 00:00:00+05:30,25.1,25.9,24.65,24.8,889
2015-02-11 00:00:00+05:30,26.0,26.4,24.2,24.65,1360
2015-02-12 00:00:00+05:30,24.9,25.95,24.1,25.4,3137
2015-02-13 00:00:00+05:30,24.9,25.5,24.4,24.8,1542
2015-02-16 00:00:00+05:30,24.5,26.0,22.25,23.35,13955
2015-02-18 00:00:00+05:30,23.35,24.75,23.35,23.65,4724
2015-02-19 00:00:00+05:30,23.35,23.95,22.6,23.1,1748
2015-02-20 00:00:00+05:30,23.25,24.0,22.65,23.9,2851
2015-02-23 00:00:00+05:30,23.7,24.0,23.6,23.6,3801
2015-02-24 00:00:00+05:30,23.6,24.0,23.6,23.8,2518
2015-02-25 00:00:00+05:30,23.6,24.4,22.55,22.75,6840
2015-02-26 00:00:00+05:30,22.5,22.5,22.15,22.4,321
2015-02-27 00:00:00+05:30,22.0,24.0,22.0,22.5,1329
2015-03-02 00:00:00+05:30,23.5,24.0,22.4,23.75,2387
2015-03-03 00:00:00+05:30,23.5,24.5,22.7,23.15,4238
2015-03-04 00:00:00+05:30,23.0,23.7,21.6,22.4,8950
2015-03-05 00:00:00+05:30,22.8,23.0,22.05,22.9,700
2015-03-09 00:00:00+05:30,22.5,22.7,21.0,22.65,4073
2015-03-10 00:00:00+05:30,22.5,22.5,21.1,21.7,963
2015-03-11 00:00:00+05:30,22.85,23.9,22.0,22.5,2838
2015-03-12 00:00:00+05:30,22.15,23.0,22.1,22.75,696
2015-03-13 00:00:00+05:30,22.0,23.7,20.65,21.1,6060
2015-03-16 00:00:00+05:30,21.8,21.8,21.0,21.2,3787
2015-03-17 00:00:00+05:30,21.7,21.9,21.3,21.5,192
2015-03-18 00:00:00+05:30,21.85,21.85,20.75,21.75,223
2015-03-19 00:00:00+05:30,21.3,21.3,20.05,20.8,3458
2015-03-20 00:00:00+05:30,21.6,21.6,18.75,19.89,5002
2015-03-23 00:00:00+05:30,20.1,20.9,19.8,20.0,503
2015-03-24 00:00:00+05:30,20.7,24.0,20.2,24.0,24008
2015-03-25 00:00:00+05:30,27.0,28.8,26.0,28.8,98887
2015-03-26 00:00:00+05:30,30.95,34.45,26.3,27.1,157886
2015-03-27 00:00:00+05:30,26.9,27.9,24.3,25.15,17126
2015-03-30 00:00:00+05:30,24.9,26.0,23.35,24.3,17071
2015-03-31 00:00:00+05:30,24.8,27.45,23.3,25.8,17616
2015-04-01 00:00:00+05:30,25.55,28.0,24.1,25.8,15651
2015-04-06 00:00:00+05:30,25.5,26.0,21.2,23.85,70187
2015-04-07 00:00:00+05:30,24.0,24.95,23.4,24.0,14423
2015-04-08 00:00:00+05:30,23.1,24.35,23.1,23.95,5246
2015-04-09 00:00:00+05:30,23.2,24.0,22.7,23.7,6401
2015-04-10 00:00:00+05:30,23.8,25.8,23.15,24.4,3648
2015-04-13 00:00:00+05:30,25.4,26.55,24.75,25.0,4581
2015-04-15 00:00:00+05:30,25.5,25.5,24.4,24.55,5487
2015-04-16 00:00:00+05:30,25.3,25.4,24.4,24.5,2796
2015-04-17 00:00:00+05:30,24.5,24.7,23.45,23.8,4090
2015-04-20 00:00:00+05:30,26.5,26.5,23.85,23.95,4105
2015-04-21 00:00:00+05:30,23.1,24.2,23.1,24.05,2152
2015-04-22 00:00:00+05:30,25.85,25.9,23.85,24.8,2836
2015-04-23 00:00:00+05:30,25.5,25.7,25.0,25.4,6976
2015-04-24 00:00:00+05:30,25.15,25.65,24.3,25.2,6729
2015-04-27 00:00:00+05:30,24.65,24.65,23.55,23.6,4486
2015-04-28 00:00:00+05:30,25.3,25.3,23.1,24.55,4536
2015-04-29 00:00:00+05:30,25.8,25.8,24.1,24.85,3618
2015-04-30 00:00:00+05:30,24.0,24.5,23.05,23.9,1860
2015-05-04 00:00:00+05:30,24.5,24.95,23.9,24.85,201
2015-05-05 00:00:00+05:30,24.8,24.95,23.15,24.5,2759
2015-05-06 00:00:00+05:30,24.2,25.0,22.85,24.0,250
2015-05-07 00:00:00+05:30,23.6,23.6,23.0,23.1,3077
2015-05-08 00:00:00+05:30,23.0,23.8,22.3,22.75,961
2015-05-11 00:00:00+05:30,24.0,24.95,23.35,24.4,4925
2015-05-12 00:00:00+05:30,25.5,25.5,22.85,23.35,2429
2015-05-13 00:00:00+05:30,23.5,24.75,23.0,23.65,1397
2015-05-14 00:00:00+05:30,25.0,25.0,23.25,24.25,232
2015-05-15 00:00:00+05:30,25.0,25.0,23.75,23.9,2360
2015-05-18 00:00:00+05:30,24.0,24.0,23.3,23.35,3186
2015-05-19 00:00:00+05:30,23.25,23.75,23.0,23.2,1157
2015-05-20 00:00:00+05:30,24.9,24.9,23.05,23.3,1477
2015-05-21 00:00:00+05:30,23.1,23.75,23.1,23.75,200
2015-05-22 00:00:00+05:30,23.7,24.75,23.7,23.95,901
2015-05-25 00:00:00+05:30,24.15,24.15,23.25,23.3,1415
2015-05-26 00:00:00+05:30,23.0,24.5,22.4,24.3,618
2015-05-27 00:00:00+05:30,23.75,23.75,22.8,23.05,1186
2015-05-28 00:00:00+05:30,23.05,23.3,22.45,22.75,3511
2015-05-29 00:00:00+05:30,23.9,24.0,22.55,23.7,2107
2015-06-01 00:00:00+05:30,23.5,23.95,22.7,22.8,2316
2015-06-02 00:00:00+05:30,22.8,23.25,22.8,23.25,150
2015-06-03 00:00:00+05:30,22.7,22.7,21.1,21.9,2115
2015-06-04 00:00:00+05:30,21.5,21.55,20.6,21.1,1636
2015-06-05 00:00:00+05:30,20.6,21.5,20.6,21.4,1755
2015-06-08 00:00:00+05:30,21.2,21.9,21.2,21.9,929
2015-06-09 00:00:00+05:30,21.6,21.6,21.4,21.4,56
2015-06-10 00:00:00+05:30,21.1,21.95,20.2,21.65,680
2015-06-11 00:00:00+05:30,21.15,21.4,20.35,21.25,142
2015-06-12 00:00:00+05:30,22.0,23.8,21.4,21.4,616
2015-06-15 00:00:00+05:30,21.2,24.0,21.1,23.35,5619
2015-06-16 00:00:00+05:30,23.0,23.65,21.65,21.8,992
2015-06-17 00:00:00+05:30,21.75,23.35,19.64,20.95,4766
2015-06-18 00:00:00+05:30,20.8,21.6,20.8,21.0,602
2015-06-19 00:00:00+05:30,20.7,21.9,20.7,21.5,2843
2015-06-22 00:00:00+05:30,22.0,22.5,21.0,22.2,167
2015-06-23 00:00:00+05:30,21.7,22.0,20.75,21.75,1371
2015-06-24 00:00:00+05:30,21.7,22.95,21.0,22.45,1235
2015-06-25 00:00:00+05:30,21.7,25.45,21.5,24.8,16984
2015-06-26 00:00:00+05:30,24.8,25.25,23.6,23.95,8770
2015-06-29 00:00:00+05:30,23.5,23.5,22.5,23.1,1291
2015-06-30 00:00:00+05:30,23.1,23.3,22.85,23.1,1003
2015-07-01 00:00:00+05:30,24.5,24.5,22.75,23.65,725
2015-07-02 00:00:00+05:30,23.2,23.7,22.8,23.65,5602
2015-07-03 00:00:00+05:30,23.2,23.95,22.75,23.2,2218
2015-07-06 00:00:00+05:30,23.0,24.4,22.0,23.95,3709
2015-07-07 00:00:00+05:30,24.45,25.0,24.0,24.55,576
2015-07-08 00:00:00+05:30,24.0,28.0,24.0,26.95,21023
2015-07-09 00:00:00+05:30,27.0,32.29,26.35,32.29,122752
2015-07-10 00:00:00+05:30,33.79,34.2,29.2,29.9,81644
2015-07-13 00:00:00+05:30,30.65,31.15,27.75,30.0,35459
2015-07-14 00:00:00+05:30,29.2,36.0,29.2,36.0,100268
2015-07-15 00:00:00+05:30,36.79,39.6,36.35,37.25,205039
2015-07-16 00:00:00+05:30,38.0,40.25,36.75,38.45,80488
2015-07-17 00:00:00+05:30,39.5,39.5,37.2,37.95,26197
2015-07-20 00:00:00+05:30,37.95,39.0,35.6,36.79,26964
2015-07-21 00:00:00+05:30,36.15,37.5,33.2,33.4,15048
2015-07-22 00:00:00+05:30,33.0,34.5,32.04,34.04,18726
2015-07-23 00:00:00+05:30,33.6,37.29,33.4,37.1,26201
2015-07-24 00:00:00+05:30,37.0,39.0,36.75,37.0,21578
2015-07-27 00:00:00+05:30,39.5,39.5,35.6,36.7,13800
2015-07-28 00:00:00+05:30,36.7,39.25,36.0,36.15,13192
2015-07-29 00:00:00+05:30,37.95,37.95,36.0,36.04,21365
2015-07-30 00:00:00+05:30,36.0,37.35,33.4,35.54,15828
2015-07-31 00:00:00+05:30,35.5,38.79,34.7,36.45,27119
2015-08-03 00:00:00+05:30,36.1,37.5,35.29,36.25,8364
2015-08-04 00:00:00+05:30,35.04,36.7,34.65,35.1,18494
2015-08-05 00:00:00+05:30,36.79,38.6,35.0,38.6,123255
2015-08-06 00:00:00+05:30,40.0,40.0,36.85,37.65,48936
2015-08-07 00:00:00+05:30,38.5,38.5,35.54,36.25,13042
2015-08-10 00:00:00+05:30,35.0,43.5,35.0,43.5,158627
2015-08-11 00:00:00+05:30,47.0,49.35,41.4,43.15,190047
2015-08-12 00:00:00+05:30,40.4,45.95,40.15,41.8,48137
2015-08-13 00:00:00+05:30,43.5,43.85,37.2,37.85,20303
2015-08-14 00:00:00+05:30,41.0,41.0,38.6,40.15,19181
2015-08-17 00:00:00+05:30,39.54,39.9,37.6,39.2,11445
2015-08-18 00:00:00+05:30,39.9,43.7,38.5,39.7,30047
2015-08-19 00:00:00+05:30,42.4,44.5,40.79,41.7,47115
2015-08-20 00:00:00+05:30,41.75,43.5,39.0,39.29,7512
2015-08-21 00:00:00+05:30,39.0,41.0,37.65,38.95,13499
2015-08-24 00:00:00+05:30,38.0,38.0,31.25,32.2,25887
2015-08-25 00:00:00+05:30,32.2,35.0,28.5,32.0,20188
2015-08-26 00:00:00+05:30,31.25,33.65,31.25,32.1,9008
2015-08-27 00:00:00+05:30,32.7,34.0,31.7,32.1,28846
2015-08-28 00:00:00+05:30,34.79,34.79,30.1,30.55,21321
2015-08-31 00:00:00+05:30,30.75,31.95,30.25,31.05,7010
2015-09-01 00:00:00+05:30,30.0,31.5,27.6,29.05,18615
2015-09-02 00:00:00+05:30,28.5,29.75,27.6,28.6,36461
2015-09-03 00:00:00+05:30,28.5,29.5,28.5,29.25,6496
2015-09-04 00:00:00+05:30,28.0,31.0,27.05,28.3,7586
2015-09-07 00:00:00+05:30,30.0,31.0,26.65,26.95,7032
2015-09-08 00:00:00+05:30,26.25,27.95,25.9,27.1,5486
2015-09-09 00:00:00+05:30,27.1,28.85,27.1,27.25,4574
2015-09-10 00:00:00+05:30,26.25,27.8,26.25,27.25,541
2015-09-11 00:00:00+05:30,27.7,28.75,27.55,28.55,4669
2015-09-14 00:00:00+05:30,28.0,28.8,28.0,28.6,2172
2015-09-15 00:00:00+05:30,27.65,30.95,27.65,28.75,3414
2015-09-16 00:00:00+05:30,29.8,29.8,28.35,28.45,4542
2015-09-18 00:00:00+05:30,29.7,29.7,28.3,28.6,2309
2015-09-21 00:00:00+05:30,28.0,29.3,27.7,28.35,1196
2015-09-22 00:00:00+05:30,28.3,30.9,28.05,29.15,9324
2015-09-23 00:00:00+05:30,29.0,29.8,28.65,29.2,2725
2015-09-24 00:00:00+05:30,31.0,31.0,28.25,28.4,4338
2015-09-28 00:00:00+05:30,28.85,33.7,28.3,32.95,71874
2015-09-29 00:00:00+05:30,33.4,36.1,31.0,34.9,151148
2015-09-30 00:00:00+05:30,37.29,38.5,36.2,37.95,236679
2015-10-01 00:00:00+05:30,38.45,38.5,36.0,36.7,44654
2015-10-05 00:00:00+05:30,37.5,37.5,34.15,34.4,18953
2015-10-06 00:00:00+05:30,35.0,35.0,32.25,32.95,21851
2015-10-07 00:00:00+05:30,32.75,34.25,32.35,33.65,9539
2015-10-08 00:00:00+05:30,35.75,36.2,33.7,35.04,15037
2015-10-09 00:00:00+05:30,34.5,37.4,34.15,35.4,24932
2015-10-12 00:00:00+05:30,36.45,37.04,35.15,36.25,23452
