date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,2.45,2.45,2.29,2.29,1510
2015-01-02 00:00:00+05:30,2.4,2.4,2.2,2.2,1180
2015-01-05 00:00:00+05:30,2.1,2.2,2.1,2.2,8511
2015-01-06 00:00:00+05:30,2.2,2.2,2.1,2.2,2300
2015-01-09 00:00:00+05:30,2.1,2.1,2.1,2.1,5
2015-01-12 00:00:00+05:30,2.0,2.0,2.0,2.0,509
2015-01-13 00:00:00+05:30,1.9,2.1,1.9,2.1,3740
2015-01-14 00:00:00+05:30,2.2,2.2,2.2,2.2,10
2015-01-15 00:00:00+05:30,2.1,2.1,2.1,2.1,701
2015-01-16 00:00:00+05:30,2.15,2.15,2.1,2.1,208
2015-01-19 00:00:00+05:30,2.0,2.0,2.0,2.0,1010
2015-01-20 00:00:00+05:30,2.0,2.04,1.9,1.9,4308
2015-01-21 00:00:00+05:30,1.85,1.85,1.85,1.85,1000
2015-01-22 00:00:00+05:30,1.9,1.9,1.9,1.9,200
2015-01-23 00:00:00+05:30,1.95,1.95,1.85,1.9,3570
2015-01-27 00:00:00+05:30,1.85,1.85,1.85,1.85,1000
2015-01-28 00:00:00+05:30,1.8,1.8,1.8,1.8,8333
2015-01-29 00:00:00+05:30,1.8,1.85,1.75,1.75,760
2015-01-30 00:00:00+05:30,1.75,1.75,1.75,1.75,100
2015-02-02 00:00:00+05:30,1.8,1.8,1.8,1.8,1
2015-02-03 00:00:00+05:30,1.8,1.8,1.8,1.8,1547
2015-02-04 00:00:00+05:30,1.85,1.85,1.8,1.8,1100
2015-02-05 00:00:00+05:30,1.85,1.85,1.85,1.85,10
2015-02-09 00:00:00+05:30,1.75,1.75,1.7,1.7,2
2015-02-10 00:00:00+05:30,1.8,1.8,1.8,1.8,100
2015-02-13 00:00:00+05:30,1.8,1.8,1.8,1.8,1
2015-02-18 00:00:00+05:30,1.75,1.8,1.65,1.65,1199
2015-02-19 00:00:00+05:30,1.7,1.75,1.5,1.7,2500
2015-02-20 00:00:00+05:30,1.6,1.75,1.6,1.75,5497
2015-02-24 00:00:00+05:30,1.6,1.6,1.6,1.6,1980
2015-02-25 00:00:00+05:30,1.45,1.75,1.45,1.75,15100
2015-02-27 00:00:00+05:30,1.85,1.9,1.6,1.65,8165
2015-03-02 00:00:00+05:30,1.8,1.8,1.5,1.7,5125
2015-03-03 00:00:00+05:30,1.55,1.7,1.55,1.55,3810
2015-03-04 00:00:00+05:30,1.55,1.7,1.4,1.7,1402
2015-03-05 00:00:00+05:30,1.55,1.85,1.55,1.65,2847
2015-03-09 00:00:00+05:30,1.5,1.8,1.5,1.8,51
2015-03-10 00:00:00+05:30,1.95,1.95,1.65,1.75,4344
2015-03-11 00:00:00+05:30,1.6,1.6,1.6,1.6,200
2015-03-12 00:00:00+05:30,1.6,1.6,1.45,1.6,3111
2015-03-13 00:00:00+05:30,1.45,1.45,1.45,1.45,3304
2015-03-17 00:00:00+05:30,1.45,1.45,1.35,1.45,6601
2015-03-18 00:00:00+05:30,1.45,1.55,1.45,1.55,2080
2015-03-19 00:00:00+05:30,1.4,1.65,1.4,1.65,4678
2015-03-20 00:00:00+05:30,1.6,1.65,1.6,1.65,204
2015-03-23 00:00:00+05:30,1.5,1.5,1.5,1.5,2202
2015-03-24 00:00:00+05:30,1.35,1.35,1.35,1.35,1000
2015-03-27 00:00:00+05:30,1.3,1.3,1.3,1.3,100
2015-03-30 00:00:00+05:30,1.25,1.25,1.25,1.25,189
2015-03-31 00:00:00+05:30,1.2,1.2,1.2,1.2,2015
2015-04-01 00:00:00+05:30,1.2,1.2,1.2,1.2,2850
2015-04-06 00:00:00+05:30,1.25,1.25,1.25,1.25,28
2015-04-07 00:00:00+05:30,1.3,1.3,1.3,1.3,1900
2015-04-08 00:00:00+05:30,1.35,1.35,1.35,1.35,128
2015-04-09 00:00:00+05:30,1.4,1.4,1.4,1.4,6598
2015-04-10 00:00:00+05:30,1.45,1.45,1.45,1.45,443
2015-04-13 00:00:00+05:30,1.5,1.5,1.5,1.5,327
2015-04-15 00:00:00+05:30,1.55,1.55,1.55,1.55,2200
2015-04-16 00:00:00+05:30,1.6,1.6,1.6,1.6,3000
2015-04-20 00:00:00+05:30,1.65,1.65,1.65,1.65,1950
2015-04-21 00:00:00+05:30,1.7,1.7,1.7,1.7,500
2015-04-22 00:00:00+05:30,1.75,1.75,1.75,1.75,100
2015-04-23 00:00:00+05:30,1.8,1.8,1.8,1.8,65
2015-04-24 00:00:00+05:30,1.85,1.85,1.85,1.85,200
2015-04-27 00:00:00+05:30,1.9,1.9,1.9,1.9,1933
2015-04-28 00:00:00+05:30,1.85,1.9,1.85,1.9,1530
2015-04-29 00:00:00+05:30,1.95,1.95,1.95,1.95,509
2015-04-30 00:00:00+05:30,2.0,2.0,1.95,1.95,8951
2015-05-04 00:00:00+05:30,2.0,2.0,1.9,1.9,2297
2015-05-05 00:00:00+05:30,1.95,1.95,1.95,1.95,516
2015-05-06 00:00:00+05:30,2.0,2.0,1.9,1.9,6075
2015-05-07 00:00:00+05:30,1.95,1.95,1.95,1.95,19
2015-05-08 00:00:00+05:30,2.0,2.0,1.9,2.0,16038
2015-05-11 00:00:00+05:30,2.1,2.1,2.1,2.1,4122
2015-05-12 00:00:00+05:30,2.2,2.2,2.2,2.2,1010
2015-05-13 00:00:00+05:30,2.29,2.29,2.29,2.29,3500
2015-05-14 00:00:00+05:30,2.4,2.4,2.4,2.4,12653
2015-05-15 00:00:00+05:30,2.5,2.5,2.5,2.5,19
2015-05-18 00:00:00+05:30,2.6,2.6,2.6,2.6,1500
2015-05-19 00:00:00+05:30,2.7,2.7,2.7,2.7,1505
2015-05-20 00:00:00+05:30,2.8,2.8,2.8,2.8,460
2015-05-21 00:00:00+05:30,2.9,2.9,2.8,2.9,37889
2015-05-22 00:00:00+05:30,3.0,3.0,2.85,2.85,7500
2015-05-25 00:00:00+05:30,2.95,2.95,2.75,2.95,33756
2015-05-26 00:00:00+05:30,3.05,3.05,2.85,2.85,8250
2015-05-27 00:00:00+05:30,2.9,2.9,2.75,2.75,450
2015-05-28 00:00:00+05:30,2.75,2.75,2.75,2.75,3
2015-05-29 00:00:00+05:30,2.65,2.65,2.65,2.65,126
2015-06-01 00:00:00+05:30,2.6,2.75,2.6,2.75,13147
2015-06-02 00:00:00+05:30,2.65,2.85,2.65,2.65,11025
2015-06-03 00:00:00+05:30,2.75,2.75,2.54,2.54,10270
2015-06-04 00:00:00+05:30,2.45,2.45,2.45,2.45,2006
2015-06-05 00:00:00+05:30,2.25,2.54,2.25,2.29,29474
2015-06-08 00:00:00+05:30,2.1,2.2,2.1,2.1,13100
2015-06-09 00:00:00+05:30,2.0,2.29,1.9,2.29,78659
2015-06-10 00:00:00+05:30,2.5,2.5,2.5,2.5,17005
2015-06-11 00:00:00+05:30,2.75,2.75,2.6,2.75,11362
2015-06-12 00:00:00+05:30,2.5,3.0,2.5,3.0,29343
2015-06-15 00:00:00+05:30,3.15,3.15,2.85,3.0,18130
2015-06-16 00:00:00+05:30,3.1,3.15,3.0,3.1,79518
2015-06-17 00:00:00+05:30,3.15,3.25,3.15,3.2,49484
2015-06-18 00:00:00+05:30,3.35,3.35,3.25,3.25,5775
2015-06-19 00:00:00+05:30,3.4,3.4,3.1,3.25,19401
2015-06-22 00:00:00+05:30,3.1,3.35,3.1,3.1,12571
2015-06-23 00:00:00+05:30,3.2,3.2,3.0,3.05,11285
2015-06-24 00:00:00+05:30,3.0,3.05,2.9,2.95,2795
2015-06-25 00:00:00+05:30,2.85,2.9,2.85,2.9,2620
2015-06-26 00:00:00+05:30,2.8,3.0,2.8,2.9,12070
2015-07-01 00:00:00+05:30,3.0,3.0,2.8,2.8,85
2015-07-02 00:00:00+05:30,2.7,2.9,2.7,2.9,13600
2015-07-03 00:00:00+05:30,3.1,3.15,2.85,3.1,33900
2015-07-06 00:00:00+05:30,3.0,3.4,3.0,3.4,93057
2015-07-07 00:00:00+05:30,3.7,3.7,3.7,3.7,16952
2015-07-08 00:00:00+05:30,3.85,3.85,3.55,3.85,18205
2015-07-09 00:00:00+05:30,4.0,4.0,4.0,4.0,99870
2015-07-10 00:00:00+05:30,4.2,4.2,4.2,4.2,28257
2015-07-13 00:00:00+05:30,4.4,4.4,4.4,4.4,8669
2015-07-14 00:00:00+05:30,4.59,4.59,4.59,4.59,16994
2015-07-15 00:00:00+05:30,4.8,4.8,4.4,4.4,99109
2015-07-16 00:00:00+05:30,4.2,4.59,4.2,4.2,62548
2015-07-17 00:00:00+05:30,4.0,4.0,4.0,4.0,8400
2015-07-20 00:00:00+05:30,4.0,4.0,3.8,3.8,18921
2015-07-21 00:00:00+05:30,3.65,3.65,3.65,3.65,1110
2015-07-22 00:00:00+05:30,3.5,3.5,3.5,3.5,3300
2015-07-23 00:00:00+05:30,3.4,3.55,3.35,3.45,7721
