date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,77.4,78.47,77.27,77.94,188473
2015-01-02 00:00:00+05:30,78.47,78.93,77.6,77.81,685341
2015-01-05 00:00:00+05:30,79.75,81.41,79.38,80.41,2154176
2015-01-06 00:00:00+05:30,80.0,80.99,78.96,80.25,926264
2015-01-07 00:00:00+05:30,80.13,81.57,79.5,80.16,587038
2015-01-08 00:00:00+05:30,80.75,82.85,79.67,80.05,4622547
2015-01-09 00:00:00+05:30,80.66,80.75,79.34,79.87,799580
2015-01-12 00:00:00+05:30,80.05,81.82,79.38,80.86,869422
2015-01-13 00:00:00+05:30,80.54,81.24,79.46,79.67,496405
2015-01-14 00:00:00+05:30,79.59,80.45,77.68,78.26,657485
2015-01-15 00:00:00+05:30,79.71,80.91,79.09,79.25,669616
2015-01-16 00:00:00+05:30,79.25,79.3,78.18,78.35,313811
2015-01-19 00:00:00+05:30,78.35,78.59,77.35,77.6,419797
2015-01-20 00:00:00+05:30,77.27,79.25,77.27,78.88,1080277
2015-01-21 00:00:00+05:30,78.88,79.67,77.89,78.72,1077373
2015-01-22 00:00:00+05:30,78.85,79.34,77.27,77.56,465664
2015-01-23 00:00:00+05:30,78.39,78.88,76.45,77.03,386107
2015-01-27 00:00:00+05:30,78.51,80.75,77.81,78.93,1895001
2015-01-28 00:00:00+05:30,78.1,79.14,77.48,78.8,406897
2015-01-29 00:00:00+05:30,79.22,79.22,76.69,78.43,703523
2015-01-30 00:00:00+05:30,78.51,78.8,76.82,77.15,413348
2015-02-02 00:00:00+05:30,77.27,78.68,76.2,77.03,482515
2015-02-03 00:00:00+05:30,77.11,77.73,76.65,76.82,234060
2015-02-04 00:00:00+05:30,76.86,77.23,74.38,74.79,500119
2015-02-05 00:00:00+05:30,74.79,83.43,74.46,78.59,3649987
2015-02-06 00:00:00+05:30,78.59,80.95,78.02,78.31,591484
2015-02-09 00:00:00+05:30,77.85,79.01,77.48,78.1,287928
2015-02-10 00:00:00+05:30,78.1,79.3,77.68,78.88,263668
2015-02-11 00:00:00+05:30,78.88,79.34,78.1,79.05,278143
2015-02-12 00:00:00+05:30,78.72,79.05,77.06,77.6,444976
2015-02-13 00:00:00+05:30,77.68,78.43,77.19,77.97,472806
2015-02-16 00:00:00+05:30,77.94,78.85,77.15,78.1,465328
2015-02-18 00:00:00+05:30,78.51,81.82,78.18,80.66,1602986
2015-02-19 00:00:00+05:30,80.99,82.81,80.33,82.44,1192802
2015-02-20 00:00:00+05:30,82.97,83.8,81.32,81.77,1049794
2015-02-23 00:00:00+05:30,81.77,83.23,80.83,81.36,865426
2015-02-24 00:00:00+05:30,81.36,82.65,80.99,82.56,1627702
2015-02-25 00:00:00+05:30,82.68,83.02,80.66,81.04,559414
2015-02-26 00:00:00+05:30,81.24,82.32,80.25,82.03,467673
2015-02-27 00:00:00+05:30,82.03,82.6,81.82,82.4,654860
2015-03-02 00:00:00+05:30,82.23,83.31,81.49,82.4,1007767
2015-03-03 00:00:00+05:30,82.65,84.14,81.9,82.97,2657747
2015-03-04 00:00:00+05:30,84.3,84.63,82.32,82.6,722842
2015-03-05 00:00:00+05:30,82.97,82.97,81.57,81.98,376797
2015-03-09 00:00:00+05:30,82.4,82.65,81.07,81.86,1675407
2015-03-10 00:00:00+05:30,81.49,82.56,80.54,80.99,629905
2015-03-11 00:00:00+05:30,81.41,81.41,79.5,80.05,1158857
2015-03-12 00:00:00+05:30,80.16,82.23,79.79,81.82,355849
2015-03-13 00:00:00+05:30,82.23,82.56,81.04,81.36,367126
2015-03-16 00:00:00+05:30,80.29,81.74,79.46,79.84,207815
2015-03-17 00:00:00+05:30,80.25,81.15,78.96,79.59,326543
2015-03-18 00:00:00+05:30,79.87,80.37,78.76,79.79,10006680
2015-03-19 00:00:00+05:30,80.08,80.66,79.17,80.05,424992
2015-03-20 00:00:00+05:30,80.13,80.13,79.01,79.38,291727
2015-03-23 00:00:00+05:30,79.79,80.08,77.68,78.18,576579
2015-03-24 00:00:00+05:30,77.32,80.75,77.32,80.08,457856
2015-03-25 00:00:00+05:30,80.08,80.5,79.5,79.84,535821
