date,open,high,low,close,volume
2019-08-20 00:00:00+05:30,42.25,42.4,39.15,39.3,23491
2019-08-21 00:00:00+05:30,40.0,41.45,37.55,38.0,26549
2019-08-22 00:00:00+05:30,37.5,38.5,36.0,36.55,40540
2019-08-23 00:00:00+05:30,33.5,41.4,33.5,39.65,39667
2019-08-26 00:00:00+05:30,40.65,41.55,39.15,40.55,16544
2019-08-27 00:00:00+05:30,41.0,41.35,40.5,40.85,8483
2019-08-28 00:00:00+05:30,40.95,41.35,38.15,38.6,76583
2019-08-29 00:00:00+05:30,38.05,39.5,38.0,38.55,214271
2019-08-30 00:00:00+05:30,40.7,40.7,37.8,38.25,31137
2019-09-03 00:00:00+05:30,38.25,38.4,36.0,36.2,35536
2019-09-04 00:00:00+05:30,35.15,40.0,35.1,38.0,33492
2019-09-05 00:00:00+05:30,38.05,38.85,38.0,38.25,9266
2019-09-06 00:00:00+05:30,38.95,41.3,38.4,40.9,80771
2019-09-09 00:00:00+05:30,42.0,43.35,40.2,42.9,120153
2019-09-11 00:00:00+05:30,43.0,51.45,40.95,48.9,499390
2019-09-12 00:00:00+05:30,49.3,49.9,45.55,46.9,133293
2019-09-13 00:00:00+05:30,48.5,50.8,45.65,49.5,67925
2019-09-16 00:00:00+05:30,47.0,49.5,47.0,49.15,17002
2019-09-17 00:00:00+05:30,52.9,52.9,46.0,47.45,33508
2019-09-18 00:00:00+05:30,48.75,48.8,47.5,47.6,19681
2019-09-19 00:00:00+05:30,49.05,49.05,45.7,46.65,117917
2019-09-20 00:00:00+05:30,48.5,51.2,45.6,49.15,61071
2019-09-23 00:00:00+05:30,53.45,54.9,50.05,50.95,88292
2019-09-24 00:00:00+05:30,50.0,51.7,48.4,50.3,41030
2019-09-25 00:00:00+05:30,48.15,49.95,47.55,47.7,45151
2019-09-26 00:00:00+05:30,47.55,50.45,47.3,48.6,44230
2019-09-27 00:00:00+05:30,49.9,53.95,49.0,52.25,228781
2019-09-30 00:00:00+05:30,53.45,53.5,50.55,51.45,83803
