date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,2.88,3.04,2.85,2.98,68610
2015-01-02 00:00:00+05:30,2.9,3.06,2.86,3.01,166250
2015-01-05 00:00:00+05:30,3.08,3.08,2.98,3.04,84890
2015-01-06 00:00:00+05:30,2.98,3.64,2.95,3.2,761580
2015-01-07 00:00:00+05:30,3.17,3.3,3.05,3.22,160880
2015-01-08 00:00:00+05:30,3.17,3.25,3.16,3.22,92950
2015-01-09 00:00:00+05:30,3.29,3.3,3.13,3.26,48890
2015-01-12 00:00:00+05:30,3.3,3.4,3.27,3.29,169660
2015-01-13 00:00:00+05:30,3.33,3.39,3.06,3.14,233950
2015-01-14 00:00:00+05:30,3.14,3.19,3.03,3.04,81300
2015-01-15 00:00:00+05:30,3.1,3.15,3.04,3.07,56560
2015-01-16 00:00:00+05:30,3.04,3.2,3.04,3.07,190910
2015-01-19 00:00:00+05:30,3.13,3.13,3.02,3.06,32720
2015-01-20 00:00:00+05:30,3.1,3.1,3.01,3.03,15930
2015-01-21 00:00:00+05:30,3.0,3.18,2.97,3.1,268040
2015-01-22 00:00:00+05:30,3.11,3.27,3.04,3.18,254270
2015-01-23 00:00:00+05:30,3.05,3.14,3.04,3.06,81260
2015-01-27 00:00:00+05:30,3.02,3.22,2.99,3.16,321310
2015-01-28 00:00:00+05:30,3.3,3.3,3.08,3.13,219180
2015-01-29 00:00:00+05:30,3.06,3.35,3.06,3.22,87760
2015-01-30 00:00:00+05:30,3.18,3.23,3.05,3.1,173820
2015-02-02 00:00:00+05:30,3.1,3.18,2.96,3.1,39240
2015-02-03 00:00:00+05:30,3.1,3.1,3.01,3.04,21710
2015-02-04 00:00:00+05:30,3.02,3.18,3.02,3.06,81080
2015-02-05 00:00:00+05:30,3.05,3.12,2.99,3.02,44010
2015-02-06 00:00:00+05:30,3.01,3.02,2.91,2.98,74600
2015-02-09 00:00:00+05:30,2.94,2.99,2.9,2.96,10460
2015-02-10 00:00:00+05:30,2.94,3.02,2.77,2.8,105340
2015-02-11 00:00:00+05:30,2.85,2.95,2.85,2.87,52050
2015-02-12 00:00:00+05:30,2.9,2.96,2.85,2.91,9640
2015-02-13 00:00:00+05:30,2.89,2.96,2.86,2.88,33180
2015-02-16 00:00:00+05:30,2.87,2.95,2.81,2.88,36390
2015-02-18 00:00:00+05:30,2.87,3.03,2.82,3.01,200000
2015-02-19 00:00:00+05:30,3.08,3.09,2.93,2.98,89380
2015-02-20 00:00:00+05:30,3.11,3.16,2.92,2.98,88390
2015-02-23 00:00:00+05:30,3.01,3.03,2.95,2.98,13650
2015-02-24 00:00:00+05:30,2.95,3.0,2.86,2.91,58880
2015-02-25 00:00:00+05:30,2.9,2.95,2.86,2.88,31580
2015-02-26 00:00:00+05:30,2.95,2.96,2.86,2.88,10250
2015-02-27 00:00:00+05:30,2.86,2.9,2.81,2.87,127750
2015-03-02 00:00:00+05:30,2.81,2.9,2.74,2.78,63290
