date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,261.25,264.45,261.25,262.64,53202
2015-01-02 00:00:00+05:30,262.0,273.85,262.0,268.7,294129
2015-01-05 00:00:00+05:30,266.3,270.39,266.1,268.64,138246
2015-01-06 00:00:00+05:30,265.64,267.95,256.0,256.6,160218
2015-01-07 00:00:00+05:30,256.35,260.0,256.0,256.8,94686
2015-01-08 00:00:00+05:30,258.1,264.6,258.1,262.25,165201
2015-01-09 00:00:00+05:30,265.0,279.75,264.89,270.45,696731
2015-01-12 00:00:00+05:30,268.7,274.0,266.1,268.45,117972
2015-01-13 00:00:00+05:30,269.0,283.75,268.85,272.89,853269
2015-01-14 00:00:00+05:30,272.45,276.6,265.0,269.2,249187
2015-01-15 00:00:00+05:30,275.55,277.55,270.0,274.35,163967
2015-01-16 00:00:00+05:30,275.0,277.2,270.95,272.2,86988
2015-01-19 00:00:00+05:30,272.2,274.89,266.0,268.7,372063
2015-01-20 00:00:00+05:30,269.0,270.85,265.1,265.85,92549
2015-01-21 00:00:00+05:30,267.0,268.45,262.2,263.95,108196
2015-01-22 00:00:00+05:30,265.0,267.45,263.0,264.64,83433
2015-01-23 00:00:00+05:30,267.0,269.39,258.5,260.2,107400
2015-01-27 00:00:00+05:30,262.0,262.7,256.5,259.55,149124
2015-01-28 00:00:00+05:30,259.8,260.45,254.0,255.55,99235
2015-01-29 00:00:00+05:30,255.55,256.45,251.0,252.0,354251
2015-01-30 00:00:00+05:30,255.7,257.7,251.1,253.55,124923
2015-02-02 00:00:00+05:30,253.35,265.0,250.1,257.05,193703
2015-02-03 00:00:00+05:30,259.6,262.0,255.1,256.5,82844
2015-02-04 00:00:00+05:30,258.55,260.39,255.5,258.45,314973
2015-02-05 00:00:00+05:30,258.0,262.5,248.0,255.1,106181
2015-02-06 00:00:00+05:30,255.1,259.95,249.1,251.2,130475
2015-02-09 00:00:00+05:30,250.45,256.0,243.15,250.15,146871
2015-02-10 00:00:00+05:30,248.1,257.45,247.3,252.15,129511
2015-02-11 00:00:00+05:30,255.4,255.75,247.0,248.4,160218
2015-02-12 00:00:00+05:30,251.4,256.45,243.5,253.2,750011
2015-02-13 00:00:00+05:30,257.8,266.95,254.0,265.55,482364
2015-02-16 00:00:00+05:30,268.39,280.0,267.75,276.1,489160
2015-02-18 00:00:00+05:30,277.14,283.39,270.8,274.95,226126
2015-02-19 00:00:00+05:30,275.55,279.2,269.0,270.2,259895
2015-02-20 00:00:00+05:30,270.0,276.5,268.35,274.1,117140
2015-02-23 00:00:00+05:30,274.0,285.3,273.05,276.0,294056
2015-02-24 00:00:00+05:30,277.7,282.1,275.25,276.6,113081
2015-02-25 00:00:00+05:30,277.5,279.64,270.0,272.05,95581
2015-02-26 00:00:00+05:30,273.95,273.95,264.25,269.7,124748
2015-02-27 00:00:00+05:30,271.7,274.0,268.6,272.95,73329
2015-03-02 00:00:00+05:30,269.7,273.0,263.0,270.95,104746
2015-03-03 00:00:00+05:30,272.0,282.89,268.2,279.14,215942
2015-03-04 00:00:00+05:30,283.39,284.0,269.6,273.6,350032
2015-03-05 00:00:00+05:30,275.0,281.0,271.14,279.95,180448
2015-03-09 00:00:00+05:30,277.89,277.89,270.25,273.25,73837
2015-03-10 00:00:00+05:30,273.39,276.0,267.0,268.25,73859
2015-03-11 00:00:00+05:30,268.0,270.0,266.05,269.05,48726
2015-03-12 00:00:00+05:30,269.3,271.85,268.0,268.55,37129
2015-03-13 00:00:00+05:30,270.45,306.5,270.39,291.2,3025118
2015-03-16 00:00:00+05:30,296.7,300.8,285.6,286.8,472692
2015-03-17 00:00:00+05:30,288.8,295.5,282.2,294.95,404158
2015-03-18 00:00:00+05:30,297.0,302.89,289.0,292.05,338432
2015-03-19 00:00:00+05:30,293.0,294.8,278.0,282.3,148546
2015-03-20 00:00:00+05:30,281.0,282.3,272.6,276.64,172369
2015-03-23 00:00:00+05:30,275.5,277.89,270.89,272.45,83821
2015-03-24 00:00:00+05:30,270.05,274.45,268.05,269.25,71577
2015-03-25 00:00:00+05:30,271.0,275.95,268.0,269.39,115549
2015-03-26 00:00:00+05:30,269.39,269.39,264.05,266.14,95212
2015-03-27 00:00:00+05:30,266.2,280.0,261.0,272.55,108492
2015-03-30 00:00:00+05:30,271.05,281.0,271.05,280.1,142070
2015-03-31 00:00:00+05:30,281.45,288.0,280.55,284.75,133552
2015-04-01 00:00:00+05:30,284.5,293.5,284.5,289.6,226291
2015-04-06 00:00:00+05:30,290.1,298.0,286.0,291.55,99724
2015-04-07 00:00:00+05:30,292.45,293.0,285.25,286.55,45471
2015-04-08 00:00:00+05:30,287.7,294.5,287.0,292.25,79860
2015-04-09 00:00:00+05:30,294.7,295.2,286.39,288.45,52109
2015-04-10 00:00:00+05:30,290.7,290.7,282.0,287.35,105961
2015-04-13 00:00:00+05:30,288.1,295.0,282.25,285.14,64111
