date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,369.6,369.6,362.8,366.6,44734
2015-01-02 00:00:00+05:30,369.0,377.2,367.85,375.8,61887
2015-01-05 00:00:00+05:30,375.5,391.25,375.0,378.5,131801
2015-01-06 00:00:00+05:30,378.9,381.0,370.0,372.25,94981
2015-01-07 00:00:00+05:30,374.0,374.95,358.6,359.75,66526
2015-01-08 00:00:00+05:30,362.85,364.9,354.0,358.15,336775
2015-01-09 00:00:00+05:30,361.0,363.8,347.1,350.2,103714
2015-01-12 00:00:00+05:30,353.7,355.45,350.3,351.0,166934
2015-01-13 00:00:00+05:30,354.9,354.95,345.0,350.0,99914
2015-01-14 00:00:00+05:30,353.0,354.8,346.2,352.7,46389
2015-01-15 00:00:00+05:30,355.0,355.0,348.45,350.3,45263
2015-01-16 00:00:00+05:30,351.1,352.85,348.5,350.05,127827
2015-01-19 00:00:00+05:30,350.1,353.1,347.5,348.15,143736
2015-01-20 00:00:00+05:30,348.35,354.65,348.35,351.0,43006
2015-01-21 00:00:00+05:30,351.15,354.65,349.9,351.6,98645
2015-01-22 00:00:00+05:30,353.0,354.05,349.1,350.7,201078
2015-01-23 00:00:00+05:30,352.05,359.9,352.0,356.35,53400
2015-01-27 00:00:00+05:30,357.7,374.7,357.7,372.65,132531
2015-01-28 00:00:00+05:30,372.5,372.5,360.75,363.7,60787
2015-01-29 00:00:00+05:30,363.75,363.9,349.65,350.5,204013
2015-01-30 00:00:00+05:30,352.9,362.3,352.9,359.9,82653
2015-02-02 00:00:00+05:30,361.0,364.85,354.55,356.3,23335
2015-02-03 00:00:00+05:30,356.6,360.0,351.05,352.55,16944
2015-02-04 00:00:00+05:30,352.8,358.0,345.0,348.2,64778
2015-02-05 00:00:00+05:30,348.9,361.95,325.1,331.2,581055
2015-02-06 00:00:00+05:30,333.0,348.4,331.2,345.65,156674
2015-02-09 00:00:00+05:30,345.65,345.9,335.0,339.65,47743
2015-02-10 00:00:00+05:30,335.55,351.45,335.5,340.6,49819
2015-02-11 00:00:00+05:30,341.0,356.0,341.0,352.85,53388
2015-02-12 00:00:00+05:30,356.8,356.95,347.5,349.75,49989
2015-02-13 00:00:00+05:30,350.45,354.0,347.05,351.2,52534
2015-02-16 00:00:00+05:30,355.0,359.5,351.3,355.0,60129
2015-02-18 00:00:00+05:30,356.35,356.35,338.9,343.75,332391
2015-02-19 00:00:00+05:30,346.75,351.05,342.5,349.3,71273
2015-02-20 00:00:00+05:30,351.3,351.3,344.8,346.6,23668
2015-02-23 00:00:00+05:30,347.5,348.0,341.2,342.3,65871
2015-02-24 00:00:00+05:30,345.45,355.8,343.55,353.7,56468
2015-02-25 00:00:00+05:30,357.0,361.55,348.15,355.6,167127
2015-02-26 00:00:00+05:30,355.7,364.75,349.9,363.3,97920
2015-02-27 00:00:00+05:30,366.4,369.5,361.75,368.0,108911
