date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,68.0,68.84,66.34,67.55,1283
2015-01-02 00:00:00+05:30,68.95,74.3,67.2,74.05,75540
2015-01-05 00:00:00+05:30,74.0,76.9,67.55,69.75,29039
2015-01-06 00:00:00+05:30,69.0,70.75,66.5,66.95,14125
2015-01-07 00:00:00+05:30,67.84,69.09,65.15,66.55,3856
2015-01-08 00:00:00+05:30,68.95,71.8,67.0,68.09,6943
2015-01-09 00:00:00+05:30,71.0,71.0,65.5,66.75,11341
2015-01-12 00:00:00+05:30,66.0,66.84,63.95,64.25,9653
2015-01-13 00:00:00+05:30,63.05,68.0,63.05,65.5,4060
2015-01-14 00:00:00+05:30,65.09,68.5,65.09,66.45,7032
2015-01-15 00:00:00+05:30,68.75,68.75,62.7,66.25,10415
2015-01-16 00:00:00+05:30,67.5,67.5,65.0,65.55,3136
2015-01-19 00:00:00+05:30,63.05,67.0,63.05,64.7,10657
2015-01-20 00:00:00+05:30,66.55,66.75,63.1,63.2,3692
2015-01-21 00:00:00+05:30,63.6,63.6,61.15,62.2,6080
2015-01-22 00:00:00+05:30,64.84,64.84,61.25,62.15,2464
2015-01-23 00:00:00+05:30,61.75,62.7,61.0,61.45,1996
2015-01-27 00:00:00+05:30,61.2,61.95,60.2,61.05,3081
2015-01-28 00:00:00+05:30,62.05,63.75,55.25,57.1,5064
2015-01-29 00:00:00+05:30,62.8,62.8,53.0,58.4,4921
2015-01-30 00:00:00+05:30,57.05,61.15,57.0,59.35,3066
2015-02-02 00:00:00+05:30,62.8,62.8,56.0,58.4,1460
2015-02-03 00:00:00+05:30,59.9,60.8,57.0,57.8,13553
2015-02-04 00:00:00+05:30,57.85,63.55,57.6,63.55,43527
2015-02-05 00:00:00+05:30,65.9,65.9,57.2,57.25,25777
2015-02-06 00:00:00+05:30,57.2,58.2,52.05,54.1,7684
2015-02-09 00:00:00+05:30,55.9,59.8,54.1,54.8,4757
2015-02-10 00:00:00+05:30,54.5,58.45,54.5,57.9,6325
2015-02-11 00:00:00+05:30,53.55,53.85,46.9,48.3,73900
2015-02-12 00:00:00+05:30,50.75,50.75,44.2,47.1,25068
2015-02-13 00:00:00+05:30,49.8,49.8,44.65,45.1,9286
2015-02-16 00:00:00+05:30,46.9,53.0,43.3,50.5,48257
2015-02-18 00:00:00+05:30,48.1,53.0,48.0,49.95,12073
2015-02-19 00:00:00+05:30,50.0,52.0,48.05,49.9,17185
2015-02-20 00:00:00+05:30,48.55,52.75,48.2,48.9,8702
2015-02-23 00:00:00+05:30,49.25,54.75,49.1,49.95,17449
