date,open,high,low,close,volume
2020-10-07 00:00:00+05:30,11.15,11.15,10.6,11.0,4110405
2020-10-08 00:00:00+05:30,11.5,11.5,11.5,11.5,1031495
2020-10-09 00:00:00+05:30,11.6,11.7,11.5,11.5,1294145
2020-10-12 00:00:00+05:30,11.7,11.7,11.3,11.4,591415
2020-10-13 00:00:00+05:30,11.25,11.25,10.9,11.0,187065
2020-10-14 00:00:00+05:30,10.9,11.35,10.65,10.8,59075
2020-10-15 00:00:00+05:30,10.8,11.35,10.3,11.35,1621055
2020-10-16 00:00:00+05:30,11.4,11.6,11.4,11.4,434015
2020-10-19 00:00:00+05:30,11.45,11.7,11.1,11.3,451980
2020-10-20 00:00:00+05:30,11.3,11.55,11.1,11.15,371010
2020-10-21 00:00:00+05:30,11.35,11.7,11.1,11.7,770285
2020-10-22 00:00:00+05:30,11.7,12.1,11.25,11.4,274030
2020-10-23 00:00:00+05:30,11.4,11.7,11.25,11.25,114250
2020-10-26 00:00:00+05:30,11.3,11.65,11.2,11.2,105790
2020-10-27 00:00:00+05:30,11.15,11.75,11.05,11.1,71760
2020-10-28 00:00:00+05:30,11.35,11.45,10.85,10.9,191135
2020-10-29 00:00:00+05:30,11.0,11.3,10.45,10.55,68815
2020-10-30 00:00:00+05:30,10.7,10.95,10.2,10.5,126600
2020-11-02 00:00:00+05:30,10.6,10.95,10.15,10.3,332555
2020-11-03 00:00:00+05:30,10.7,10.8,10.2,10.75,363595
2020-11-04 00:00:00+05:30,11.05,11.05,10.75,10.8,42085
2020-11-05 00:00:00+05:30,10.8,10.85,10.65,10.7,65555
2020-11-06 00:00:00+05:30,10.75,11.0,10.55,10.6,79195
2020-11-09 00:00:00+05:30,10.9,11.1,10.6,10.7,78390
2020-11-10 00:00:00+05:30,10.85,11.2,10.8,11.2,116165
2020-11-11 00:00:00+05:30,11.05,11.4,11.05,11.15,51425
2020-11-12 00:00:00+05:30,11.1,11.35,11.0,11.2,70785
2020-11-13 00:00:00+05:30,11.05,11.4,11.05,11.35,22765
2020-11-14 00:00:00+05:30,11.4,11.5,11.2,11.2,25005
2020-11-17 00:00:00+05:30,11.3,11.4,11.05,11.2,208775
2020-11-18 00:00:00+05:30,11.25,11.25,11.0,11.2,17440
2020-11-19 00:00:00+05:30,11.2,11.35,11.0,11.1,43740
2020-11-20 00:00:00+05:30,11.05,11.25,10.95,11.0,38910
2020-11-23 00:00:00+05:30,11.1,11.5,10.8,11.5,357200
2020-11-24 00:00:00+05:30,11.65,11.75,11.6,11.6,106290
2020-11-25 00:00:00+05:30,11.75,11.75,11.6,11.65,156505
2020-11-26 00:00:00+05:30,11.55,11.65,11.5,11.6,45975
2020-11-27 00:00:00+05:30,11.55,11.7,11.35,11.45,189930
2020-12-01 00:00:00+05:30,11.6,11.8,11.55,11.6,105805
2020-12-02 00:00:00+05:30,11.8,11.8,11.6,11.8,95740
2020-12-03 00:00:00+05:30,11.65,12.0,11.6,11.9,353480
2020-12-04 00:00:00+05:30,12.0,12.0,11.7,11.9,206575
2020-12-07 00:00:00+05:30,12.3,12.6,12.0,12.25,228235
2020-12-08 00:00:00+05:30,12.2,12.25,12.05,12.2,85700
2020-12-09 00:00:00+05:30,12.25,12.75,12.0,12.4,260520
2020-12-10 00:00:00+05:30,12.1,12.9,11.4,12.5,213795
2020-12-11 00:00:00+05:30,12.1,12.6,11.8,12.1,93320
2020-12-14 00:00:00+05:30,12.35,12.45,11.9,12.25,36625
2020-12-15 00:00:00+05:30,12.2,12.4,12.2,12.3,227340
2020-12-16 00:00:00+05:30,12.3,12.6,11.95,12.35,152175
2020-12-17 00:00:00+05:30,12.6,12.8,11.95,12.05,848910
2020-12-18 00:00:00+05:30,12.1,12.6,12.0,12.5,157050
2020-12-21 00:00:00+05:30,12.8,12.8,12.2,12.25,106895
2020-12-22 00:00:00+05:30,12.2,12.7,11.05,11.55,123150
2020-12-23 00:00:00+05:30,11.2,12.1,10.8,11.75,22230
2020-12-24 00:00:00+05:30,12.25,12.95,11.0,12.65,549405
2020-12-28 00:00:00+05:30,13.2,13.2,12.0,12.3,63890
2020-12-29 00:00:00+05:30,12.3,12.55,12.05,12.05,5960
2020-12-30 00:00:00+05:30,12.05,12.8,11.95,12.15,45615
2020-12-31 00:00:00+05:30,12.1,12.5,11.9,12.05,9980
2021-01-01 00:00:00+05:30,12.1,13.25,11.8,13.25,760250
2021-01-04 00:00:00+05:30,13.55,13.55,12.8,13.0,92750
2021-01-05 00:00:00+05:30,13.4,13.6,12.8,13.45,97875
2021-01-06 00:00:00+05:30,13.3,13.5,12.6,12.6,96685
2021-01-07 00:00:00+05:30,12.5,12.95,12.5,12.65,30440
2021-01-08 00:00:00+05:30,12.9,12.9,12.6,12.65,22525
2021-01-11 00:00:00+05:30,12.7,12.7,12.4,12.45,133685
2021-01-12 00:00:00+05:30,12.6,12.7,12.45,12.65,5490
2021-01-13 00:00:00+05:30,12.6,12.75,12.4,12.4,32980
2021-01-14 00:00:00+05:30,12.6,13.4,12.4,12.85,70370
2021-01-15 00:00:00+05:30,12.8,12.95,12.6,12.6,8320
2021-01-18 00:00:00+05:30,12.5,12.75,12.4,12.4,18355
2021-01-19 00:00:00+05:30,12.8,12.8,12.4,12.5,15520
2021-01-20 00:00:00+05:30,12.8,13.25,12.2,13.0,364510
2021-01-21 00:00:00+05:30,13.0,13.25,12.6,12.95,240120
2021-01-22 00:00:00+05:30,13.1,13.1,12.55,12.55,16740
2021-01-25 00:00:00+05:30,13.1,13.15,12.4,12.45,5635
2021-01-27 00:00:00+05:30,12.9,12.9,12.2,12.2,89905
2021-01-28 00:00:00+05:30,12.5,13.15,12.1,12.15,87595
2021-01-29 00:00:00+05:30,12.25,12.6,11.9,12.15,93580
2021-02-01 00:00:00+05:30,12.15,12.6,12.05,12.1,61925
2021-02-02 00:00:00+05:30,4.15,4.2,3.95,3.95,33765
2021-02-03 00:00:00+05:30,4.15,4.15,3.8,4.0,190920
2021-02-04 00:00:00+05:30,4.15,4.15,3.95,3.95,13860
2021-02-05 00:00:00+05:30,3.95,4.1,3.75,4.05,64980
2021-02-08 00:00:00+05:30,4.25,4.25,3.85,4.0,49170
2021-02-09 00:00:00+05:30,4.1,4.1,4.1,4.1,15
2021-02-10 00:00:00+05:30,3.9,3.9,3.9,3.9,540
2021-02-11 00:00:00+05:30,3.9,4.05,3.7,4.0,16140
2021-02-12 00:00:00+05:30,4.0,4.1,3.95,4.1,12210
2021-02-15 00:00:00+05:30,4.0,4.1,4.0,4.1,9165
2021-02-16 00:00:00+05:30,4.0,4.15,3.9,4.1,9435
2021-02-17 00:00:00+05:30,4.05,4.05,4.05,4.05,1485
2021-02-19 00:00:00+05:30,3.85,4.05,3.85,4.05,15150
2021-02-24 00:00:00+05:30,4.2,4.2,4.15,4.15,30
2021-02-26 00:00:00+05:30,4.0,4.0,4.0,4.0,15270
2021-03-01 00:00:00+05:30,3.8,4.15,3.8,3.8,460995
2021-03-02 00:00:00+05:30,3.95,3.95,3.65,3.95,570
2021-03-03 00:00:00+05:30,3.95,3.95,3.8,3.8,1905
2021-03-04 00:00:00+05:30,3.8,3.95,3.6,3.75,24285
2021-03-05 00:00:00+05:30,3.55,3.95,3.55,3.65,25785
2021-03-08 00:00:00+05:30,3.7,3.7,3.65,3.65,300
2021-03-09 00:00:00+05:30,3.55,3.55,3.5,3.5,1650
2021-03-10 00:00:00+05:30,3.3,3.3,3.3,3.3,14535
2021-03-12 00:00:00+05:30,3.15,3.45,3.15,3.45,46470
2021-03-15 00:00:00+05:30,3.4,3.45,3.4,3.45,150495
2021-03-16 00:00:00+05:30,3.4,3.55,3.25,3.4,8655
2021-03-17 00:00:00+05:30,3.35,3.35,3.35,3.35,48900
2021-03-18 00:00:00+05:30,3.2,3.35,3.2,3.35,1860
2021-03-19 00:00:00+05:30,3.35,3.35,3.2,3.35,3060
2021-03-23 00:00:00+05:30,3.2,3.35,3.2,3.35,3420
2021-03-24 00:00:00+05:30,3.2,3.4,3.2,3.35,278685
2021-03-25 00:00:00+05:30,3.2,3.35,3.2,3.35,105
2021-03-26 00:00:00+05:30,3.15,3.5,3.15,3.15,30390
2021-03-30 00:00:00+05:30,3.0,3.3,3.0,3.3,750
2021-03-31 00:00:00+05:30,3.15,3.25,3.15,3.25,28230
2021-04-01 00:00:00+05:30,3.25,3.35,3.1,3.35,6195
2021-04-05 00:00:00+05:30,3.35,3.35,3.35,3.35,30
2021-04-06 00:00:00+05:30,3.25,3.45,3.15,3.4,3105
2021-04-07 00:00:00+05:30,3.25,3.4,3.25,3.4,3765
2021-04-08 00:00:00+05:30,3.25,3.4,3.25,3.4,315
2021-04-09 00:00:00+05:30,3.4,3.4,3.2,3.4,4980
2021-04-12 00:00:00+05:30,3.2,3.2,3.2,3.2,5775
2021-04-13 00:00:00+05:30,3.35,3.35,3.2,3.35,1515
2021-04-16 00:00:00+05:30,3.15,3.35,3.15,3.35,3030
2021-04-19 00:00:00+05:30,3.15,3.15,3.15,3.15,2565
2021-04-20 00:00:00+05:30,3.15,3.3,3.0,3.15,4665
2021-04-22 00:00:00+05:30,2.95,3.15,2.95,3.15,9960
2021-04-23 00:00:00+05:30,3.15,3.3,3.0,3.3,1050
2021-04-26 00:00:00+05:30,3.15,3.3,3.15,3.3,2880
2021-04-27 00:00:00+05:30,3.15,3.25,3.15,3.25,4290
2021-04-29 00:00:00+05:30,3.1,3.2,3.1,3.2,360
2021-04-30 00:00:00+05:30,3.25,3.25,3.25,3.25,75
2021-05-04 00:00:00+05:30,3.1,3.3,3.1,3.3,3780
2021-05-06 00:00:00+05:30,3.3,3.3,3.3,3.3,300
2021-05-07 00:00:00+05:30,3.15,3.35,3.15,3.3,420
2021-05-10 00:00:00+05:30,3.35,3.35,3.15,3.25,1665
2021-05-11 00:00:00+05:30,3.2,3.2,3.1,3.1,25215
2021-05-12 00:00:00+05:30,3.1,3.25,2.95,3.0,84045
2021-05-14 00:00:00+05:30,3.15,3.15,2.85,2.95,22905
