date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,57.82,61.44,57.82,60.38,13430
2015-01-02 00:00:00+05:30,61.31,63.23,60.8,62.14,16949
2015-01-05 00:00:00+05:30,63.36,66.18,62.72,64.22,35575
2015-01-06 00:00:00+05:30,64.0,65.12,61.31,62.18,17658
2015-01-07 00:00:00+05:30,63.36,64.64,61.25,63.14,32423
2015-01-08 00:00:00+05:30,63.58,67.2,63.3,66.59,66686
2015-01-09 00:00:00+05:30,70.66,79.9,70.43,79.9,1487605
2015-01-12 00:00:00+05:30,81.92,85.47,75.01,75.97,560141
2015-01-13 00:00:00+05:30,75.97,87.94,75.2,81.34,1346754
2015-01-14 00:00:00+05:30,81.6,87.68,81.6,84.58,363344
2015-01-15 00:00:00+05:30,86.68,94.34,84.54,88.26,802755
2015-01-16 00:00:00+05:30,87.68,90.62,82.59,84.96,234468
2015-01-19 00:00:00+05:30,84.8,90.24,80.96,87.55,515474
2015-01-20 00:00:00+05:30,87.36,88.32,83.64,84.58,99914
2015-01-21 00:00:00+05:30,85.63,85.66,77.18,81.89,58256
2015-01-22 00:00:00+05:30,81.31,84.42,79.2,80.58,51205
2015-01-23 00:00:00+05:30,81.82,81.86,75.62,76.35,57566
2015-01-27 00:00:00+05:30,76.42,82.56,76.03,78.82,96161
2015-01-28 00:00:00+05:30,78.72,86.34,78.08,81.89,212614
2015-01-29 00:00:00+05:30,82.5,84.42,79.36,80.7,50593
2015-01-30 00:00:00+05:30,80.61,82.04,76.86,77.98,38219
2015-02-02 00:00:00+05:30,78.21,80.35,77.18,78.78,25088
2015-02-03 00:00:00+05:30,78.85,79.97,76.8,77.5,12654
2015-02-04 00:00:00+05:30,77.44,82.75,77.44,79.39,55733
2015-02-05 00:00:00+05:30,79.07,79.36,75.52,76.8,31036
2015-02-06 00:00:00+05:30,77.66,77.98,72.32,73.92,35756
2015-02-09 00:00:00+05:30,73.31,74.72,71.04,72.51,11406
2015-02-10 00:00:00+05:30,72.67,75.84,71.42,71.87,23416
2015-02-11 00:00:00+05:30,73.95,74.75,71.42,71.81,16925
2015-02-12 00:00:00+05:30,72.93,73.25,69.12,70.88,15168
2015-02-13 00:00:00+05:30,72.22,73.47,71.04,71.33,19345
2015-02-16 00:00:00+05:30,71.39,74.24,69.12,70.53,51918
2015-02-18 00:00:00+05:30,70.78,72.19,70.72,71.46,6054
2015-02-19 00:00:00+05:30,72.19,74.69,71.04,72.22,15469
2015-02-20 00:00:00+05:30,71.81,73.6,70.4,71.04,23856
2015-02-23 00:00:00+05:30,72.61,72.64,70.4,71.04,17683
2015-02-24 00:00:00+05:30,71.1,71.39,68.58,68.96,24431
2015-02-25 00:00:00+05:30,69.18,70.72,68.26,68.9,13050
2015-02-26 00:00:00+05:30,69.38,69.63,67.14,67.71,7554
2015-02-27 00:00:00+05:30,67.26,69.12,67.26,68.03,12138
2015-03-02 00:00:00+05:30,69.09,72.32,69.09,71.01,16386
2015-03-03 00:00:00+05:30,71.65,72.29,70.43,71.46,10331
2015-03-04 00:00:00+05:30,71.49,75.46,71.04,72.0,34731
2015-03-05 00:00:00+05:30,72.67,73.92,71.04,71.33,10230
2015-03-09 00:00:00+05:30,71.1,72.9,69.34,71.74,15516
2015-03-10 00:00:00+05:30,71.1,71.55,69.12,70.05,23441
2015-03-11 00:00:00+05:30,70.62,74.18,70.14,72.1,19988
2015-03-12 00:00:00+05:30,72.16,73.57,70.98,71.52,13516
2015-03-13 00:00:00+05:30,71.14,72.93,69.76,69.92,10941
2015-03-16 00:00:00+05:30,69.79,70.43,66.69,68.38,13411
2015-03-17 00:00:00+05:30,72.96,72.96,68.86,69.92,9675
2015-03-18 00:00:00+05:30,69.86,71.68,69.66,70.08,10035
2015-03-19 00:00:00+05:30,69.92,71.36,68.8,69.25,11018
2015-03-20 00:00:00+05:30,71.01,71.01,66.91,67.36,14131
2015-03-23 00:00:00+05:30,76.74,76.74,67.84,68.83,19925
2015-03-24 00:00:00+05:30,69.09,69.12,67.26,68.38,15830
2015-03-25 00:00:00+05:30,68.48,68.48,65.98,66.14,14020
2015-03-26 00:00:00+05:30,65.28,66.53,64.64,65.7,11663
2015-03-27 00:00:00+05:30,66.56,68.8,65.28,67.58,27024
2015-03-30 00:00:00+05:30,68.96,72.32,68.45,71.17,29119
2015-03-31 00:00:00+05:30,71.68,74.08,71.68,72.58,27635
2015-04-01 00:00:00+05:30,72.32,75.04,71.04,74.46,33986
2015-04-06 00:00:00+05:30,76.77,78.72,76.48,77.47,139449
2015-04-07 00:00:00+05:30,78.4,79.97,76.54,77.5,78158
2015-04-08 00:00:00+05:30,78.21,78.4,69.28,69.73,150610
2015-04-09 00:00:00+05:30,69.79,72.32,69.76,71.36,50475
2015-04-10 00:00:00+05:30,70.4,75.36,70.4,73.66,69023
2015-04-13 00:00:00+05:30,73.6,75.01,73.6,74.21,30375
2015-04-15 00:00:00+05:30,74.37,76.7,73.86,75.68,89056
2015-04-16 00:00:00+05:30,76.8,76.96,74.88,75.81,34435
2015-04-17 00:00:00+05:30,76.03,76.06,74.94,75.33,12251
2015-04-20 00:00:00+05:30,75.49,75.52,71.81,72.19,25993
2015-04-21 00:00:00+05:30,72.64,72.99,71.68,72.22,14919
2015-04-22 00:00:00+05:30,72.58,73.12,71.78,72.51,8991
2015-04-23 00:00:00+05:30,72.96,73.7,72.06,73.15,9419
2015-04-24 00:00:00+05:30,73.28,74.75,72.03,73.54,29985
2015-04-27 00:00:00+05:30,73.06,73.6,71.68,73.12,23516
