date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,16.89,17.3,15.7,16.45,6769
2015-01-02 00:00:00+05:30,17.14,18.0,16.14,16.95,10165
2015-01-05 00:00:00+05:30,17.5,18.0,16.25,16.6,4867
2015-01-06 00:00:00+05:30,16.39,16.89,15.4,16.0,6088
2015-01-07 00:00:00+05:30,16.39,16.89,15.8,16.0,2792
2015-01-08 00:00:00+05:30,16.39,17.7,16.0,17.55,10024
2015-01-09 00:00:00+05:30,17.5,17.75,17.0,17.75,4852
2015-01-12 00:00:00+05:30,17.0,17.75,16.5,17.6,315
2015-01-13 00:00:00+05:30,17.39,18.0,17.0,17.7,9063
2015-01-14 00:00:00+05:30,17.5,18.0,16.7,17.2,1789
2015-01-15 00:00:00+05:30,17.0,17.1,16.5,16.6,3128
2015-01-16 00:00:00+05:30,17.0,18.0,17.0,17.39,10125
2015-01-19 00:00:00+05:30,17.2,17.2,17.2,17.2,21
2015-01-20 00:00:00+05:30,17.1,17.75,17.0,17.2,6842
2015-01-21 00:00:00+05:30,19.0,19.0,17.14,17.5,630
2015-01-22 00:00:00+05:30,17.0,18.39,16.7,17.64,253710
2015-01-23 00:00:00+05:30,19.39,19.45,17.0,18.25,6700
2015-01-27 00:00:00+05:30,18.1,18.1,17.1,17.35,1211
2015-01-28 00:00:00+05:30,17.25,17.25,16.35,17.0,8754
2015-01-29 00:00:00+05:30,16.89,18.25,16.3,16.75,2263
2015-01-30 00:00:00+05:30,16.8,16.89,16.2,16.5,3362
2015-02-02 00:00:00+05:30,16.6,17.0,16.55,16.95,740
2015-02-03 00:00:00+05:30,16.85,17.45,16.5,17.45,1408
2015-02-04 00:00:00+05:30,17.1,17.1,16.5,16.6,1006
2015-02-05 00:00:00+05:30,16.6,17.0,16.6,16.6,485
2015-02-06 00:00:00+05:30,18.0,18.6,16.8,17.7,825
2015-02-09 00:00:00+05:30,17.39,17.39,16.3,16.6,1868
2015-02-10 00:00:00+05:30,16.3,16.35,16.1,16.3,1166
2015-02-11 00:00:00+05:30,16.05,16.95,16.05,16.95,488
2015-02-12 00:00:00+05:30,16.89,17.7,16.25,16.5,1322
2015-02-13 00:00:00+05:30,16.5,16.5,16.39,16.39,918
2015-02-16 00:00:00+05:30,16.2,16.45,15.5,16.0,1569
2015-02-18 00:00:00+05:30,16.0,18.45,15.15,16.2,1447
2015-02-19 00:00:00+05:30,16.1,16.8,15.25,16.05,1418
2015-02-20 00:00:00+05:30,16.1,16.1,15.6,15.65,7853
2015-02-23 00:00:00+05:30,15.65,15.8,14.55,15.4,50843
2015-02-24 00:00:00+05:30,15.9,15.95,15.4,15.5,1797
2015-02-25 00:00:00+05:30,16.89,17.0,15.25,15.6,12635
2015-02-26 00:00:00+05:30,15.95,15.95,15.95,15.95,201
2015-02-27 00:00:00+05:30,16.25,16.25,15.1,15.5,2164
2015-03-02 00:00:00+05:30,16.45,17.0,15.5,15.55,2619
2015-03-03 00:00:00+05:30,16.45,16.45,15.6,15.8,810
2015-03-04 00:00:00+05:30,16.25,16.25,15.6,15.65,12038
2015-03-05 00:00:00+05:30,15.5,15.75,15.45,15.5,19747
2015-03-09 00:00:00+05:30,15.6,16.0,15.55,15.95,2039
2015-03-10 00:00:00+05:30,16.25,16.25,15.95,16.0,835
2015-03-11 00:00:00+05:30,15.95,16.2,15.7,15.7,259
2015-03-12 00:00:00+05:30,15.4,15.95,14.65,15.8,802
2015-03-13 00:00:00+05:30,15.5,15.75,15.5,15.5,1331
2015-03-16 00:00:00+05:30,15.4,15.95,15.1,15.65,21570
2015-03-17 00:00:00+05:30,18.0,18.0,14.45,15.05,3736
2015-03-18 00:00:00+05:30,17.5,17.5,14.25,14.4,783
2015-03-19 00:00:00+05:30,15.0,15.0,14.5,14.55,1360
2015-03-20 00:00:00+05:30,13.95,15.4,13.0,13.55,6777
2015-03-23 00:00:00+05:30,13.55,13.8,12.3,13.3,1123
2015-03-24 00:00:00+05:30,13.5,13.6,13.5,13.6,616
2015-03-25 00:00:00+05:30,13.55,14.35,12.7,13.2,2255
2015-03-26 00:00:00+05:30,12.8,13.0,12.35,12.55,4923
2015-03-27 00:00:00+05:30,12.5,13.7,12.5,12.55,660
2015-03-30 00:00:00+05:30,12.55,14.6,12.5,14.4,4534
2015-03-31 00:00:00+05:30,14.4,15.25,13.75,14.9,4784
2015-04-01 00:00:00+05:30,16.25,16.25,14.0,14.95,7421
2015-04-06 00:00:00+05:30,16.0,17.25,14.25,15.4,7186
2015-04-07 00:00:00+05:30,15.4,16.2,15.4,15.6,3083
2015-04-08 00:00:00+05:30,15.5,15.85,15.3,15.5,1643
2015-04-09 00:00:00+05:30,16.0,16.0,15.0,15.8,5387
2015-04-10 00:00:00+05:30,15.7,15.75,15.15,15.7,5535
2015-04-13 00:00:00+05:30,15.9,15.9,15.5,15.8,1555
2015-04-15 00:00:00+05:30,16.0,16.39,15.0,15.3,8680
2015-04-16 00:00:00+05:30,18.35,18.35,15.1,15.25,2482
2015-04-17 00:00:00+05:30,15.75,15.75,15.15,15.25,1005
2015-04-20 00:00:00+05:30,15.0,15.7,14.25,15.0,2569
2015-04-21 00:00:00+05:30,14.55,15.5,14.55,15.05,389
2015-04-22 00:00:00+05:30,17.8,17.8,14.6,15.2,1199
2015-04-23 00:00:00+05:30,17.0,17.0,14.55,14.9,2383
2015-04-24 00:00:00+05:30,15.35,15.35,14.55,14.9,109
2015-04-27 00:00:00+05:30,14.7,15.0,14.5,14.95,1797
2015-04-28 00:00:00+05:30,14.8,15.3,14.4,14.6,518
2015-04-29 00:00:00+05:30,14.3,15.5,14.05,14.95,216
2015-04-30 00:00:00+05:30,14.6,15.3,14.5,15.0,5435
2015-05-04 00:00:00+05:30,14.8,15.0,14.5,15.0,360
2015-05-05 00:00:00+05:30,14.8,15.0,14.0,15.0,1270
2015-05-06 00:00:00+05:30,14.8,14.8,14.0,14.4,5040
2015-05-07 00:00:00+05:30,15.45,15.45,14.2,14.25,1155
2015-05-08 00:00:00+05:30,14.3,15.5,13.85,15.4,8617
2015-05-11 00:00:00+05:30,15.4,15.4,14.25,14.6,2642
2015-05-12 00:00:00+05:30,15.2,15.2,14.6,14.65,2328
2015-05-14 00:00:00+05:30,15.0,15.0,15.0,15.0,5
2015-05-15 00:00:00+05:30,15.2,15.2,14.5,14.5,436
2015-05-18 00:00:00+05:30,14.55,15.5,13.5,14.7,6591
2015-05-19 00:00:00+05:30,14.45,17.5,14.0,14.75,627587
2015-05-20 00:00:00+05:30,15.4,15.4,15.35,15.35,55
2015-05-21 00:00:00+05:30,15.0,15.2,14.45,15.2,752
2015-05-22 00:00:00+05:30,15.0,15.65,15.0,15.4,9049
2015-05-25 00:00:00+05:30,15.25,15.25,15.25,15.25,45
2015-05-26 00:00:00+05:30,15.0,16.0,14.8,15.65,5463
2015-05-27 00:00:00+05:30,15.2,15.3,15.05,15.3,318
2015-05-28 00:00:00+05:30,15.95,15.95,14.25,14.75,1070
2015-05-29 00:00:00+05:30,14.9,15.4,14.55,14.65,211
2015-06-01 00:00:00+05:30,15.5,16.95,15.25,16.25,9128
2015-06-02 00:00:00+05:30,16.35,16.35,15.5,15.5,1628
