date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,24.6,24.6,24.45,24.55,9835
2015-01-02 00:00:00+05:30,24.95,24.95,24.5,24.5,6874
2015-01-05 00:00:00+05:30,24.65,24.75,24.55,24.65,15206
2015-01-06 00:00:00+05:30,24.75,25.0,24.7,24.95,30631
2015-01-07 00:00:00+05:30,24.9,25.05,24.9,25.0,23091
2015-01-08 00:00:00+05:30,24.95,24.95,24.65,24.7,9718
2015-01-09 00:00:00+05:30,24.7,24.7,24.55,24.55,8707
2015-01-12 00:00:00+05:30,24.7,24.9,24.65,24.8,19180
2015-01-13 00:00:00+05:30,24.9,25.1,24.85,25.0,22220
2015-01-14 00:00:00+05:30,24.9,24.9,24.75,24.85,11305
2015-01-15 00:00:00+05:30,24.8,24.9,24.6,24.8,15694
2015-01-16 00:00:00+05:30,25.1,25.45,25.1,25.3,30351
2015-01-19 00:00:00+05:30,25.45,25.6,25.4,25.55,38171
2015-01-20 00:00:00+05:30,25.5,25.9,25.4,25.8,40338
2015-01-21 00:00:00+05:30,25.9,26.0,25.8,25.9,29524
2015-01-22 00:00:00+05:30,25.7,25.85,25.55,25.7,20698
2015-01-23 00:00:00+05:30,25.75,25.85,25.7,25.75,15627
2015-01-27 00:00:00+05:30,25.35,25.6,25.15,25.55,15329
2015-01-28 00:00:00+05:30,25.65,25.75,25.6,25.7,10573
2015-01-29 00:00:00+05:30,25.6,25.65,25.45,25.5,15279
2015-01-30 00:00:00+05:30,25.45,26.0,25.25,25.8,20072
2015-02-02 00:00:00+05:30,25.9,25.9,25.65,25.7,10307
2015-02-03 00:00:00+05:30,25.75,25.75,25.55,25.65,7868
2015-02-04 00:00:00+05:30,25.5,25.5,25.3,25.4,10299
2015-02-05 00:00:00+05:30,25.5,25.6,25.45,25.5,11676
2015-02-06 00:00:00+05:30,25.5,25.6,25.35,25.5,9687
2015-02-09 00:00:00+05:30,25.25,25.25,25.0,25.05,20852
2015-02-10 00:00:00+05:30,25.05,25.2,25.0,25.05,12426
2015-02-11 00:00:00+05:30,25.05,25.15,25.0,25.1,10523
2015-02-12 00:00:00+05:30,25.0,25.0,24.85,24.9,15663
2015-02-13 00:00:00+05:30,24.9,25.1,24.85,25.0,6167
2015-02-16 00:00:00+05:30,24.95,25.2,24.95,25.05,7624
2015-02-18 00:00:00+05:30,24.7,24.95,24.65,24.8,15512
2015-02-19 00:00:00+05:30,25.0,25.0,24.7,24.7,10699
2015-02-20 00:00:00+05:30,24.6,24.75,24.6,24.7,9953
2015-02-23 00:00:00+05:30,24.7,24.7,24.55,24.6,7461
2015-02-24 00:00:00+05:30,24.6,24.7,24.0,24.35,14507
2015-02-25 00:00:00+05:30,24.65,24.75,24.4,24.45,7681
2015-02-26 00:00:00+05:30,24.45,24.5,24.4,24.4,6734
2015-02-27 00:00:00+05:30,24.5,24.5,24.35,24.35,7600
2015-03-02 00:00:00+05:30,24.45,24.75,24.4,24.6,10581
2015-03-03 00:00:00+05:30,24.5,24.55,24.3,24.45,7172
2015-03-04 00:00:00+05:30,24.4,24.5,24.35,24.4,9353
2015-03-05 00:00:00+05:30,24.45,24.65,24.45,24.55,10736
2015-03-09 00:00:00+05:30,24.35,24.4,24.2,24.35,14538
2015-03-10 00:00:00+05:30,24.25,24.3,24.1,24.15,13419
2015-03-11 00:00:00+05:30,24.2,24.25,24.0,24.0,12476
2015-03-12 00:00:00+05:30,24.0,24.05,23.9,23.95,15385
2015-03-13 00:00:00+05:30,24.0,24.05,23.9,23.9,18073
2015-03-16 00:00:00+05:30,23.95,24.05,23.9,23.9,10420
2015-03-17 00:00:00+05:30,23.95,24.0,23.8,23.8,9703
2015-03-18 00:00:00+05:30,23.8,23.85,23.7,23.75,13708
2015-03-19 00:00:00+05:30,23.9,24.1,23.75,23.8,14115
2015-03-20 00:00:00+05:30,23.9,23.95,23.8,23.8,13221
2015-03-23 00:00:00+05:30,23.9,23.95,23.8,23.9,44989
2015-03-24 00:00:00+05:30,24.0,24.05,23.9,24.05,13293
2015-03-25 00:00:00+05:30,24.05,24.1,23.95,24.0,13909
2015-03-26 00:00:00+05:30,24.15,24.7,24.15,24.55,24916
2015-03-27 00:00:00+05:30,23.3,24.5,22.8,24.2,10945
2015-03-30 00:00:00+05:30,24.2,24.25,24.05,24.1,9603
2015-03-31 00:00:00+05:30,24.1,24.1,23.95,24.0,9855
2015-04-01 00:00:00+05:30,24.1,24.2,24.0,24.15,14165
2015-04-06 00:00:00+05:30,24.25,24.7,24.25,24.65,19742
2015-04-07 00:00:00+05:30,24.7,24.7,24.5,24.55,20168
2015-04-08 00:00:00+05:30,24.6,24.6,24.5,24.55,9101
2015-04-09 00:00:00+05:30,24.45,24.45,24.2,24.2,7448
2015-04-10 00:00:00+05:30,24.75,24.75,24.1,24.35,6485
2015-04-13 00:00:00+05:30,24.4,24.55,24.3,24.35,6812
2015-04-15 00:00:00+05:30,24.35,24.35,24.0,24.2,18498
2015-04-16 00:00:00+05:30,24.35,24.55,24.25,24.4,11466
2015-04-17 00:00:00+05:30,24.35,24.45,24.25,24.45,13712
2015-04-20 00:00:00+05:30,24.45,24.7,24.45,24.6,17854
2015-04-21 00:00:00+05:30,24.7,24.9,24.6,24.8,54844
2015-04-22 00:00:00+05:30,24.8,24.8,24.45,24.6,13657
2015-04-23 00:00:00+05:30,24.5,24.55,24.3,24.45,13708
2015-04-24 00:00:00+05:30,24.5,24.65,24.45,24.6,28269
2015-04-27 00:00:00+05:30,24.4,24.55,24.4,24.45,11787
2015-04-28 00:00:00+05:30,24.55,24.75,24.55,24.65,13796
2015-04-29 00:00:00+05:30,24.7,24.85,24.7,24.75,12996
2015-04-30 00:00:00+05:30,24.8,24.9,24.7,24.85,25011
2015-05-04 00:00:00+05:30,24.65,24.75,24.45,24.5,7566
2015-05-05 00:00:00+05:30,24.5,24.6,24.45,24.5,6830
2015-05-06 00:00:00+05:30,24.5,24.8,24.5,24.6,32459
2015-05-07 00:00:00+05:30,24.6,24.7,24.55,24.7,16837
2015-05-08 00:00:00+05:30,24.7,24.75,24.6,24.65,7204
2015-05-11 00:00:00+05:30,24.7,24.7,24.6,24.6,7193
2015-05-12 00:00:00+05:30,24.6,24.75,24.6,24.7,12172
2015-05-13 00:00:00+05:30,24.75,24.95,24.75,24.85,11171
2015-05-14 00:00:00+05:30,25.25,25.25,24.95,25.15,21603
2015-05-15 00:00:00+05:30,25.1,25.15,25.05,25.05,8210
2015-05-18 00:00:00+05:30,25.05,25.35,25.05,25.3,25043
2015-05-19 00:00:00+05:30,25.25,25.25,25.1,25.1,9349
2015-05-20 00:00:00+05:30,25.1,25.1,24.85,24.95,8105
2015-05-21 00:00:00+05:30,24.95,25.0,24.95,25.0,7541
2015-05-22 00:00:00+05:30,25.0,25.0,24.8,24.85,6951
2015-05-25 00:00:00+05:30,24.8,24.85,24.75,24.8,6112
2015-05-26 00:00:00+05:30,24.8,24.85,24.7,24.75,9517
2015-05-27 00:00:00+05:30,24.7,24.75,24.6,24.65,6837
2015-05-28 00:00:00+05:30,24.7,24.75,24.6,24.6,5008
2015-05-29 00:00:00+05:30,24.55,24.7,24.55,24.6,5804
2015-06-01 00:00:00+05:30,24.6,24.7,24.5,24.5,7825
2015-06-02 00:00:00+05:30,24.4,24.7,24.4,24.7,11347
2015-06-03 00:00:00+05:30,24.6,24.75,24.55,24.65,11121
2015-06-04 00:00:00+05:30,24.6,24.7,24.55,24.6,9421
2015-06-05 00:00:00+05:30,24.4,24.6,24.4,24.45,12264
2015-06-08 00:00:00+05:30,24.6,24.6,24.35,24.5,11908
2015-06-09 00:00:00+05:30,24.5,24.5,24.4,24.45,9865
2015-06-10 00:00:00+05:30,24.55,24.55,24.4,24.5,12540
2015-06-11 00:00:00+05:30,24.5,24.6,24.25,24.3,42316
2015-06-12 00:00:00+05:30,24.4,24.5,24.3,24.45,14457
2015-06-15 00:00:00+05:30,24.45,24.55,24.3,24.4,24123
2015-06-16 00:00:00+05:30,24.5,24.65,24.45,24.5,12285
2015-06-17 00:00:00+05:30,24.5,24.5,24.35,24.45,8158
2015-06-18 00:00:00+05:30,24.45,24.6,24.45,24.6,13408
2015-06-19 00:00:00+05:30,24.65,24.65,24.55,24.55,8882
2015-06-22 00:00:00+05:30,24.4,24.65,24.4,24.45,10534
2015-06-23 00:00:00+05:30,24.4,24.4,24.2,24.25,10785
2015-06-24 00:00:00+05:30,24.2,24.25,24.05,24.15,11600
2015-06-25 00:00:00+05:30,24.15,24.3,24.1,24.25,10293
2015-06-26 00:00:00+05:30,24.25,24.25,24.1,24.2,8215
2015-06-29 00:00:00+05:30,24.3,24.45,24.25,24.3,26349
2015-06-30 00:00:00+05:30,24.35,24.35,24.15,24.2,6473
2015-07-01 00:00:00+05:30,24.3,24.3,24.15,24.15,7137
2015-07-02 00:00:00+05:30,24.15,24.2,24.0,24.0,10284
2015-07-03 00:00:00+05:30,24.05,24.05,23.95,23.95,9685
2015-07-06 00:00:00+05:30,24.0,24.1,23.9,23.9,13400
2015-07-07 00:00:00+05:30,24.0,24.0,23.9,24.0,10654
2015-07-08 00:00:00+05:30,23.85,24.0,23.8,23.95,20578
2015-07-09 00:00:00+05:30,24.05,24.15,23.95,24.1,16939
2015-07-10 00:00:00+05:30,24.1,24.1,23.95,23.95,5426
2015-07-13 00:00:00+05:30,23.95,24.0,23.1,23.85,12399
2015-07-14 00:00:00+05:30,23.85,24.85,23.75,23.75,7852
2015-07-15 00:00:00+05:30,23.75,23.9,23.75,23.8,14043
2015-07-16 00:00:00+05:30,23.75,23.8,23.55,23.6,14348
2015-07-17 00:00:00+05:30,23.65,23.7,23.6,23.6,12725
2015-07-20 00:00:00+05:30,23.55,23.55,23.2,23.3,34310
2015-07-21 00:00:00+05:30,23.2,23.4,23.2,23.4,21489
2015-07-22 00:00:00+05:30,23.25,23.35,22.75,22.85,70191
2015-07-23 00:00:00+05:30,23.1,23.1,22.85,22.9,31168
2015-07-24 00:00:00+05:30,22.8,22.9,22.7,22.85,21667
2015-07-27 00:00:00+05:30,22.95,23.1,22.9,22.95,29842
2015-07-28 00:00:00+05:30,22.95,22.95,22.85,22.9,12723
2015-07-29 00:00:00+05:30,23.0,23.0,22.75,22.8,11083
2015-07-30 00:00:00+05:30,22.8,22.85,22.7,22.7,12508
2015-07-31 00:00:00+05:30,22.75,22.8,22.65,22.7,11681
2015-08-03 00:00:00+05:30,22.8,22.9,22.7,22.75,16010
2015-08-04 00:00:00+05:30,22.75,22.75,22.6,22.7,15896
2015-08-05 00:00:00+05:30,22.7,22.7,22.45,22.5,34684
2015-08-06 00:00:00+05:30,22.6,22.6,22.45,22.5,17857
2015-08-07 00:00:00+05:30,22.5,22.7,22.4,22.6,25389
2015-08-10 00:00:00+05:30,22.75,22.8,22.55,22.7,16611
2015-08-11 00:00:00+05:30,22.8,23.2,22.8,23.15,47571
2015-08-12 00:00:00+05:30,23.2,23.55,23.15,23.45,28811
2015-08-13 00:00:00+05:30,23.45,23.6,23.45,23.55,17518
2015-08-14 00:00:00+05:30,23.6,23.6,23.4,23.5,16299
2015-08-17 00:00:00+05:30,23.5,23.7,23.5,23.65,13149
2015-08-18 00:00:00+05:30,22.45,23.75,20.75,23.75,12038
2015-08-19 00:00:00+05:30,23.7,23.8,23.65,23.75,8582
2015-08-20 00:00:00+05:30,23.8,24.1,23.8,24.1,21524
2015-08-21 00:00:00+05:30,24.1,24.8,24.1,24.45,38712
2015-08-24 00:00:00+05:30,24.6,24.95,24.6,24.75,41583
2015-08-25 00:00:00+05:30,24.5,24.7,24.35,24.45,28118
2015-08-26 00:00:00+05:30,24.35,24.35,24.1,24.2,11049
2015-08-27 00:00:00+05:30,24.15,24.15,23.85,23.95,7888
2015-08-28 00:00:00+05:30,23.95,24.2,23.95,24.15,9299
2015-08-31 00:00:00+05:30,24.2,24.3,24.15,24.3,14319
2015-09-01 00:00:00+05:30,24.35,24.5,24.35,24.4,16723
2015-09-02 00:00:00+05:30,24.4,24.45,24.25,24.25,15231
2015-09-03 00:00:00+05:30,24.25,24.25,24.05,24.1,7189
2015-09-04 00:00:00+05:30,24.05,24.1,23.9,24.05,11619
2015-09-07 00:00:00+05:30,24.1,24.25,24.1,24.1,23684
2015-09-08 00:00:00+05:30,24.05,24.15,24.0,24.1,9673
2015-09-09 00:00:00+05:30,24.0,24.15,23.9,24.0,18415
2015-09-10 00:00:00+05:30,23.9,23.9,23.75,23.75,19710
2015-09-11 00:00:00+05:30,24.1,24.1,23.5,23.8,6900
2015-09-14 00:00:00+05:30,23.8,23.9,23.7,23.75,15530
2015-09-15 00:00:00+05:30,23.7,23.8,23.7,23.75,13418
2015-09-16 00:00:00+05:30,23.75,23.8,23.7,23.75,20417
2015-09-18 00:00:00+05:30,23.9,24.15,23.9,24.1,15754
2015-09-21 00:00:00+05:30,24.1,24.2,23.9,23.95,16599
2015-09-22 00:00:00+05:30,24.0,24.05,23.85,23.9,11381
2015-09-23 00:00:00+05:30,24.0,24.0,23.75,23.85,8778
2015-09-24 00:00:00+05:30,23.95,24.15,23.95,24.1,10274
2015-09-28 00:00:00+05:30,24.2,24.45,24.0,24.05,18537
2015-09-29 00:00:00+05:30,24.05,24.2,23.85,23.9,14297
2015-09-30 00:00:00+05:30,24.0,24.0,23.75,23.85,12240
2015-10-01 00:00:00+05:30,23.8,23.8,23.6,23.65,6439
2015-10-05 00:00:00+05:30,24.1,24.1,23.8,23.9,8929
2015-10-06 00:00:00+05:30,24.0,24.05,23.9,23.95,8688
2015-10-07 00:00:00+05:30,24.2,24.25,24.0,24.05,12189
2015-10-08 00:00:00+05:30,23.95,24.0,23.9,23.95,5374
2015-10-09 00:00:00+05:30,24.0,24.15,23.9,24.1,9146
2015-10-12 00:00:00+05:30,24.15,24.35,24.15,24.3,13258
2015-10-13 00:00:00+05:30,24.25,24.3,24.05,24.15,16285
2015-10-14 00:00:00+05:30,24.35,24.65,24.25,24.4,19605
2015-10-15 00:00:00+05:30,24.5,24.7,24.5,24.6,21169
2015-10-16 00:00:00+05:30,24.55,24.6,24.45,24.5,18221
2015-10-19 00:00:00+05:30,24.3,24.45,24.25,24.4,11186
2015-10-20 00:00:00+05:30,24.3,24.5,24.3,24.5,8506
2015-10-21 00:00:00+05:30,24.55,24.65,24.55,24.55,8730
2015-10-23 00:00:00+05:30,24.5,24.5,24.35,24.4,6481
2015-10-26 00:00:00+05:30,24.4,24.4,24.25,24.3,7051
2015-10-27 00:00:00+05:30,24.3,24.5,24.25,24.45,7421
2015-10-28 00:00:00+05:30,24.5,24.55,24.4,24.55,8059
2015-10-29 00:00:00+05:30,24.3,24.45,24.25,24.45,10072
2015-10-30 00:00:00+05:30,24.25,24.45,24.25,24.4,8419
2015-11-02 00:00:00+05:30,24.4,24.4,24.1,24.1,8241
2015-11-03 00:00:00+05:30,24.15,24.15,23.95,23.95,7611
2015-11-04 00:00:00+05:30,23.9,24.0,23.75,23.8,9442
2015-11-05 00:00:00+05:30,23.75,23.85,23.7,23.8,9179
2015-11-06 00:00:00+05:30,23.8,23.8,23.55,23.65,22340
2015-11-09 00:00:00+05:30,23.6,24.05,23.55,23.75,56507
2015-11-10 00:00:00+05:30,23.8,23.8,23.45,23.5,13220
2015-11-11 00:00:00+05:30,23.95,23.95,23.25,23.35,19542
2015-11-13 00:00:00+05:30,23.3,23.35,23.15,23.2,26868
2015-11-16 00:00:00+05:30,23.45,23.45,23.2,23.3,44280
2015-11-17 00:00:00+05:30,23.25,23.25,23.05,23.1,12165
2015-11-18 00:00:00+05:30,23.2,23.2,22.95,23.05,10650
2015-11-19 00:00:00+05:30,23.0,23.15,23.0,23.05,12958
2015-11-20 00:00:00+05:30,23.1,23.35,23.1,23.25,33159
2015-11-23 00:00:00+05:30,23.15,23.15,23.0,23.1,10158
2015-11-24 00:00:00+05:30,23.1,23.2,23.05,23.2,6677
2015-11-26 00:00:00+05:30,23.3,23.3,23.1,23.1,10611
2015-11-27 00:00:00+05:30,23.1,23.15,23.05,23.1,7291
2015-11-30 00:00:00+05:30,23.0,23.1,22.9,22.9,10228
2015-12-01 00:00:00+05:30,23.1,23.15,22.95,23.1,11888
2015-12-02 00:00:00+05:30,23.2,23.2,22.95,23.05,8933
2015-12-03 00:00:00+05:30,22.9,22.9,22.8,22.85,11177
2015-12-04 00:00:00+05:30,23.05,23.1,22.9,23.0,9625
2015-12-07 00:00:00+05:30,23.25,23.4,23.15,23.35,16201
2015-12-08 00:00:00+05:30,23.25,23.25,23.1,23.15,9035
2015-12-09 00:00:00+05:30,23.25,23.3,23.15,23.3,12981
2015-12-10 00:00:00+05:30,23.25,23.3,23.15,23.15,4902
2015-12-11 00:00:00+05:30,23.0,23.1,23.0,23.05,5606
2015-12-14 00:00:00+05:30,23.2,23.3,23.05,23.1,10922
2015-12-15 00:00:00+05:30,23.0,23.05,22.95,22.95,6681
2015-12-16 00:00:00+05:30,23.2,23.2,22.95,22.95,9362
2015-12-17 00:00:00+05:30,22.9,23.0,22.8,22.95,21945
2015-12-18 00:00:00+05:30,22.6,22.8,22.6,22.75,17384
2015-12-21 00:00:00+05:30,22.8,23.0,22.8,22.95,19867
2015-12-22 00:00:00+05:30,23.0,23.1,23.0,23.1,19112
2015-12-23 00:00:00+05:30,23.2,23.2,22.9,22.95,6467
2015-12-24 00:00:00+05:30,22.95,23.0,22.85,22.95,4200
