date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,24.5,24.55,24.3,24.45,194900
2015-01-02 00:00:00+05:30,25.0,25.0,24.4,24.45,108900
2015-01-05 00:00:00+05:30,24.6,24.65,24.5,24.55,304500
2015-01-06 00:00:00+05:30,24.6,25.0,24.6,24.95,876400
2015-01-07 00:00:00+05:30,24.95,25.05,24.85,24.95,305300
2015-01-08 00:00:00+05:30,24.8,24.85,24.5,24.6,209000
2015-01-09 00:00:00+05:30,24.5,24.6,24.45,24.5,337300
2015-01-12 00:00:00+05:30,24.55,24.85,24.55,24.75,326500
2015-01-13 00:00:00+05:30,24.7,25.0,22.5,24.9,270500
2015-01-14 00:00:00+05:30,23.35,24.85,23.35,24.85,191400
2015-01-15 00:00:00+05:30,24.75,24.8,24.5,24.75,208100
2015-01-16 00:00:00+05:30,25.05,25.35,25.0,25.15,532700
2015-01-19 00:00:00+05:30,25.25,25.5,25.2,25.4,677200
2015-01-20 00:00:00+05:30,25.4,25.8,25.35,25.7,768800
2015-01-21 00:00:00+05:30,25.8,25.8,25.6,25.7,703000
2015-01-22 00:00:00+05:30,25.55,25.7,25.35,25.55,412400
2015-01-23 00:00:00+05:30,25.55,25.85,25.45,25.65,450400
2015-01-27 00:00:00+05:30,25.5,25.5,25.3,25.45,519900
2015-01-28 00:00:00+05:30,25.5,25.7,25.45,25.6,459500
2015-01-29 00:00:00+05:30,25.5,25.6,25.4,25.45,387200
2015-01-30 00:00:00+05:30,25.3,25.55,25.2,25.55,432900
2015-02-02 00:00:00+05:30,25.65,25.7,25.5,25.55,366100
2015-02-03 00:00:00+05:30,25.55,25.7,25.45,25.6,557400
2015-02-04 00:00:00+05:30,25.4,25.5,25.3,25.3,124800
2015-02-05 00:00:00+05:30,25.35,25.55,25.35,25.4,214800
2015-02-06 00:00:00+05:30,25.4,25.55,25.3,25.4,228800
2015-02-09 00:00:00+05:30,25.15,25.15,24.9,25.05,291900
2015-02-10 00:00:00+05:30,25.1,25.15,24.85,25.0,330400
2015-02-11 00:00:00+05:30,24.95,25.05,24.9,25.0,145300
2015-02-12 00:00:00+05:30,24.85,25.0,24.65,24.9,435900
2015-02-13 00:00:00+05:30,24.9,25.05,24.8,24.95,140100
2015-02-16 00:00:00+05:30,24.85,25.1,24.85,25.05,165000
2015-02-18 00:00:00+05:30,24.6,24.85,24.6,24.75,92900
2015-02-19 00:00:00+05:30,24.9,24.9,24.6,24.65,157000
2015-02-20 00:00:00+05:30,24.5,24.7,24.5,24.6,134000
2015-02-23 00:00:00+05:30,24.55,24.6,24.4,24.4,164300
2015-02-24 00:00:00+05:30,24.4,24.55,24.3,24.3,250700
2015-02-25 00:00:00+05:30,24.45,24.6,24.35,24.45,168700
2015-02-26 00:00:00+05:30,24.45,24.5,24.25,24.25,192800
2015-02-27 00:00:00+05:30,24.3,24.4,24.15,24.2,153600
2015-03-02 00:00:00+05:30,24.3,24.55,24.3,24.4,168000
2015-03-03 00:00:00+05:30,24.4,24.4,24.2,24.2,114000
2015-03-04 00:00:00+05:30,24.3,24.3,24.15,24.2,97900
2015-03-05 00:00:00+05:30,24.2,24.35,24.15,24.25,133800
2015-03-09 00:00:00+05:30,24.05,24.15,23.95,24.05,321000
2015-03-10 00:00:00+05:30,24.0,24.0,23.8,23.85,329900
2015-03-11 00:00:00+05:30,23.85,24.0,23.6,23.65,395100
2015-03-12 00:00:00+05:30,23.6,23.85,23.5,23.7,409700
2015-03-13 00:00:00+05:30,23.7,23.95,23.55,23.75,318300
2015-03-16 00:00:00+05:30,23.65,23.9,23.65,23.8,286100
2015-03-17 00:00:00+05:30,23.85,23.85,23.6,23.65,116000
2015-03-18 00:00:00+05:30,23.65,23.7,23.6,23.6,133200
2015-03-19 00:00:00+05:30,23.8,23.85,23.7,23.7,138700
2015-03-20 00:00:00+05:30,23.75,23.9,23.65,23.7,184000
2015-03-23 00:00:00+05:30,23.9,23.95,23.75,23.85,226000
