date,open,high,low,close,volume
2020-10-05 00:00:00+05:30,879.8,879.8,825.15,846.1,7793
2020-10-06 00:00:00+05:30,868.0,868.0,827.0,834.85,3708
2020-10-07 00:00:00+05:30,825.6,851.0,825.6,836.95,5304
2020-10-08 00:00:00+05:30,840.65,845.0,686.3,791.9,4121
2020-10-09 00:00:00+05:30,822.85,850.0,809.8,832.2,3822
2020-10-12 00:00:00+05:30,848.0,860.55,803.05,819.8,3398
2020-10-13 00:00:00+05:30,819.0,831.25,810.2,821.35,859
2020-10-14 00:00:00+05:30,810.0,824.95,792.2,800.25,5417
2020-10-15 00:00:00+05:30,800.3,810.0,789.55,793.65,1332
2020-10-16 00:00:00+05:30,789.5,804.75,759.0,792.05,4677
2020-10-19 00:00:00+05:30,795.0,807.95,785.45,791.35,3894
2020-10-20 00:00:00+05:30,795.95,800.0,790.1,794.55,1587
2020-10-21 00:00:00+05:30,798.0,807.45,775.05,790.35,9796
2020-10-22 00:00:00+05:30,819.85,819.85,790.35,797.95,10386
2020-10-23 00:00:00+05:30,804.45,807.5,786.0,796.6,24992
2020-10-26 00:00:00+05:30,796.6,800.0,779.0,779.9,3307
2020-10-27 00:00:00+05:30,779.1,804.8,778.95,798.7,20003
2020-10-28 00:00:00+05:30,795.05,820.0,780.15,786.95,10306
2020-10-29 00:00:00+05:30,782.0,799.0,776.15,790.3,2184
2020-10-30 00:00:00+05:30,799.75,828.2,790.0,810.1,6268
2020-11-02 00:00:00+05:30,816.0,819.95,780.0,785.9,24430
2020-11-03 00:00:00+05:30,800.0,800.0,785.0,788.7,7355
2020-11-04 00:00:00+05:30,787.75,817.0,780.05,799.4,13398
2020-11-05 00:00:00+05:30,808.55,818.0,795.0,800.85,10625
2020-11-06 00:00:00+05:30,805.8,849.8,801.2,833.0,77007
2020-11-09 00:00:00+05:30,844.7,845.05,809.5,817.5,12282
2020-11-10 00:00:00+05:30,814.8,816.65,800.0,805.0,7614
2020-11-11 00:00:00+05:30,802.75,816.35,800.1,810.4,10137
2020-11-12 00:00:00+05:30,812.1,820.0,808.0,809.3,2546
2020-11-13 00:00:00+05:30,808.0,810.0,803.0,805.9,2670
2020-11-14 00:00:00+05:30,811.95,828.0,781.3,820.65,3114
2020-11-17 00:00:00+05:30,822.55,833.0,807.05,816.3,7566
2020-11-18 00:00:00+05:30,820.0,825.0,808.05,815.0,8211
2020-11-19 00:00:00+05:30,839.0,839.0,813.0,817.6,17613
2020-11-20 00:00:00+05:30,828.7,838.15,815.25,821.05,7023
2020-11-23 00:00:00+05:30,826.9,830.2,814.1,817.5,6056
2020-11-24 00:00:00+05:30,832.95,832.95,806.95,818.2,7718
2020-11-25 00:00:00+05:30,821.0,829.95,806.3,813.75,18083
2020-11-26 00:00:00+05:30,815.5,824.5,806.2,810.65,95619
2020-11-27 00:00:00+05:30,818.85,828.8,817.05,821.2,7462
2020-12-01 00:00:00+05:30,829.9,850.0,822.1,839.15,17110
2020-12-02 00:00:00+05:30,833.05,840.95,829.0,834.0,4878
2020-12-03 00:00:00+05:30,840.0,865.25,839.6,845.0,51293
2020-12-04 00:00:00+05:30,854.9,887.95,853.05,876.0,46994
2020-12-07 00:00:00+05:30,889.0,1040.0,880.2,997.65,246546
2020-12-08 00:00:00+05:30,1110.0,1178.8,1050.0,1148.6,435198
2020-12-09 00:00:00+05:30,1208.0,1208.0,1158.0,1164.0,178717
2020-12-10 00:00:00+05:30,1190.0,1190.0,1125.0,1165.55,83127
2020-12-11 00:00:00+05:30,1170.0,1175.0,1150.0,1161.0,100804
2020-12-14 00:00:00+05:30,1066.0,1099.0,1052.25,1059.45,48064
2020-12-15 00:00:00+05:30,1065.0,1070.0,1006.0,1013.3,58362
2020-12-16 00:00:00+05:30,983.3,1018.0,952.65,1002.45,61101
2020-12-17 00:00:00+05:30,1002.45,1019.9,981.25,986.7,21499
2020-12-18 00:00:00+05:30,990.0,995.85,954.65,970.75,19985
2020-12-21 00:00:00+05:30,970.75,999.5,908.8,919.55,20236
2020-12-22 00:00:00+05:30,925.0,934.1,876.3,904.3,19354
2020-12-23 00:00:00+05:30,923.95,951.0,909.65,945.55,14859
2020-12-24 00:00:00+05:30,964.9,980.0,951.0,955.25,15163
2020-12-28 00:00:00+05:30,956.05,973.95,956.05,962.4,8637
2020-12-29 00:00:00+05:30,973.75,978.85,960.0,969.8,12514
2020-12-30 00:00:00+05:30,978.9,978.9,957.05,959.95,9641
2020-12-31 00:00:00+05:30,962.95,966.0,940.0,962.95,4786
2021-01-01 00:00:00+05:30,969.7,974.5,956.75,963.2,8615
2021-01-04 00:00:00+05:30,972.0,990.55,956.25,981.05,16958
2021-01-05 00:00:00+05:30,965.05,1013.2,965.05,979.6,41257
2021-01-06 00:00:00+05:30,994.0,994.0,964.2,976.95,13674
2021-01-07 00:00:00+05:30,980.0,985.0,976.3,978.95,8838
2021-01-08 00:00:00+05:30,979.55,983.95,962.25,965.85,27309
2021-01-11 00:00:00+05:30,964.0,969.65,950.0,955.0,27987
2021-01-12 00:00:00+05:30,953.5,969.0,945.0,959.15,17687
2021-01-13 00:00:00+05:30,955.05,983.0,951.0,959.45,23649
2021-01-14 00:00:00+05:30,965.0,971.0,933.95,952.1,12327
2021-01-15 00:00:00+05:30,954.0,958.75,934.0,939.85,9911
2021-01-18 00:00:00+05:30,949.0,949.9,920.0,921.05,9278
2021-01-19 00:00:00+05:30,929.1,940.0,921.2,934.35,7809
2021-01-20 00:00:00+05:30,926.5,998.4,926.5,987.25,51735
2021-01-21 00:00:00+05:30,997.65,1029.4,970.05,985.6,179010
2021-01-22 00:00:00+05:30,1028.7,1033.35,995.3,1008.0,133314
2021-01-25 00:00:00+05:30,1020.0,1029.0,982.5,990.3,59059
2021-01-27 00:00:00+05:30,990.0,990.0,945.1,950.05,32804
2021-01-28 00:00:00+05:30,949.95,953.0,922.55,933.1,22070
2021-01-29 00:00:00+05:30,934.1,949.0,925.0,928.25,12861
2021-02-01 00:00:00+05:30,933.0,937.75,919.95,929.9,25334
2021-02-02 00:00:00+05:30,947.0,966.0,945.0,950.95,29129
2021-02-03 00:00:00+05:30,964.0,969.4,955.0,958.45,17287
2021-02-04 00:00:00+05:30,965.05,1047.6,965.05,993.25,126204
2021-02-05 00:00:00+05:30,1001.1,1001.1,966.0,971.2,26485
2021-02-08 00:00:00+05:30,990.0,1008.0,981.35,988.55,32830
2021-02-09 00:00:00+05:30,990.0,996.15,966.0,971.85,27962
2021-02-10 00:00:00+05:30,971.85,984.95,966.2,977.95,16610
2021-02-11 00:00:00+05:30,970.0,1003.15,970.0,996.4,46257
2021-02-12 00:00:00+05:30,1008.0,1013.1,985.0,997.1,34626
2021-02-15 00:00:00+05:30,1010.6,1016.6,975.0,977.8,58190
2021-02-16 00:00:00+05:30,985.6,985.6,959.55,961.45,20169
2021-02-17 00:00:00+05:30,953.0,971.25,953.0,960.05,15806
2021-02-18 00:00:00+05:30,963.6,976.2,950.1,960.1,15344
