date,open,high,low,close,volume
2022-09-07 00:00:00+05:30,467.0,498.0,455.0,474.5,103140
2022-09-08 00:00:00+05:30,486.95,490.0,451.0,465.6,27728
2022-09-09 00:00:00+05:30,451.95,474.7,442.8,446.35,30550
2022-09-12 00:00:00+05:30,448.0,470.0,427.5,449.75,42067
2022-09-13 00:00:00+05:30,449.75,474.4,443.0,463.85,124036
2022-09-14 00:00:00+05:30,444.15,464.05,441.0,446.75,41340
2022-09-15 00:00:00+05:30,452.9,452.9,436.3,442.7,104519
2022-09-16 00:00:00+05:30,443.0,446.55,424.05,430.95,45715
2022-09-19 00:00:00+05:30,430.95,430.95,412.05,417.55,28575
2022-09-20 00:00:00+05:30,419.3,433.35,405.0,408.9,47116
2022-09-21 00:00:00+05:30,410.0,424.8,392.1,414.45,69145
2022-09-22 00:00:00+05:30,418.0,423.35,404.0,410.7,49976
2022-09-23 00:00:00+05:30,410.7,415.55,395.0,398.9,34759
2022-09-26 00:00:00+05:30,399.9,404.75,382.0,384.3,13758
2022-09-27 00:00:00+05:30,387.65,398.95,382.0,383.1,23402
2022-09-28 00:00:00+05:30,382.0,391.1,369.0,376.95,15033
2022-09-29 00:00:00+05:30,373.4,387.0,370.35,373.2,9423
2022-09-30 00:00:00+05:30,370.0,421.8,370.0,394.75,33815
2022-10-03 00:00:00+05:30,403.0,434.0,398.0,404.8,56516
2022-10-04 00:00:00+05:30,410.85,419.9,405.3,410.35,14086
2022-10-06 00:00:00+05:30,412.0,417.95,395.65,401.55,10138
2022-10-07 00:00:00+05:30,404.9,407.6,392.95,396.2,40376
2022-10-10 00:00:00+05:30,396.2,396.2,380.05,393.4,7146
2022-10-11 00:00:00+05:30,384.15,396.45,384.15,389.2,9158
2022-10-12 00:00:00+05:30,389.35,394.0,336.95,375.6,59700
2022-10-13 00:00:00+05:30,381.25,424.9,377.4,398.1,39520
2022-10-14 00:00:00+05:30,410.05,411.65,379.3,382.8,41444
2022-10-17 00:00:00+05:30,377.05,388.55,362.55,366.1,49183
2022-10-18 00:00:00+05:30,369.75,374.95,355.0,363.05,61942
