date,open,high,low,close,volume
2015-01-28 00:00:00+05:30,45.58,48.0,44.4,45.48,82915
2015-01-29 00:00:00+05:30,44.0,46.0,43.01,43.01,25585
2015-01-30 00:00:00+05:30,42.21,42.6,42.21,42.23,1000
2015-02-02 00:00:00+05:30,42.46,45.0,42.46,44.0,2650
2015-02-03 00:00:00+05:30,44.7,46.0,44.42,45.72,8810
2015-02-04 00:00:00+05:30,44.63,46.2,44.63,46.19,21735
2015-02-05 00:00:00+05:30,46.19,47.2,45.84,46.84,8065
2015-02-06 00:00:00+05:30,44.85,46.0,43.81,44.0,14230
2015-02-09 00:00:00+05:30,41.2,47.0,41.2,42.49,12965
2015-02-10 00:00:00+05:30,42.7,43.2,41.6,42.0,16115
2015-02-11 00:00:00+05:30,42.0,44.26,42.0,44.21,7870
2015-02-12 00:00:00+05:30,44.8,44.8,42.06,44.78,5590
2015-02-13 00:00:00+05:30,44.0,44.0,43.0,43.31,4630
2015-02-16 00:00:00+05:30,46.0,49.8,46.0,47.07,89765
2015-02-18 00:00:00+05:30,49.7,55.49,48.0,53.13,179830
2015-02-19 00:00:00+05:30,55.4,58.8,54.53,57.39,176830
2015-02-20 00:00:00+05:30,52.2,59.96,52.2,59.34,77280
2015-02-23 00:00:00+05:30,61.39,65.0,59.4,60.28,159155
2015-02-24 00:00:00+05:30,61.96,62.0,57.32,60.11,72085
2015-02-25 00:00:00+05:30,63.67,63.67,57.41,58.51,18430
2015-02-26 00:00:00+05:30,57.6,59.22,57.01,57.69,7060
2015-02-27 00:00:00+05:30,57.9,57.9,55.41,56.22,31430
2015-03-02 00:00:00+05:30,55.01,58.4,55.01,57.87,14415
2015-03-03 00:00:00+05:30,59.72,59.72,57.0,58.21,11710
2015-03-04 00:00:00+05:30,57.6,61.0,57.6,58.1,30305
2015-03-05 00:00:00+05:30,57.21,59.0,57.0,57.94,14305
2015-03-09 00:00:00+05:30,56.4,57.9,54.22,56.44,6435
2015-03-10 00:00:00+05:30,57.76,57.9,53.44,54.21,21875
2015-03-11 00:00:00+05:30,57.9,57.9,53.2,54.73,11935
2015-03-12 00:00:00+05:30,54.0,55.98,50.22,54.52,15650
2015-03-13 00:00:00+05:30,53.49,54.39,53.2,53.81,10015
2015-03-16 00:00:00+05:30,56.0,58.0,53.41,54.23,23880
2015-03-17 00:00:00+05:30,55.0,56.2,54.4,55.19,13965
2015-03-18 00:00:00+05:30,56.95,56.95,52.0,52.91,24990
2015-03-19 00:00:00+05:30,53.04,55.2,53.04,54.3,13605
2015-03-20 00:00:00+05:30,53.2,54.6,52.0,52.56,9830
2015-03-23 00:00:00+05:30,54.48,54.48,50.3,52.41,4205
2015-03-24 00:00:00+05:30,52.69,53.46,51.03,52.03,20390
2015-03-25 00:00:00+05:30,51.02,53.29,50.82,52.41,14195
2015-03-26 00:00:00+05:30,52.8,53.0,50.6,51.79,6110
2015-03-27 00:00:00+05:30,52.8,60.0,51.6,53.1,45420
