date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,70.6,70.86,69.2,69.74,106785
2015-01-02 00:00:00+05:30,70.07,70.36,69.48,69.73,206710
2015-01-05 00:00:00+05:30,70.34,70.4,69.2,69.51,358430
2015-01-06 00:00:00+05:30,69.5,69.5,65.09,66.5,639546
2015-01-07 00:00:00+05:30,66.9,68.4,65.8,66.4,1372429
2015-01-08 00:00:00+05:30,67.09,68.5,63.55,65.05,917635
2015-01-09 00:00:00+05:30,66.8,66.9,64.75,65.0,282430
2015-01-12 00:00:00+05:30,65.8,65.8,63.8,65.05,102676
2015-01-13 00:00:00+05:30,65.8,65.8,64.5,65.05,145360
2015-01-14 00:00:00+05:30,65.59,65.65,64.5,65.15,64426
2015-01-15 00:00:00+05:30,64.8,68.09,63.7,64.75,11373881
2015-01-16 00:00:00+05:30,65.0,67.8,65.0,66.05,986260
2015-01-19 00:00:00+05:30,66.95,66.95,64.09,64.5,1124672
2015-01-20 00:00:00+05:30,65.25,66.0,63.75,64.3,481930
2015-01-21 00:00:00+05:30,64.09,64.8,62.8,63.4,205548
2015-01-22 00:00:00+05:30,63.7,65.9,62.2,64.84,1335985
2015-01-23 00:00:00+05:30,65.4,65.4,63.1,63.6,317065
2015-01-27 00:00:00+05:30,63.6,64.5,62.15,64.0,201444
2015-01-28 00:00:00+05:30,63.5,64.4,63.1,63.8,198994
2015-01-29 00:00:00+05:30,64.45,64.45,63.25,63.6,109495
2015-01-30 00:00:00+05:30,63.5,64.0,62.5,63.8,251624
2015-02-02 00:00:00+05:30,63.5,64.09,63.15,63.45,179433
2015-02-03 00:00:00+05:30,63.9,64.0,63.15,63.8,64910
2015-02-04 00:00:00+05:30,64.3,64.3,63.1,63.4,105474
2015-02-05 00:00:00+05:30,63.3,64.0,62.15,62.5,59106
2015-02-06 00:00:00+05:30,63.35,63.9,61.8,63.05,60193
2015-02-09 00:00:00+05:30,64.0,64.4,62.8,63.95,197519
2015-02-10 00:00:00+05:30,63.95,64.0,62.1,63.5,65533
2015-02-11 00:00:00+05:30,64.3,64.3,63.05,63.9,63899
2015-02-12 00:00:00+05:30,62.0,64.0,60.05,63.75,195557
2015-02-13 00:00:00+05:30,63.55,64.0,62.1,62.95,182627
2015-02-16 00:00:00+05:30,64.8,64.8,62.1,62.5,244640
2015-02-18 00:00:00+05:30,62.5,62.9,61.5,62.05,91492
2015-02-19 00:00:00+05:30,62.1,63.2,59.5,61.15,442338
2015-02-20 00:00:00+05:30,62.4,62.4,60.5,61.95,105885
2015-02-23 00:00:00+05:30,61.7,62.8,61.0,61.05,62767
2015-02-24 00:00:00+05:30,60.8,60.9,58.2,58.95,227392
2015-02-25 00:00:00+05:30,59.25,60.0,57.15,59.1,259672
2015-02-26 00:00:00+05:30,59.25,59.25,56.35,57.0,205196
2015-02-27 00:00:00+05:30,56.2,56.45,49.9,51.9,1819445
2015-03-02 00:00:00+05:30,56.3,57.55,53.05,57.0,573567
2015-03-03 00:00:00+05:30,57.05,58.0,55.8,56.15,145202
2015-03-04 00:00:00+05:30,56.3,57.1,54.1,54.8,92871
2015-03-05 00:00:00+05:30,54.25,56.05,53.05,55.75,201610
2015-03-09 00:00:00+05:30,55.5,56.8,53.1,54.1,130866
2015-03-10 00:00:00+05:30,53.5,54.8,53.15,53.3,64628
2015-03-11 00:00:00+05:30,53.0,54.1,52.65,53.8,50458
2015-03-12 00:00:00+05:30,53.5,54.0,52.1,52.8,47609
2015-03-13 00:00:00+05:30,53.05,54.35,52.65,52.95,69060
2015-03-16 00:00:00+05:30,52.2,53.7,51.1,51.3,101067
2015-03-17 00:00:00+05:30,51.55,52.75,50.35,50.9,65825
2015-03-18 00:00:00+05:30,52.7,52.7,49.6,50.0,451190
2015-03-19 00:00:00+05:30,50.9,51.1,47.5,48.0,1418913
2015-03-20 00:00:00+05:30,48.0,48.8,46.3,48.0,150518
2015-03-23 00:00:00+05:30,49.4,50.0,48.25,48.95,164068
2015-03-24 00:00:00+05:30,48.5,49.8,47.0,47.85,52177
2015-03-25 00:00:00+05:30,47.05,47.85,45.5,47.2,71074
2015-03-26 00:00:00+05:30,47.0,48.0,46.45,47.4,39861
2015-03-27 00:00:00+05:30,47.1,47.5,45.2,46.4,61574
2015-03-30 00:00:00+05:30,46.95,49.05,46.5,48.45,36712
2015-03-31 00:00:00+05:30,49.4,49.45,48.2,49.0,52133
2015-04-01 00:00:00+05:30,47.35,50.0,47.35,49.25,44093
2015-04-06 00:00:00+05:30,52.15,52.15,49.55,51.05,68739
2015-04-07 00:00:00+05:30,51.3,51.9,50.15,51.8,51668
2015-04-08 00:00:00+05:30,52.05,53.4,52.05,52.85,83495
2015-04-09 00:00:00+05:30,53.45,57.4,53.0,54.95,804288
2015-04-10 00:00:00+05:30,55.1,57.3,54.15,54.8,320803
2015-04-13 00:00:00+05:30,54.8,57.0,54.5,56.05,143838
2015-04-15 00:00:00+05:30,56.35,56.35,53.6,54.6,120024
2015-04-16 00:00:00+05:30,54.6,55.8,52.45,54.9,311354
2015-04-17 00:00:00+05:30,55.1,55.4,53.25,54.8,245330
2015-04-20 00:00:00+05:30,53.5,55.0,52.5,52.95,35930
2015-04-21 00:00:00+05:30,51.5,53.85,51.0,51.6,47030
2015-04-22 00:00:00+05:30,52.3,54.0,50.15,53.4,111799
2015-04-23 00:00:00+05:30,53.95,54.0,52.05,52.45,36894
2015-04-24 00:00:00+05:30,53.0,56.0,51.25,51.8,85627
2015-04-27 00:00:00+05:30,51.15,52.4,49.55,52.0,237440
2015-04-28 00:00:00+05:30,51.1,55.5,50.3,54.75,130441
2015-04-29 00:00:00+05:30,54.0,55.5,53.35,54.95,238933
2015-04-30 00:00:00+05:30,54.85,55.0,53.0,54.0,289177
2015-05-04 00:00:00+05:30,52.7,55.95,52.7,55.45,77070
2015-05-05 00:00:00+05:30,55.35,55.5,53.3,53.95,58719
2015-05-06 00:00:00+05:30,54.1,54.1,50.5,51.45,43628
2015-05-07 00:00:00+05:30,52.15,52.8,50.5,51.25,29434
2015-05-08 00:00:00+05:30,51.35,54.45,51.35,54.0,77227
2015-05-11 00:00:00+05:30,54.0,55.75,53.4,53.6,24958
2015-05-12 00:00:00+05:30,53.5,53.85,51.65,51.9,43090
2015-05-13 00:00:00+05:30,52.8,53.35,51.5,53.0,29752
2015-05-14 00:00:00+05:30,53.0,53.15,52.1,52.95,9016
2015-05-15 00:00:00+05:30,52.5,53.65,52.2,53.1,23407
2015-05-18 00:00:00+05:30,52.95,53.55,52.1,52.7,9842
2015-05-19 00:00:00+05:30,53.15,54.9,53.1,53.2,49426
2015-05-20 00:00:00+05:30,54.5,58.6,54.45,55.35,592492
2015-05-21 00:00:00+05:30,55.35,56.05,54.1,54.45,101347
2015-05-22 00:00:00+05:30,54.05,54.85,53.0,53.2,81938
2015-05-25 00:00:00+05:30,53.1,54.65,52.55,53.25,59313
2015-05-26 00:00:00+05:30,52.2,56.7,52.15,55.3,197408
2015-05-27 00:00:00+05:30,55.65,56.45,53.8,54.85,95768
2015-05-28 00:00:00+05:30,54.15,55.6,53.5,54.45,39925
2015-05-29 00:00:00+05:30,56.0,56.0,53.55,54.0,80588
2015-06-01 00:00:00+05:30,52.0,52.85,50.6,51.55,70283
2015-06-02 00:00:00+05:30,51.0,51.05,45.65,49.75,206715
2015-06-03 00:00:00+05:30,49.2,49.6,46.5,49.0,74457
2015-06-04 00:00:00+05:30,47.25,49.2,47.25,47.95,23771
2015-06-05 00:00:00+05:30,47.1,49.0,47.1,47.8,30588
2015-06-08 00:00:00+05:30,48.0,48.0,46.15,46.7,21056
2015-06-09 00:00:00+05:30,47.0,53.5,45.8,50.15,813485
2015-06-10 00:00:00+05:30,49.3,50.2,48.15,48.9,155382
2015-06-11 00:00:00+05:30,48.6,49.75,48.2,48.3,62830
2015-06-12 00:00:00+05:30,47.15,48.5,47.1,47.4,30155
2015-06-15 00:00:00+05:30,47.9,48.75,47.3,47.5,32190
2015-06-16 00:00:00+05:30,47.2,47.5,46.05,47.05,51226
2015-06-17 00:00:00+05:30,48.2,51.9,48.0,50.6,401490
2015-06-18 00:00:00+05:30,50.0,51.45,49.1,49.8,110321
2015-06-19 00:00:00+05:30,49.75,50.2,48.15,48.5,89730
2015-06-22 00:00:00+05:30,49.5,49.5,48.5,49.1,34663
2015-06-23 00:00:00+05:30,48.5,51.9,48.5,50.25,175740
2015-06-24 00:00:00+05:30,49.15,51.4,49.1,49.25,39208
2015-06-25 00:00:00+05:30,49.0,50.9,48.65,49.65,64783
2015-06-26 00:00:00+05:30,49.55,50.0,48.8,49.1,33572
2015-06-29 00:00:00+05:30,48.5,48.75,47.25,47.95,37607
2015-06-30 00:00:00+05:30,48.05,49.8,47.25,49.25,92845
2015-07-01 00:00:00+05:30,50.05,51.9,49.3,50.15,161103
2015-07-02 00:00:00+05:30,50.55,50.6,49.0,49.9,118773
2015-07-03 00:00:00+05:30,50.25,52.4,48.55,50.5,898092
2015-07-06 00:00:00+05:30,48.75,50.2,47.1,49.85,540545
2015-07-07 00:00:00+05:30,50.0,50.45,49.05,49.15,92795
2015-07-08 00:00:00+05:30,48.65,49.3,47.35,47.8,102315
2015-07-09 00:00:00+05:30,48.2,48.7,47.55,47.8,42022
2015-07-10 00:00:00+05:30,48.65,49.4,47.4,48.05,50284
2015-07-13 00:00:00+05:30,48.85,50.25,48.15,49.15,95570
2015-07-14 00:00:00+05:30,49.15,50.0,48.65,48.85,83325
2015-07-15 00:00:00+05:30,49.5,49.6,48.1,48.7,80312
2015-07-16 00:00:00+05:30,49.0,50.25,48.6,48.9,117544
2015-07-17 00:00:00+05:30,49.25,50.25,48.55,49.1,426021
2015-07-20 00:00:00+05:30,49.5,49.5,48.65,48.75,67103
2015-07-21 00:00:00+05:30,48.4,49.5,47.45,47.65,87831
2015-07-22 00:00:00+05:30,48.05,48.25,47.05,47.55,64529
2015-07-23 00:00:00+05:30,47.25,48.5,47.1,47.4,74489
