date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,69.0,69.3,68.2,68.84,2101999
2015-01-02 00:00:00+05:30,68.59,73.0,68.59,72.4,6491563
2015-01-05 00:00:00+05:30,72.55,74.09,72.09,72.5,6412696
2015-01-06 00:00:00+05:30,71.8,71.8,66.8,67.25,5030108
2015-01-07 00:00:00+05:30,67.15,68.75,66.7,68.25,4997879
2015-01-08 00:00:00+05:30,69.15,70.9,68.3,70.59,4735756
2015-01-09 00:00:00+05:30,71.15,71.45,68.09,68.7,4665528
2015-01-12 00:00:00+05:30,68.59,69.4,67.2,68.75,4500015
2015-01-13 00:00:00+05:30,69.0,69.34,65.7,65.95,4711194
2015-01-14 00:00:00+05:30,66.05,66.65,63.75,64.05,4629002
2015-01-15 00:00:00+05:30,67.0,73.4,66.7,70.65,15947378
2015-01-16 00:00:00+05:30,70.9,74.09,69.25,72.25,11082420
2015-01-19 00:00:00+05:30,72.84,73.8,71.0,71.75,4735867
2015-01-20 00:00:00+05:30,72.2,73.59,69.55,70.5,7713316
2015-01-21 00:00:00+05:30,70.9,71.2,68.25,68.84,4311812
2015-01-22 00:00:00+05:30,69.05,72.25,68.34,71.9,8690552
2015-01-23 00:00:00+05:30,73.25,76.75,73.0,75.9,15929241
2015-01-27 00:00:00+05:30,76.55,78.34,75.3,76.59,9507506
2015-01-28 00:00:00+05:30,75.34,77.75,75.0,75.5,7945377
2015-01-29 00:00:00+05:30,74.2,79.7,74.2,78.5,16078521
2015-01-30 00:00:00+05:30,80.15,85.25,80.09,83.45,30184679
2015-02-02 00:00:00+05:30,84.0,86.95,82.85,84.25,13579197
2015-02-03 00:00:00+05:30,84.85,85.75,80.59,81.45,12985734
2015-02-04 00:00:00+05:30,81.7,85.0,80.0,81.2,12852615
2015-02-05 00:00:00+05:30,81.2,82.3,76.09,76.95,7525917
2015-02-06 00:00:00+05:30,76.8,80.9,76.59,80.15,10140539
2015-02-09 00:00:00+05:30,79.59,79.95,76.15,77.2,6501422
2015-02-10 00:00:00+05:30,76.09,78.5,70.09,71.45,14387193
2015-02-11 00:00:00+05:30,71.5,74.59,71.3,73.09,7391469
2015-02-12 00:00:00+05:30,73.8,78.9,73.45,76.8,16167165
2015-02-13 00:00:00+05:30,77.55,81.0,77.25,77.9,8487925
2015-02-16 00:00:00+05:30,78.75,80.65,78.2,78.8,7928642
2015-02-18 00:00:00+05:30,79.4,82.7,79.2,80.9,9395831
2015-02-19 00:00:00+05:30,81.3,82.95,78.3,82.25,9387670
2015-02-20 00:00:00+05:30,81.9,84.95,80.9,84.15,11147843
2015-02-23 00:00:00+05:30,85.05,86.0,80.25,81.65,9648331
2015-02-24 00:00:00+05:30,81.65,82.6,80.15,80.95,5877794
2015-02-25 00:00:00+05:30,81.25,82.8,79.09,79.9,5882751
2015-02-26 00:00:00+05:30,80.15,80.7,77.95,78.65,7495097
2015-02-27 00:00:00+05:30,79.5,83.35,77.95,82.95,10290906
2015-03-02 00:00:00+05:30,80.7,82.0,78.0,78.45,6442863
2015-03-03 00:00:00+05:30,79.0,79.9,76.3,76.7,6128276
2015-03-04 00:00:00+05:30,79.59,81.15,75.4,76.25,11516351
2015-03-05 00:00:00+05:30,76.4,76.9,74.25,76.25,5927914
2015-03-09 00:00:00+05:30,75.59,75.95,73.25,73.8,4257590
2015-03-10 00:00:00+05:30,73.8,74.84,72.59,73.15,6593809
2015-03-11 00:00:00+05:30,73.55,75.5,72.95,74.5,4959757
2015-03-12 00:00:00+05:30,74.75,77.8,74.75,77.4,5469899
2015-03-13 00:00:00+05:30,78.0,78.4,73.4,73.84,5833229
2015-03-16 00:00:00+05:30,74.05,75.3,73.4,74.65,4477170
2015-03-17 00:00:00+05:30,74.9,75.2,72.65,73.3,3269928
2015-03-18 00:00:00+05:30,73.3,74.4,72.7,73.25,2847571
2015-03-19 00:00:00+05:30,73.84,74.4,69.7,70.2,4510987
2015-03-20 00:00:00+05:30,69.2,69.65,65.0,65.7,8564668
2015-03-23 00:00:00+05:30,65.7,66.15,63.1,64.84,5932126
2015-03-24 00:00:00+05:30,64.75,66.95,64.5,65.55,5800114
2015-03-25 00:00:00+05:30,65.55,66.0,64.2,64.59,4550116
2015-03-26 00:00:00+05:30,64.0,64.84,63.4,64.34,7013549
2015-03-27 00:00:00+05:30,65.0,66.65,62.1,66.15,6807324
2015-03-30 00:00:00+05:30,66.65,67.75,64.95,67.15,3813574
2015-03-31 00:00:00+05:30,67.65,67.65,65.15,65.4,3975769
2015-04-01 00:00:00+05:30,65.45,68.3,64.9,67.65,3969177
2015-04-06 00:00:00+05:30,68.0,73.2,66.34,72.4,12921302
2015-04-07 00:00:00+05:30,72.84,72.84,69.5,70.34,7413797
2015-04-08 00:00:00+05:30,70.84,74.0,70.2,71.95,9437483
2015-04-09 00:00:00+05:30,72.25,72.59,69.95,70.8,4744852
2015-04-10 00:00:00+05:30,70.9,73.3,70.5,71.59,6117550
2015-04-13 00:00:00+05:30,72.05,73.4,71.65,72.09,4564882
2015-04-15 00:00:00+05:30,72.34,73.0,68.84,69.75,4934737
2015-04-16 00:00:00+05:30,69.59,69.65,66.15,66.5,5685451
2015-04-17 00:00:00+05:30,66.65,67.05,65.0,65.34,4582343
2015-04-20 00:00:00+05:30,65.55,65.8,61.1,61.85,6241001
2015-04-21 00:00:00+05:30,61.85,63.3,60.7,61.05,5274975
2015-04-22 00:00:00+05:30,61.5,63.3,60.4,62.0,5548029
2015-04-23 00:00:00+05:30,62.5,63.7,61.0,61.4,5631442
2015-04-24 00:00:00+05:30,61.7,61.8,57.2,57.85,5698844
2015-04-27 00:00:00+05:30,58.0,58.25,52.7,53.25,6312254
2015-04-28 00:00:00+05:30,52.25,54.75,52.25,53.95,7913639
2015-04-29 00:00:00+05:30,54.0,56.6,53.45,55.95,6411349
2015-04-30 00:00:00+05:30,55.8,60.2,55.6,59.7,13347102
2015-05-04 00:00:00+05:30,59.8,60.9,59.05,60.1,5054147
2015-05-05 00:00:00+05:30,60.3,61.5,59.15,59.8,4224588
2015-05-06 00:00:00+05:30,59.7,59.7,54.95,55.2,7142194
2015-05-07 00:00:00+05:30,55.1,56.25,53.5,54.95,5908529
2015-05-08 00:00:00+05:30,56.0,58.35,55.45,57.15,5488164
2015-05-11 00:00:00+05:30,57.65,59.65,57.35,58.25,5617029
2015-05-12 00:00:00+05:30,58.0,58.0,54.8,55.25,6088682
2015-05-13 00:00:00+05:30,56.0,57.7,54.45,57.2,6309732
2015-05-14 00:00:00+05:30,57.05,58.1,55.9,57.7,6188922
2015-05-15 00:00:00+05:30,58.0,58.65,55.4,56.35,5252080
2015-05-18 00:00:00+05:30,56.6,58.3,56.5,57.4,3735325
2015-05-19 00:00:00+05:30,57.35,58.0,56.25,56.9,3364271
2015-05-20 00:00:00+05:30,57.35,58.75,57.15,58.3,4472792
2015-05-21 00:00:00+05:30,58.7,59.3,57.05,58.15,5135030
2015-05-22 00:00:00+05:30,60.75,61.9,58.9,59.45,12102307
2015-05-25 00:00:00+05:30,59.45,59.65,58.25,58.7,2814425
2015-05-26 00:00:00+05:30,59.0,59.0,56.8,57.5,3432528
2015-05-27 00:00:00+05:30,57.15,59.5,56.3,58.7,5048302
2015-05-28 00:00:00+05:30,59.0,59.15,57.3,57.9,3242740
2015-05-29 00:00:00+05:30,58.1,60.4,57.8,58.55,5610684
2015-06-01 00:00:00+05:30,58.65,60.25,58.3,58.9,3573130
2015-06-02 00:00:00+05:30,59.1,59.4,54.6,55.2,5115644
2015-06-03 00:00:00+05:30,55.2,55.25,45.15,50.6,12913318
2015-06-04 00:00:00+05:30,51.15,51.85,48.55,50.35,9473816
2015-06-05 00:00:00+05:30,49.95,50.9,49.3,49.7,4446174
2015-06-08 00:00:00+05:30,50.4,50.4,47.5,48.4,4422001
2015-06-09 00:00:00+05:30,48.0,49.15,46.15,46.8,4801307
2015-06-10 00:00:00+05:30,47.25,48.1,46.4,47.1,5283135
2015-06-11 00:00:00+05:30,47.9,47.9,44.65,44.95,4797144
2015-06-12 00:00:00+05:30,44.6,45.4,41.7,44.15,8828613
2015-06-15 00:00:00+05:30,44.5,45.65,43.45,44.05,5521690
2015-06-16 00:00:00+05:30,44.1,44.2,42.25,42.85,5411309
2015-06-17 00:00:00+05:30,43.15,43.8,42.25,42.9,5731966
2015-06-18 00:00:00+05:30,43.0,43.35,41.0,41.9,5547917
2015-06-19 00:00:00+05:30,42.3,42.8,41.1,42.0,5555823
2015-06-22 00:00:00+05:30,46.2,56.1,45.1,54.65,59117000
2015-06-23 00:00:00+05:30,56.0,56.5,51.2,53.5,32704036
2015-06-24 00:00:00+05:30,53.7,55.65,52.9,54.15,15612005
2015-06-25 00:00:00+05:30,53.7,55.4,53.3,54.5,15508769
2015-06-26 00:00:00+05:30,54.8,59.7,52.15,57.55,21290632
2015-06-29 00:00:00+05:30,54.0,55.9,52.95,54.95,10000781
2015-06-30 00:00:00+05:30,54.45,57.95,54.35,57.05,12488733
2015-07-01 00:00:00+05:30,57.1,57.95,55.2,56.8,7482493
2015-07-02 00:00:00+05:30,57.0,58.4,56.2,56.55,11062286
2015-07-03 00:00:00+05:30,57.0,57.35,55.1,56.0,7832150
2015-07-06 00:00:00+05:30,55.0,57.25,53.8,56.85,9943531
2015-07-07 00:00:00+05:30,56.7,58.35,56.05,57.55,10196036
2015-07-08 00:00:00+05:30,56.8,58.25,55.25,57.55,14426590
2015-07-09 00:00:00+05:30,57.6,58.75,56.1,56.3,6190949
2015-07-10 00:00:00+05:30,56.8,57.2,54.7,55.25,4280026
2015-07-13 00:00:00+05:30,56.3,57.25,55.1,56.85,4672691
2015-07-14 00:00:00+05:30,57.1,57.5,55.0,55.35,4377263
2015-07-15 00:00:00+05:30,55.5,57.1,55.45,55.9,4642310
2015-07-16 00:00:00+05:30,56.4,56.6,54.35,54.7,3661775
2015-07-17 00:00:00+05:30,55.0,55.4,53.6,54.05,3675844
2015-07-20 00:00:00+05:30,54.35,54.5,52.55,52.85,4269805
2015-07-21 00:00:00+05:30,53.15,53.8,50.8,51.4,4547294
2015-07-22 00:00:00+05:30,51.4,59.1,51.0,55.7,11159574
2015-07-23 00:00:00+05:30,56.1,56.4,54.3,55.05,5890258
2015-07-24 00:00:00+05:30,55.1,58.45,53.65,57.9,10741466
2015-07-27 00:00:00+05:30,57.35,61.4,56.35,58.6,14636523
2015-07-28 00:00:00+05:30,58.75,60.4,58.3,59.2,8641660
2015-07-29 00:00:00+05:30,59.4,61.1,58.8,60.1,9726354
2015-07-30 00:00:00+05:30,60.55,63.0,59.55,62.5,13134161
2015-07-31 00:00:00+05:30,62.45,64.25,60.4,63.0,11668437
2015-08-03 00:00:00+05:30,62.95,64.95,61.05,61.8,10371585
2015-08-04 00:00:00+05:30,66.0,66.8,62.55,64.55,20136347
2015-08-05 00:00:00+05:30,65.09,68.7,64.84,67.55,13609527
2015-08-06 00:00:00+05:30,67.65,69.15,66.34,67.9,9481851
2015-08-07 00:00:00+05:30,67.3,67.84,65.3,66.4,9131247
2015-08-10 00:00:00+05:30,66.75,69.2,66.3,68.0,9359646
2015-08-11 00:00:00+05:30,68.4,69.15,66.5,68.4,7135112
2015-08-12 00:00:00+05:30,67.9,68.0,63.5,64.75,8929027
2015-08-13 00:00:00+05:30,64.0,66.0,60.8,61.8,7342643
2015-08-14 00:00:00+05:30,62.45,67.05,61.45,65.5,18387975
2015-08-17 00:00:00+05:30,65.5,65.55,62.6,63.45,7618964
2015-08-18 00:00:00+05:30,63.9,65.5,62.6,64.59,11547964
2015-08-19 00:00:00+05:30,64.05,65.15,60.5,61.4,9666071
2015-08-20 00:00:00+05:30,60.85,61.3,51.3,55.75,18480861
2015-08-21 00:00:00+05:30,54.05,58.35,53.45,56.3,10714304
2015-08-24 00:00:00+05:30,51.0,53.75,45.6,46.85,16204248
2015-08-25 00:00:00+05:30,49.5,56.7,48.9,55.55,30571654
2015-08-26 00:00:00+05:30,54.5,61.0,52.35,59.95,23449641
2015-08-27 00:00:00+05:30,60.85,66.09,59.9,65.55,25372627
2015-08-28 00:00:00+05:30,66.0,66.9,61.3,62.4,12012022
2015-08-31 00:00:00+05:30,61.5,63.45,60.15,61.85,5624345
2015-09-01 00:00:00+05:30,60.4,62.1,57.3,57.75,5878274
2015-09-02 00:00:00+05:30,59.1,62.4,57.6,60.45,8395627
2015-09-03 00:00:00+05:30,61.25,65.4,61.25,64.55,9459729
2015-09-04 00:00:00+05:30,63.95,63.95,55.0,60.7,14501489
2015-09-07 00:00:00+05:30,61.1,63.7,60.0,60.6,7647798
2015-09-08 00:00:00+05:30,61.5,64.9,58.7,63.95,13986791
2015-09-09 00:00:00+05:30,65.34,66.2,62.1,64.4,9963586
2015-09-10 00:00:00+05:30,62.25,64.3,61.2,63.95,6007995
2015-09-11 00:00:00+05:30,64.55,64.75,61.95,63.0,6258041
2015-09-14 00:00:00+05:30,63.25,66.7,62.55,66.0,6336958
2015-09-15 00:00:00+05:30,66.45,67.34,63.0,63.6,7799662
2015-09-16 00:00:00+05:30,64.8,65.05,61.65,62.05,6121246
2015-09-18 00:00:00+05:30,63.4,66.9,63.15,64.2,11779150
2015-09-21 00:00:00+05:30,63.25,64.7,62.65,64.2,5209699
2015-09-22 00:00:00+05:30,64.84,65.09,60.25,60.75,7289405
2015-09-23 00:00:00+05:30,59.5,61.95,59.05,61.1,5743997
2015-09-24 00:00:00+05:30,61.15,62.3,60.3,60.95,4356097
2015-09-28 00:00:00+05:30,61.2,63.6,60.5,61.6,5884953
2015-09-29 00:00:00+05:30,60.7,65.9,59.5,64.3,13766296
2015-09-30 00:00:00+05:30,64.84,65.59,62.1,63.85,8229974
2015-10-01 00:00:00+05:30,64.4,64.8,62.3,62.8,5821429
2015-10-05 00:00:00+05:30,63.45,65.7,63.4,65.34,6609531
2015-10-06 00:00:00+05:30,65.95,71.15,65.5,70.0,19802726
2015-10-07 00:00:00+05:30,70.45,72.4,69.0,70.5,9891283
2015-10-08 00:00:00+05:30,70.7,71.09,67.65,67.95,8143089
2015-10-09 00:00:00+05:30,69.0,70.3,66.25,67.15,10644930
2015-10-12 00:00:00+05:30,67.8,68.3,65.05,66.3,9633068
2015-10-13 00:00:00+05:30,66.45,67.7,66.2,67.34,7664446
2015-10-14 00:00:00+05:30,67.8,69.3,66.5,67.2,8032608
2015-10-15 00:00:00+05:30,67.8,68.8,67.05,67.75,5658742
2015-10-16 00:00:00+05:30,68.2,68.8,66.8,68.15,5145897
2015-10-19 00:00:00+05:30,68.5,73.4,67.9,72.25,9204528
2015-10-20 00:00:00+05:30,73.0,73.59,70.25,70.95,8647288
2015-10-21 00:00:00+05:30,71.3,71.59,65.65,67.75,17538213
2015-10-23 00:00:00+05:30,68.8,68.9,64.7,65.05,7047633
2015-10-26 00:00:00+05:30,65.7,66.45,62.8,63.3,6581501
2015-10-27 00:00:00+05:30,63.2,66.0,62.8,65.3,7408440
2015-10-28 00:00:00+05:30,65.55,66.45,63.85,64.3,5786609
2015-10-29 00:00:00+05:30,64.59,65.25,63.8,64.15,6041903
2015-10-30 00:00:00+05:30,64.8,65.5,61.6,62.4,5581832
2015-11-02 00:00:00+05:30,62.75,63.7,61.3,62.5,5280953
2015-11-03 00:00:00+05:30,62.9,63.5,61.6,61.9,3406978
2015-11-04 00:00:00+05:30,62.5,63.5,61.95,62.15,4252167
2015-11-05 00:00:00+05:30,62.55,62.55,59.65,59.9,4151316
2015-11-06 00:00:00+05:30,60.45,60.9,58.35,59.3,4053836
2015-11-09 00:00:00+05:30,56.2,60.9,56.1,60.35,5206865
2015-11-10 00:00:00+05:30,60.3,60.3,57.6,58.55,4230284
2015-11-11 00:00:00+05:30,60.0,61.8,60.0,60.75,1096503
2015-11-13 00:00:00+05:30,60.3,61.65,59.3,60.0,3884453
2015-11-16 00:00:00+05:30,60.0,60.95,59.5,60.35,2545333
2015-11-17 00:00:00+05:30,60.9,61.8,59.3,60.0,5052438
2015-11-18 00:00:00+05:30,60.4,61.25,59.0,59.35,4891993
2015-11-19 00:00:00+05:30,60.4,60.45,59.5,60.15,2421607
2015-11-20 00:00:00+05:30,60.3,61.95,59.85,60.8,5074591
2015-11-23 00:00:00+05:30,61.0,61.25,59.55,60.35,3742281
2015-11-24 00:00:00+05:30,60.4,62.2,59.85,61.2,4977053
2015-11-26 00:00:00+05:30,61.25,63.8,61.25,62.95,8625648
2015-11-27 00:00:00+05:30,63.85,64.0,61.1,62.4,6556886
2015-11-30 00:00:00+05:30,62.9,64.8,62.35,64.0,8008701
2015-12-01 00:00:00+05:30,64.15,64.55,62.5,62.9,4644411
2015-12-02 00:00:00+05:30,63.3,63.9,62.1,62.35,4471691
2015-12-03 00:00:00+05:30,62.45,63.45,61.75,62.1,4861563
2015-12-04 00:00:00+05:30,61.65,62.05,60.1,60.5,4129666
2015-12-07 00:00:00+05:30,61.0,61.5,60.2,60.4,3288240
2015-12-08 00:00:00+05:30,60.2,60.85,55.55,55.85,8637064
2015-12-09 00:00:00+05:30,55.8,59.1,54.1,58.05,14932307
2015-12-10 00:00:00+05:30,58.7,59.5,56.7,58.05,6871421
2015-12-11 00:00:00+05:30,58.3,58.3,55.5,55.95,4613747
2015-12-14 00:00:00+05:30,55.4,56.9,54.7,56.45,3193373
2015-12-15 00:00:00+05:30,56.95,59.5,56.45,59.15,5699863
2015-12-16 00:00:00+05:30,59.45,61.55,58.8,60.25,7384237
2015-12-17 00:00:00+05:30,60.7,61.6,59.35,61.15,5159149
2015-12-18 00:00:00+05:30,60.6,62.2,60.2,60.8,5329659
2015-12-21 00:00:00+05:30,61.1,63.0,60.6,62.5,4623896
2015-12-22 00:00:00+05:30,63.5,64.05,61.1,61.55,8201016
2015-12-23 00:00:00+05:30,62.1,62.75,61.85,62.25,3281203
2015-12-24 00:00:00+05:30,62.7,63.25,61.7,62.3,4145878
