date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,258.13,291.07,258.13,277.95,280797
2015-01-02 00:00:00+05:30,278.66,281.12,272.37,273.62,56343
2015-01-05 00:00:00+05:30,273.62,286.34,273.62,278.97,79176
2015-01-06 00:00:00+05:30,276.96,276.96,264.91,266.34,47238
2015-01-07 00:00:00+05:30,266.56,271.43,262.01,268.62,29969
2015-01-08 00:00:00+05:30,269.73,290.08,269.64,278.88,264105
2015-01-09 00:00:00+05:30,281.47,285.54,271.33,277.58,60918
2015-01-12 00:00:00+05:30,279.02,294.2,276.79,287.95,164547
2015-01-13 00:00:00+05:30,287.95,313.3,286.61,305.4,667888
2015-01-14 00:00:00+05:30,308.93,318.62,308.39,313.88,301421
2015-01-15 00:00:00+05:30,316.07,319.64,302.68,313.39,101761
2015-01-16 00:00:00+05:30,309.82,316.96,304.6,309.33,65857
2015-01-19 00:00:00+05:30,312.23,324.02,312.19,317.59,162223
2015-01-20 00:00:00+05:30,317.59,320.94,308.17,310.09,67759
2015-01-21 00:00:00+05:30,312.37,318.75,305.36,308.17,57654
2015-01-22 00:00:00+05:30,308.75,321.43,303.66,310.76,94437
2015-01-23 00:00:00+05:30,324.96,325.89,303.79,307.9,120208
2015-01-27 00:00:00+05:30,312.5,314.29,301.92,307.68,59652
2015-01-28 00:00:00+05:30,307.95,311.61,299.11,300.67,39162
2015-01-29 00:00:00+05:30,300.0,307.86,297.1,301.38,49762
2015-01-30 00:00:00+05:30,303.13,303.53,294.69,295.8,35560
2015-02-02 00:00:00+05:30,295.8,300.13,291.07,293.48,24749
2015-02-03 00:00:00+05:30,293.3,293.3,250.04,286.43,47271
2015-02-04 00:00:00+05:30,289.46,305.31,285.36,298.21,91765
2015-02-05 00:00:00+05:30,300.89,305.0,295.58,298.57,48265
2015-02-06 00:00:00+05:30,296.43,296.43,286.56,288.48,20453
2015-02-09 00:00:00+05:30,281.25,285.71,271.43,272.95,29390
2015-02-10 00:00:00+05:30,265.18,282.14,265.18,273.48,37622
2015-02-11 00:00:00+05:30,273.26,287.5,273.26,283.04,61638
2015-02-12 00:00:00+05:30,283.04,288.39,282.14,284.28,29816
2015-02-13 00:00:00+05:30,282.63,290.08,282.63,288.04,39787
2015-02-16 00:00:00+05:30,287.05,290.18,281.43,283.66,21753
2015-02-18 00:00:00+05:30,283.66,288.39,283.57,286.21,34978
2015-02-19 00:00:00+05:30,284.82,288.39,283.3,285.89,22796
2015-02-20 00:00:00+05:30,283.93,304.24,283.04,289.73,274620
2015-02-23 00:00:00+05:30,292.77,299.11,289.86,291.92,28949
2015-02-24 00:00:00+05:30,291.12,297.68,288.84,293.88,20101
2015-02-25 00:00:00+05:30,303.57,320.54,300.0,313.13,551920
2015-02-26 00:00:00+05:30,317.19,319.64,306.61,309.87,278492
2015-02-27 00:00:00+05:30,309.87,325.89,304.51,316.29,142759
2015-03-02 00:00:00+05:30,316.96,322.01,310.98,312.95,51924
2015-03-03 00:00:00+05:30,321.43,331.07,318.21,323.48,147094
2015-03-04 00:00:00+05:30,321.65,325.67,312.5,314.06,48270
2015-03-05 00:00:00+05:30,312.63,326.79,312.63,321.29,48530
2015-03-09 00:00:00+05:30,318.3,320.98,313.48,316.88,25389
2015-03-10 00:00:00+05:30,315.4,372.77,315.4,358.93,644427
2015-03-11 00:00:00+05:30,363.75,393.66,355.36,370.94,836186
2015-03-12 00:00:00+05:30,375.04,382.01,364.87,367.68,120823
2015-03-13 00:00:00+05:30,371.16,380.36,354.91,358.57,95454
2015-03-16 00:00:00+05:30,362.14,362.14,336.29,344.82,71079
2015-03-17 00:00:00+05:30,349.73,370.49,349.11,362.86,116724
2015-03-18 00:00:00+05:30,364.11,365.94,345.58,350.98,74956
2015-03-19 00:00:00+05:30,356.61,366.07,345.54,347.59,91959
