date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,1.95,2.29,1.95,2.25,93087
2015-01-02 00:00:00+05:30,2.25,2.4,1.95,2.29,65443
2015-01-05 00:00:00+05:30,2.4,2.6,2.29,2.5,119674
2015-01-06 00:00:00+05:30,2.5,2.75,2.5,2.6,122155
2015-01-07 00:00:00+05:30,2.85,2.85,2.6,2.8,148301
2015-01-08 00:00:00+05:30,3.0,3.05,2.8,3.05,122411
2015-01-09 00:00:00+05:30,3.2,3.35,3.05,3.3,106357
2015-01-12 00:00:00+05:30,3.3,3.45,3.15,3.15,112072
2015-01-13 00:00:00+05:30,3.1,3.2,3.0,3.0,46941
2015-01-14 00:00:00+05:30,2.85,2.95,2.85,2.85,40915
2015-01-15 00:00:00+05:30,2.75,2.75,2.75,2.75,19187
2015-01-16 00:00:00+05:30,2.75,2.85,2.65,2.7,45675
2015-01-19 00:00:00+05:30,2.7,2.7,2.6,2.65,37452
2015-01-20 00:00:00+05:30,2.75,2.75,2.54,2.54,67708
2015-01-21 00:00:00+05:30,2.5,2.5,2.45,2.45,32235
2015-01-22 00:00:00+05:30,2.5,2.54,2.35,2.54,40621
2015-01-23 00:00:00+05:30,2.54,2.65,2.5,2.54,22217
2015-01-27 00:00:00+05:30,2.6,2.6,2.45,2.5,11256
2015-01-28 00:00:00+05:30,2.5,2.5,2.4,2.4,11408
2015-01-29 00:00:00+05:30,2.4,2.5,2.29,2.35,26929
2015-01-30 00:00:00+05:30,2.45,2.45,2.25,2.29,12607
2015-02-02 00:00:00+05:30,2.4,2.4,2.25,2.4,19899
2015-02-03 00:00:00+05:30,2.45,2.5,2.35,2.4,7234
2015-02-04 00:00:00+05:30,2.5,2.5,2.35,2.4,13859
2015-02-05 00:00:00+05:30,2.5,2.5,2.35,2.4,16509
2015-02-06 00:00:00+05:30,2.5,2.5,2.29,2.29,38676
2015-02-09 00:00:00+05:30,2.4,2.4,2.2,2.2,22414
2015-02-10 00:00:00+05:30,2.29,2.29,2.1,2.15,23283
2015-02-11 00:00:00+05:30,2.2,2.25,2.04,2.15,59315
2015-02-12 00:00:00+05:30,2.2,2.2,2.15,2.15,8190
2015-02-13 00:00:00+05:30,2.25,2.25,2.04,2.1,44402
2015-02-16 00:00:00+05:30,2.1,2.2,2.0,2.2,35325
2015-02-18 00:00:00+05:30,2.25,2.29,2.2,2.25,38217
2015-02-19 00:00:00+05:30,2.35,2.35,2.2,2.29,44101
2015-02-20 00:00:00+05:30,2.25,2.4,2.25,2.4,21656
2015-02-23 00:00:00+05:30,2.5,2.5,2.45,2.45,21811
2015-02-24 00:00:00+05:30,2.54,2.54,2.4,2.5,14019
2015-02-25 00:00:00+05:30,2.5,2.6,2.4,2.4,16487
2015-02-26 00:00:00+05:30,2.4,2.5,2.35,2.5,11817
2015-02-27 00:00:00+05:30,2.5,2.6,2.4,2.45,26082
2015-03-02 00:00:00+05:30,2.65,2.65,2.45,2.5,43158
2015-03-03 00:00:00+05:30,2.4,2.5,2.4,2.4,30878
2015-03-04 00:00:00+05:30,2.29,2.5,2.29,2.29,25936
2015-03-05 00:00:00+05:30,2.35,2.35,2.2,2.25,19140
2015-03-09 00:00:00+05:30,2.29,2.4,2.1,2.35,26036
2015-03-10 00:00:00+05:30,2.5,2.5,2.25,2.4,22307
2015-03-11 00:00:00+05:30,2.45,2.45,2.29,2.35,6548
2015-03-12 00:00:00+05:30,2.4,2.4,2.2,2.25,29037
2015-03-13 00:00:00+05:30,2.29,2.35,2.2,2.29,9678
2015-03-16 00:00:00+05:30,2.35,2.35,2.15,2.2,5440
2015-03-17 00:00:00+05:30,2.25,2.25,2.1,2.1,14682
2015-03-18 00:00:00+05:30,2.04,2.2,2.0,2.04,26581
2015-03-19 00:00:00+05:30,2.2,2.2,1.95,1.95,24581
2015-03-20 00:00:00+05:30,2.1,2.1,1.95,2.0,16468
2015-03-23 00:00:00+05:30,2.1,2.1,1.9,2.04,60743
2015-03-24 00:00:00+05:30,1.95,2.2,1.95,2.15,3519
2015-03-25 00:00:00+05:30,2.25,2.25,2.0,2.0,16277
2015-03-26 00:00:00+05:30,2.0,2.2,1.9,1.95,37188
2015-03-27 00:00:00+05:30,2.04,2.04,1.85,1.85,27974
2015-03-30 00:00:00+05:30,1.85,2.0,1.85,1.95,22184
2015-03-31 00:00:00+05:30,1.95,2.04,1.85,1.95,28840
2015-04-01 00:00:00+05:30,1.95,2.1,1.8,2.1,17695
2015-04-06 00:00:00+05:30,2.25,2.25,2.04,2.2,27509
2015-04-07 00:00:00+05:30,2.25,2.4,2.15,2.4,30679
2015-04-08 00:00:00+05:30,2.6,2.6,2.2,2.4,10256
2015-04-09 00:00:00+05:30,2.45,2.45,2.2,2.29,5280
2015-04-10 00:00:00+05:30,2.15,2.5,2.15,2.35,26151
2015-04-13 00:00:00+05:30,2.54,2.54,2.29,2.45,21322
2015-04-15 00:00:00+05:30,2.6,2.7,2.2,2.54,17997
2015-04-16 00:00:00+05:30,2.75,2.75,2.29,2.35,18572
2015-04-17 00:00:00+05:30,2.54,2.54,2.4,2.4,2702
2015-04-20 00:00:00+05:30,2.54,2.54,2.0,2.4,16912
2015-04-21 00:00:00+05:30,2.54,2.54,2.04,2.2,11862
2015-04-22 00:00:00+05:30,2.0,2.5,2.0,2.1,15017
2015-04-23 00:00:00+05:30,2.4,2.4,2.04,2.04,9512
2015-04-24 00:00:00+05:30,2.0,2.45,2.0,2.25,84655
2015-04-27 00:00:00+05:30,2.45,2.45,2.1,2.2,6922
2015-04-28 00:00:00+05:30,2.29,2.29,2.1,2.1,11958
2015-04-29 00:00:00+05:30,2.2,2.2,2.04,2.04,3379
2015-04-30 00:00:00+05:30,2.29,2.29,1.95,2.0,9889
2015-05-04 00:00:00+05:30,2.29,2.29,2.0,2.1,30909
2015-05-05 00:00:00+05:30,2.2,2.2,2.0,2.04,5270
2015-05-06 00:00:00+05:30,2.15,2.15,2.0,2.04,18691
2015-05-07 00:00:00+05:30,2.15,2.15,1.95,2.0,17526
2015-05-08 00:00:00+05:30,2.15,2.15,1.95,2.04,4056
2015-05-11 00:00:00+05:30,1.95,2.1,1.95,2.1,15934
2015-05-12 00:00:00+05:30,2.1,2.1,1.95,2.1,5536
2015-05-13 00:00:00+05:30,2.15,2.15,1.95,1.95,20071
2015-05-14 00:00:00+05:30,2.04,2.04,1.85,2.0,74896
2015-05-15 00:00:00+05:30,2.15,2.15,1.95,2.04,12821
2015-05-18 00:00:00+05:30,2.1,2.2,1.95,2.15,25472
2015-05-19 00:00:00+05:30,2.25,2.25,1.95,2.0,40862
2015-05-20 00:00:00+05:30,2.1,2.2,2.0,2.0,18102
2015-05-21 00:00:00+05:30,2.0,2.1,2.0,2.04,11466
2015-05-22 00:00:00+05:30,2.0,2.1,1.95,2.0,11047
2015-05-25 00:00:00+05:30,2.1,2.1,1.9,2.1,2046
2015-05-26 00:00:00+05:30,2.1,2.1,1.95,2.1,8503
2015-05-27 00:00:00+05:30,2.1,2.1,1.95,1.95,3390
2015-05-28 00:00:00+05:30,2.1,2.1,1.95,2.0,5210
2015-05-29 00:00:00+05:30,2.1,2.15,2.1,2.1,24045
2015-06-01 00:00:00+05:30,1.9,2.25,1.9,2.1,9954
2015-06-02 00:00:00+05:30,2.0,2.1,1.95,2.04,21820
2015-06-03 00:00:00+05:30,2.25,2.25,1.65,2.04,56804
2015-06-04 00:00:00+05:30,2.2,2.2,1.8,2.04,43798
2015-06-05 00:00:00+05:30,2.15,2.4,1.9,2.15,77279
2015-06-08 00:00:00+05:30,2.0,2.2,2.0,2.04,10946
2015-06-09 00:00:00+05:30,2.04,2.1,2.0,2.04,2749
2015-06-10 00:00:00+05:30,2.0,2.1,1.95,1.95,16338
2015-06-11 00:00:00+05:30,2.0,2.1,2.0,2.0,4934
2015-06-12 00:00:00+05:30,1.8,2.1,1.75,1.9,11979
2015-06-15 00:00:00+05:30,2.0,2.0,1.9,1.95,7358
2015-06-16 00:00:00+05:30,1.95,2.04,1.9,2.04,10586
2015-06-17 00:00:00+05:30,1.95,2.1,1.95,2.1,11248
2015-06-18 00:00:00+05:30,2.04,2.1,1.95,2.1,49623
2015-06-19 00:00:00+05:30,1.95,2.1,1.95,2.04,4703
2015-06-22 00:00:00+05:30,2.0,2.1,1.95,2.0,355
2015-06-23 00:00:00+05:30,2.2,2.2,1.9,1.95,19243
2015-06-24 00:00:00+05:30,2.04,2.04,1.85,2.0,9702
2015-06-25 00:00:00+05:30,1.9,2.1,1.9,1.9,8121
2015-06-26 00:00:00+05:30,1.9,2.0,1.85,1.85,8520
