date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,84.65,86.45,84.65,85.65,875337
2015-01-02 00:00:00+05:30,86.15,87.9,85.85,86.4,1512842
2015-01-05 00:00:00+05:30,86.5,89.1,86.25,87.2,1758116
2015-01-06 00:00:00+05:30,86.85,87.85,82.0,82.4,2112287
2015-01-07 00:00:00+05:30,82.5,84.9,80.34,84.3,1796706
2015-01-08 00:00:00+05:30,84.9,86.7,84.05,86.15,1117204
2015-01-09 00:00:00+05:30,86.75,87.8,82.85,83.7,1261436
2015-01-12 00:00:00+05:30,83.3,87.0,83.1,86.7,1357266
2015-01-13 00:00:00+05:30,86.9,92.0,85.9,89.7,4368836
2015-01-14 00:00:00+05:30,90.1,92.6,88.55,88.85,3100207
2015-01-15 00:00:00+05:30,91.0,99.6,89.05,97.0,4640932
2015-01-16 00:00:00+05:30,97.2,105.0,95.65,102.1,5876487
2015-01-19 00:00:00+05:30,102.7,104.0,98.85,99.6,4745519
2015-01-20 00:00:00+05:30,100.6,103.8,100.2,101.75,3173742
2015-01-21 00:00:00+05:30,102.6,103.45,98.15,102.55,2922375
2015-01-22 00:00:00+05:30,103.45,115.65,98.4,110.85,12958392
2015-01-23 00:00:00+05:30,111.0,112.0,106.0,107.8,5828305
2015-01-27 00:00:00+05:30,108.0,110.7,106.5,109.85,3068705
2015-01-28 00:00:00+05:30,109.0,112.55,107.1,109.7,2951905
2015-01-29 00:00:00+05:30,108.35,114.0,108.0,112.0,4219424
2015-01-30 00:00:00+05:30,112.0,113.0,106.5,107.5,2574593
2015-02-02 00:00:00+05:30,107.5,110.8,107.5,108.95,1723952
2015-02-03 00:00:00+05:30,109.3,110.3,102.85,104.7,2820754
2015-02-04 00:00:00+05:30,105.3,107.75,102.0,104.25,1844628
2015-02-05 00:00:00+05:30,104.9,106.35,94.0,96.25,2499242
2015-02-06 00:00:00+05:30,96.45,103.8,88.15,101.25,9003917
2015-02-09 00:00:00+05:30,100.3,104.55,96.0,98.0,3815232
2015-02-10 00:00:00+05:30,98.0,99.8,90.15,91.2,2391892
2015-02-11 00:00:00+05:30,92.2,96.0,92.2,95.15,2235423
2015-02-12 00:00:00+05:30,102.0,110.9,101.5,106.8,13464791
2015-02-13 00:00:00+05:30,107.45,107.9,101.5,102.0,2626899
2015-02-16 00:00:00+05:30,102.65,105.4,101.05,102.6,1947043
2015-02-18 00:00:00+05:30,103.1,106.4,101.35,104.6,2280634
2015-02-19 00:00:00+05:30,104.7,105.55,101.05,102.75,1882493
2015-02-20 00:00:00+05:30,102.9,104.95,101.7,102.2,1630022
2015-02-23 00:00:00+05:30,102.85,103.2,98.1,98.95,2551287
2015-02-24 00:00:00+05:30,98.85,101.8,98.85,100.6,2562157
2015-02-25 00:00:00+05:30,101.05,101.5,98.1,98.65,1367373
2015-02-26 00:00:00+05:30,99.15,100.85,96.05,97.3,4254219
2015-02-27 00:00:00+05:30,96.0,101.5,93.4,100.4,4785522
2015-03-02 00:00:00+05:30,100.95,108.6,100.0,107.7,5990034
2015-03-03 00:00:00+05:30,108.95,109.8,106.0,107.2,2555174
2015-03-04 00:00:00+05:30,108.45,108.45,102.6,103.6,1723648
2015-03-05 00:00:00+05:30,104.0,104.25,100.4,102.25,2012432
2015-03-09 00:00:00+05:30,102.25,102.25,98.1,98.45,1725779
2015-03-10 00:00:00+05:30,99.15,100.65,98.15,99.15,1032536
2015-03-11 00:00:00+05:30,99.5,100.2,98.3,98.75,1017045
