date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,56.85,58.8,56.85,57.75,87675
2015-01-02 00:00:00+05:30,60.05,60.85,59.0,59.85,595696
2015-01-05 00:00:00+05:30,60.0,71.5,59.85,69.84,4850008
2015-01-06 00:00:00+05:30,67.3,74.45,66.7,69.9,4618654
2015-01-07 00:00:00+05:30,70.9,75.75,70.65,71.5,1271260
2015-01-08 00:00:00+05:30,72.84,73.65,68.59,69.25,512388
2015-01-09 00:00:00+05:30,69.9,73.0,68.09,69.65,563029
2015-01-12 00:00:00+05:30,70.3,72.34,69.34,70.05,261972
2015-01-13 00:00:00+05:30,71.0,71.45,67.4,67.95,233127
2015-01-14 00:00:00+05:30,67.59,71.25,67.5,68.0,316375
2015-01-15 00:00:00+05:30,68.0,70.2,66.5,66.8,293361
2015-01-16 00:00:00+05:30,66.5,68.65,65.8,66.84,333515
2015-01-19 00:00:00+05:30,67.9,68.9,67.25,68.25,191889
2015-01-20 00:00:00+05:30,68.8,75.09,68.3,72.0,1023404
2015-01-21 00:00:00+05:30,72.65,73.09,69.75,72.34,407894
2015-01-22 00:00:00+05:30,72.09,74.0,70.09,70.75,244886
2015-01-23 00:00:00+05:30,71.25,72.25,70.15,70.59,182297
2015-01-27 00:00:00+05:30,71.0,71.5,68.25,69.0,123699
2015-01-28 00:00:00+05:30,69.0,75.2,68.4,71.5,755376
2015-01-29 00:00:00+05:30,71.8,74.8,70.65,71.8,421834
2015-01-30 00:00:00+05:30,69.65,70.0,65.25,66.05,554569
2015-02-02 00:00:00+05:30,65.15,67.84,65.15,66.09,110517
2015-02-03 00:00:00+05:30,66.3,67.09,65.0,66.0,97387
2015-02-04 00:00:00+05:30,65.2,66.45,62.25,63.25,214659
2015-02-05 00:00:00+05:30,63.5,65.2,62.15,62.5,183968
2015-02-06 00:00:00+05:30,62.55,62.55,59.7,60.4,160798
2015-02-09 00:00:00+05:30,60.2,60.4,58.8,59.2,88624
2015-02-10 00:00:00+05:30,57.8,61.6,57.8,60.4,133572
2015-02-11 00:00:00+05:30,61.0,66.25,61.0,63.55,432542
2015-02-12 00:00:00+05:30,63.9,64.34,62.5,62.75,146856
2015-02-13 00:00:00+05:30,62.6,63.7,62.05,62.5,95736
2015-02-16 00:00:00+05:30,62.5,63.5,60.7,61.05,58300
2015-02-18 00:00:00+05:30,61.65,63.9,61.0,62.25,79331
2015-02-19 00:00:00+05:30,62.45,63.3,61.0,61.9,76054
2015-02-20 00:00:00+05:30,62.05,65.45,62.05,64.15,252122
2015-02-23 00:00:00+05:30,64.8,65.0,63.5,63.85,140018
