date,open,high,low,close,volume
2016-04-04 00:00:00+05:30,11.3,11.65,11.0,11.15,289406440
2016-04-05 00:00:00+05:30,11.0,11.45,11.0,11.1,39074200
2016-04-06 00:00:00+05:30,11.15,11.4,11.0,11.25,25526960
2016-04-07 00:00:00+05:30,11.3,11.45,11.05,11.1,18167320
2016-04-08 00:00:00+05:30,11.15,11.25,10.8,11.2,33579280
2016-04-11 00:00:00+05:30,11.2,11.25,11.05,11.15,4498800
2016-04-12 00:00:00+05:30,11.15,11.8,11.1,11.6,14378960
2016-04-13 00:00:00+05:30,11.75,13.05,11.65,12.65,67709440
2016-04-18 00:00:00+05:30,12.75,12.75,12.15,12.25,12084120
2016-04-20 00:00:00+05:30,12.3,12.65,12.15,12.25,8811280
2016-04-21 00:00:00+05:30,12.5,12.5,12.15,12.35,12586560
2016-04-22 00:00:00+05:30,12.3,12.65,12.25,12.35,3218840
2016-04-25 00:00:00+05:30,12.35,12.45,12.3,12.4,16179200
2016-04-26 00:00:00+05:30,12.4,13.05,12.4,12.65,30471280
2016-04-27 00:00:00+05:30,12.65,12.95,12.55,12.95,24773080
2016-04-28 00:00:00+05:30,12.75,13.1,12.6,12.7,23048800
2016-04-29 00:00:00+05:30,12.8,12.95,12.55,12.75,24965080
2016-05-02 00:00:00+05:30,12.85,13.1,12.6,12.95,26828120
2016-05-03 00:00:00+05:30,13.1,13.4,12.8,13.0,29553680
2016-05-04 00:00:00+05:30,13.0,13.2,12.75,12.8,26072280
2016-05-05 00:00:00+05:30,12.85,12.95,12.65,12.75,24801600
2016-05-06 00:00:00+05:30,12.75,13.0,12.55,12.8,27034720
2016-05-09 00:00:00+05:30,12.9,13.4,12.15,12.75,25970200
2016-05-10 00:00:00+05:30,12.85,12.9,12.5,12.7,25074480
2016-05-11 00:00:00+05:30,12.55,12.65,12.5,12.55,24666040
2016-05-12 00:00:00+05:30,12.65,12.65,12.25,12.45,24255160
2016-05-13 00:00:00+05:30,12.45,12.55,12.0,12.45,28641280
2016-05-16 00:00:00+05:30,12.6,12.8,12.35,12.7,28476840
2016-05-17 00:00:00+05:30,12.65,12.8,12.55,12.7,26514320
2016-05-18 00:00:00+05:30,12.7,12.7,12.55,12.65,27531800
2016-05-19 00:00:00+05:30,12.65,12.7,12.3,12.5,27902600
2016-05-20 00:00:00+05:30,12.3,12.55,12.0,12.25,30168440
2016-05-23 00:00:00+05:30,12.75,12.85,12.4,12.7,27540000
2016-05-24 00:00:00+05:30,12.65,13.05,12.6,12.85,27547800
2016-05-25 00:00:00+05:30,12.9,13.15,12.8,13.0,31495560
2016-05-26 00:00:00+05:30,13.0,13.1,12.9,13.0,31354560
2016-05-27 00:00:00+05:30,13.05,13.1,12.85,13.0,31469320
2016-05-30 00:00:00+05:30,12.65,15.6,12.65,13.4,42663000
2016-05-31 00:00:00+05:30,13.45,13.7,12.9,12.95,31574240
2016-06-01 00:00:00+05:30,13.0,13.0,12.85,12.95,25660840
2016-06-02 00:00:00+05:30,12.95,13.5,12.9,13.3,27910520
2016-06-03 00:00:00+05:30,13.35,13.7,13.25,13.35,26837720
2016-06-06 00:00:00+05:30,13.5,13.65,13.3,13.45,29302520
2016-06-07 00:00:00+05:30,13.45,13.6,13.35,13.4,24163400
2016-06-08 00:00:00+05:30,13.45,13.85,13.3,13.4,25193120
2016-06-09 00:00:00+05:30,13.45,13.55,13.25,13.45,28776960
2016-06-10 00:00:00+05:30,13.45,14.35,13.4,13.9,22655080
2016-06-13 00:00:00+05:30,13.95,14.75,13.9,14.45,30907800
