date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,389.8,397.35,389.8,395.25,13620
2015-01-02 00:00:00+05:30,396.85,400.45,392.95,397.2,38631
2015-01-05 00:00:00+05:30,399.45,402.15,392.9,395.35,23871
2015-01-06 00:00:00+05:30,393.05,393.05,376.1,379.45,34110
2015-01-07 00:00:00+05:30,379.45,386.4,379.25,383.55,26661
2015-01-08 00:00:00+05:30,389.1,390.9,378.9,382.45,28215
2015-01-09 00:00:00+05:30,386.65,388.4,383.15,384.9,17540
2015-01-12 00:00:00+05:30,385.75,388.9,380.85,385.0,18273
2015-01-13 00:00:00+05:30,383.25,404.0,383.25,392.8,63581
2015-01-14 00:00:00+05:30,395.1,400.75,389.8,393.8,32862
2015-01-15 00:00:00+05:30,397.3,400.8,391.65,395.8,106376
2015-01-16 00:00:00+05:30,399.85,400.8,391.55,393.9,23162
2015-01-19 00:00:00+05:30,404.9,406.55,398.0,400.0,66513
2015-01-20 00:00:00+05:30,401.3,403.0,394.65,397.3,26319
2015-01-21 00:00:00+05:30,404.2,404.2,392.6,396.75,29798
2015-01-22 00:00:00+05:30,395.1,395.1,383.0,387.15,51939
2015-01-23 00:00:00+05:30,391.1,395.35,380.1,384.0,42303
2015-01-27 00:00:00+05:30,382.65,387.55,379.1,381.0,20246
2015-01-28 00:00:00+05:30,379.0,379.0,368.9,373.1,35049
2015-01-29 00:00:00+05:30,372.0,381.75,368.45,375.55,23606
2015-01-30 00:00:00+05:30,376.85,377.8,368.45,369.3,28173
2015-02-02 00:00:00+05:30,370.5,377.75,370.5,376.05,15897
2015-02-03 00:00:00+05:30,377.35,381.35,371.55,376.6,18449
2015-02-04 00:00:00+05:30,375.15,376.9,369.4,373.6,13634
2015-02-05 00:00:00+05:30,372.45,373.35,368.9,370.55,10988
2015-02-06 00:00:00+05:30,369.35,372.9,360.45,364.15,14693
2015-02-09 00:00:00+05:30,362.65,362.65,345.5,348.4,19791
2015-02-10 00:00:00+05:30,344.45,359.0,344.45,350.15,15501
2015-02-11 00:00:00+05:30,351.55,364.0,350.2,360.55,40320
2015-02-12 00:00:00+05:30,357.8,359.5,326.2,346.05,55218
2015-02-13 00:00:00+05:30,347.1,351.1,342.3,344.2,24885
2015-02-16 00:00:00+05:30,343.1,354.2,342.2,343.65,28247
2015-02-18 00:00:00+05:30,344.85,348.45,337.85,346.35,30477
2015-02-19 00:00:00+05:30,346.6,349.9,343.35,346.05,22721
2015-02-20 00:00:00+05:30,347.1,348.45,335.1,339.7,23724
2015-02-23 00:00:00+05:30,340.9,343.85,328.45,332.0,30518
2015-02-24 00:00:00+05:30,330.65,332.7,320.0,327.95,61335
2015-02-25 00:00:00+05:30,327.55,341.15,323.55,328.6,35384
2015-02-26 00:00:00+05:30,329.8,333.2,324.45,325.9,46763
2015-02-27 00:00:00+05:30,327.1,333.25,325.8,328.3,24569
2015-03-02 00:00:00+05:30,328.0,328.9,319.1,326.25,22314
2015-03-03 00:00:00+05:30,327.55,343.0,323.1,336.6,71366
2015-03-04 00:00:00+05:30,337.8,343.65,329.65,332.45,33197
2015-03-05 00:00:00+05:30,333.75,337.8,327.55,329.3,44154
2015-03-09 00:00:00+05:30,328.0,329.8,322.2,324.2,29807
2015-03-10 00:00:00+05:30,325.35,328.0,322.65,325.05,57068
2015-03-11 00:00:00+05:30,324.05,342.2,324.0,330.9,49005
2015-03-12 00:00:00+05:30,331.1,335.45,331.1,333.45,20426
2015-03-13 00:00:00+05:30,334.65,339.75,324.75,326.5,28796
2015-03-16 00:00:00+05:30,327.55,328.25,317.8,319.6,36638
2015-03-17 00:00:00+05:30,320.9,338.65,320.9,330.0,47982
2015-03-18 00:00:00+05:30,335.1,335.1,330.2,332.75,26945
2015-03-19 00:00:00+05:30,332.75,336.45,329.35,331.65,24872
2015-03-20 00:00:00+05:30,332.9,332.9,323.2,324.9,23261
2015-03-23 00:00:00+05:30,331.95,331.95,315.0,316.95,21353
2015-03-24 00:00:00+05:30,317.8,320.0,306.65,308.85,35280
2015-03-25 00:00:00+05:30,307.6,314.7,293.35,301.0,50045
2015-03-26 00:00:00+05:30,294.35,301.45,294.3,299.25,20280
2015-03-27 00:00:00+05:30,297.8,300.45,287.55,290.05,34469
2015-03-30 00:00:00+05:30,291.2,322.2,291.2,318.0,77486
2015-03-31 00:00:00+05:30,317.8,326.55,301.75,305.6,63611
2015-04-01 00:00:00+05:30,310.2,314.65,307.65,311.6,38714
2015-04-06 00:00:00+05:30,317.65,332.0,313.35,325.55,41421
2015-04-07 00:00:00+05:30,331.2,384.4,331.2,370.05,544269
2015-04-08 00:00:00+05:30,373.7,387.1,368.9,375.2,224330
2015-04-09 00:00:00+05:30,379.05,417.8,375.1,408.1,824445
2015-04-10 00:00:00+05:30,410.2,421.2,400.5,404.4,223844
2015-04-13 00:00:00+05:30,406.65,407.5,396.45,398.75,101366
2015-04-15 00:00:00+05:30,397.35,399.95,379.1,382.0,114807
2015-04-16 00:00:00+05:30,374.65,395.2,369.35,377.8,103122
2015-04-17 00:00:00+05:30,370.65,381.95,366.8,368.75,35811
2015-04-20 00:00:00+05:30,370.45,372.55,333.35,339.85,68445
2015-04-21 00:00:00+05:30,340.65,343.15,328.55,333.6,45800
2015-04-22 00:00:00+05:30,334.95,339.7,322.45,331.1,44067
2015-04-23 00:00:00+05:30,336.65,385.75,334.0,369.0,248580
2015-04-24 00:00:00+05:30,369.35,369.95,340.0,342.25,75294
2015-04-27 00:00:00+05:30,343.35,353.35,323.35,332.6,67655
2015-04-28 00:00:00+05:30,333.35,349.85,312.05,343.4,80774
2015-04-29 00:00:00+05:30,339.35,353.0,338.05,343.55,42581
2015-04-30 00:00:00+05:30,342.35,358.0,333.35,348.05,69434
2015-05-04 00:00:00+05:30,359.65,364.65,353.35,355.55,45614
2015-05-05 00:00:00+05:30,356.45,356.65,348.25,350.25,39696
2015-05-06 00:00:00+05:30,347.35,351.15,333.35,338.2,33204
2015-05-07 00:00:00+05:30,339.85,339.85,330.65,335.25,39248
2015-05-08 00:00:00+05:30,336.65,344.9,334.0,340.05,45131
2015-05-11 00:00:00+05:30,334.65,343.95,334.65,337.7,36644
2015-05-12 00:00:00+05:30,339.65,339.65,327.35,328.3,27614
2015-05-13 00:00:00+05:30,319.8,334.65,319.8,326.25,26700
2015-05-14 00:00:00+05:30,327.35,329.95,321.6,325.45,25088
2015-05-15 00:00:00+05:30,330.65,330.65,323.25,324.15,22427
2015-05-18 00:00:00+05:30,323.35,330.25,321.45,328.15,18893
2015-05-19 00:00:00+05:30,330.35,338.3,326.8,327.85,25751
2015-05-20 00:00:00+05:30,328.8,334.0,328.8,330.65,12998
2015-05-21 00:00:00+05:30,328.2,332.0,326.0,329.75,14271
2015-05-22 00:00:00+05:30,327.2,330.65,323.75,326.95,24401
2015-05-25 00:00:00+05:30,328.0,331.0,323.35,329.25,15705
2015-05-26 00:00:00+05:30,333.35,364.65,326.7,359.95,290307
2015-05-27 00:00:00+05:30,354.0,375.75,345.35,349.45,552570
2015-05-28 00:00:00+05:30,352.65,359.0,340.35,349.05,98157
2015-05-29 00:00:00+05:30,344.85,370.0,340.25,355.05,126537
2015-06-01 00:00:00+05:30,353.65,356.0,340.65,343.15,44349
2015-06-02 00:00:00+05:30,352.65,352.65,338.0,340.55,39221
2015-06-03 00:00:00+05:30,338.75,343.15,327.35,339.0,83732
