date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,55.45,56.5,55.15,56.1,2369712
2015-01-02 00:00:00+05:30,56.35,56.6,55.65,55.75,2576334
2015-01-05 00:00:00+05:30,55.9,57.0,55.65,56.35,3609636
2015-01-06 00:00:00+05:30,56.6,56.8,55.3,55.75,6695466
2015-01-07 00:00:00+05:30,55.7,56.25,54.95,55.85,5033676
2015-01-08 00:00:00+05:30,56.0,57.6,55.55,57.25,6903468
2015-01-09 00:00:00+05:30,57.6,57.85,56.3,56.95,5975934
2015-01-12 00:00:00+05:30,56.85,57.15,56.35,56.6,3371664
2015-01-13 00:00:00+05:30,56.85,57.45,56.5,56.7,3154920
2015-01-14 00:00:00+05:30,56.45,56.9,55.85,55.95,6252006
2015-01-15 00:00:00+05:30,56.05,56.65,55.2,56.0,5139942
2015-01-16 00:00:00+05:30,55.85,56.55,55.3,56.1,3205026
2015-01-19 00:00:00+05:30,55.85,56.5,55.6,56.15,2680494
2015-01-20 00:00:00+05:30,56.6,56.65,55.9,56.15,6894174
2015-01-21 00:00:00+05:30,55.9,56.0,54.7,55.0,7234560
2015-01-22 00:00:00+05:30,55.0,55.75,54.8,55.3,4218228
2015-01-23 00:00:00+05:30,55.5,55.6,54.45,55.15,6999720
2015-01-27 00:00:00+05:30,55.15,56.1,54.8,55.2,4426986
2015-01-28 00:00:00+05:30,55.35,56.55,54.95,56.35,4967310
2015-01-29 00:00:00+05:30,56.25,58.25,56.25,58.05,9173550
2015-01-30 00:00:00+05:30,58.35,59.15,57.25,57.9,7563918
2015-02-02 00:00:00+05:30,57.85,57.85,56.05,56.65,4004154
2015-02-03 00:00:00+05:30,56.6,56.8,55.0,55.15,4498716
2015-02-04 00:00:00+05:30,55.1,56.55,54.8,55.85,3698868
2015-02-05 00:00:00+05:30,56.0,57.9,55.25,55.8,6130278
2015-02-06 00:00:00+05:30,55.5,56.0,54.2,54.6,3406980
2015-02-09 00:00:00+05:30,54.15,54.35,53.0,53.25,2651808
2015-02-10 00:00:00+05:30,53.15,53.75,51.15,51.85,4442352
2015-02-11 00:00:00+05:30,52.0,53.3,51.85,53.0,3489960
2015-02-12 00:00:00+05:30,53.3,53.7,52.25,52.55,3180714
2015-02-13 00:00:00+05:30,52.6,53.45,51.15,51.7,18408060
2015-02-16 00:00:00+05:30,51.65,53.75,51.65,53.0,9525126
2015-02-18 00:00:00+05:30,53.15,55.65,52.2,55.35,8377482
2015-02-19 00:00:00+05:30,55.55,57.7,55.35,57.2,8171526
2015-02-20 00:00:00+05:30,57.0,57.2,55.35,55.5,3424692
2015-02-23 00:00:00+05:30,55.85,56.4,55.2,56.3,4955406
2015-02-24 00:00:00+05:30,56.65,56.7,54.7,54.8,3983460
2015-02-25 00:00:00+05:30,55.0,55.4,54.4,54.55,2422044
2015-02-26 00:00:00+05:30,54.9,54.9,54.0,54.6,5910174
2015-02-27 00:00:00+05:30,54.7,55.8,54.25,55.6,3876978
2015-03-02 00:00:00+05:30,56.45,59.3,56.15,58.45,14421294
2015-03-03 00:00:00+05:30,58.2,59.85,57.45,59.4,6942954
2015-03-04 00:00:00+05:30,59.65,59.8,56.35,56.85,4021098
2015-03-05 00:00:00+05:30,56.85,58.3,56.5,58.1,5449146
2015-03-09 00:00:00+05:30,58.25,58.6,57.25,58.35,4896720
2015-03-10 00:00:00+05:30,58.0,58.15,56.75,57.7,3703890
2015-03-11 00:00:00+05:30,57.6,58.3,56.35,56.85,4312578
2015-03-12 00:00:00+05:30,56.6,57.95,56.55,57.65,4008762
2015-03-13 00:00:00+05:30,57.95,58.1,56.3,56.5,3182934
2015-03-16 00:00:00+05:30,56.85,57.7,56.65,56.9,3185022
2015-03-17 00:00:00+05:30,57.45,58.6,56.9,57.85,7264404
2015-03-18 00:00:00+05:30,58.35,59.0,57.9,58.3,11856552
2015-03-19 00:00:00+05:30,58.5,59.35,57.85,58.4,6286308
2015-03-20 00:00:00+05:30,58.35,58.75,57.0,57.35,4130466
2015-03-23 00:00:00+05:30,57.4,57.6,56.85,57.0,1617660
2015-03-24 00:00:00+05:30,57.15,58.45,56.9,57.9,3244128
2015-03-25 00:00:00+05:30,58.0,58.9,57.75,58.65,3513276
2015-03-26 00:00:00+05:30,58.5,59.35,57.85,58.25,7019994
2015-03-27 00:00:00+05:30,58.25,58.85,56.75,57.75,3753294
2015-03-30 00:00:00+05:30,58.15,59.35,57.85,59.1,2952924
2015-03-31 00:00:00+05:30,59.25,62.55,59.25,61.45,13902816
2015-04-01 00:00:00+05:30,61.65,62.45,61.4,61.75,5079258
2015-04-06 00:00:00+05:30,61.6,62.6,61.45,62.35,3780102
2015-04-07 00:00:00+05:30,62.35,62.5,61.7,62.05,6784962
2015-04-08 00:00:00+05:30,62.0,64.35,61.7,62.85,16499136
2015-04-09 00:00:00+05:30,63.3,63.85,62.1,62.5,5714130
2015-04-10 00:00:00+05:30,62.65,63.3,62.0,62.5,4706664
2015-04-13 00:00:00+05:30,62.0,63.65,62.0,62.85,4241178
2015-04-15 00:00:00+05:30,62.5,63.45,61.85,62.15,4252992
2015-04-16 00:00:00+05:30,61.65,62.25,59.75,60.65,3800088
2015-04-17 00:00:00+05:30,60.65,61.35,59.75,59.9,3117276
2015-04-20 00:00:00+05:30,59.55,60.65,59.2,59.9,5612826
2015-04-21 00:00:00+05:30,59.55,60.35,58.9,59.2,2566998
2015-04-22 00:00:00+05:30,59.5,61.05,59.2,60.6,5996208
2015-04-23 00:00:00+05:30,61.1,61.95,60.6,61.4,7098750
2015-04-24 00:00:00+05:30,61.25,61.85,59.05,59.3,6135828
2015-04-27 00:00:00+05:30,59.55,59.65,57.55,58.25,3226470
2015-04-28 00:00:00+05:30,58.6,59.6,57.75,58.6,6696174
2015-04-29 00:00:00+05:30,58.65,59.4,58.0,58.3,4432842
2015-04-30 00:00:00+05:30,58.35,60.8,57.95,60.2,6674658
2015-05-04 00:00:00+05:30,61.4,61.55,59.7,60.8,4222446
2015-05-05 00:00:00+05:30,60.9,61.15,59.7,60.7,3672384
2015-05-06 00:00:00+05:30,60.45,60.45,55.85,56.05,10602486
2015-05-07 00:00:00+05:30,56.5,56.65,54.4,55.15,7405134
2015-05-08 00:00:00+05:30,55.6,56.8,55.45,55.9,4109454
2015-05-11 00:00:00+05:30,56.15,56.6,55.8,56.5,3700230
2015-05-12 00:00:00+05:30,57.0,57.0,54.35,55.4,7172562
2015-05-13 00:00:00+05:30,55.1,56.05,53.9,55.85,9560850
2015-05-14 00:00:00+05:30,56.0,56.0,54.5,55.65,6036018
2015-05-15 00:00:00+05:30,55.6,56.6,55.45,56.1,3221058
2015-05-18 00:00:00+05:30,56.45,57.65,56.4,57.25,5454390
2015-05-19 00:00:00+05:30,57.35,58.0,56.95,57.45,2608722
2015-05-20 00:00:00+05:30,57.85,57.9,57.0,57.25,2337354
2015-05-21 00:00:00+05:30,57.5,58.3,56.95,58.15,3420252
2015-05-22 00:00:00+05:30,58.15,58.45,57.6,58.1,3376914
2015-05-25 00:00:00+05:30,58.35,58.95,57.7,58.15,2749308
2015-05-26 00:00:00+05:30,58.2,58.3,57.2,57.95,2215770
2015-05-27 00:00:00+05:30,57.75,60.0,57.65,59.8,4154688
2015-05-28 00:00:00+05:30,60.0,60.5,59.35,60.1,5864682
2015-05-29 00:00:00+05:30,60.35,62.45,59.0,59.35,18899490
2015-06-01 00:00:00+05:30,59.5,60.1,58.8,59.15,5566392
2015-06-02 00:00:00+05:30,59.15,59.35,57.9,58.2,3776832
2015-06-03 00:00:00+05:30,58.35,58.5,56.05,56.5,4770900
2015-06-04 00:00:00+05:30,56.65,58.65,56.65,58.4,8533614
2015-06-05 00:00:00+05:30,58.4,59.5,57.75,59.15,5735328
2015-06-08 00:00:00+05:30,59.05,59.1,58.15,58.5,2293350
2015-06-09 00:00:00+05:30,58.15,58.75,58.05,58.3,6162282
2015-06-10 00:00:00+05:30,58.15,59.0,57.6,57.75,3381372
2015-06-11 00:00:00+05:30,58.25,58.25,56.45,56.65,5151732
2015-06-12 00:00:00+05:30,57.0,58.65,56.95,58.45,7314138
2015-06-15 00:00:00+05:30,58.65,59.65,58.4,58.9,3728760
2015-06-16 00:00:00+05:30,58.9,60.3,58.35,59.45,5125608
2015-06-17 00:00:00+05:30,59.4,60.0,58.4,58.6,3122154
2015-06-18 00:00:00+05:30,59.1,62.75,58.95,62.4,14889402
2015-06-19 00:00:00+05:30,62.8,64.15,62.0,63.75,16321680
2015-06-22 00:00:00+05:30,63.75,64.15,63.4,63.85,5891028
2015-06-23 00:00:00+05:30,63.7,66.65,63.2,66.35,11631498
2015-06-24 00:00:00+05:30,66.35,67.0,64.5,65.0,7436352
2015-06-25 00:00:00+05:30,64.65,65.15,64.0,64.75,12037014
2015-06-26 00:00:00+05:30,64.8,65.0,63.5,64.1,5983812
2015-06-29 00:00:00+05:30,62.6,65.65,62.5,64.15,10340718
2015-06-30 00:00:00+05:30,64.25,64.95,63.9,64.25,7094376
2015-07-01 00:00:00+05:30,63.85,66.0,63.85,65.3,12141576
2015-07-02 00:00:00+05:30,65.5,69.15,65.5,68.75,20256828
2015-07-03 00:00:00+05:30,68.9,69.85,67.95,69.55,15347676
2015-07-06 00:00:00+05:30,69.95,71.35,69.7,71.05,15102546
2015-07-07 00:00:00+05:30,71.65,72.25,70.35,71.2,12141234
2015-07-08 00:00:00+05:30,71.15,73.05,70.85,71.55,14149158
2015-07-09 00:00:00+05:30,71.7,71.75,69.0,69.75,15148260
2015-07-10 00:00:00+05:30,69.2,70.9,68.8,70.05,12005454
2015-07-13 00:00:00+05:30,70.15,71.65,70.05,70.8,8546928
2015-07-14 00:00:00+05:30,70.75,73.45,70.45,73.15,14065212
2015-07-15 00:00:00+05:30,73.35,73.45,71.7,72.15,9633312
2015-07-16 00:00:00+05:30,71.85,74.9,71.85,73.65,14481480
2015-07-17 00:00:00+05:30,73.7,74.5,73.0,73.15,10058796
2015-07-20 00:00:00+05:30,73.95,74.95,73.45,74.2,11652756
2015-07-21 00:00:00+05:30,74.85,74.85,72.85,73.1,4278222
2015-07-22 00:00:00+05:30,73.5,75.35,73.05,74.65,15424716
2015-07-23 00:00:00+05:30,75.0,76.55,74.85,75.8,11716740
2015-07-24 00:00:00+05:30,76.15,77.65,75.65,76.25,12320868
2015-07-27 00:00:00+05:30,76.3,77.5,75.6,75.95,6918564
2015-07-28 00:00:00+05:30,76.65,76.8,73.85,74.35,10706766
2015-07-29 00:00:00+05:30,74.2,76.0,73.75,74.7,8271138
2015-07-30 00:00:00+05:30,74.85,75.3,73.9,74.3,15549192
2015-07-31 00:00:00+05:30,74.35,74.5,71.35,71.9,12125826
2015-08-03 00:00:00+05:30,72.85,73.3,70.1,70.85,21039762
2015-08-04 00:00:00+05:30,71.65,72.15,70.2,70.85,10459602
2015-08-05 00:00:00+05:30,71.05,71.95,70.25,70.55,7708554
2015-08-06 00:00:00+05:30,70.85,71.55,69.3,69.85,8402634
2015-08-07 00:00:00+05:30,70.5,72.1,69.25,71.05,22889706
2015-08-10 00:00:00+05:30,71.7,73.5,71.1,71.65,17108502
2015-08-11 00:00:00+05:30,71.65,72.8,69.45,69.8,11505576
2015-08-12 00:00:00+05:30,70.6,70.6,63.25,64.75,22295340
2015-08-13 00:00:00+05:30,64.25,67.0,63.0,65.8,33605520
2015-08-14 00:00:00+05:30,66.15,66.15,64.25,64.95,12514164
2015-08-17 00:00:00+05:30,65.35,65.9,63.6,64.15,9478668
2015-08-18 00:00:00+05:30,64.65,67.25,64.5,66.7,16722918
2015-08-19 00:00:00+05:30,66.5,67.45,65.85,66.35,8582496
2015-08-20 00:00:00+05:30,67.0,67.7,65.45,66.3,12475224
2015-08-21 00:00:00+05:30,66.0,66.15,63.9,65.8,11272152
2015-08-24 00:00:00+05:30,63.65,64.45,62.55,63.0,99099624
2015-08-25 00:00:00+05:30,62.35,72.4,61.0,65.8,70079874
2015-08-26 00:00:00+05:30,65.65,69.0,64.5,65.65,35767644
2015-08-27 00:00:00+05:30,67.1,69.1,66.6,68.3,37806834
2015-08-28 00:00:00+05:30,68.4,68.95,65.95,67.55,19178652
2015-08-31 00:00:00+05:30,67.65,69.4,67.2,69.1,21749190
2015-09-01 00:00:00+05:30,68.35,70.35,66.9,67.65,68903676
2015-09-02 00:00:00+05:30,69.15,69.15,65.6,65.85,19076928
2015-09-03 00:00:00+05:30,66.0,67.65,66.0,66.65,14337390
2015-09-04 00:00:00+05:30,65.85,68.6,64.5,68.15,43873704
2015-09-07 00:00:00+05:30,67.6,68.35,64.9,65.75,9021060
2015-09-08 00:00:00+05:30,65.95,66.45,64.85,65.4,12063546
2015-09-09 00:00:00+05:30,66.15,67.6,66.0,67.1,17702454
2015-09-10 00:00:00+05:30,66.5,67.75,65.85,66.45,10927860
2015-09-11 00:00:00+05:30,66.85,67.15,66.2,66.55,7102146
2015-09-14 00:00:00+05:30,67.15,68.15,66.85,67.0,11573736
2015-09-15 00:00:00+05:30,67.35,67.6,66.1,66.5,7585392
2015-09-16 00:00:00+05:30,67.35,67.35,65.0,65.85,5655000
2015-09-18 00:00:00+05:30,66.5,67.15,64.45,65.0,18050394
2015-09-21 00:00:00+05:30,64.95,65.15,64.0,64.4,9976764
2015-09-22 00:00:00+05:30,65.0,66.0,64.45,65.1,9493182
2015-09-23 00:00:00+05:30,65.0,66.2,64.65,65.95,5915592
2015-09-24 00:00:00+05:30,66.15,66.45,65.3,65.7,16107432
2015-09-28 00:00:00+05:30,65.85,66.85,65.7,66.5,4705932
2015-09-29 00:00:00+05:30,65.5,66.3,64.55,65.8,6133518
2015-09-30 00:00:00+05:30,66.35,67.4,66.1,67.05,9497856
2015-10-01 00:00:00+05:30,67.15,67.6,66.65,66.9,4842852
2015-10-05 00:00:00+05:30,67.45,67.5,66.7,67.05,6805602
2015-10-06 00:00:00+05:30,67.35,67.85,67.0,67.2,8743278
2015-10-07 00:00:00+05:30,67.0,67.35,66.15,66.3,5262882
2015-10-08 00:00:00+05:30,66.65,67.05,66.35,66.65,4439004
2015-10-09 00:00:00+05:30,66.85,67.0,65.85,66.55,4204068
2015-10-12 00:00:00+05:30,66.75,66.85,66.1,66.55,4124688
2015-10-13 00:00:00+05:30,67.0,67.3,66.15,66.65,3957774
2015-10-14 00:00:00+05:30,67.0,67.1,66.45,66.65,3947496
2015-10-15 00:00:00+05:30,66.7,67.5,66.35,67.2,8394894
2015-10-16 00:00:00+05:30,67.85,68.0,67.1,67.6,15397074
