date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,16.55,18.1,16.55,17.45,33679
2015-01-02 00:00:00+05:30,17.85,19.0,17.3,18.25,196059
2015-01-05 00:00:00+05:30,17.8,18.64,17.7,17.85,49950
2015-01-06 00:00:00+05:30,17.35,17.5,17.0,17.1,40770
2015-01-07 00:00:00+05:30,17.05,17.39,16.5,16.8,24873
2015-01-08 00:00:00+05:30,17.0,17.5,16.64,16.75,93511
2015-01-09 00:00:00+05:30,16.89,16.89,16.35,16.55,50639
2015-01-12 00:00:00+05:30,16.55,16.8,16.2,16.3,51765
2015-01-13 00:00:00+05:30,16.95,17.0,16.3,16.39,76147
2015-01-14 00:00:00+05:30,16.14,16.64,15.5,15.65,90072
2015-01-15 00:00:00+05:30,16.0,16.0,15.2,15.25,72597
2015-01-16 00:00:00+05:30,16.45,16.45,15.1,15.2,91742
2015-01-19 00:00:00+05:30,15.8,15.8,15.0,15.15,27336
2015-01-20 00:00:00+05:30,15.45,16.45,15.05,15.55,137045
2015-01-21 00:00:00+05:30,16.0,17.25,15.25,17.0,374558
2015-01-22 00:00:00+05:30,18.35,18.39,16.89,17.1,986333
2015-01-23 00:00:00+05:30,17.25,17.3,15.7,15.8,247020
2015-01-27 00:00:00+05:30,17.05,17.05,15.25,15.4,110241
2015-01-28 00:00:00+05:30,15.25,15.7,14.8,15.0,78062
2015-01-29 00:00:00+05:30,14.7,15.45,14.7,14.95,38086
2015-01-30 00:00:00+05:30,15.95,15.95,14.85,15.0,68126
2015-02-02 00:00:00+05:30,14.8,15.15,14.8,14.9,42724
2015-02-03 00:00:00+05:30,14.85,15.35,14.4,14.55,87281
2015-02-04 00:00:00+05:30,14.65,15.2,14.35,15.1,62741
2015-02-05 00:00:00+05:30,14.85,15.7,14.65,14.8,77709
2015-02-06 00:00:00+05:30,15.1,15.1,14.0,14.1,39980
2015-02-09 00:00:00+05:30,13.05,14.35,13.05,13.45,31518
2015-02-10 00:00:00+05:30,13.9,14.1,13.35,13.5,26270
2015-02-11 00:00:00+05:30,13.4,14.0,11.0,13.15,111456
2015-02-12 00:00:00+05:30,13.3,14.0,13.2,13.6,55468
2015-02-13 00:00:00+05:30,13.45,13.65,12.9,13.05,181150
2015-02-16 00:00:00+05:30,13.05,13.05,11.8,12.05,193841
2015-02-18 00:00:00+05:30,12.0,12.2,11.75,11.85,85761
2015-02-19 00:00:00+05:30,11.8,13.65,11.25,12.2,749172
2015-02-20 00:00:00+05:30,12.6,12.6,11.9,12.05,240717
2015-02-23 00:00:00+05:30,12.15,12.4,11.7,11.9,88881
2015-02-24 00:00:00+05:30,11.9,12.05,11.5,11.9,153651
2015-02-25 00:00:00+05:30,12.65,12.65,12.0,12.15,150862
2015-02-26 00:00:00+05:30,12.0,12.0,11.05,11.75,73399
2015-02-27 00:00:00+05:30,11.7,11.95,11.65,11.8,39344
2015-03-02 00:00:00+05:30,11.7,11.9,11.35,11.45,48152
2015-03-03 00:00:00+05:30,11.45,11.75,11.3,11.65,56063
2015-03-04 00:00:00+05:30,11.65,12.35,11.45,11.6,210488
2015-03-05 00:00:00+05:30,11.55,11.8,11.4,11.6,42634
2015-03-09 00:00:00+05:30,12.25,12.25,11.05,11.15,40737
2015-03-10 00:00:00+05:30,11.15,11.25,10.6,10.7,80491
2015-03-11 00:00:00+05:30,11.0,11.0,10.19,10.25,65968
2015-03-12 00:00:00+05:30,10.85,11.25,10.19,10.3,138749
2015-03-13 00:00:00+05:30,11.1,11.1,10.05,10.19,88771
2015-03-16 00:00:00+05:30,10.19,10.19,9.75,9.8,72215
2015-03-17 00:00:00+05:30,9.65,10.15,9.3,9.4,42901
2015-03-18 00:00:00+05:30,9.65,9.65,8.9,9.15,162327
2015-03-19 00:00:00+05:30,9.3,9.5,9.05,9.1,131051
2015-03-20 00:00:00+05:30,9.1,9.1,8.55,8.69,120309
2015-03-23 00:00:00+05:30,9.4,9.4,8.15,8.85,348915
2015-03-24 00:00:00+05:30,8.9,9.19,8.8,8.94,42077
2015-03-25 00:00:00+05:30,8.9,9.0,8.6,8.9,23042
2015-03-26 00:00:00+05:30,8.8,8.94,8.6,8.75,28424
2015-03-27 00:00:00+05:30,8.94,9.19,8.69,8.8,251150
2015-03-30 00:00:00+05:30,8.8,9.25,8.5,8.75,18625
2015-03-31 00:00:00+05:30,9.25,9.3,8.9,8.94,30769
2015-04-01 00:00:00+05:30,9.25,10.3,9.05,10.15,70621
2015-04-06 00:00:00+05:30,10.4,11.15,10.05,10.75,92072
2015-04-07 00:00:00+05:30,10.75,11.1,10.6,10.9,60936
2015-04-08 00:00:00+05:30,11.2,11.8,10.75,10.8,68780
2015-04-09 00:00:00+05:30,11.3,12.1,10.35,11.1,425900
2015-04-10 00:00:00+05:30,10.9,12.1,10.8,11.9,190128
2015-04-13 00:00:00+05:30,12.2,13.25,12.2,13.0,955004
2015-04-15 00:00:00+05:30,12.95,14.0,12.8,12.95,257840
2015-04-16 00:00:00+05:30,12.5,13.8,12.5,12.7,98675
2015-04-17 00:00:00+05:30,12.75,12.75,11.8,12.1,85450
2015-04-20 00:00:00+05:30,12.75,12.75,11.3,11.6,74856
2015-04-21 00:00:00+05:30,12.0,12.15,11.55,11.8,24474
2015-04-22 00:00:00+05:30,11.65,12.05,11.05,11.15,72908
2015-04-23 00:00:00+05:30,11.7,11.75,11.0,11.1,22156
2015-04-24 00:00:00+05:30,11.0,11.15,10.25,10.35,61627
2015-04-27 00:00:00+05:30,10.19,10.19,9.6,9.69,54431
2015-04-28 00:00:00+05:30,9.9,9.9,9.3,9.8,33378
2015-04-29 00:00:00+05:30,9.8,9.94,9.0,9.25,136724
2015-04-30 00:00:00+05:30,9.19,9.5,9.0,9.25,49668
2015-05-04 00:00:00+05:30,9.35,9.65,9.15,9.19,138204
2015-05-05 00:00:00+05:30,9.25,9.55,9.15,9.19,123671
2015-05-06 00:00:00+05:30,9.35,9.35,9.0,9.15,41446
2015-05-07 00:00:00+05:30,9.35,9.35,8.5,8.94,83261
2015-05-08 00:00:00+05:30,9.44,9.44,9.0,9.15,61077
2015-05-11 00:00:00+05:30,9.4,9.44,9.05,9.1,72589
2015-05-12 00:00:00+05:30,9.1,9.1,8.55,8.75,34632
2015-05-13 00:00:00+05:30,9.0,9.0,8.6,8.75,19381
2015-05-14 00:00:00+05:30,9.0,9.19,8.65,9.05,31560
2015-05-15 00:00:00+05:30,9.1,9.5,8.8,9.19,45037
2015-05-18 00:00:00+05:30,9.3,9.35,8.94,9.19,33331
2015-05-19 00:00:00+05:30,9.0,9.3,9.0,9.0,38557
2015-05-20 00:00:00+05:30,9.05,9.19,8.9,8.94,40699
2015-05-21 00:00:00+05:30,9.0,9.0,8.8,8.9,21384
2015-05-22 00:00:00+05:30,8.9,8.94,8.8,8.85,10538
2015-05-25 00:00:00+05:30,8.8,8.94,8.55,8.75,39995
2015-05-26 00:00:00+05:30,8.69,9.0,8.6,8.75,17987
2015-05-27 00:00:00+05:30,8.8,8.85,8.6,8.6,23333
2015-05-28 00:00:00+05:30,8.75,8.8,8.65,8.69,10203
2015-05-29 00:00:00+05:30,8.75,9.19,8.75,9.1,55002
2015-06-01 00:00:00+05:30,8.94,9.1,8.25,9.0,19121
2015-06-02 00:00:00+05:30,9.0,9.44,8.6,9.0,22174
2015-06-03 00:00:00+05:30,9.1,9.1,8.0,8.5,42714
2015-06-04 00:00:00+05:30,8.44,8.85,8.15,8.4,22761
2015-06-05 00:00:00+05:30,8.5,8.75,8.05,8.69,17636
2015-06-08 00:00:00+05:30,8.75,8.9,8.15,8.19,42435
2015-06-09 00:00:00+05:30,8.44,8.44,8.05,8.05,20675
2015-06-10 00:00:00+05:30,8.1,8.6,7.95,8.1,42629
2015-06-11 00:00:00+05:30,8.19,8.3,8.0,8.0,15106
2015-06-12 00:00:00+05:30,8.0,8.15,7.95,8.05,16229
2015-06-15 00:00:00+05:30,8.0,8.4,8.0,8.3,19267
2015-06-16 00:00:00+05:30,8.15,8.3,8.05,8.3,17071
2015-06-17 00:00:00+05:30,8.6,8.8,8.19,8.65,19413
2015-06-18 00:00:00+05:30,8.4,8.9,8.4,8.65,19616
2015-06-19 00:00:00+05:30,9.0,9.05,8.6,8.9,26098
2015-06-22 00:00:00+05:30,8.8,9.1,8.69,8.94,32497
2015-06-23 00:00:00+05:30,9.0,9.1,8.75,8.85,18831
2015-06-24 00:00:00+05:30,8.69,9.05,8.69,8.85,5406
2015-06-25 00:00:00+05:30,8.69,9.0,8.69,8.94,10199
2015-06-26 00:00:00+05:30,8.75,9.05,8.75,8.9,7368
2015-06-29 00:00:00+05:30,8.6,8.75,8.1,8.6,9131
2015-06-30 00:00:00+05:30,9.1,9.1,8.5,8.75,6311
2015-07-01 00:00:00+05:30,9.0,9.0,8.5,8.75,15315
2015-07-02 00:00:00+05:30,8.5,9.0,8.5,8.75,17955
2015-07-03 00:00:00+05:30,9.0,9.0,8.75,8.9,11517
2015-07-06 00:00:00+05:30,8.8,9.3,8.5,9.15,81302
2015-07-07 00:00:00+05:30,9.19,9.4,8.9,9.0,78836
2015-07-08 00:00:00+05:30,8.9,9.5,8.85,9.19,53710
2015-07-09 00:00:00+05:30,9.19,9.75,9.05,9.3,52339
2015-07-10 00:00:00+05:30,9.5,9.5,9.19,9.25,22168
2015-07-13 00:00:00+05:30,8.5,9.44,8.5,9.05,30243
2015-07-14 00:00:00+05:30,9.44,9.44,9.0,9.05,14004
2015-07-15 00:00:00+05:30,9.0,9.5,9.0,9.1,63582
2015-07-16 00:00:00+05:30,9.25,9.3,9.1,9.19,17074
2015-07-17 00:00:00+05:30,9.0,9.6,9.0,9.5,79264
2015-07-20 00:00:00+05:30,9.6,9.75,9.44,9.55,68318
2015-07-21 00:00:00+05:30,9.55,9.69,9.19,9.3,39905
2015-07-22 00:00:00+05:30,9.19,9.65,9.19,9.4,43902
2015-07-23 00:00:00+05:30,9.35,9.5,9.3,9.44,33386
2015-07-24 00:00:00+05:30,9.25,9.44,8.9,9.0,84004
2015-07-27 00:00:00+05:30,8.8,9.1,8.6,8.8,48485
2015-07-28 00:00:00+05:30,8.94,8.94,8.55,8.6,21329
2015-07-29 00:00:00+05:30,8.65,9.3,8.5,8.85,37979
2015-07-30 00:00:00+05:30,8.85,9.4,8.85,9.05,16956
2015-07-31 00:00:00+05:30,8.8,9.19,8.75,8.9,43554
2015-08-03 00:00:00+05:30,9.05,9.6,8.9,9.35,71794
2015-08-04 00:00:00+05:30,9.44,9.5,9.1,9.4,39110
2015-08-05 00:00:00+05:30,9.3,10.5,9.25,10.25,245514
2015-08-06 00:00:00+05:30,10.19,10.65,10.05,10.25,87632
2015-08-07 00:00:00+05:30,10.45,10.75,9.9,10.05,92919
2015-08-10 00:00:00+05:30,10.25,10.35,9.8,9.85,24235
2015-08-11 00:00:00+05:30,10.0,10.0,9.05,9.35,50996
2015-08-12 00:00:00+05:30,9.19,9.25,8.75,9.0,45384
2015-08-13 00:00:00+05:30,9.44,9.44,8.75,8.8,19415
2015-08-14 00:00:00+05:30,8.65,9.1,8.5,8.85,35377
2015-08-17 00:00:00+05:30,8.9,9.25,8.5,8.94,16789
2015-08-18 00:00:00+05:30,8.75,9.15,8.55,8.94,23579
2015-08-19 00:00:00+05:30,8.9,9.19,8.69,8.75,60764
2015-08-20 00:00:00+05:30,8.65,8.94,8.6,8.75,11227
2015-08-21 00:00:00+05:30,8.75,9.0,8.15,8.8,69941
2015-08-24 00:00:00+05:30,8.69,8.69,7.7,7.95,46956
2015-08-25 00:00:00+05:30,8.4,8.4,7.5,7.65,39438
2015-08-26 00:00:00+05:30,7.65,8.15,7.65,7.85,14995
2015-08-27 00:00:00+05:30,7.9,8.44,7.75,7.9,53684
2015-08-28 00:00:00+05:30,8.4,8.4,7.6,7.75,31712
2015-08-31 00:00:00+05:30,7.75,7.95,7.25,7.55,19165
2015-09-01 00:00:00+05:30,7.3,7.5,7.0,7.3,26849
2015-09-02 00:00:00+05:30,7.3,7.75,7.1,7.2,11246
2015-09-03 00:00:00+05:30,7.25,7.65,7.25,7.3,13357
2015-09-04 00:00:00+05:30,7.3,7.45,6.95,7.25,19283
2015-09-07 00:00:00+05:30,7.05,7.35,7.0,7.0,15118
2015-09-08 00:00:00+05:30,7.15,7.25,7.0,7.2,15368
2015-09-09 00:00:00+05:30,7.4,7.45,7.1,7.35,26430
2015-09-10 00:00:00+05:30,7.35,7.35,7.05,7.25,14386
2015-09-11 00:00:00+05:30,7.3,7.3,7.1,7.25,15115
2015-09-14 00:00:00+05:30,7.1,7.65,7.1,7.35,16096
2015-09-15 00:00:00+05:30,7.4,7.5,7.2,7.25,17029
2015-09-16 00:00:00+05:30,7.45,7.6,7.2,7.25,14913
2015-09-18 00:00:00+05:30,7.5,7.55,7.2,7.25,3226
2015-09-21 00:00:00+05:30,7.2,7.75,7.1,7.65,20815
2015-09-22 00:00:00+05:30,7.85,7.85,7.25,7.4,9861
2015-09-23 00:00:00+05:30,7.3,7.4,7.0,7.3,7596
2015-09-24 00:00:00+05:30,7.15,7.5,7.15,7.45,4313
2015-09-28 00:00:00+05:30,7.85,7.85,7.0,7.0,28779
2015-09-29 00:00:00+05:30,7.1,7.4,7.0,7.4,27795
2015-09-30 00:00:00+05:30,7.2,7.6,7.2,7.3,12415
2015-10-01 00:00:00+05:30,7.5,7.6,7.2,7.4,32212
2015-10-05 00:00:00+05:30,7.3,7.55,7.25,7.45,21001
2015-10-06 00:00:00+05:30,7.65,7.8,7.35,7.45,57636
2015-10-07 00:00:00+05:30,7.7,8.4,7.2,8.05,89695
2015-10-08 00:00:00+05:30,8.3,8.3,7.5,7.65,35544
2015-10-09 00:00:00+05:30,7.75,7.95,7.6,7.65,50644
2015-10-12 00:00:00+05:30,7.7,7.95,7.5,7.55,43703
2015-10-13 00:00:00+05:30,7.7,7.75,7.45,7.75,5043
2015-10-14 00:00:00+05:30,8.0,8.05,7.7,7.85,17695
2015-10-15 00:00:00+05:30,7.9,8.0,7.6,7.65,41539
2015-10-16 00:00:00+05:30,7.8,7.8,7.6,7.65,28981
