date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,49.3,49.94,48.51,49.64,25650
2015-01-02 00:00:00+05:30,49.75,52.4,48.91,51.44,294570
2015-01-05 00:00:00+05:30,51.5,52.5,49.84,50.29,335820
2015-01-06 00:00:00+05:30,50.08,50.08,48.0,48.52,93760
2015-01-07 00:00:00+05:30,49.5,49.7,47.56,48.48,161110
2015-01-08 00:00:00+05:30,49.38,49.4,48.21,48.59,104940
2015-01-09 00:00:00+05:30,48.7,49.5,48.5,48.56,116270
2015-01-12 00:00:00+05:30,48.6,49.87,48.26,48.79,64970
2015-01-13 00:00:00+05:30,48.45,49.01,47.9,48.51,74960
2015-01-14 00:00:00+05:30,48.5,48.9,48.1,48.5,32890
2015-01-15 00:00:00+05:30,49.29,49.3,48.0,48.94,116360
2015-01-16 00:00:00+05:30,48.7,50.2,48.7,49.8,87190
2015-01-19 00:00:00+05:30,49.51,53.5,49.5,52.11,172240
2015-01-20 00:00:00+05:30,53.8,54.0,50.06,51.64,182140
2015-01-21 00:00:00+05:30,52.78,52.78,50.61,51.62,46810
2015-01-22 00:00:00+05:30,50.8,52.0,50.2,50.81,86570
2015-01-23 00:00:00+05:30,51.16,51.2,49.25,49.86,34100
2015-01-27 00:00:00+05:30,50.14,52.39,50.13,50.71,224030
2015-01-28 00:00:00+05:30,51.0,51.5,50.2,50.44,65130
2015-01-29 00:00:00+05:30,50.01,51.25,48.57,50.55,42300
2015-01-30 00:00:00+05:30,52.39,52.39,48.51,49.32,85060
2015-02-02 00:00:00+05:30,50.0,50.0,48.23,49.2,15290
2015-02-03 00:00:00+05:30,49.2,49.64,49.0,49.02,17360
2015-02-04 00:00:00+05:30,49.0,50.1,48.0,49.05,41300
2015-02-05 00:00:00+05:30,48.51,49.5,48.51,49.0,51870
2015-02-06 00:00:00+05:30,48.31,48.9,46.98,47.31,65060
2015-02-09 00:00:00+05:30,47.26,47.26,44.61,45.14,85820
2015-02-10 00:00:00+05:30,45.97,46.7,45.0,46.02,87440
2015-02-11 00:00:00+05:30,45.9,48.0,45.7,46.66,34470
2015-02-12 00:00:00+05:30,47.48,49.29,46.62,48.67,85560
2015-02-13 00:00:00+05:30,48.18,52.48,48.18,52.13,349800
2015-02-16 00:00:00+05:30,52.2,53.3,50.12,50.54,87480
2015-02-18 00:00:00+05:30,50.6,51.0,48.55,49.29,50480
2015-02-19 00:00:00+05:30,50.5,52.4,49.5,50.82,130450
2015-02-20 00:00:00+05:30,50.82,60.98,50.5,60.37,4758130
2015-02-23 00:00:00+05:30,62.13,69.74,58.62,65.25,5503360
2015-02-24 00:00:00+05:30,65.98,69.69,62.6,68.25,3478110
2015-02-25 00:00:00+05:30,68.8,68.98,63.62,64.22,1006280
2015-02-26 00:00:00+05:30,64.28,64.69,61.5,62.92,418450
2015-02-27 00:00:00+05:30,63.2,66.6,62.75,65.5,699390
2015-03-02 00:00:00+05:30,65.25,74.49,65.1,71.93,3057380
2015-03-03 00:00:00+05:30,72.21,81.27,72.21,79.38,3232660
2015-03-04 00:00:00+05:30,80.69,82.98,74.36,76.15,2252160
2015-03-05 00:00:00+05:30,76.58,80.0,76.1,78.91,871240
2015-03-09 00:00:00+05:30,76.97,78.86,74.6,75.54,328360
2015-03-10 00:00:00+05:30,75.54,77.49,73.0,75.62,339780
2015-03-11 00:00:00+05:30,75.62,76.9,73.28,74.05,256240
2015-03-12 00:00:00+05:30,74.59,77.0,72.25,75.52,302110
2015-03-13 00:00:00+05:30,75.97,75.97,69.48,73.03,213710
2015-03-16 00:00:00+05:30,71.81,73.18,68.4,70.6,210810
2015-03-17 00:00:00+05:30,70.98,74.2,70.1,71.12,232740
2015-03-18 00:00:00+05:30,71.3,73.5,70.01,70.37,212880
2015-03-19 00:00:00+05:30,72.47,77.41,72.47,77.22,1133040
2015-03-20 00:00:00+05:30,79.0,79.8,71.04,74.94,843330
2015-03-23 00:00:00+05:30,74.94,75.7,70.85,73.56,224930
2015-03-24 00:00:00+05:30,74.23,74.23,72.0,72.37,115720
2015-03-25 00:00:00+05:30,72.12,73.6,71.12,71.49,101150
2015-03-26 00:00:00+05:30,70.72,71.1,69.24,70.41,154650
2015-03-27 00:00:00+05:30,70.22,72.05,70.0,71.01,154700
2015-03-30 00:00:00+05:30,72.01,78.11,71.52,77.09,673410
2015-03-31 00:00:00+05:30,77.3,79.2,72.64,74.65,657000
2015-04-01 00:00:00+05:30,74.39,80.0,72.6,78.99,692920
2015-04-06 00:00:00+05:30,78.8,82.8,76.94,79.34,403230
2015-04-07 00:00:00+05:30,80.39,85.4,78.0,82.18,945490
2015-04-08 00:00:00+05:30,82.5,84.45,81.1,82.64,411010
2015-04-09 00:00:00+05:30,82.6,83.47,79.2,79.96,282760
2015-04-10 00:00:00+05:30,80.3,83.39,80.3,80.86,291510
2015-04-13 00:00:00+05:30,79.72,82.6,77.36,78.46,214030
2015-04-15 00:00:00+05:30,78.17,79.88,75.0,75.74,215700
2015-04-16 00:00:00+05:30,75.5,78.0,73.57,75.82,200080
2015-04-17 00:00:00+05:30,73.0,77.3,73.0,73.91,124690
2015-04-20 00:00:00+05:30,77.0,77.0,70.52,71.07,129630
2015-04-21 00:00:00+05:30,72.78,73.36,71.0,71.34,88770
2015-04-22 00:00:00+05:30,69.31,73.0,69.31,71.63,128880
2015-04-23 00:00:00+05:30,72.47,73.49,70.73,71.81,88970
2015-04-24 00:00:00+05:30,71.1,71.6,67.01,67.94,136240
2015-04-27 00:00:00+05:30,68.96,68.96,63.7,67.6,151050
2015-04-28 00:00:00+05:30,68.9,70.8,66.51,68.35,116930
2015-04-29 00:00:00+05:30,69.9,71.0,68.0,69.3,173760
2015-04-30 00:00:00+05:30,68.99,70.25,67.9,69.68,47380
2015-05-04 00:00:00+05:30,69.0,70.5,66.95,68.47,111520
2015-05-05 00:00:00+05:30,69.6,69.6,68.0,68.1,35090
2015-05-06 00:00:00+05:30,67.4,68.97,65.1,66.0,76220
2015-05-07 00:00:00+05:30,66.0,66.4,60.57,63.42,128450
2015-05-08 00:00:00+05:30,63.62,66.5,63.61,64.36,46590
2015-05-11 00:00:00+05:30,64.31,67.99,64.0,66.5,55510
2015-05-12 00:00:00+05:30,67.0,68.6,65.12,66.48,78430
