date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,19.05,20.0,18.75,20.0,25284
2015-01-02 00:00:00+05:30,20.95,23.0,20.95,21.6,27614
2015-01-05 00:00:00+05:30,23.0,23.0,20.65,21.05,5272
2015-01-06 00:00:00+05:30,21.5,22.0,19.39,20.6,28219
2015-01-07 00:00:00+05:30,20.8,21.3,19.64,20.1,8803
2015-01-08 00:00:00+05:30,20.1,21.9,20.0,21.05,18244
2015-01-09 00:00:00+05:30,21.9,22.0,20.1,20.75,9714
2015-01-12 00:00:00+05:30,20.9,20.9,19.5,19.7,22707
2015-01-13 00:00:00+05:30,20.0,20.9,19.8,20.85,9200
2015-01-14 00:00:00+05:30,20.6,21.4,19.5,21.05,42813
2015-01-15 00:00:00+05:30,22.1,22.9,20.95,22.5,40125
2015-01-16 00:00:00+05:30,22.15,23.5,21.65,23.1,19977
2015-01-19 00:00:00+05:30,23.0,24.05,22.5,23.75,15182
2015-01-20 00:00:00+05:30,23.7,24.0,23.05,23.2,9306
2015-01-21 00:00:00+05:30,23.0,23.0,21.7,21.95,20337
2015-01-22 00:00:00+05:30,21.7,23.5,21.7,22.05,5853
2015-01-23 00:00:00+05:30,22.3,22.75,21.6,22.15,8838
2015-01-27 00:00:00+05:30,21.75,26.55,21.75,25.55,188234
2015-01-28 00:00:00+05:30,26.1,27.0,23.8,24.05,73861
2015-01-29 00:00:00+05:30,24.75,28.8,24.75,27.7,186376
2015-01-30 00:00:00+05:30,29.4,30.0,26.5,27.35,140332
2015-02-02 00:00:00+05:30,27.3,28.45,26.0,26.45,39677
2015-02-03 00:00:00+05:30,26.05,28.25,25.2,27.8,26711
2015-02-04 00:00:00+05:30,29.0,29.0,25.7,27.05,33461
2015-02-05 00:00:00+05:30,26.6,28.65,26.05,26.45,20311
2015-02-06 00:00:00+05:30,26.35,27.2,24.0,26.25,60284
2015-02-09 00:00:00+05:30,26.05,26.05,24.3,25.35,16127
2015-02-10 00:00:00+05:30,26.65,26.65,24.1,24.55,18987
2015-02-11 00:00:00+05:30,24.3,26.5,24.05,25.7,48467
2015-02-12 00:00:00+05:30,26.0,28.0,25.5,27.65,42500
2015-02-13 00:00:00+05:30,27.3,27.9,26.25,26.4,18500
2015-02-16 00:00:00+05:30,26.1,27.7,26.1,26.8,16559
2015-02-18 00:00:00+05:30,26.5,27.6,26.1,26.9,34643
2015-02-19 00:00:00+05:30,27.9,27.95,26.3,26.45,15546
2015-02-20 00:00:00+05:30,27.45,27.5,26.25,26.45,20435
2015-02-23 00:00:00+05:30,27.25,27.75,26.5,26.95,37395
2015-02-24 00:00:00+05:30,26.7,27.25,26.7,27.0,45030
2015-02-25 00:00:00+05:30,28.9,32.4,26.7,32.4,456903
2015-02-26 00:00:00+05:30,35.0,38.35,33.75,34.9,871897
2015-02-27 00:00:00+05:30,36.25,41.85,36.0,41.85,389356
2015-03-02 00:00:00+05:30,50.6,50.6,50.6,50.6,121492
2015-03-03 00:00:00+05:30,55.65,55.65,55.65,55.65,65979
2015-03-04 00:00:00+05:30,58.4,58.4,55.7,57.8,788214
2015-03-05 00:00:00+05:30,59.45,59.45,54.95,54.95,777846
2015-03-09 00:00:00+05:30,52.25,54.2,52.25,52.25,67557
2015-03-10 00:00:00+05:30,49.65,54.85,49.65,49.75,793396
2015-03-11 00:00:00+05:30,51.5,51.75,47.3,47.4,147789
2015-03-12 00:00:00+05:30,48.0,49.75,46.75,47.45,338767
2015-03-13 00:00:00+05:30,48.05,49.0,45.1,45.1,74810
