date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,36.85,43.75,36.79,43.05,499576
2015-01-02 00:00:00+05:30,44.05,45.2,41.0,41.6,394960
2015-01-05 00:00:00+05:30,42.65,43.7,40.65,41.25,84121
2015-01-06 00:00:00+05:30,41.1,41.1,37.5,37.85,162578
2015-01-07 00:00:00+05:30,37.15,39.9,37.15,37.9,107942
2015-01-08 00:00:00+05:30,39.04,39.7,38.35,38.9,49007
2015-01-09 00:00:00+05:30,39.6,39.6,38.0,38.1,50138
2015-01-12 00:00:00+05:30,38.45,38.5,36.54,37.2,44284
2015-01-13 00:00:00+05:30,38.0,39.75,36.85,37.9,83087
2015-01-14 00:00:00+05:30,37.6,38.4,37.2,37.35,20437
2015-01-15 00:00:00+05:30,37.4,38.95,37.15,37.4,37071
2015-01-16 00:00:00+05:30,37.15,37.45,35.4,36.1,36033
2015-01-19 00:00:00+05:30,36.1,37.7,35.65,36.5,40188
2015-01-20 00:00:00+05:30,38.0,38.5,36.45,36.54,75056
2015-01-21 00:00:00+05:30,38.0,38.0,36.0,36.1,30166
2015-01-22 00:00:00+05:30,36.04,37.5,36.04,36.4,46408
2015-01-23 00:00:00+05:30,37.0,37.2,35.1,35.35,50269
2015-01-27 00:00:00+05:30,38.0,38.0,35.15,35.4,40553
2015-01-28 00:00:00+05:30,35.29,35.9,33.0,33.54,40743
2015-01-29 00:00:00+05:30,33.65,36.0,33.15,34.25,29056
2015-01-30 00:00:00+05:30,35.45,35.45,33.2,33.54,28411
2015-02-02 00:00:00+05:30,33.0,35.4,33.0,33.45,27737
2015-02-03 00:00:00+05:30,34.0,34.9,33.29,33.4,13399
2015-02-04 00:00:00+05:30,34.95,34.95,33.04,33.4,15369
2015-02-05 00:00:00+05:30,33.5,38.2,33.5,35.2,159150
2015-02-06 00:00:00+05:30,35.6,35.95,32.45,34.04,34985
2015-02-09 00:00:00+05:30,33.5,34.29,32.5,32.75,27319
2015-02-10 00:00:00+05:30,31.6,34.5,31.5,32.35,33972
2015-02-11 00:00:00+05:30,33.5,33.9,31.7,32.65,31177
