date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,199.1,207.9,199.1,206.1,61548
2015-01-02 00:00:00+05:30,206.25,209.25,203.25,204.65,55902
2015-01-05 00:00:00+05:30,203.1,208.0,202.6,204.15,55565
2015-01-06 00:00:00+05:30,206.0,206.05,198.5,199.55,54183
2015-01-07 00:00:00+05:30,200.25,200.25,196.25,197.7,42599
2015-01-08 00:00:00+05:30,201.9,204.75,198.2,202.05,42561
2015-01-09 00:00:00+05:30,200.95,203.5,199.75,200.1,46332
2015-01-12 00:00:00+05:30,197.4,202.7,196.0,200.3,56563
2015-01-13 00:00:00+05:30,199.3,208.0,199.3,201.5,94454
2015-01-14 00:00:00+05:30,201.0,203.9,199.55,200.05,26791
2015-01-15 00:00:00+05:30,202.5,206.8,200.8,201.65,40994
2015-01-16 00:00:00+05:30,201.0,203.35,197.6,199.2,46232
2015-01-19 00:00:00+05:30,199.0,200.75,195.9,196.4,77730
2015-01-20 00:00:00+05:30,196.5,205.45,196.5,202.25,148845
2015-01-21 00:00:00+05:30,203.0,203.6,196.25,197.45,75212
2015-01-22 00:00:00+05:30,197.1,200.5,196.35,196.8,82007
2015-01-23 00:00:00+05:30,196.5,202.65,194.15,195.2,99837
2015-01-27 00:00:00+05:30,199.7,199.7,191.25,193.0,73679
2015-01-28 00:00:00+05:30,192.0,193.4,185.6,187.35,90393
2015-01-29 00:00:00+05:30,187.0,188.5,180.55,181.5,95688
2015-01-30 00:00:00+05:30,181.9,192.9,179.5,190.85,137503
2015-02-02 00:00:00+05:30,191.0,195.75,188.3,194.05,77343
2015-02-03 00:00:00+05:30,194.0,198.0,187.85,188.9,61271
2015-02-04 00:00:00+05:30,190.0,193.4,188.6,191.15,118103
2015-02-05 00:00:00+05:30,199.5,205.9,192.0,193.75,599469
2015-02-06 00:00:00+05:30,195.0,195.0,187.5,189.7,134093
2015-02-09 00:00:00+05:30,189.0,189.0,181.1,181.75,52996
2015-02-10 00:00:00+05:30,181.4,184.35,179.55,182.1,65501
2015-02-11 00:00:00+05:30,182.0,187.15,182.0,184.15,60406
2015-02-12 00:00:00+05:30,184.7,202.35,184.2,199.0,260214
2015-02-13 00:00:00+05:30,201.8,204.7,192.6,193.95,108856
2015-02-16 00:00:00+05:30,194.5,196.3,188.5,190.7,62869
