date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,33.0,38.45,32.1,33.5,117333
2015-01-02 00:00:00+05:30,33.5,35.0,32.79,33.9,172381
2015-01-05 00:00:00+05:30,33.5,33.95,33.0,33.2,33134
2015-01-06 00:00:00+05:30,33.29,33.29,31.3,31.5,51262
2015-01-07 00:00:00+05:30,31.2,31.9,30.1,30.9,71702
2015-01-08 00:00:00+05:30,30.15,31.8,30.15,31.5,54747
2015-01-09 00:00:00+05:30,31.85,31.85,31.4,31.6,14796
2015-01-12 00:00:00+05:30,31.35,32.2,31.35,31.75,35509
2015-01-13 00:00:00+05:30,32.0,32.25,31.85,32.0,37744
2015-01-14 00:00:00+05:30,32.1,32.1,31.3,31.55,31487
2015-01-15 00:00:00+05:30,31.3,32.0,31.1,31.4,40563
2015-01-16 00:00:00+05:30,31.6,31.6,31.0,31.0,25189
2015-01-19 00:00:00+05:30,29.45,31.6,29.45,30.95,84303
2015-01-20 00:00:00+05:30,31.6,31.6,31.0,31.1,47203
2015-01-21 00:00:00+05:30,31.25,37.25,31.15,35.6,1267445
2015-01-22 00:00:00+05:30,35.6,37.5,35.0,35.95,457935
2015-01-23 00:00:00+05:30,35.54,35.95,34.4,34.6,79237
2015-01-27 00:00:00+05:30,34.29,34.85,34.1,34.54,39688
2015-01-28 00:00:00+05:30,33.25,35.1,33.25,34.7,67248
2015-01-29 00:00:00+05:30,35.0,35.9,34.35,34.85,94098
2015-01-30 00:00:00+05:30,34.54,35.0,34.25,34.35,37391
2015-02-02 00:00:00+05:30,33.25,36.9,33.25,35.79,159446
2015-02-03 00:00:00+05:30,35.6,36.04,35.25,35.54,47196
2015-02-04 00:00:00+05:30,35.5,39.25,35.25,38.45,549570
2015-02-05 00:00:00+05:30,39.15,39.2,35.75,36.2,739195
2015-02-06 00:00:00+05:30,36.45,37.15,34.54,35.25,195230
2015-02-09 00:00:00+05:30,35.0,35.1,34.5,34.6,47349
2015-02-10 00:00:00+05:30,33.9,34.85,33.9,34.5,49758
2015-02-11 00:00:00+05:30,36.95,37.5,36.04,36.65,779556
2015-02-12 00:00:00+05:30,36.54,38.0,36.4,37.15,301579
2015-02-13 00:00:00+05:30,37.29,37.29,36.04,36.15,57030
2015-02-16 00:00:00+05:30,37.0,37.0,35.25,35.45,77688
2015-02-18 00:00:00+05:30,35.5,35.7,34.79,35.0,93109
2015-02-19 00:00:00+05:30,36.75,36.75,34.7,34.85,58860
2015-02-20 00:00:00+05:30,34.9,35.35,34.7,34.85,43687
2015-02-23 00:00:00+05:30,34.7,35.2,34.54,34.6,42333
2015-02-24 00:00:00+05:30,34.75,36.15,34.54,35.29,237510
2015-02-25 00:00:00+05:30,35.2,36.45,35.0,35.2,364939
2015-02-26 00:00:00+05:30,35.25,36.85,35.04,35.5,169996
2015-02-27 00:00:00+05:30,35.85,36.2,35.29,35.45,47562
2015-03-02 00:00:00+05:30,35.2,35.4,34.79,34.9,34263
2015-03-03 00:00:00+05:30,35.4,35.4,34.6,34.75,40103
2015-03-04 00:00:00+05:30,35.45,35.9,34.5,34.65,129280
2015-03-05 00:00:00+05:30,34.65,35.1,34.0,34.6,59369
2015-03-09 00:00:00+05:30,34.85,34.85,34.04,34.25,28891
2015-03-10 00:00:00+05:30,34.29,34.6,33.54,33.79,76669
2015-03-11 00:00:00+05:30,33.7,34.2,33.25,33.4,33933
2015-03-12 00:00:00+05:30,33.1,34.5,33.1,34.04,70439
2015-03-13 00:00:00+05:30,34.35,35.4,33.75,34.0,172412
2015-03-16 00:00:00+05:30,34.2,34.2,33.4,33.5,22752
2015-03-17 00:00:00+05:30,33.5,34.04,33.2,33.25,68528
2015-03-18 00:00:00+05:30,33.4,33.65,31.4,31.5,158997
2015-03-19 00:00:00+05:30,31.85,32.85,31.55,31.85,74809
2015-03-20 00:00:00+05:30,31.85,31.9,31.05,31.25,62580
2015-03-23 00:00:00+05:30,31.4,32.4,31.05,31.45,48833
2015-03-24 00:00:00+05:30,31.2,31.8,30.8,31.0,38522
2015-03-25 00:00:00+05:30,31.4,31.5,31.0,31.0,166741
2015-03-26 00:00:00+05:30,31.0,31.25,30.55,31.0,22557
2015-03-27 00:00:00+05:30,30.95,31.3,30.55,30.9,29314
2015-03-30 00:00:00+05:30,31.0,31.4,30.55,31.05,30174
2015-03-31 00:00:00+05:30,31.05,31.85,31.0,31.5,28718
2015-04-01 00:00:00+05:30,31.2,33.25,31.05,32.9,66996
2015-04-06 00:00:00+05:30,32.79,33.04,32.54,32.54,17261
2015-04-07 00:00:00+05:30,32.54,34.5,32.54,33.7,85075
2015-04-08 00:00:00+05:30,33.79,35.04,33.79,34.29,104126
2015-04-09 00:00:00+05:30,34.45,34.7,34.1,34.2,30488
2015-04-10 00:00:00+05:30,34.4,34.45,33.9,34.04,28871
2015-04-13 00:00:00+05:30,34.04,35.75,33.9,35.5,171921
2015-04-15 00:00:00+05:30,37.0,38.0,36.29,36.7,671584
2015-04-16 00:00:00+05:30,36.29,36.95,35.0,35.25,49574
2015-04-17 00:00:00+05:30,35.0,35.65,34.6,35.1,37708
2015-04-20 00:00:00+05:30,35.0,35.5,34.29,34.54,31331
2015-04-21 00:00:00+05:30,34.9,34.9,34.04,34.45,18831
2015-04-22 00:00:00+05:30,34.85,35.0,33.9,34.35,48005
2015-04-23 00:00:00+05:30,34.6,36.85,34.6,35.04,117383
2015-04-24 00:00:00+05:30,34.85,35.0,33.5,33.95,36116
2015-04-27 00:00:00+05:30,33.95,34.25,33.04,33.1,54149
2015-04-28 00:00:00+05:30,33.29,34.4,33.1,33.79,35519
2015-04-29 00:00:00+05:30,33.5,34.0,33.15,33.7,13075
2015-04-30 00:00:00+05:30,33.4,34.04,32.25,33.75,20191
2015-05-04 00:00:00+05:30,33.4,34.85,33.15,33.85,29851
2015-05-05 00:00:00+05:30,33.9,34.29,33.9,34.0,25673
2015-05-06 00:00:00+05:30,34.75,34.75,32.7,32.95,67619
2015-05-07 00:00:00+05:30,32.54,33.25,31.7,32.0,48609
2015-05-08 00:00:00+05:30,32.0,32.7,32.0,32.35,49285
2015-05-11 00:00:00+05:30,32.25,33.25,32.1,32.79,20855
2015-05-12 00:00:00+05:30,32.75,33.0,32.1,32.25,60864
2015-05-13 00:00:00+05:30,32.25,34.45,32.1,33.29,110863
2015-05-14 00:00:00+05:30,33.4,34.0,33.2,33.79,77305
2015-05-15 00:00:00+05:30,33.75,34.95,33.75,34.65,92687
2015-05-18 00:00:00+05:30,35.5,37.0,35.04,35.29,558294
2015-05-19 00:00:00+05:30,35.5,36.1,34.79,35.29,145449
2015-05-20 00:00:00+05:30,34.7,35.45,34.5,34.54,64659
2015-05-21 00:00:00+05:30,34.54,34.75,33.95,34.1,59348
2015-05-22 00:00:00+05:30,34.0,34.35,33.75,33.9,21477
2015-05-25 00:00:00+05:30,33.75,34.5,33.75,34.15,51480
2015-05-26 00:00:00+05:30,34.04,34.35,33.79,33.9,27639
2015-05-27 00:00:00+05:30,33.79,34.4,33.75,33.85,39008
2015-05-28 00:00:00+05:30,34.2,34.2,33.54,33.9,7595
2015-05-29 00:00:00+05:30,34.5,35.5,33.6,33.79,54765
2015-06-01 00:00:00+05:30,34.4,34.45,33.5,33.5,63045
2015-06-02 00:00:00+05:30,33.2,33.9,32.79,33.04,78221
2015-06-03 00:00:00+05:30,33.7,33.75,30.5,31.45,85241
2015-06-04 00:00:00+05:30,32.1,32.1,30.95,31.15,41758
2015-06-05 00:00:00+05:30,31.0,31.75,30.95,31.15,67999
2015-06-08 00:00:00+05:30,31.2,31.45,30.5,30.7,27716
2015-06-09 00:00:00+05:30,30.75,31.4,30.55,30.9,29061
2015-06-10 00:00:00+05:30,31.3,34.4,31.0,33.79,255238
2015-06-11 00:00:00+05:30,33.5,34.1,33.15,33.6,111805
2015-06-12 00:00:00+05:30,33.79,33.79,30.75,31.7,478543
2015-06-15 00:00:00+05:30,31.65,31.8,31.3,31.5,38535
2015-06-16 00:00:00+05:30,32.45,32.45,31.3,31.9,660079
2015-06-17 00:00:00+05:30,32.15,32.2,31.75,31.9,40577
2015-06-18 00:00:00+05:30,32.2,32.45,31.45,31.55,64371
2015-06-19 00:00:00+05:30,31.85,32.0,31.55,31.8,30034
2015-06-22 00:00:00+05:30,31.85,32.2,31.75,31.95,24696
2015-06-23 00:00:00+05:30,31.85,32.45,31.85,31.95,26726
2015-06-24 00:00:00+05:30,32.2,33.04,32.04,32.35,91880
2015-06-25 00:00:00+05:30,32.35,32.45,32.0,32.1,19392
2015-06-26 00:00:00+05:30,32.75,32.75,31.75,32.04,37620
2015-06-29 00:00:00+05:30,31.8,31.85,31.25,31.55,36923
2015-06-30 00:00:00+05:30,31.3,32.0,31.15,31.95,17736
2015-07-01 00:00:00+05:30,31.9,32.85,31.9,32.5,30175
2015-07-02 00:00:00+05:30,32.29,32.95,32.25,32.65,25186
2015-07-03 00:00:00+05:30,32.7,33.0,32.54,32.65,27009
