date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,37.0,37.98,36.61,37.25,138595
2015-01-02 00:00:00+05:30,37.76,40.8,37.02,39.43,614820
2015-01-05 00:00:00+05:30,39.8,39.96,38.03,38.42,91065
2015-01-06 00:00:00+05:30,38.2,38.54,36.61,37.03,169725
2015-01-07 00:00:00+05:30,36.8,37.59,35.0,35.73,125000
2015-01-08 00:00:00+05:30,35.6,36.97,35.04,35.59,263925
2015-01-09 00:00:00+05:30,36.0,36.0,34.8,35.12,36495
2015-01-12 00:00:00+05:30,35.4,36.1,34.62,35.38,120465
2015-01-13 00:00:00+05:30,35.8,35.8,34.6,35.52,34705
2015-01-14 00:00:00+05:30,35.8,36.39,35.6,35.78,28060
2015-01-15 00:00:00+05:30,35.42,38.68,35.42,36.97,184445
2015-01-16 00:00:00+05:30,37.34,37.34,35.81,36.39,50325
2015-01-19 00:00:00+05:30,36.5,37.2,35.84,36.1,34605
2015-01-20 00:00:00+05:30,36.6,36.77,36.3,36.4,37615
2015-01-21 00:00:00+05:30,37.07,37.08,35.5,35.65,19320
2015-01-22 00:00:00+05:30,35.52,35.54,34.26,34.98,54885
2015-01-23 00:00:00+05:30,35.09,35.22,33.64,34.2,35835
2015-01-27 00:00:00+05:30,34.0,35.76,33.22,34.06,67190
2015-01-28 00:00:00+05:30,34.98,34.98,33.01,33.19,42070
2015-01-29 00:00:00+05:30,33.39,35.0,33.0,34.52,64680
2015-01-30 00:00:00+05:30,34.42,34.65,33.21,33.42,71485
2015-02-02 00:00:00+05:30,33.61,34.99,33.01,34.05,69285
2015-02-03 00:00:00+05:30,34.7,35.38,33.81,34.08,34965
2015-02-04 00:00:00+05:30,33.8,35.8,33.35,34.48,50875
2015-02-05 00:00:00+05:30,34.47,34.99,34.0,34.27,28935
2015-02-06 00:00:00+05:30,34.21,34.21,32.4,32.6,74970
2015-02-09 00:00:00+05:30,32.61,33.0,31.8,32.56,144160
