date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,25.0,26.25,24.9,25.95,23924069
2015-01-02 00:00:00+05:30,26.0,27.85,26.0,27.6,39252338
2015-01-05 00:00:00+05:30,27.5,27.95,26.7,27.1,27014193
2015-01-06 00:00:00+05:30,26.55,27.05,25.7,26.0,33780348
2015-01-07 00:00:00+05:30,26.05,26.5,24.9,25.45,28170297
2015-01-08 00:00:00+05:30,25.9,27.15,25.85,26.8,29696160
2015-01-09 00:00:00+05:30,27.05,27.7,26.0,26.3,24726711
2015-01-12 00:00:00+05:30,26.3,26.6,25.35,25.6,26179257
2015-01-13 00:00:00+05:30,25.55,25.65,24.3,24.65,26601720
2015-01-14 00:00:00+05:30,24.65,25.1,23.75,23.85,27111991
2015-01-15 00:00:00+05:30,24.8,26.1,24.2,25.85,45687839
2015-01-16 00:00:00+05:30,25.7,27.2,25.3,26.8,40939365
2015-01-19 00:00:00+05:30,26.8,27.45,26.3,26.8,30029368
2015-01-20 00:00:00+05:30,27.0,27.3,26.35,26.7,17205779
2015-01-21 00:00:00+05:30,26.9,26.95,25.5,25.7,25452479
2015-01-22 00:00:00+05:30,25.65,26.4,25.15,25.7,22786905
2015-01-23 00:00:00+05:30,26.0,26.8,25.2,26.6,29477358
2015-01-27 00:00:00+05:30,26.7,27.0,26.05,26.3,15680812
2015-01-28 00:00:00+05:30,26.1,27.25,25.75,26.25,32768970
2015-01-29 00:00:00+05:30,26.2,26.85,25.8,26.1,29084536
2015-01-30 00:00:00+05:30,26.25,28.95,26.1,28.55,58918765
2015-02-02 00:00:00+05:30,28.55,29.25,27.85,28.55,33353317
2015-02-03 00:00:00+05:30,28.7,29.1,27.0,27.25,24145239
2015-02-04 00:00:00+05:30,27.4,29.4,26.85,28.5,39659455
2015-02-05 00:00:00+05:30,28.6,28.75,25.7,26.5,26610479
2015-02-06 00:00:00+05:30,26.25,26.7,25.5,25.8,27569099
2015-02-09 00:00:00+05:30,25.5,26.1,24.4,24.5,28724575
2015-02-10 00:00:00+05:30,24.3,25.05,23.65,23.9,31384167
2015-02-11 00:00:00+05:30,23.1,24.15,23.1,23.45,44972675
2015-02-12 00:00:00+05:30,23.7,24.4,23.6,24.2,23721314
2015-02-13 00:00:00+05:30,24.4,24.8,23.95,24.35,18546283
2015-02-16 00:00:00+05:30,24.6,25.1,24.0,24.65,22305675
2015-02-18 00:00:00+05:30,25.05,26.15,24.9,25.3,29824835
2015-02-19 00:00:00+05:30,25.5,25.7,24.6,25.55,23029206
2015-02-20 00:00:00+05:30,25.6,25.95,25.35,25.5,15407956
2015-02-23 00:00:00+05:30,25.8,25.95,24.9,25.1,20162502
2015-02-24 00:00:00+05:30,25.2,25.3,24.65,24.75,12790186
2015-02-25 00:00:00+05:30,25.2,25.35,24.75,25.2,20441846
2015-02-26 00:00:00+05:30,25.25,25.3,24.55,24.75,14552701
2015-02-27 00:00:00+05:30,25.0,26.9,24.85,25.9,37389260
2015-03-02 00:00:00+05:30,25.65,26.45,24.95,26.0,24111636
2015-03-03 00:00:00+05:30,26.1,26.35,25.4,26.0,19156122
2015-03-04 00:00:00+05:30,26.5,28.75,26.3,28.0,89518875
2015-03-05 00:00:00+05:30,28.0,29.35,27.55,28.8,56481894
2015-03-09 00:00:00+05:30,28.4,28.5,27.05,27.55,31347359
2015-03-10 00:00:00+05:30,27.75,28.0,26.65,26.85,24374180
2015-03-11 00:00:00+05:30,26.95,27.6,26.7,27.3,22165637
2015-03-12 00:00:00+05:30,27.5,28.95,27.3,28.65,43171986
2015-03-13 00:00:00+05:30,28.8,29.0,26.65,26.8,35120661
2015-03-16 00:00:00+05:30,27.0,27.5,26.7,26.85,21273857
2015-03-17 00:00:00+05:30,27.2,27.2,25.75,26.2,23830154
2015-03-18 00:00:00+05:30,26.4,26.6,25.75,25.9,19928331
2015-03-19 00:00:00+05:30,26.3,26.7,25.35,25.6,24543408
2015-03-20 00:00:00+05:30,25.8,25.8,24.55,24.95,24647368
2015-03-23 00:00:00+05:30,25.15,25.4,24.1,24.3,19650458
2015-03-24 00:00:00+05:30,24.2,24.75,24.0,24.35,18962993
2015-03-25 00:00:00+05:30,24.5,24.6,23.85,23.95,17399443
2015-03-26 00:00:00+05:30,23.7,24.35,23.6,23.75,30183436
2015-03-27 00:00:00+05:30,24.1,24.8,23.4,24.5,26173400
2015-03-30 00:00:00+05:30,24.7,25.35,24.65,25.0,18002087
2015-03-31 00:00:00+05:30,25.35,25.45,24.7,24.8,14124712
2015-04-01 00:00:00+05:30,24.8,25.25,24.6,25.05,12134747
2015-04-06 00:00:00+05:30,25.0,25.6,24.4,25.35,19205093
2015-04-07 00:00:00+05:30,25.5,25.55,24.8,25.2,12376378
2015-04-08 00:00:00+05:30,25.45,26.3,25.15,25.45,23412182
2015-04-09 00:00:00+05:30,25.65,26.05,25.35,25.6,13180211
2015-04-10 00:00:00+05:30,25.6,26.7,25.5,26.3,25474234
2015-04-13 00:00:00+05:30,26.4,26.55,25.9,26.15,11279080
2015-04-15 00:00:00+05:30,26.15,26.6,25.5,25.65,13911848
2015-04-16 00:00:00+05:30,25.8,25.9,24.5,24.75,21960625
2015-04-17 00:00:00+05:30,24.55,25.05,24.5,24.6,11830639
2015-04-20 00:00:00+05:30,24.65,24.9,24.0,24.1,15606842
2015-04-21 00:00:00+05:30,24.1,24.55,24.05,24.1,8274678
2015-04-22 00:00:00+05:30,24.4,24.65,23.75,24.45,13795922
2015-04-23 00:00:00+05:30,24.6,24.8,24.1,24.45,11853210
