date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,12.1,12.35,12.05,12.25,3883237
2015-01-02 00:00:00+05:30,12.25,12.7,12.25,12.6,6183526
2015-01-05 00:00:00+05:30,12.55,12.8,12.55,12.6,3519409
2015-01-06 00:00:00+05:30,12.45,12.5,11.95,12.05,7475161
2015-01-07 00:00:00+05:30,12.05,12.15,11.7,11.95,5536481
2015-01-08 00:00:00+05:30,12.05,12.15,11.95,12.0,7744199
2015-01-09 00:00:00+05:30,12.05,12.1,11.8,11.9,7077017
2015-01-12 00:00:00+05:30,11.85,11.95,11.7,11.8,2894111
2015-01-13 00:00:00+05:30,11.75,11.9,11.6,11.65,3260607
2015-01-14 00:00:00+05:30,11.6,11.7,11.25,11.35,5226640
2015-01-15 00:00:00+05:30,11.3,12.1,11.3,11.95,7189622
2015-01-16 00:00:00+05:30,11.9,12.5,11.55,12.35,7752678
2015-01-19 00:00:00+05:30,12.3,12.75,12.2,12.3,5152378
2015-01-20 00:00:00+05:30,12.35,12.5,12.15,12.25,2874147
2015-01-21 00:00:00+05:30,12.2,12.35,11.75,11.85,3698207
2015-01-22 00:00:00+05:30,11.8,12.1,11.8,11.8,4162900
2015-01-23 00:00:00+05:30,11.95,12.2,11.75,12.1,8082933
2015-01-27 00:00:00+05:30,12.2,12.25,11.8,11.85,4567096
2015-01-28 00:00:00+05:30,11.9,11.95,11.6,11.65,5750156
2015-01-29 00:00:00+05:30,11.6,11.65,11.25,11.45,17220805
2015-01-30 00:00:00+05:30,11.55,12.2,11.45,12.05,10219617
2015-02-02 00:00:00+05:30,12.05,12.35,11.75,12.15,11270686
2015-02-03 00:00:00+05:30,12.25,12.35,11.65,11.8,8013158
2015-02-04 00:00:00+05:30,11.85,12.35,11.75,12.0,12225989
2015-02-05 00:00:00+05:30,12.0,12.25,11.35,11.55,8732407
2015-02-06 00:00:00+05:30,11.65,11.7,11.4,11.45,5213340
2015-02-09 00:00:00+05:30,11.55,11.7,11.15,11.25,9708336
2015-02-10 00:00:00+05:30,11.25,11.4,10.5,10.65,11520837
2015-02-11 00:00:00+05:30,10.8,10.8,10.4,10.55,8481063
2015-02-12 00:00:00+05:30,10.65,10.85,10.55,10.65,7362758
2015-02-13 00:00:00+05:30,10.7,10.85,10.6,10.65,3031192
2015-02-16 00:00:00+05:30,10.75,11.1,10.6,11.0,8579008
2015-02-18 00:00:00+05:30,11.5,12.3,11.4,11.55,39893222
2015-02-19 00:00:00+05:30,11.75,12.3,11.2,12.0,28454943
2015-02-20 00:00:00+05:30,12.1,12.55,11.85,12.3,27366827
2015-02-23 00:00:00+05:30,12.5,12.6,12.1,12.2,23827344
2015-02-24 00:00:00+05:30,12.3,12.35,11.95,12.1,11272706
2015-02-25 00:00:00+05:30,12.2,12.3,11.85,11.95,7485982
2015-02-26 00:00:00+05:30,12.05,12.05,11.65,11.75,18073425
2015-02-27 00:00:00+05:30,11.85,12.55,11.85,12.45,11507320
2015-03-02 00:00:00+05:30,12.0,12.05,11.3,11.8,7022170
2015-03-03 00:00:00+05:30,11.9,12.45,11.6,12.3,11360145
2015-03-04 00:00:00+05:30,12.3,12.95,12.15,12.3,25157273
2015-03-05 00:00:00+05:30,12.3,12.5,12.05,12.25,9415965
2015-03-09 00:00:00+05:30,12.25,12.25,11.35,11.55,8146498
2015-03-10 00:00:00+05:30,11.6,11.75,11.25,11.35,6431150
2015-03-11 00:00:00+05:30,11.5,11.6,11.35,11.5,4249836
2015-03-12 00:00:00+05:30,11.55,11.8,11.55,11.75,3732076
2015-03-13 00:00:00+05:30,11.85,11.9,11.35,11.4,4141256
2015-03-16 00:00:00+05:30,11.6,11.65,11.15,11.2,3410283
2015-03-17 00:00:00+05:30,11.5,11.5,11.0,11.15,4304665
2015-03-18 00:00:00+05:30,11.25,11.35,11.0,11.2,6500314
2015-03-19 00:00:00+05:30,11.3,11.4,10.65,10.85,3975845
2015-03-20 00:00:00+05:30,10.95,10.95,10.45,10.55,7095636
2015-03-23 00:00:00+05:30,10.7,10.75,10.45,10.45,3652820
2015-03-24 00:00:00+05:30,10.55,10.6,10.19,10.3,4319534
2015-03-25 00:00:00+05:30,10.3,10.35,10.05,10.15,4908493
2015-03-26 00:00:00+05:30,10.15,10.4,10.0,10.19,9143974
2015-03-27 00:00:00+05:30,10.19,10.35,9.9,10.15,4497413
2015-03-30 00:00:00+05:30,10.25,10.35,10.1,10.15,3716716
2015-03-31 00:00:00+05:30,10.19,10.35,10.15,10.25,3831588
2015-04-01 00:00:00+05:30,10.3,10.35,10.05,10.15,4293291
2015-04-06 00:00:00+05:30,10.25,10.25,10.0,10.15,4161830
2015-04-07 00:00:00+05:30,10.19,10.25,10.05,10.19,2753360
2015-04-08 00:00:00+05:30,10.25,10.45,10.15,10.3,5433991
2015-04-09 00:00:00+05:30,10.35,10.45,10.3,10.35,2549200
2015-04-10 00:00:00+05:30,10.35,10.75,10.3,10.65,5548563
2015-04-13 00:00:00+05:30,10.8,11.0,10.65,10.8,4830785
2015-04-15 00:00:00+05:30,10.8,11.1,10.75,10.85,7998795
2015-04-16 00:00:00+05:30,10.8,10.9,9.8,9.94,20023111
2015-04-17 00:00:00+05:30,10.0,10.1,9.9,10.0,7165770
2015-04-20 00:00:00+05:30,10.05,10.05,9.75,9.85,6007010
2015-04-21 00:00:00+05:30,9.94,9.94,9.55,9.6,8549902
2015-04-22 00:00:00+05:30,9.65,9.8,9.6,9.69,4609380
2015-04-23 00:00:00+05:30,9.85,9.9,9.55,9.6,5764193
2015-04-24 00:00:00+05:30,9.65,9.69,9.3,9.35,4251916
2015-04-27 00:00:00+05:30,9.44,9.44,8.85,8.9,7569115
2015-04-28 00:00:00+05:30,8.9,9.1,8.85,8.94,6790281
2015-04-29 00:00:00+05:30,8.9,9.05,8.85,8.9,4506295
2015-04-30 00:00:00+05:30,8.9,8.94,8.4,8.6,25254860
2015-05-04 00:00:00+05:30,8.69,9.19,8.69,9.15,5528794
2015-05-05 00:00:00+05:30,9.15,9.6,9.0,9.3,5576820
2015-05-06 00:00:00+05:30,9.3,9.3,8.65,8.69,5646993
2015-05-07 00:00:00+05:30,8.75,8.75,8.35,8.44,4524133
2015-05-08 00:00:00+05:30,8.6,8.75,8.35,8.4,5015520
2015-05-11 00:00:00+05:30,8.5,8.69,8.4,8.55,4622186
2015-05-12 00:00:00+05:30,8.55,8.65,8.1,8.19,5928434
2015-05-13 00:00:00+05:30,8.3,8.4,8.1,8.25,4222430
2015-05-14 00:00:00+05:30,8.25,8.44,8.1,8.4,4584068
2015-05-15 00:00:00+05:30,8.4,8.5,8.1,8.15,4560583
2015-05-18 00:00:00+05:30,8.19,8.19,7.9,7.95,6812168
2015-05-19 00:00:00+05:30,8.0,8.0,7.3,7.6,13106150
2015-05-20 00:00:00+05:30,7.55,7.65,7.3,7.35,8795586
2015-05-21 00:00:00+05:30,7.4,7.5,7.2,7.3,4600395
2015-05-22 00:00:00+05:30,7.35,7.4,7.15,7.2,7898766
2015-05-25 00:00:00+05:30,7.25,7.45,7.1,7.35,5807886
2015-05-26 00:00:00+05:30,7.4,7.4,7.2,7.3,3392595
2015-05-27 00:00:00+05:30,7.25,7.25,7.05,7.15,3677717
2015-05-28 00:00:00+05:30,7.25,7.25,7.0,7.1,10277610
2015-05-29 00:00:00+05:30,7.1,7.4,7.05,7.35,6512656
2015-06-01 00:00:00+05:30,7.3,7.4,7.2,7.3,3910784
2015-06-02 00:00:00+05:30,7.35,7.35,7.0,7.05,5569876
2015-06-03 00:00:00+05:30,7.05,7.1,5.3,6.5,25390583
2015-06-04 00:00:00+05:30,6.55,6.85,6.1,6.55,12815326
2015-06-05 00:00:00+05:30,6.5,6.65,6.25,6.35,5265255
2015-06-08 00:00:00+05:30,6.6,6.6,6.05,6.1,3384289
2015-06-09 00:00:00+05:30,6.25,6.25,5.9,6.0,4820688
2015-06-10 00:00:00+05:30,6.15,6.2,5.85,6.15,5304691
2015-06-11 00:00:00+05:30,6.15,6.25,5.85,5.9,3714569
2015-06-12 00:00:00+05:30,6.0,6.0,5.6,5.7,4042736
2015-06-15 00:00:00+05:30,5.7,6.45,5.65,6.3,9821353
2015-06-16 00:00:00+05:30,6.35,6.35,6.0,6.1,4685082
2015-06-17 00:00:00+05:30,6.1,6.3,6.05,6.2,4714348
2015-06-18 00:00:00+05:30,6.2,6.5,6.1,6.4,4832325
2015-06-19 00:00:00+05:30,6.4,6.7,6.4,6.55,5021614
2015-06-22 00:00:00+05:30,6.7,7.45,6.65,7.35,10476119
2015-06-23 00:00:00+05:30,7.4,7.4,7.1,7.25,8402443
2015-06-24 00:00:00+05:30,7.25,7.35,6.85,7.0,7717909
2015-06-25 00:00:00+05:30,6.85,7.45,6.7,7.15,19100538
2015-06-26 00:00:00+05:30,7.1,7.1,6.85,6.95,4892380
2015-06-29 00:00:00+05:30,6.75,6.8,6.6,6.7,3719447
2015-06-30 00:00:00+05:30,6.7,6.75,6.6,6.7,3594694
2015-07-01 00:00:00+05:30,6.75,7.0,6.65,6.95,4190469
2015-07-02 00:00:00+05:30,7.0,7.05,6.8,6.85,3229968
2015-07-03 00:00:00+05:30,6.85,6.95,6.25,6.45,5918215
2015-07-06 00:00:00+05:30,6.45,6.8,6.25,6.7,5814169
2015-07-07 00:00:00+05:30,6.8,7.05,6.7,7.0,7512146
2015-07-08 00:00:00+05:30,6.95,6.95,6.55,6.65,6040069
2015-07-09 00:00:00+05:30,6.7,6.9,6.65,6.85,4052419
2015-07-10 00:00:00+05:30,6.9,7.0,6.8,6.85,2977298
2015-07-13 00:00:00+05:30,6.95,7.0,6.8,6.9,2293866
2015-07-14 00:00:00+05:30,7.0,7.3,6.9,7.2,7072078
2015-07-15 00:00:00+05:30,7.25,7.3,7.0,7.05,3580280
2015-07-16 00:00:00+05:30,7.1,7.1,6.9,7.0,1713249
2015-07-17 00:00:00+05:30,7.05,7.25,6.95,7.1,2514655
2015-07-20 00:00:00+05:30,7.15,7.15,7.0,7.0,1457889
2015-07-21 00:00:00+05:30,7.0,7.05,6.6,6.7,4360616
2015-07-22 00:00:00+05:30,6.7,6.95,6.65,6.85,5479493
2015-07-23 00:00:00+05:30,6.9,7.0,6.8,6.85,3740411
2015-07-24 00:00:00+05:30,6.95,6.95,6.55,6.6,6279622
2015-07-27 00:00:00+05:30,6.6,6.65,6.0,6.15,5240669
2015-07-28 00:00:00+05:30,6.15,6.15,5.75,5.9,9029030
2015-07-29 00:00:00+05:30,5.95,6.0,5.75,5.9,6749376
2015-07-30 00:00:00+05:30,6.0,6.45,5.9,6.05,40297187
2015-07-31 00:00:00+05:30,6.1,6.4,6.1,6.3,4539477
2015-08-03 00:00:00+05:30,6.35,6.9,6.3,6.75,10561336
2015-08-04 00:00:00+05:30,6.8,6.85,6.4,6.65,8119996
2015-08-05 00:00:00+05:30,6.7,6.95,6.65,6.75,4384412
2015-08-06 00:00:00+05:30,6.85,8.35,6.65,8.05,36115090
2015-08-07 00:00:00+05:30,8.3,8.4,7.9,8.0,19075273
2015-08-10 00:00:00+05:30,8.05,8.05,7.5,7.55,9783638
2015-08-11 00:00:00+05:30,7.5,7.65,7.2,7.35,8216240
2015-08-12 00:00:00+05:30,7.4,7.4,6.8,6.95,7320389
2015-08-13 00:00:00+05:30,6.95,7.15,6.55,6.65,8754011
2015-08-14 00:00:00+05:30,6.75,7.15,6.35,7.05,7816532
2015-08-17 00:00:00+05:30,7.1,7.1,6.8,6.95,3318114
2015-08-18 00:00:00+05:30,7.0,7.1,6.75,6.85,2156960
2015-08-19 00:00:00+05:30,6.9,7.65,6.8,7.2,8809000
2015-08-20 00:00:00+05:30,7.15,7.2,6.55,6.65,5993209
2015-08-21 00:00:00+05:30,6.5,6.7,6.3,6.6,5196593
2015-08-24 00:00:00+05:30,6.35,6.35,5.7,5.75,13074485
2015-08-25 00:00:00+05:30,6.0,6.1,5.2,5.65,11422316
2015-08-26 00:00:00+05:30,5.75,6.0,5.45,5.75,7189317
2015-08-27 00:00:00+05:30,6.1,6.1,5.75,5.95,15213205
2015-08-28 00:00:00+05:30,6.15,6.25,5.9,5.9,7641272
2015-08-31 00:00:00+05:30,5.95,6.0,5.8,5.95,2724243
2015-09-01 00:00:00+05:30,5.75,5.95,5.55,5.7,3245190
2015-09-02 00:00:00+05:30,5.8,5.9,5.65,5.65,2767003
2015-09-03 00:00:00+05:30,5.75,5.9,5.65,5.75,3834417
2015-09-04 00:00:00+05:30,5.75,5.75,5.3,5.5,5124987
2015-09-07 00:00:00+05:30,5.5,5.65,5.4,5.55,3679536
2015-09-08 00:00:00+05:30,5.55,6.05,5.45,5.85,8569431
2015-09-09 00:00:00+05:30,6.05,6.05,5.8,5.9,5475147
2015-09-10 00:00:00+05:30,5.8,5.85,5.65,5.8,2671272
2015-09-11 00:00:00+05:30,5.9,5.95,5.75,5.8,2900578
2015-09-14 00:00:00+05:30,5.9,6.1,5.85,6.0,4512387
2015-09-15 00:00:00+05:30,6.0,6.2,5.85,5.9,3311652
2015-09-16 00:00:00+05:30,6.0,6.0,5.85,5.95,4109806
2015-09-18 00:00:00+05:30,6.05,6.2,5.95,6.1,10087264
2015-09-21 00:00:00+05:30,6.1,6.6,6.05,6.5,11598792
2015-09-22 00:00:00+05:30,6.6,6.65,6.0,6.1,7275614
2015-09-23 00:00:00+05:30,6.0,6.6,6.0,6.45,13657047
2015-09-24 00:00:00+05:30,6.45,6.95,6.3,6.75,21404884
2015-09-28 00:00:00+05:30,6.75,6.85,6.65,6.75,3570670
2015-09-29 00:00:00+05:30,6.65,7.2,6.55,7.05,6931308
2015-09-30 00:00:00+05:30,7.05,7.2,6.9,7.0,2712081
2015-10-01 00:00:00+05:30,7.15,7.15,6.85,6.85,2029875
2015-10-05 00:00:00+05:30,6.9,7.05,6.85,6.9,2222468
2015-10-06 00:00:00+05:30,7.05,7.05,6.85,6.9,1506410
2015-10-07 00:00:00+05:30,6.85,7.3,6.8,7.1,8232665
