date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,149.3,152.19,149.0,150.1,410200
2015-01-02 00:00:00+05:30,150.94,156.4,150.1,153.3,890202
2015-01-05 00:00:00+05:30,153.0,155.5,152.69,154.75,361949
2015-01-06 00:00:00+05:30,153.4,154.4,149.69,150.94,496807
2015-01-07 00:00:00+05:30,151.05,152.8,145.55,146.4,480337
2015-01-08 00:00:00+05:30,149.5,149.9,146.55,147.19,351259
2015-01-09 00:00:00+05:30,148.05,148.9,144.5,147.85,322608
2015-01-12 00:00:00+05:30,148.0,151.9,147.5,150.55,324677
2015-01-13 00:00:00+05:30,150.25,152.65,150.0,151.94,248439
2015-01-14 00:00:00+05:30,152.0,152.0,149.0,149.8,136937
2015-01-15 00:00:00+05:30,154.0,156.4,151.44,153.5,430594
2015-01-16 00:00:00+05:30,152.5,152.5,148.15,149.35,316192
2015-01-19 00:00:00+05:30,149.1,152.0,149.1,151.69,209890
2015-01-20 00:00:00+05:30,150.9,155.55,150.1,154.15,851824
2015-01-21 00:00:00+05:30,154.0,160.0,153.9,158.6,967872
2015-01-22 00:00:00+05:30,160.0,161.19,154.8,156.35,320785
2015-01-23 00:00:00+05:30,156.25,156.85,152.0,154.44,273252
2015-01-27 00:00:00+05:30,156.0,159.5,152.5,157.75,381151
2015-01-28 00:00:00+05:30,156.55,160.8,155.5,159.05,539303
2015-01-29 00:00:00+05:30,159.0,159.9,154.9,156.15,300314
2015-01-30 00:00:00+05:30,157.8,157.85,148.6,152.44,471973
2015-02-02 00:00:00+05:30,151.94,151.94,149.0,150.85,180522
2015-02-03 00:00:00+05:30,152.5,153.0,147.15,149.65,227647
2015-02-04 00:00:00+05:30,150.75,151.9,145.55,146.44,317422
2015-02-05 00:00:00+05:30,142.3,147.19,139.65,142.0,254278
2015-02-06 00:00:00+05:30,142.0,144.3,133.19,135.05,797407
2015-02-09 00:00:00+05:30,128.0,128.4,108.7,110.65,7969780
2015-02-10 00:00:00+05:30,106.55,117.75,105.5,113.15,2629109
2015-02-11 00:00:00+05:30,114.95,116.4,108.65,109.3,3215390
2015-02-12 00:00:00+05:30,111.45,111.8,108.55,108.95,1308969
2015-02-13 00:00:00+05:30,110.0,111.65,109.5,110.15,968397
2015-02-16 00:00:00+05:30,113.65,114.35,110.5,111.3,2016177
2015-02-18 00:00:00+05:30,112.9,113.25,108.45,108.7,1609376
2015-02-19 00:00:00+05:30,109.9,110.0,103.7,105.0,5443782
2015-02-20 00:00:00+05:30,105.8,107.15,104.1,104.65,3300538
2015-02-23 00:00:00+05:30,107.4,110.0,105.0,107.0,4100315
2015-02-24 00:00:00+05:30,107.2,109.25,105.1,105.55,2390871
2015-02-25 00:00:00+05:30,107.9,108.5,106.3,106.6,1504224
2015-02-26 00:00:00+05:30,107.0,108.0,105.6,107.55,1256812
2015-02-27 00:00:00+05:30,108.5,113.45,107.55,112.25,1808583
2015-03-02 00:00:00+05:30,114.7,117.5,113.55,116.55,1135018
2015-03-03 00:00:00+05:30,116.55,117.5,113.65,114.5,1035577
2015-03-04 00:00:00+05:30,118.4,118.75,108.55,109.55,2371790
2015-03-05 00:00:00+05:30,109.5,109.6,106.5,107.6,1472835
2015-03-09 00:00:00+05:30,106.85,110.5,106.15,109.7,693033
2015-03-10 00:00:00+05:30,110.05,110.4,107.25,108.0,1053336
2015-03-11 00:00:00+05:30,108.0,108.8,106.25,106.7,827512
2015-03-12 00:00:00+05:30,107.3,108.2,106.5,107.0,983928
2015-03-13 00:00:00+05:30,108.0,108.3,106.1,106.9,973694
2015-03-16 00:00:00+05:30,107.0,107.2,103.0,106.3,505438
2015-03-17 00:00:00+05:30,107.5,107.5,105.65,106.1,1015991
2015-03-18 00:00:00+05:30,107.0,107.25,105.0,105.55,1000230
2015-03-19 00:00:00+05:30,106.0,106.95,104.5,105.0,1317902
2015-03-20 00:00:00+05:30,104.75,105.05,102.6,103.5,543159
2015-03-23 00:00:00+05:30,105.0,106.4,101.1,104.55,1147544
2015-03-24 00:00:00+05:30,104.25,104.8,101.65,102.7,1562004
2015-03-25 00:00:00+05:30,103.0,103.25,100.8,101.3,515456
2015-03-26 00:00:00+05:30,100.3,101.0,95.9,97.6,940412
2015-03-27 00:00:00+05:30,98.25,99.65,96.05,97.7,462523
2015-03-30 00:00:00+05:30,98.1,99.4,95.3,96.4,1026495
2015-03-31 00:00:00+05:30,96.3,97.9,94.4,95.05,511878
2015-04-01 00:00:00+05:30,95.6,99.6,95.0,98.4,570634
2015-04-06 00:00:00+05:30,99.3,104.4,98.25,103.0,610220
2015-04-07 00:00:00+05:30,103.7,105.9,102.65,105.2,812782
2015-04-08 00:00:00+05:30,105.4,105.75,102.05,103.05,539506
2015-04-09 00:00:00+05:30,103.4,104.05,102.6,103.2,707676
2015-04-10 00:00:00+05:30,103.45,104.75,102.85,103.3,353779
2015-04-13 00:00:00+05:30,103.85,104.0,101.1,101.7,595486
2015-04-15 00:00:00+05:30,102.8,104.4,101.25,102.45,876443
2015-04-16 00:00:00+05:30,102.9,103.15,100.4,102.05,480126
2015-04-17 00:00:00+05:30,102.05,102.05,100.0,100.75,587857
2015-04-20 00:00:00+05:30,101.0,101.35,98.5,99.3,511555
2015-04-21 00:00:00+05:30,100.0,100.2,97.0,97.75,562447
2015-04-22 00:00:00+05:30,98.95,99.8,98.0,99.3,223112
2015-04-23 00:00:00+05:30,100.35,101.8,98.6,99.65,1405157
2015-04-24 00:00:00+05:30,101.0,101.35,99.1,99.6,1187936
2015-04-27 00:00:00+05:30,100.5,100.5,97.75,98.0,679269
2015-04-28 00:00:00+05:30,101.0,101.0,97.7,98.45,683317
2015-04-29 00:00:00+05:30,98.5,98.85,96.35,96.85,581255
2015-04-30 00:00:00+05:30,96.7,98.1,95.3,96.05,1044293
2015-05-04 00:00:00+05:30,96.1,99.2,96.1,98.85,578396
2015-05-05 00:00:00+05:30,99.35,99.35,96.25,97.55,1899749
2015-05-06 00:00:00+05:30,98.0,98.1,95.8,96.95,839833
2015-05-07 00:00:00+05:30,96.8,99.5,95.0,98.6,632319
2015-05-08 00:00:00+05:30,100.55,100.55,96.55,99.15,687108
2015-05-11 00:00:00+05:30,100.0,104.0,99.3,102.7,470153
2015-05-12 00:00:00+05:30,103.45,103.95,100.5,102.9,384019
2015-05-13 00:00:00+05:30,102.85,105.9,102.0,104.0,542077
2015-05-14 00:00:00+05:30,103.85,105.4,102.1,104.15,494098
2015-05-15 00:00:00+05:30,105.3,105.7,102.65,103.85,315067
2015-05-18 00:00:00+05:30,102.3,102.3,96.4,101.5,1312821
2015-05-19 00:00:00+05:30,102.0,103.5,100.3,103.15,398765
2015-05-20 00:00:00+05:30,104.0,105.35,102.4,103.5,653576
2015-05-21 00:00:00+05:30,104.0,105.0,102.5,104.4,1135156
2015-05-22 00:00:00+05:30,105.75,105.75,103.75,104.7,1290778
2015-05-25 00:00:00+05:30,105.0,108.0,103.7,106.55,1492514
2015-05-26 00:00:00+05:30,107.0,107.6,105.65,106.15,1065769
2015-05-27 00:00:00+05:30,106.0,109.0,105.1,108.25,1010153
2015-05-28 00:00:00+05:30,109.0,109.1,106.9,108.35,955441
2015-05-29 00:00:00+05:30,108.0,108.8,106.0,107.6,1349755
2015-06-01 00:00:00+05:30,108.0,111.0,107.0,110.25,887606
2015-06-02 00:00:00+05:30,110.0,114.9,109.8,111.1,1014134
2015-06-03 00:00:00+05:30,111.0,113.7,108.8,112.05,933048
2015-06-04 00:00:00+05:30,112.0,113.7,110.0,111.85,311110
2015-06-05 00:00:00+05:30,110.6,118.5,110.5,116.3,793199
2015-06-08 00:00:00+05:30,116.25,116.85,112.85,113.8,549760
2015-06-09 00:00:00+05:30,115.0,115.4,113.0,114.9,370026
2015-06-10 00:00:00+05:30,113.5,116.0,113.0,114.6,173906
2015-06-11 00:00:00+05:30,114.15,115.6,109.2,110.55,285230
2015-06-12 00:00:00+05:30,110.95,113.9,108.35,110.6,982071
