date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,105.08,105.73,103.42,104.26,916801
2015-01-02 00:00:00+05:30,103.81,106.67,103.81,106.2,964436
2015-01-05 00:00:00+05:30,106.38,107.05,105.12,105.39,545677
2015-01-06 00:00:00+05:30,105.09,105.15,103.09,103.47,697747
2015-01-07 00:00:00+05:30,103.64,105.29,102.0,104.46,472219
2015-01-08 00:00:00+05:30,105.45,105.82,104.21,104.5,317807
2015-01-09 00:00:00+05:30,105.41,106.22,102.2,103.11,594528
2015-01-12 00:00:00+05:30,103.09,103.94,102.02,102.35,711827
2015-01-13 00:00:00+05:30,103.26,103.72,102.09,102.54,292078
2015-01-14 00:00:00+05:30,103.27,104.26,102.12,103.69,356081
2015-01-15 00:00:00+05:30,106.42,107.27,104.9,105.37,1104428
2015-01-16 00:00:00+05:30,104.87,105.13,103.64,104.1,304040
2015-01-19 00:00:00+05:30,103.65,106.17,103.27,105.73,1034781
2015-01-20 00:00:00+05:30,106.02,109.45,106.01,109.12,2446268
2015-01-21 00:00:00+05:30,110.0,110.0,108.21,109.15,952606
2015-01-22 00:00:00+05:30,109.08,111.27,108.17,110.05,503146
2015-01-23 00:00:00+05:30,110.96,111.63,108.93,109.37,463276
2015-01-27 00:00:00+05:30,110.0,110.89,108.2,108.63,581884
2015-01-28 00:00:00+05:30,109.07,112.18,108.18,110.24,1104043
2015-01-29 00:00:00+05:30,111.15,111.8,106.2,109.19,1470134
2015-01-30 00:00:00+05:30,108.3,109.06,106.55,108.27,530459
2015-02-02 00:00:00+05:30,106.95,108.36,106.76,107.12,486904
2015-02-03 00:00:00+05:30,107.06,108.55,106.06,106.21,1454552
2015-02-04 00:00:00+05:30,106.21,106.23,104.56,104.78,1095529
2015-02-05 00:00:00+05:30,104.55,106.36,103.87,105.13,473770
2015-02-06 00:00:00+05:30,104.73,106.36,104.56,105.6,693484
2015-02-09 00:00:00+05:30,105.45,105.72,105.27,105.28,464767
2015-02-10 00:00:00+05:30,104.73,108.82,104.73,107.12,836253
2015-02-11 00:00:00+05:30,106.75,107.81,105.75,106.39,870749
2015-02-12 00:00:00+05:30,106.41,107.26,105.64,105.91,816926
2015-02-13 00:00:00+05:30,105.84,108.91,105.84,108.03,535123
2015-02-16 00:00:00+05:30,108.36,109.45,106.0,106.35,504834
2015-02-18 00:00:00+05:30,106.73,107.64,104.82,104.97,541734
2015-02-19 00:00:00+05:30,105.09,105.99,104.11,105.67,484286
2015-02-20 00:00:00+05:30,106.0,106.36,104.83,105.48,473270
2015-02-23 00:00:00+05:30,105.82,105.86,104.91,105.13,202873
2015-02-24 00:00:00+05:30,105.13,106.0,104.71,105.38,229708
2015-02-25 00:00:00+05:30,105.05,106.36,105.05,105.5,554890
2015-02-26 00:00:00+05:30,105.25,106.18,104.73,105.65,323538
2015-02-27 00:00:00+05:30,105.97,106.58,105.29,106.2,664334
2015-03-02 00:00:00+05:30,108.18,108.8,107.07,107.99,2884629
2015-03-03 00:00:00+05:30,107.7,109.98,107.12,109.51,3725453
2015-03-04 00:00:00+05:30,110.91,112.55,106.78,108.46,732754
2015-03-05 00:00:00+05:30,108.55,110.0,107.64,107.91,3221950
2015-03-09 00:00:00+05:30,107.64,108.44,106.04,106.92,411714
2015-03-10 00:00:00+05:30,106.58,108.45,106.58,107.91,749931
2015-03-11 00:00:00+05:30,108.17,109.29,107.55,108.42,1579710
2015-03-12 00:00:00+05:30,108.82,109.33,107.14,107.69,242737
2015-03-13 00:00:00+05:30,108.18,108.6,107.27,107.53,271970
2015-03-16 00:00:00+05:30,106.38,107.42,105.49,106.23,298656
2015-03-17 00:00:00+05:30,107.09,107.14,105.47,106.47,198187
2015-03-18 00:00:00+05:30,106.77,107.25,105.73,106.48,170561
2015-03-19 00:00:00+05:30,106.73,107.09,105.15,105.57,227123
2015-03-20 00:00:00+05:30,105.8,106.33,104.55,105.11,679058
2015-03-23 00:00:00+05:30,104.65,105.63,104.09,104.63,275017
2015-03-24 00:00:00+05:30,105.09,105.09,101.56,102.19,542179
2015-03-25 00:00:00+05:30,101.84,102.55,100.95,102.25,285450
2015-03-26 00:00:00+05:30,101.82,102.7,100.91,101.95,349789
2015-03-27 00:00:00+05:30,101.64,102.55,99.95,100.54,1985247
2015-03-30 00:00:00+05:30,100.36,101.45,100.0,100.25,515994
2015-03-31 00:00:00+05:30,100.89,101.15,98.38,98.89,1019497
2015-04-01 00:00:00+05:30,99.73,99.73,98.18,99.09,410014
2015-04-06 00:00:00+05:30,100.0,100.0,98.68,99.39,504141
