date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,14.75,14.8,14.75,14.8,20
2015-01-02 00:00:00+05:30,15.0,15.4,14.4,15.4,980
2015-01-05 00:00:00+05:30,14.2,15.2,14.2,15.05,1052
2015-01-06 00:00:00+05:30,14.2,15.2,13.35,14.95,3172
2015-01-07 00:00:00+05:30,14.2,14.95,13.4,14.95,244
2015-01-08 00:00:00+05:30,14.9,14.9,14.3,14.3,530
2015-01-09 00:00:00+05:30,13.65,15.0,13.65,14.25,2789
2015-01-12 00:00:00+05:30,14.0,14.5,14.0,14.25,1150
2015-01-13 00:00:00+05:30,14.0,14.45,13.55,13.7,1218
2015-01-14 00:00:00+05:30,14.5,14.55,13.85,14.45,4851
2015-01-15 00:00:00+05:30,13.8,15.1,13.8,14.85,2195
2015-01-16 00:00:00+05:30,14.9,14.9,13.8,14.2,914
2015-01-19 00:00:00+05:30,14.1,14.9,14.1,14.6,115
2015-01-20 00:00:00+05:30,14.25,14.75,14.25,14.55,1674
2015-01-21 00:00:00+05:30,14.0,14.7,14.0,14.6,53
2015-01-22 00:00:00+05:30,13.9,14.7,13.55,14.4,2014
2015-01-23 00:00:00+05:30,13.85,14.9,13.75,14.35,756
2015-01-27 00:00:00+05:30,13.9,14.5,13.8,13.9,2106
2015-01-28 00:00:00+05:30,13.65,14.65,13.6,14.6,964
2015-01-29 00:00:00+05:30,13.6,16.1,13.6,15.25,10201
2015-01-30 00:00:00+05:30,14.3,15.2,14.05,14.55,1637
2015-02-02 00:00:00+05:30,14.75,15.0,14.2,14.2,910
2015-02-03 00:00:00+05:30,14.2,15.4,14.0,14.65,3599
2015-02-04 00:00:00+05:30,14.05,15.3,14.05,14.25,1630
2015-02-05 00:00:00+05:30,14.05,15.2,14.0,14.35,2208
2015-02-06 00:00:00+05:30,14.15,15.0,14.0,14.45,12169
2015-02-09 00:00:00+05:30,14.05,14.1,13.5,13.5,1045
2015-02-10 00:00:00+05:30,13.35,15.4,12.2,13.6,5491
2015-02-11 00:00:00+05:30,14.95,15.0,14.15,14.15,381
2015-02-12 00:00:00+05:30,14.95,14.95,13.6,14.85,20
2015-02-13 00:00:00+05:30,15.4,15.4,13.7,13.9,317
2015-02-16 00:00:00+05:30,13.45,14.4,13.45,13.75,676
2015-02-18 00:00:00+05:30,13.55,14.9,13.55,13.75,1507
2015-02-19 00:00:00+05:30,12.3,14.8,12.3,14.65,2316
2015-02-20 00:00:00+05:30,13.7,14.5,13.5,14.05,920
2015-02-23 00:00:00+05:30,14.05,14.05,13.6,13.7,462
2015-02-24 00:00:00+05:30,14.0,14.0,13.5,13.6,1105
2015-02-25 00:00:00+05:30,13.35,14.0,13.0,13.25,3497
2015-02-26 00:00:00+05:30,13.25,13.25,13.25,13.25,200
2015-02-27 00:00:00+05:30,13.0,14.4,13.0,13.35,1248
2015-03-02 00:00:00+05:30,14.2,14.25,13.2,13.8,502
2015-03-03 00:00:00+05:30,14.8,14.85,12.7,13.4,5491
2015-03-04 00:00:00+05:30,12.95,14.7,12.95,13.05,553
2015-03-05 00:00:00+05:30,13.25,13.25,13.0,13.0,2152
2015-03-09 00:00:00+05:30,13.0,13.5,12.6,12.9,1014
2015-03-10 00:00:00+05:30,12.4,13.15,11.65,12.55,1370
2015-03-11 00:00:00+05:30,12.4,14.2,12.1,13.8,53302
2015-03-12 00:00:00+05:30,13.2,14.2,13.05,13.25,2233
2015-03-13 00:00:00+05:30,13.6,14.7,13.0,14.0,54470
2015-03-16 00:00:00+05:30,13.2,14.15,12.55,13.9,1413
2015-03-17 00:00:00+05:30,13.2,13.95,12.7,13.55,50593
2015-03-18 00:00:00+05:30,13.0,13.3,12.5,12.6,1581
2015-03-19 00:00:00+05:30,13.55,13.6,12.65,12.75,85158
2015-03-20 00:00:00+05:30,13.45,14.1,12.0,13.9,5014
2015-03-23 00:00:00+05:30,13.2,14.25,13.0,13.05,1665
2015-03-24 00:00:00+05:30,14.0,14.45,13.25,14.1,7660
2015-03-25 00:00:00+05:30,13.35,13.5,13.0,13.0,31917
2015-03-26 00:00:00+05:30,13.0,13.6,13.0,13.05,343
2015-03-27 00:00:00+05:30,13.1,13.5,13.1,13.5,200
2015-03-30 00:00:00+05:30,14.4,14.45,13.25,13.9,1519
2015-03-31 00:00:00+05:30,13.3,14.0,13.0,13.05,333
2015-04-01 00:00:00+05:30,13.0,14.5,13.0,14.0,2076
2015-04-06 00:00:00+05:30,12.4,13.7,12.4,13.2,2798
2015-04-07 00:00:00+05:30,13.2,14.0,13.2,14.0,2
2015-04-08 00:00:00+05:30,13.5,14.0,13.5,13.5,350
2015-04-09 00:00:00+05:30,13.1,13.9,13.1,13.9,1044
2015-04-10 00:00:00+05:30,13.25,14.7,13.25,14.45,2599
2015-04-13 00:00:00+05:30,15.8,15.8,13.5,14.7,10185
