date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,84.2,90.1,83.85,88.65,697949
2015-01-02 00:00:00+05:30,89.2,92.75,88.55,90.75,485958
2015-01-05 00:00:00+05:30,90.35,97.45,90.35,96.5,982791
2015-01-06 00:00:00+05:30,98.3,98.7,92.75,93.95,1033750
2015-01-07 00:00:00+05:30,94.8,97.45,92.1,93.5,472968
2015-01-08 00:00:00+05:30,94.8,100.75,94.6,98.2,1257339
2015-01-09 00:00:00+05:30,99.6,101.05,96.95,98.7,579678
2015-01-12 00:00:00+05:30,98.4,100.85,96.6,99.3,317463
2015-01-13 00:00:00+05:30,99.65,104.2,98.8,100.2,867806
2015-01-14 00:00:00+05:30,100.75,104.9,100.4,102.2,710177
2015-01-15 00:00:00+05:30,103.25,105.15,98.8,99.4,360638
2015-01-16 00:00:00+05:30,99.9,101.75,97.75,100.4,563903
2015-01-19 00:00:00+05:30,101.1,101.35,97.4,97.8,284838
2015-01-20 00:00:00+05:30,114.2,117.35,111.3,117.35,7186086
2015-01-21 00:00:00+05:30,120.6,122.0,110.95,112.3,2091859
2015-01-22 00:00:00+05:30,110.5,119.75,110.5,114.9,1802651
2015-01-23 00:00:00+05:30,114.45,118.25,112.25,112.75,578882
2015-01-27 00:00:00+05:30,113.7,113.7,107.05,107.7,349414
2015-01-28 00:00:00+05:30,107.35,107.8,104.55,105.95,311930
2015-01-29 00:00:00+05:30,104.35,107.25,103.75,104.3,207464
2015-01-30 00:00:00+05:30,105.5,108.45,104.5,106.9,377204
2015-02-02 00:00:00+05:30,107.35,109.3,106.75,107.8,365264
2015-02-03 00:00:00+05:30,108.45,118.05,107.0,113.15,949824
2015-02-04 00:00:00+05:30,113.65,115.15,109.25,110.7,376360
2015-02-05 00:00:00+05:30,110.5,114.7,109.05,109.9,331211
2015-02-06 00:00:00+05:30,111.2,121.25,108.45,118.8,2472043
2015-02-09 00:00:00+05:30,121.5,124.45,107.4,109.35,2578819
2015-02-10 00:00:00+05:30,106.25,111.25,101.8,103.7,841231
2015-02-11 00:00:00+05:30,104.1,107.15,103.1,105.7,593563
2015-02-12 00:00:00+05:30,106.6,108.95,103.7,105.4,854387
2015-02-13 00:00:00+05:30,105.2,106.7,101.2,101.7,569178
2015-02-16 00:00:00+05:30,101.8,103.8,99.7,100.4,1237283
2015-02-18 00:00:00+05:30,100.85,102.25,97.25,97.95,1146655
2015-02-19 00:00:00+05:30,99.3,103.45,98.45,99.6,834356
2015-02-20 00:00:00+05:30,99.75,100.2,97.15,98.1,513313
2015-02-23 00:00:00+05:30,99.15,101.8,97.2,97.8,545799
2015-02-24 00:00:00+05:30,98.3,111.2,98.05,102.25,3222025
2015-02-25 00:00:00+05:30,103.0,106.85,102.15,103.4,917867
2015-02-26 00:00:00+05:30,107.45,110.65,103.45,104.6,2354524
2015-02-27 00:00:00+05:30,105.3,106.6,103.6,105.2,582147
2015-03-02 00:00:00+05:30,105.3,113.35,104.35,112.6,2332491
2015-03-03 00:00:00+05:30,113.65,119.25,110.75,117.65,3722478
2015-03-04 00:00:00+05:30,118.6,118.7,110.0,111.45,1510897
2015-03-05 00:00:00+05:30,112.0,114.65,109.5,113.4,739641
2015-03-09 00:00:00+05:30,110.6,113.6,109.5,110.5,507482
2015-03-10 00:00:00+05:30,111.05,121.25,110.7,114.15,3191391
2015-03-11 00:00:00+05:30,114.7,116.55,112.3,113.15,766859
2015-03-12 00:00:00+05:30,114.1,122.7,114.1,118.9,5853691
2015-03-13 00:00:00+05:30,117.55,117.55,110.05,110.95,1753124
2015-03-16 00:00:00+05:30,110.8,111.55,106.15,109.05,671870
2015-03-17 00:00:00+05:30,109.95,111.7,107.15,107.8,582651
2015-03-18 00:00:00+05:30,108.15,109.85,103.45,104.4,597059
2015-03-19 00:00:00+05:30,104.95,106.75,100.75,101.25,857854
2015-03-20 00:00:00+05:30,101.7,104.9,96.65,103.75,1409855
2015-03-23 00:00:00+05:30,104.75,105.05,99.0,99.9,634118
2015-03-24 00:00:00+05:30,100.0,101.8,98.55,99.1,303163
2015-03-25 00:00:00+05:30,99.3,100.25,97.2,97.85,424031
2015-03-26 00:00:00+05:30,97.35,98.05,95.8,96.4,262226
2015-03-27 00:00:00+05:30,97.1,104.6,97.1,99.35,1313426
2015-03-30 00:00:00+05:30,100.2,103.35,100.2,101.65,772914
2015-03-31 00:00:00+05:30,102.25,102.65,99.4,99.9,414709
2015-04-01 00:00:00+05:30,100.2,104.9,99.8,102.75,1011667
2015-04-06 00:00:00+05:30,103.8,108.9,103.6,106.5,1170056
2015-04-07 00:00:00+05:30,106.4,112.9,104.95,110.4,1367121
2015-04-08 00:00:00+05:30,111.65,113.5,107.7,109.4,1128619
2015-04-09 00:00:00+05:30,109.85,110.1,106.5,107.6,421500
2015-04-10 00:00:00+05:30,107.8,118.05,106.5,115.25,2769344
2015-04-13 00:00:00+05:30,116.1,127.1,115.5,121.4,4499994
2015-04-15 00:00:00+05:30,122.05,125.35,115.9,117.45,1453398
2015-04-16 00:00:00+05:30,117.2,118.15,111.7,113.5,798250
2015-04-17 00:00:00+05:30,113.45,113.55,108.45,109.05,695773
2015-04-20 00:00:00+05:30,109.05,112.0,104.35,105.95,818677
2015-04-21 00:00:00+05:30,105.85,107.7,102.3,103.4,531767
2015-04-22 00:00:00+05:30,104.55,110.25,104.3,108.75,1333741
2015-04-23 00:00:00+05:30,109.95,123.95,108.65,119.2,5846126
2015-04-24 00:00:00+05:30,119.5,119.7,109.1,110.85,1703898
2015-04-27 00:00:00+05:30,111.45,111.7,102.65,103.3,734977
2015-04-28 00:00:00+05:30,102.85,106.6,101.6,106.2,477046
2015-04-29 00:00:00+05:30,105.95,111.1,103.9,108.75,989234
2015-04-30 00:00:00+05:30,108.15,108.2,104.85,106.45,669746
2015-05-04 00:00:00+05:30,106.85,108.55,104.9,105.75,608313
2015-05-05 00:00:00+05:30,106.15,108.8,104.9,105.2,761210
2015-05-06 00:00:00+05:30,104.8,105.5,97.25,97.9,815786
2015-05-07 00:00:00+05:30,97.5,98.1,90.95,92.2,668740
2015-05-08 00:00:00+05:30,93.65,95.75,91.65,92.45,516659
2015-05-11 00:00:00+05:30,93.4,97.25,93.35,94.95,564992
2015-05-12 00:00:00+05:30,94.65,94.8,88.65,89.2,535761
2015-05-13 00:00:00+05:30,90.0,92.75,89.1,89.7,536113
2015-05-14 00:00:00+05:30,89.4,91.55,88.65,90.35,458991
2015-05-15 00:00:00+05:30,90.8,94.55,90.8,91.2,850367
2015-05-18 00:00:00+05:30,93.8,93.95,91.3,92.5,702981
2015-05-19 00:00:00+05:30,92.5,94.85,90.8,91.3,733543
2015-05-20 00:00:00+05:30,92.35,93.05,89.8,90.25,637759
2015-05-21 00:00:00+05:30,90.7,91.1,87.7,88.05,608798
2015-05-22 00:00:00+05:30,88.55,89.5,85.9,86.25,621189
2015-05-25 00:00:00+05:30,86.5,87.05,83.3,83.65,577817
2015-05-26 00:00:00+05:30,84.0,84.2,78.5,79.05,889962
2015-05-27 00:00:00+05:30,77.0,80.25,74.75,75.1,1199132
2015-05-28 00:00:00+05:30,75.3,81.1,75.3,80.35,1503709
