date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,17.25,17.25,16.5,16.89,1010
2015-01-02 00:00:00+05:30,17.0,17.0,17.0,17.0,100
2015-01-05 00:00:00+05:30,17.25,17.25,17.0,17.1,300
2015-01-06 00:00:00+05:30,17.1,17.1,16.5,16.5,420
2015-01-14 00:00:00+05:30,17.25,17.25,17.0,17.05,300
2015-01-16 00:00:00+05:30,17.75,17.75,17.75,17.75,100
2015-01-22 00:00:00+05:30,17.75,18.0,17.75,18.0,1100
2015-01-23 00:00:00+05:30,17.2,17.5,17.2,17.5,204
2015-01-29 00:00:00+05:30,18.0,18.0,18.0,18.0,250
2015-01-30 00:00:00+05:30,17.1,18.0,17.1,17.85,1675
2015-02-06 00:00:00+05:30,18.1,18.1,18.1,18.1,5
2015-04-20 00:00:00+05:30,18.5,18.5,18.5,18.5,250
2015-04-22 00:00:00+05:30,18.95,18.95,18.95,18.95,250
2015-06-01 00:00:00+05:30,18.05,18.05,18.05,18.05,50
2015-06-02 00:00:00+05:30,17.14,17.14,17.14,17.14,50
2015-06-09 00:00:00+05:30,16.6,16.6,16.6,16.6,45
2015-06-10 00:00:00+05:30,16.64,16.64,16.64,16.64,1000
2015-06-11 00:00:00+05:30,16.39,17.45,16.35,16.85,1950
2015-06-16 00:00:00+05:30,17.0,17.0,16.75,16.75,2000
2015-06-22 00:00:00+05:30,16.5,16.95,16.3,16.85,2350
2015-06-23 00:00:00+05:30,16.75,17.0,16.05,16.8,1903
2015-06-24 00:00:00+05:30,16.75,16.75,16.75,16.75,703
2015-06-25 00:00:00+05:30,16.0,16.95,16.0,16.25,1250
2015-06-29 00:00:00+05:30,15.45,16.85,15.45,16.85,350
2015-07-01 00:00:00+05:30,16.5,17.0,16.5,16.64,800
2015-07-07 00:00:00+05:30,16.64,17.25,16.05,16.64,1400
2015-07-08 00:00:00+05:30,16.5,17.0,16.5,17.0,450
2015-07-09 00:00:00+05:30,16.75,17.0,16.5,16.75,3200
2015-07-17 00:00:00+05:30,15.95,17.25,15.95,16.95,3351
2015-07-21 00:00:00+05:30,17.0,17.0,16.89,16.89,225
2015-07-22 00:00:00+05:30,17.64,17.64,17.64,17.64,60
2015-07-23 00:00:00+05:30,18.1,18.1,18.1,18.1,100
2015-07-27 00:00:00+05:30,18.64,18.64,18.5,18.5,250
2015-07-29 00:00:00+05:30,18.5,19.2,18.5,19.2,150
2015-07-31 00:00:00+05:30,18.25,18.3,18.25,18.25,700
2015-08-03 00:00:00+05:30,17.35,18.45,17.35,18.45,1250
2015-08-04 00:00:00+05:30,17.75,18.45,17.55,17.55,2900
2015-08-05 00:00:00+05:30,17.75,17.75,17.75,17.75,1500
2015-08-06 00:00:00+05:30,17.5,17.5,17.5,17.5,750
2015-08-07 00:00:00+05:30,17.25,17.8,16.75,17.2,1230
2015-08-21 00:00:00+05:30,16.95,17.95,16.95,16.95,6800
2015-09-08 00:00:00+05:30,17.75,17.75,17.75,17.75,100
2015-09-14 00:00:00+05:30,18.45,18.45,17.95,17.95,2
2015-09-21 00:00:00+05:30,17.5,17.95,17.1,17.55,3112
2015-09-22 00:00:00+05:30,18.25,18.25,18.25,18.25,100
2015-09-23 00:00:00+05:30,18.5,18.5,18.5,18.5,100
2015-10-06 00:00:00+05:30,17.6,17.6,17.6,17.6,2000
2015-10-07 00:00:00+05:30,17.85,17.85,17.85,17.85,100
2015-10-09 00:00:00+05:30,17.0,17.45,17.0,17.45,600
2015-10-13 00:00:00+05:30,16.95,18.0,16.95,17.35,3201
2015-10-23 00:00:00+05:30,18.2,18.2,18.14,18.14,2
2015-11-03 00:00:00+05:30,19.0,19.0,18.05,18.05,800
2015-11-05 00:00:00+05:30,18.8,18.8,18.8,18.8,1
2015-11-11 00:00:00+05:30,19.1,19.5,19.1,19.3,1900
2015-11-13 00:00:00+05:30,19.39,19.39,19.39,19.39,100
2015-11-16 00:00:00+05:30,19.75,19.75,19.75,19.75,100
2015-11-17 00:00:00+05:30,19.75,19.75,19.39,19.7,1400
2015-11-18 00:00:00+05:30,18.95,18.95,18.95,18.95,50
2015-11-19 00:00:00+05:30,18.05,19.35,18.05,18.75,1200
2015-11-20 00:00:00+05:30,17.89,18.89,17.89,18.89,150
2015-11-23 00:00:00+05:30,18.0,19.14,18.0,19.14,800
2015-11-24 00:00:00+05:30,18.2,19.35,18.2,19.0,220
2015-11-26 00:00:00+05:30,19.0,19.0,19.0,19.0,100
2015-12-09 00:00:00+05:30,19.89,19.89,19.89,19.89,100
2015-12-11 00:00:00+05:30,18.95,18.95,18.95,18.95,25
2015-12-16 00:00:00+05:30,18.1,18.14,18.1,18.14,4
2015-12-17 00:00:00+05:30,18.89,18.89,17.5,17.5,501
2015-12-18 00:00:00+05:30,17.0,17.0,17.0,17.0,351
2015-12-21 00:00:00+05:30,17.8,17.8,17.8,17.8,1
2015-12-22 00:00:00+05:30,18.45,18.45,17.89,17.89,5
2015-12-23 00:00:00+05:30,17.8,17.8,17.75,17.75,8
2015-12-24 00:00:00+05:30,16.89,18.14,16.89,18.14,160
2015-12-29 00:00:00+05:30,19.05,19.05,19.0,19.0,20
2016-01-01 00:00:00+05:30,18.05,19.7,18.05,18.05,1149
2016-01-04 00:00:00+05:30,18.65,18.65,17.25,17.25,200
2016-01-05 00:00:00+05:30,16.9,17.9,16.9,17.85,104
2016-01-11 00:00:00+05:30,17.5,17.5,17.5,17.5,500
2016-01-25 00:00:00+05:30,16.65,16.65,16.65,16.65,5000
2016-01-29 00:00:00+05:30,15.85,15.85,15.85,15.85,2700
2016-02-01 00:00:00+05:30,15.25,16.5,15.25,16.5,1025
2016-02-02 00:00:00+05:30,16.9,16.9,16.9,16.9,1
2016-03-02 00:00:00+05:30,16.1,16.1,16.1,16.1,3000
2016-03-03 00:00:00+05:30,15.3,15.3,15.3,15.3,3150
2016-03-04 00:00:00+05:30,15.3,15.3,15.3,15.3,380
2016-03-11 00:00:00+05:30,15.25,15.95,15.0,15.95,3100
2016-03-15 00:00:00+05:30,16.7,16.7,16.7,16.7,200
2016-03-21 00:00:00+05:30,17.5,17.5,17.5,17.5,1
2016-03-23 00:00:00+05:30,17.0,17.0,17.0,17.0,50
2016-03-31 00:00:00+05:30,16.15,16.15,16.15,16.15,2
2016-04-04 00:00:00+05:30,16.0,16.25,16.0,16.25,597
2016-04-11 00:00:00+05:30,17.05,17.05,16.5,17.0,818
2016-04-18 00:00:00+05:30,17.3,17.3,17.3,17.3,10
2016-04-21 00:00:00+05:30,18.1,18.15,18.1,18.1,20
2016-05-06 00:00:00+05:30,19.0,19.0,19.0,19.0,10
2016-05-09 00:00:00+05:30,18.95,18.95,18.95,18.95,50
2016-05-11 00:00:00+05:30,19.5,19.5,19.5,19.5,25
2016-05-12 00:00:00+05:30,20.0,20.0,20.0,20.0,1
2016-05-20 00:00:00+05:30,19.0,19.0,19.0,19.0,10
2016-05-27 00:00:00+05:30,19.85,19.85,18.05,18.05,100
2016-06-06 00:00:00+05:30,18.7,18.7,18.7,18.7,25
2016-06-16 00:00:00+05:30,19.45,19.45,19.45,19.45,1
2016-06-21 00:00:00+05:30,18.5,18.5,18.5,18.5,1
2016-06-22 00:00:00+05:30,17.6,17.6,17.6,17.6,1
2016-06-24 00:00:00+05:30,18.25,18.25,18.25,18.25,5
2016-06-27 00:00:00+05:30,17.95,18.0,17.35,17.9,242
2016-06-28 00:00:00+05:30,17.05,17.05,17.05,17.05,1
2016-06-30 00:00:00+05:30,16.2,17.75,16.2,17.75,42
2016-07-05 00:00:00+05:30,16.9,16.9,16.9,16.9,102
2016-07-07 00:00:00+05:30,16.1,16.1,16.1,16.1,100
2016-07-19 00:00:00+05:30,15.3,16.8,15.3,15.3,3011
2016-07-20 00:00:00+05:30,15.3,15.3,15.3,15.3,52
2016-07-21 00:00:00+05:30,15.3,15.3,15.3,15.3,8
2016-07-22 00:00:00+05:30,15.5,16.0,15.0,15.5,4850
2016-07-25 00:00:00+05:30,16.25,16.25,15.25,16.2,774
2016-07-26 00:00:00+05:30,15.4,15.4,15.4,15.4,100
2016-07-27 00:00:00+05:30,15.5,15.5,15.5,15.5,1000
2016-07-28 00:00:00+05:30,15.0,16.25,15.0,16.25,1990
2016-07-29 00:00:00+05:30,16.95,17.0,15.5,16.95,1659
2016-08-01 00:00:00+05:30,16.15,16.15,16.15,16.15,1
2016-08-02 00:00:00+05:30,15.4,15.4,15.4,15.4,200
2016-08-04 00:00:00+05:30,16.15,16.15,16.15,16.15,2
2016-08-09 00:00:00+05:30,16.9,16.9,16.9,16.9,200
2016-08-11 00:00:00+05:30,16.1,16.7,16.1,16.7,600
