date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,38.2,39.2,38.2,38.79,13141
2015-01-02 00:00:00+05:30,40.0,46.55,36.04,46.15,262459
2015-01-05 00:00:00+05:30,46.6,52.5,44.6,49.65,366928
2015-01-06 00:00:00+05:30,49.0,53.0,44.5,50.65,322286
2015-01-07 00:00:00+05:30,53.0,56.5,51.1,52.65,712958
2015-01-08 00:00:00+05:30,53.0,54.2,51.5,51.95,119620
2015-01-09 00:00:00+05:30,51.95,53.9,46.55,49.75,80464
2015-01-12 00:00:00+05:30,53.9,53.9,48.0,50.15,34493
2015-01-13 00:00:00+05:30,50.8,52.75,48.15,48.75,26332
2015-01-14 00:00:00+05:30,48.9,51.0,47.3,48.2,37814
2015-01-15 00:00:00+05:30,48.7,49.65,47.0,47.45,24105
2015-01-16 00:00:00+05:30,47.4,47.75,45.65,46.3,30753
2015-01-19 00:00:00+05:30,46.0,49.6,46.0,49.3,43668
2015-01-20 00:00:00+05:30,51.0,51.0,49.1,49.7,43447
2015-01-21 00:00:00+05:30,50.9,51.75,48.1,48.3,10051
2015-01-22 00:00:00+05:30,50.65,50.65,48.05,48.15,10852
2015-01-23 00:00:00+05:30,49.9,50.0,46.3,46.8,19920
2015-01-27 00:00:00+05:30,46.55,48.5,45.4,46.3,13492
2015-01-28 00:00:00+05:30,46.1,47.5,44.6,45.0,12841
2015-01-29 00:00:00+05:30,44.8,46.0,44.75,45.1,19961
2015-01-30 00:00:00+05:30,46.0,46.0,42.2,43.2,15950
2015-02-02 00:00:00+05:30,43.0,44.7,41.75,44.25,12017
2015-02-03 00:00:00+05:30,44.0,46.0,43.4,44.15,7558
2015-02-04 00:00:00+05:30,44.15,45.85,42.9,43.75,7050
2015-02-05 00:00:00+05:30,43.3,45.5,42.0,42.4,27042
2015-02-06 00:00:00+05:30,42.2,44.0,41.3,42.6,11733
2015-02-09 00:00:00+05:30,42.2,42.55,40.0,41.8,12943
2015-02-10 00:00:00+05:30,42.0,42.8,40.5,41.5,6309
2015-02-11 00:00:00+05:30,42.0,42.9,40.54,41.4,11976
2015-02-12 00:00:00+05:30,42.0,42.9,40.1,41.6,9391
2015-02-13 00:00:00+05:30,38.95,38.95,35.79,37.0,100368
2015-02-16 00:00:00+05:30,36.5,37.79,35.54,35.75,22772
2015-02-18 00:00:00+05:30,35.7,36.9,35.0,35.04,23302
2015-02-19 00:00:00+05:30,35.1,38.4,35.1,37.45,17790
2015-02-20 00:00:00+05:30,37.25,37.6,36.15,36.79,13490
2015-02-23 00:00:00+05:30,36.35,37.79,36.35,36.85,7580
2015-02-24 00:00:00+05:30,36.5,39.25,35.0,35.7,10867
2015-02-25 00:00:00+05:30,35.5,36.54,34.4,34.79,15907
2015-02-26 00:00:00+05:30,35.5,38.0,35.2,35.7,5413
2015-02-27 00:00:00+05:30,35.5,36.0,35.0,35.1,4790
2015-03-02 00:00:00+05:30,34.6,36.0,34.0,34.6,12308
2015-03-03 00:00:00+05:30,34.1,36.0,34.0,34.25,12151
2015-03-04 00:00:00+05:30,34.0,36.25,33.85,35.6,10966
2015-03-05 00:00:00+05:30,38.1,38.1,34.0,34.9,8544
2015-03-09 00:00:00+05:30,35.9,36.9,34.65,36.35,11843
2015-03-10 00:00:00+05:30,36.35,37.4,36.04,36.35,11646
2015-03-11 00:00:00+05:30,36.0,36.79,35.0,35.15,13772
2015-03-12 00:00:00+05:30,35.5,36.5,34.45,35.6,5165
2015-03-13 00:00:00+05:30,38.6,38.75,34.85,35.0,10040
2015-03-16 00:00:00+05:30,34.85,34.85,33.1,33.7,10823
2015-03-17 00:00:00+05:30,34.0,35.5,33.9,33.9,8124
2015-03-18 00:00:00+05:30,35.0,35.0,33.15,34.04,6427
2015-03-19 00:00:00+05:30,33.2,34.25,33.2,33.45,9363
2015-03-20 00:00:00+05:30,33.0,33.9,31.2,32.0,6257
2015-03-23 00:00:00+05:30,31.8,32.2,29.35,30.15,8731
2015-03-24 00:00:00+05:30,29.8,30.0,29.0,29.25,9756
2015-03-25 00:00:00+05:30,29.0,30.7,26.7,27.05,28225
2015-03-26 00:00:00+05:30,27.75,27.75,26.5,26.75,7062
2015-03-27 00:00:00+05:30,27.75,27.75,25.3,27.25,7701
2015-03-30 00:00:00+05:30,27.0,31.3,26.25,27.95,16052
2015-03-31 00:00:00+05:30,27.75,28.75,27.1,27.2,12087
2015-04-01 00:00:00+05:30,27.7,29.3,27.25,28.85,10060
2015-04-06 00:00:00+05:30,29.1,34.6,27.95,34.6,44969
2015-04-07 00:00:00+05:30,38.0,40.65,37.85,38.54,88581
2015-04-08 00:00:00+05:30,38.1,39.35,36.6,37.25,18377
2015-04-09 00:00:00+05:30,37.2,37.2,36.0,36.65,11338
2015-04-10 00:00:00+05:30,38.0,39.9,36.1,37.45,9720
2015-04-13 00:00:00+05:30,36.5,38.25,36.15,37.0,7991
2015-04-15 00:00:00+05:30,37.04,37.04,34.65,35.04,34590
2015-04-16 00:00:00+05:30,34.0,34.79,33.7,33.95,5397
2015-04-17 00:00:00+05:30,33.54,33.54,31.0,31.3,23702
2015-04-20 00:00:00+05:30,32.0,32.9,30.2,30.4,9098
2015-04-21 00:00:00+05:30,30.0,32.29,30.0,30.6,7515
2015-04-22 00:00:00+05:30,30.6,33.65,30.6,33.25,9234
2015-04-23 00:00:00+05:30,32.5,34.0,31.1,33.15,13768
2015-04-24 00:00:00+05:30,33.0,35.0,31.25,33.0,7319
2015-04-27 00:00:00+05:30,32.5,33.0,30.6,30.95,10052
2015-04-28 00:00:00+05:30,30.5,30.5,28.75,30.2,9633
2015-04-29 00:00:00+05:30,29.7,30.9,29.0,29.8,1569
2015-04-30 00:00:00+05:30,30.2,30.25,30.1,30.2,1760
2015-05-04 00:00:00+05:30,29.6,31.0,27.8,29.85,17692
2015-05-05 00:00:00+05:30,30.65,35.79,30.0,35.79,267845
2015-05-06 00:00:00+05:30,36.9,38.0,31.1,31.55,181026
2015-05-07 00:00:00+05:30,32.4,32.5,29.1,30.3,23348
2015-05-08 00:00:00+05:30,31.85,33.25,30.25,32.2,30068
2015-05-11 00:00:00+05:30,32.0,33.0,31.0,31.7,8584
2015-05-12 00:00:00+05:30,31.05,31.3,30.1,30.2,9318
2015-05-13 00:00:00+05:30,30.35,31.0,30.2,30.55,10079
2015-05-14 00:00:00+05:30,30.55,31.45,30.2,31.0,4814
2015-05-15 00:00:00+05:30,31.0,31.75,30.6,30.8,5894
2015-05-18 00:00:00+05:30,30.6,31.95,30.25,30.5,5436
2015-05-19 00:00:00+05:30,30.35,31.3,30.3,30.65,7507
2015-05-20 00:00:00+05:30,30.45,31.5,30.4,30.6,4454
2015-05-21 00:00:00+05:30,30.7,30.85,30.15,30.2,6159
2015-05-22 00:00:00+05:30,30.25,33.0,30.25,30.55,10034
2015-05-25 00:00:00+05:30,31.4,31.45,30.55,30.75,4546
2015-05-26 00:00:00+05:30,30.65,30.8,30.15,30.25,6883
2015-05-27 00:00:00+05:30,30.0,30.5,30.0,30.2,7245
2015-05-28 00:00:00+05:30,29.95,30.5,29.65,30.15,10937
2015-05-29 00:00:00+05:30,30.5,30.5,28.2,28.75,21605
2015-06-01 00:00:00+05:30,28.75,29.8,28.5,28.95,9003
2015-06-02 00:00:00+05:30,29.8,29.8,28.25,28.7,9220
2015-06-03 00:00:00+05:30,29.6,29.6,26.65,26.95,14521
2015-06-04 00:00:00+05:30,27.45,28.4,26.8,27.7,4875
2015-06-05 00:00:00+05:30,27.95,27.95,27.05,27.3,2488
2015-06-08 00:00:00+05:30,26.4,27.7,26.4,26.75,4054
2015-06-09 00:00:00+05:30,27.0,29.6,26.75,27.35,3762
2015-06-10 00:00:00+05:30,26.2,28.0,26.2,27.0,2775
2015-06-11 00:00:00+05:30,28.0,28.0,26.0,26.25,13530
2015-06-12 00:00:00+05:30,25.5,27.5,25.5,25.8,5603
2015-06-15 00:00:00+05:30,25.15,26.75,25.15,26.05,3685
2015-06-16 00:00:00+05:30,25.85,27.15,25.75,26.85,2110
2015-06-17 00:00:00+05:30,27.9,30.0,27.5,28.9,22428
2015-06-18 00:00:00+05:30,29.5,30.5,28.5,28.8,8641
2015-06-19 00:00:00+05:30,28.75,29.35,27.4,28.35,13332
2015-06-22 00:00:00+05:30,29.0,29.25,27.8,28.6,14181
2015-06-23 00:00:00+05:30,29.25,29.25,27.9,28.7,6768
2015-06-24 00:00:00+05:30,29.25,32.9,28.35,28.95,2317
2015-06-25 00:00:00+05:30,28.5,29.0,28.2,28.65,1336
2015-06-26 00:00:00+05:30,29.0,29.0,27.4,27.7,1757
2015-06-29 00:00:00+05:30,28.5,28.5,26.55,27.55,2159
2015-06-30 00:00:00+05:30,28.45,28.45,27.05,27.75,1142
2015-07-01 00:00:00+05:30,28.4,28.4,27.7,27.75,1020
2015-07-02 00:00:00+05:30,27.75,29.5,27.6,29.35,15145
2015-07-03 00:00:00+05:30,30.0,30.5,29.4,30.15,10822
2015-07-06 00:00:00+05:30,30.85,30.85,29.05,30.25,4753
2015-07-07 00:00:00+05:30,31.45,32.85,30.4,31.3,25811
2015-07-08 00:00:00+05:30,32.29,32.29,30.1,31.0,19099
