date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,41.55,44.85,41.55,43.15,94149
2015-01-02 00:00:00+05:30,42.7,44.9,42.7,43.95,90152
2015-01-05 00:00:00+05:30,43.5,44.8,43.1,44.25,39777
2015-01-06 00:00:00+05:30,43.75,43.75,41.75,41.95,38726
2015-01-07 00:00:00+05:30,41.5,42.5,41.5,41.65,17708
2015-01-08 00:00:00+05:30,42.05,43.3,42.05,42.3,38191
2015-01-09 00:00:00+05:30,42.15,43.5,42.0,42.1,13028
2015-01-12 00:00:00+05:30,42.15,42.85,41.55,41.9,32336
2015-01-13 00:00:00+05:30,42.0,42.55,41.9,42.0,17588
2015-01-14 00:00:00+05:30,41.8,42.4,41.5,41.95,15688
2015-01-15 00:00:00+05:30,41.75,42.6,41.5,41.7,20163
2015-01-16 00:00:00+05:30,41.7,42.0,41.0,41.2,35526
2015-01-19 00:00:00+05:30,41.15,45.45,41.15,44.4,250316
2015-01-20 00:00:00+05:30,44.4,45.4,43.1,43.35,73786
2015-01-21 00:00:00+05:30,43.1,50.55,42.8,49.55,641964
2015-01-22 00:00:00+05:30,57.8,57.9,54.2,54.85,1736194
2015-01-23 00:00:00+05:30,54.95,54.95,50.5,50.65,411283
2015-01-27 00:00:00+05:30,49.75,49.9,47.65,48.4,146506
2015-01-28 00:00:00+05:30,48.0,48.4,45.75,46.0,83781
2015-01-29 00:00:00+05:30,46.0,48.3,45.65,47.3,117942
2015-01-30 00:00:00+05:30,47.0,47.6,46.0,46.15,60003
2015-02-02 00:00:00+05:30,46.0,47.05,45.25,46.25,71236
2015-02-03 00:00:00+05:30,46.2,51.95,46.0,50.05,485459
2015-02-04 00:00:00+05:30,49.5,50.3,48.2,48.8,141580
2015-02-05 00:00:00+05:30,48.55,50.05,48.0,48.35,126097
2015-02-06 00:00:00+05:30,48.1,48.6,46.95,47.2,65667
2015-02-09 00:00:00+05:30,46.55,47.5,45.15,45.65,165574
2015-02-10 00:00:00+05:30,45.4,45.7,44.1,44.55,51889
2015-02-11 00:00:00+05:30,44.45,45.0,44.1,44.7,36147
2015-02-12 00:00:00+05:30,44.45,45.35,44.35,44.8,36200
2015-02-13 00:00:00+05:30,45.3,46.8,44.55,44.7,85853
2015-02-16 00:00:00+05:30,44.5,45.65,44.5,44.95,36255
2015-02-18 00:00:00+05:30,45.2,45.6,44.6,45.0,36665
2015-02-19 00:00:00+05:30,46.75,46.75,44.45,44.55,44219
2015-02-20 00:00:00+05:30,44.15,45.4,44.15,44.6,52691
2015-02-23 00:00:00+05:30,45.0,45.6,44.2,44.35,51545
2015-02-24 00:00:00+05:30,44.75,45.2,43.85,44.0,28786
2015-02-25 00:00:00+05:30,44.3,44.65,44.0,44.05,18683
2015-02-26 00:00:00+05:30,44.1,44.9,43.75,44.0,60070
2015-02-27 00:00:00+05:30,44.3,45.0,44.0,44.5,44907
2015-03-02 00:00:00+05:30,43.15,44.0,43.15,43.65,30700
2015-03-03 00:00:00+05:30,43.6,44.0,42.85,43.25,59107
2015-03-04 00:00:00+05:30,43.65,44.4,42.55,42.85,74783
2015-03-05 00:00:00+05:30,43.1,43.25,41.9,42.55,66794
2015-03-09 00:00:00+05:30,43.9,43.9,42.1,42.35,26372
2015-03-10 00:00:00+05:30,42.75,42.8,41.75,41.95,38468
2015-03-11 00:00:00+05:30,43.2,45.0,42.9,44.0,209675
2015-03-12 00:00:00+05:30,44.1,44.5,43.2,43.45,68797
2015-03-13 00:00:00+05:30,43.55,46.5,42.6,45.0,269321
2015-03-16 00:00:00+05:30,45.65,45.9,44.7,45.45,78466
2015-03-17 00:00:00+05:30,46.0,49.0,45.5,48.45,418218
2015-03-18 00:00:00+05:30,48.7,49.9,46.65,49.55,370550
2015-03-19 00:00:00+05:30,48.1,50.5,47.35,47.75,129726
2015-03-20 00:00:00+05:30,49.0,49.4,47.05,47.65,339113
2015-03-23 00:00:00+05:30,47.85,48.6,46.75,48.25,322205
2015-03-24 00:00:00+05:30,48.1,49.8,47.3,49.55,248930
2015-03-25 00:00:00+05:30,48.1,51.9,48.1,50.7,315241
2015-03-26 00:00:00+05:30,49.2,52.35,49.2,51.2,531943
2015-03-27 00:00:00+05:30,49.7,51.2,49.25,50.2,423811
2015-03-30 00:00:00+05:30,50.35,51.75,50.05,51.3,513193
2015-03-31 00:00:00+05:30,52.8,53.9,51.7,53.15,158827
2015-04-01 00:00:00+05:30,53.05,56.0,51.5,55.15,179532
2015-04-06 00:00:00+05:30,55.45,55.75,54.05,54.9,76837
2015-04-07 00:00:00+05:30,55.1,62.4,53.3,61.5,641360
2015-04-08 00:00:00+05:30,62.7,63.8,61.8,62.8,991921
2015-04-09 00:00:00+05:30,61.9,63.3,58.6,59.3,197225
2015-04-10 00:00:00+05:30,59.05,62.2,57.5,58.6,248196
2015-04-13 00:00:00+05:30,59.1,59.1,54.5,56.15,199603
2015-04-15 00:00:00+05:30,56.15,56.7,54.5,54.9,67892
2015-04-16 00:00:00+05:30,54.25,55.5,53.0,53.15,48440
2015-04-17 00:00:00+05:30,52.05,54.8,52.05,52.4,75761
